اخرها	آخِر,خار,خار-ِ,آخَر
لاري	آري,وَرَى-ِ,أَري,آرِيّ,رَأَى-َ,آر
كلثوم	كُلْثُوم
كاتب	كاتِب,كاتَب
قبلك	قَبَّل,قِبَل,قَبْلَ,قَبِل-َ
فمنا	مَنّ,فَم,مِنَى,مِن
فسار	وَرَى-ِ,سارِي,سار-ِ,رَأَى-َ,سارّ
فزع	فَزِع-َ,فَزَع,فَزِع,فَزَّع
فحدثته	حَدَث
فجئ	فَجِئ-َ
فاكلنا	أَكَّل,آكِل,آكَل,كال-ِ,أُكُل,أَكَلّ,أَكَل,أَكْل,وَكَل-ِ
فارجع	أَرْجَع,رَجَّع,رَجَع-ِ
غضبا	غَضِب-َ,غَضِب,غَضَب
غداة	غَداة,غَدَّى
عشاء	عَشاء,عِشاء
عسلا	عَسَّل,عَسَل
طاوسا	NOTFOUND
صبرا	صَبَّر,صَبَر-ِ,صَبْرا,صَبْر
شانه	شان-ِ
شاءت	شاء-َ
سقت	ساق,سَقَى-ِ
ستكون	وَكَى-ِ,كان,كَوَّن
سارية	سارِيَة,وَرَى-ِ,سارِي,سارّ
رزيق	رَزِيق
ذهبا	ذَهَب-َ,ذَهَّب,ذَهَب
خلقا	خَلْق,خِلْقَة,خَلِق-َ,خَلُق,خَلَق,خَلَّق,خُلْق
خطبته	خُطْبَة,خِطْبَة,خَطَب
حلال	حَلال
حذافة	NOTFOUND
جهينة	جُهَيْنَة,جَهِي-َ
جنبا	جَنَب,جَنْب,جَنَّب,جَنْبَ
جنادة	NOTFOUND
جحادة	NOTFOUND
جبر	جَبَّر,جَبْر,جَبَر
تعدل	عَدَل-ِ,عَدَّل,تَعَدَّل
ترد	رَدِي-َ,راد,تَرَدِّي,رَدَّى,أَراد,أَرْدَى,رَدّ,وَرَد-ِ
تراه	رَأَى-َ
تدخلوا	تَدَخَّل,أَدْخَل,دَخَل
تحب	أَحَبّ,حَبّ-ِ,حَبا
تامرني	NOTFOUND
تاكلوا	أَكَل
بواحدة	واحِد
بكذا	NOTFOUND
بشماله	شَمال,شِمال
اياها	إِيّا
اوقية	أُوقِيَّة
المقتول	مَقْتُول
المطر	مَطِر,مَطَر
المتلاعنين	مُتَلاعِن
المتعة	مُتْعَة
الماجشون	NOTFOUND
المؤمنات	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
الكذب	كِذْب
القائم	قائِم
العقور	عَقُور
الرحل	راحِل,رَحّال,رَحْل
الداري	دارِيّ,دارِي
التكبير	تَكْبِير
التسبيح	تَسْبِيح
الاهلية	أَهْلِيَّة,أَهْلِيّ
الاقرع	أَقْرَع
الاسقع	NOTFOUND
الازهر	أَزْهَر
اكنت	أَكَنّ
اقم	قام,قَمّ,أَقام
اصبعيه	إِصْبَعِيّ,إِصْبَع
استعمل	ٱِسْتَعْمَل
اخرهم	خار-ِ,آخِر,خار,آخَر
اجود	جاد,أَجْوَد
ابوي	أَب,أَبَوِيّ
ابوه	آب,أَب,آبِي,أَبّ,أُبُوَّة,أَبَى-َ
ابنتي	ٱِبْن
ابعد	بَعُد,أُبْعِد,أَبْعَد
يهوديا	يَهُودِيّ
يمنعني	مَنَع
يكونوا	كان,كَوَّن
يكفر	كَفَر-ِ,كَفَّر,أَكْفَر
يعط	أَعْطَى
يبيت	بات-ِ,أَبات,بَيَّت
يات	أَتَى-ِ
ويوتر	أَوْتَر,وَتَّر
وقتل	قَتَّل,قَتَل,قَتْل
وعباس	عَبّاس
وحش	وَحْش,حَشّ
وامره	مار,أَمْر,مار-ِ,أَمَّر,أَمَرّ,مَرّ,أَمار,آمَر,إِمْرَة,آمِر,أَمَر
والنساء	نِساء,نَسّاء,نَساء
واسع	سَعَى-َ,واسِع,وَسِع-َ
هداب	هُدّاب
نزلنا	نَزَل-ِ,أَزال,نَزْل,زال-َ,أَزَلّ,نُزْل,زال,نَزَّل,زَلّ-َِ,نَزِل-َ
نزعه	نَزَّع,نَزْعَة,نَزَع-ِ,نَزْع
نخرج	خَرَج,خَرَّج,أَخْرَج
ناب	ناب,نابِي,أَبَى-َ
معهما	مَعَ
مطيع	مُطِيع
مضت	مَضّ-َ,مَضَّى,مَضّ,مَضَى-ِ
مست	مَسَى,مَسَّى,مَسّ-َ,ماس-ِ
مد	مَدّ
لاهلها	هَلّ-ِ,أَهْل,أَهَلّ,آهِل
لاعلم	أَعْلَم,عَلِم-َ,عَلَّم
كهمس	هَمْس
كرهوا	كَرِه-َ,كَرُه,كَرَّه
كتبه	كِتاب,كاتِب,كَتَب
فاخبرت	أَخْبَر
فاتته	فات,آتَى,أَتَى-ِ
عزرة	عَزَر-ِ,عَزَّر,عَزْر
شاهد	شاهَد,شاهِد
سقط	سَقْط,سُقْط,سَقَط
سجدتي	سَجْدَة
سجدات	سَجْدَة
سالتني	سال-ِ,لَتّ
دكين	NOTFOUND
دفع	دَفْع,دَفَع-َ
دعوت	دَعا
خيار	خَيْر,خِيار
خثعم	NOTFOUND
حفظت	حَفِظ-َ
حرير	حَرِير
جرح	جُرْح,جَرَّح,جَرَح-َ
جئنا	جاء
تسالني	NOTFOUND
بينهن	يِن,بَيَّن,بَيْنَ,بَيِّن
بمائة	ماء,مِئَة
بطعام	طَعام
باليمن	يَمَن,يُمْن
باذن	آذِن,إِذْن,أُذُن
بابه	بابِه,آب,باب,آبِه,أَبَه
اوله	وَلَّى,أَوَّل,وَلِه-َِ,أَوْلَى,وَلَّه,أَوْلَه
امها	أُمّ
الوالد	والِد
النعم	نِعْم,نِعْمَة
النظر	نَظَر
الناجي	ناجِي
اللتين	الَّذِي
القربي	قُرْبَى,قِرْبِيّ
العدني	عَدْنِيّ
الخميس	خَمِيس
الخطايا	خَطِيئَة
الاعور	أَعْوَر
الاخنس	أَخْنَس
اصابع	إِصْبَع
اخذته	آخِذ,أَخَذ,آخَذ,أَخَّذ
احيا	حَيّ-َ,أَحْيَى
احسب	حَسَب,حَسِب-ِ,حَسُب
احداهن	أَحَد,أَحَّد,أَحَدّ
اتق	تاق,ٱِتَّقَى,تَقَى-ِ
ينفخ	نَفَخ
يعفور	يَعْفُور
يعجل	عَجَّل,أَعْجَل,عَجِل-َ
يشفع	شَفَع-َ
يسر	يَسَّر,يَسِر-َ,يُسْر,سار-ِ,سَرَى-ِ,سَرَّى,أَسار,أَسَرّ,سَرّ,يَسُر,أَسْرَى
يروا	وَرَى-ِ,رَأَى-َ
يجاوز	جاوَز
يتحدثون	تَحَدَّث
ياذن	أَذِن-َ
ياتيني	أَتَى-ِ
ويديه	يَد,وَدَى-ِ
وهاء	هاء
ومعها	مَعَ
وكتب	كِتاب,كَتَب
وبينك	يِن,بَيَّن,بَيْنَ,بَيِّن
وبيص	NOTFOUND
وافق	أَفاق,وافَق,فاق,أُفُق,وَفَق-ِ
هدبة	هَدِب,هُدْب,هَدِب-َ,هَدَّب
هجرة	هِجْرَة,هَجَر,هَجَّر,هَجْر
نورث	أَوْرَث,وَرِث-ِ,وَرَّث
نور	نُور,أَوْرَى,نَوَر,نَوَّر,وَرَّى
ملكت	مَلَك-ِ,مَلَّك
ملائكة	مَلْأَك
معاذة	مَعاذ
مختصر	مُخْتَصَر
محيريز	NOTFOUND
مبارك	مَبَرَّة,مُبارَك
لسانه	لِسان
لزهير	زُهَيْر
كثرة	كُثْر,كَثْرَة,ثَرّ,كَثَّر
كاذبا	كاذِب
فكانوا	كان
فعلوا	عُلُوّ,فَعَل-َ,عَلا,عَلَّى
فسالوه	أَلْوَى,لَوِي-َ,سال-ِ,لَوَى-ِ,لَوَّى
فانطلقوا	ٱِنْطَلَق
فانت	نات,أَنْتِ,آن,أَنّ-ِ,أَنْتَ,أَنَى-ِ
فاستقبل	ٱِسْتَقْبَل
فاستاذن	NOTFOUND
غفلة	غُفْل,غَفَل,غَفْلَة,غَفَّل
عينا	عِيّ,عَيَّن,عَيّ,عَيْن
عمرتك	عَمَر,عَمُر,عُمْرَة,عَمَّر
عفراء	أَعْفَر
عرفات	عَرَفات
سيئة	سَيِّء,سَيِّئَة
سابق	سابَق,سابِق,بَقِي-َ,بَقّ,أَبْقَى,وَبَق
رومان	رُومان
ركبته	رُكْبَة,رَكَّب,رَكِب-َ
ذراع	ذِراع
دمه	دَم,دَمّ
خمسمائة	خَمْسمائَة
خلافة	خِلافَة,خِلاف
حملك	حَمْل,حَمَل,حِمْل,حَمَل-ِ,حَمَّل
حسنا	حَسَن,حَسَّن,حَسُن,حُسْن,حِسّ,حَسّ,حَسّ-ِ
حامل	حامِل
ثنيته	ثَنَّى,ثَنَى-ِ,ثَنِيَّة,ثَنْيَة
تمرات	تَمْر
تعد	عَدّ,عَدَّى,أَعْدَى,تَعَدِّي,أَعاد,عَدا,عاد,وَعَد-ِ,أَعَدّ
تبع	تَبِع-َ,باع-ِ,تَبَع,أَباع,بيع
بطنها	بَطَّن,بَطَن,طُنّ,بَطْن
بشق	شَقّ,شِقّ
بذاك	بَذّ,ذاكَ
بامراة	NOTFOUND
اياكم	إِيّا
الكلبي	كَلْبِيّ,كَلِيب
القلوب	قَلُوب,قَلْب
القسي	قَسِيّ
العذاب	عَذاب
الصواب	صَواب
الشهداء	شَهِيد
السير	سِيرَة,سَيْر
السفينة	سَفِينَة
الحلال	حَلال
الحفري	حَفْرِيّ
التيمم	NOTFOUND
البخيل	بَخِيل
الازار	إِزار
الاحنف	أَحْنَف
افتح	فَتَح-َ
اغير	غَيَّر,أَغار
اظنه	ظَنّ
اسق	وَسَق-ِ,ساق,أَسْقَى,سَقَى-ِ
استطيع	ٱِسْتَطاع
ادركه	أَدْرَك,دَرَّك
اثنا	ٱِثْنا
اتبع	تَبِع-َ,أَتْبَع,ٱِتَّبَع
يمنع	مَنَع
يكفي	كَفَى-ِ
يبول	بَوَّل,بال
وهبت	هاب-َ,هَبا,هَبَت-ِ,وَهَب-َ,هَبْت,هَبّ
ونزل	نَزَل-ِ,أَزال,نَزْل,زال-َ,أَزَلّ,نُزْل,زال,نَزَّل,نَزِل-َ,زَلّ-َِ
ومعاوية	مُعاوِيَة
ومسدد	NOTFOUND
وليدة	دَهِي-َ,وُلَيْد,دَهَى-َ,دَهَّى,وَلِيدَة,يَد,وَلِيد,وَدَى-ِ
ولنا	لِ-
ولئن	لَئِن,لَئِنَّ
وضوئه	وُضُوء,ضَوْء
وسورة	سُورَة,سَوَّر,سُور,سَوْرَة,سِوار
وحسن	حَسَن,حَسَّن,حَسُن,حُسْن
وجهها	وَجَّه,وَجْه
وجدنا	وَجَد-ِ,جاد,جَدّ,جِدّ
وبحمدك	حَمْد
هبته	هاب-َ,هَبا,هَبَت-ِ,هَبَّة,هِبَة,هَبْت,هَبّ
نواة	نَواة,ناهِيَة,نَوَى-ِ,نَوَى
نفخ	نَفَخ,نَفْخ
مه	NOTFOUND
محرز	مُحْرِز
مثلي	مِثْل,مِثْلِيّ,مَثَل,أَمْثَل
لفي	لَفّ,لِفّ
لصاحبه	صاحَب,صاحِب
قصر	قَصُر,قَصَر-ِ,قاصِر,قَصَّر,قَصَر,قَصْر,قِصَر
قرانا	قَرْيَة,قِران,قَرّ-َِ,قِرَى,قَرَى-ِ,قَرا
قران	قِران
فنزلنا	نَزَل-ِ,أَزال,نَزْل,زال-َ,أَزَلّ,نُزْل,نَزَّل,زال,زَلّ-َِ,نَزِل-َ
فرج	رَجّ,فَرَّج,فَرَج,فَرْج
فحلف	حَلَف-ِ,حَلَّف,حَلْف,حِلْف
فحدث	حَدَث
فجعلوا	جَعَل-َ
غفار	غَفّار
غزونا	غَزْو,غَزا
صفرة	صِفْر,صَفَر-ِ,أَصْفَر,صَفْرَة,صُفْرَة,صَفَّر,صَفَر
صدره	صَدَّر,صُدْرَة,صَدْر
شبع	شَبِع-َ,شَبْع,شَبَّع
سوء	سُوء
سهما	سَهْم,سَهَم
سنا	سِنّ,سَنَى,سَنا,سَنّ
سبيلا	سَبِيل
رجعوا	رَجَّع,رَجَع-ِ
ذنبا	ذَنْب,ذَنَب
دنا	دَنا,دان-ِ
خيركم	خَيِّر,خَيْر,خَيَّر
خولة	خَوَّل,خَوْلَة,خَوَل
خلاق	خَلّاق,خَلاق
خسفت	خَسَف-ِ
خالدا	خالِد
خادم	خادِم
حلق	حَلَّق,حَلْق,حَلَق,حَلَق-ِ
حصي	حُصّ,حَصَى
حراما	حَرام
حجته	حِجَّة,حُجَّة,حَجّ,حَجا
حجارة	حَجّار,حَجَر
جئ	NOTFOUND
تلا	تَلّ,تَلا
تشركوا	شَرِك-َ,أَشْرَك
تزال	أَزال,زال-َ
بينها	يِن,بَيَّن,بَيْنَ,بَيِّن
بضع	بَضَّع,بَضْع,بِضْع,بَضَع-َ
بسطام	سِطام
بدل	دَلّ,بَدْلَة,بَدَل,بَدَّل
بالشعير	شَعِير
ايمانكم	إِيمان,يَمِين
اولادكم	وَلَد
الهرج	هَرْج
الها	أَلَّه,آل,وَلِي-ِ,إِلٰه
الميزان	مِيزان
الك	لاك,آل,وَلِي-ِ,لَكّ
الغائط	غائِط
السفلي	أَسْفَل,سُفْلِيّ
السبي	سَبْي,سَبِيّ
الرمية	رَمْيَة,رَمِيَّة
الحميري	NOTFOUND
الحل	حِلّ,حَلّ
الجوهري	جَوْهَرِيّ
البارحة	بارِح,بارِحَة
الاوثان	وَثَن
اصدق	صَدَق,أَصْدَق,صَدَّق
اصبغ	صَبَغ
اريت	NOTFOUND
ارمي	رَمَى-ِ,أُرَّم,إِرَم
ادخله	أَدْخَل,دَخَل
اجتمعوا	ٱِجْتَمَع
يمسك	مَسَى,مَسَّك,مَسَّى,أَمْسَك,مَسَك,أَمْسَى,وَمَس-ِ,ماس-ِ,مَسّ-َ
يمرقون	مَرَق,مَرَّق
يقدر	قَدَّر,قَدِر-َ,قَدَر-ِ,قَدَر
يفر	فَرَّى,وَفَر-ِ,أَفْرَى,فَرَى-ِ,أَفَرّ,فار,فَرّ-ِ,أَفار
يسالني	NOTFOUND
يجري	أَجْرَى,جَرَى-ِ
يجتمع	ٱِجْتَمَع
يتصدق	تَصَدَّق
ياخذه	أَخَذ
يؤخر	ؤَخِّر
ومحيصة	مَحِيص
ولدك	وَلَد-ِ,وَلَّد,وَلَد,دَكّ,أَلَدّ,لِدّ,لَدّ
وفاطمة	فاطِمَة
وفاة	فاه,وَفَى-ِ,وَفَّى,وَفاة
وطلحة	طَلْح,طَلْحَة
وسمعته	سَمَّع,سَمِع-َ,سُمْعَة
وسالتك	سال-ِ,لَتّ,ٱِلْتَكّ
وسادة	سَيِّد,ساد,دَهِي-َ,دَهَى-َ,دَهَّى,وَساد,سادَة,سادّ,وِسادَة,وَدَى-ِ
وردان	NOTFOUND
وددت	وَدّ-َ
وجدته	وَجَد-ِ,جَدا,جِدَّة,جاد,جَدّ
وايتاء	NOTFOUND
واول	وَلَّى,أَوَّل,أَوْلَى,أُول
والزبيب	زَبِيب
والاسود	أَسْوَد,أَسَد
واد	أَدّ,وادِي,وادّ,آد,واد,إِدّ,وَدَى-ِ
هوازن	NOTFOUND
هذيل	NOTFOUND
