وذلكم	ذُلّ,ذٰلِكَ
نشق	نَشْق,نَشِق-َ,شَقّ,شَقا,شَقِي,نَشَّق,شاق,أَشْقَى
نشرها	شَرَى-ِ,نَشْر,أَشار,نَشَّر,وَشَر-ِ,نَشَر
نشدتني	نَشَد
نشبع	شَبِع-َ,أَشْبَع,شَبَّع
نسيكتيك	NOTFOUND
نسيتني	نَسِي-َ
نسيا	نَسِي-َ,نَسْي,نَسِيّ
نسم	وَسَم-ِ,سَمّ,نَسَم,أَسام,سَمَّى,نَسَّم,أَسْمَى,سام,سَما,نَسَم-ِ
نسلت	نَسَل,سَلَت-ُِ,نَسَّل
نسرح	سَرَح-َ,سَرِح-َ,سَرَّح
نسخنا	نُسْخَة,سَخَّن,سَخَن,سَخا,سَخُو-َ,أَسْخَن,ساخ-ِ,سَخِي-َ,سَخِن-َ,نَسْخ,نَسَخ-َ
نستمتع	ٱِسْتَمْتَع
نستظل	ٱِسْتَظَلّ
نستطيع	ٱِسْتَطاع
نستره	سَتَر,سَتَّر
نستحملك	NOTFOUND
نساجة	نِساجَة,نَسّاج
نساءها	نِساء,نَسّاء,نَساء
نزولا	نَزْل,نُزُول
نزلا	نَزَل-ِ,نَزْل,نُزْل,نَزَّل,نَزِل-َ
نرمل	أَرْمَل,رَمَّل
نرجوه	رَجا
نذري	ذَرَى-ِ,نَذْر,ذَرا,أَذْرَى,نَذِير,ذَرَّى
نذرك	ذَرَى-ِ,نَذْر,نَذَر,ذَرا,أَذْرَى,نَذِير,ذَرّ,ذَرَّى,وَذِر-َ
ندندن	دَنْدَن
ندبة	نُدْبَة,نَدَب,نَدِب-َ,نَدْب,دَبّ-ِ
ندامة	نادِم,نَدَم,نَدِيم
نحيي	حَيّا,حَيّ-َ,أَحْيَى
نحوهم	نَحْو,نَحا,حَوَى-ِ,نَحَّى,نَحَى,نَحْوَ
نحفر	حَفَر-ِ
نحرك	نِحْر,حَرَّك,أَحار,نَحْر,أَحْرَى,حَرَى,حار,نَحَر
نحثو	حَثا
نحامل	NOTFOUND
نجيد	أَجاد
نجوت	نَجا
نجوا	نَجَّى,نَجْو,نَجا
نجني	جَنَى-ِ
نجمعه	جَمَع-َ,جَمَّع,أَجْمَع
نجت	نَجَّى,نَجا
نتوب	تاب,تَوَّب
نتمني	تَمَنَّى,أَتَمّ
نتمتع	تَمَتَّع
نتقيها	ٱِتَّقَى,تَقَى-ِ
نتف	نُتْفَة,تَفّ-ِ,نَتْف,نَتَّف,نَتَف-ِ
نتخذها	ٱِتَّخَذ
نتجت	نَتَج-ِ
نتبايع	تَبايَع
نتاذي	NOTFOUND
نتاج	نِتاج
نبلكم	بَلّ-ِ,بَلّ,بَلا,أَبال,نابِل,بال,بَلِي-َ,نُبْل,نَبَل,أَبَلّ,أَبْلَى,وَبَل-ِ,نَبْل
نبقها	بَقِي-َ,أَبْقَى,نَبْق
نبعث	بَعَث-َ
نبذته	نَبَذ-ِ,نَبَّذ,نُبْذَة
نباته	نَبات
ناي	ناي
ناكحا	ناكَح,ناكِح
ناكح	ناكَح,ناكِح
نافذ	نافِذ
ناضحك	NOTFOUND
ناضحان	NOTFOUND
نازعني	نازَع
ناراهما	NOTFOUND
نات	نات,أَتَى-ِ
نؤمن	آمَن,أَمَّن
ميلين	مِيل
ميعاد	مِيعاد
ميزانه	مِيزان
ميرتنا	مِيرَة
ميراثك	مِيراث
ميثرة	مِيثَرَة
ميثاق	مِيثاق
مولاته	مَوْلاة
موقن	مُوقِن
مورك	NOTFOUND
موجه	مَوَّج,مَوْج,مَوْجَة,مُوَجَّه,مُوَجِّه
موجبات	مُوجِب
موتهما	مَوْت,مَوَّت
موتتين	NOTFOUND
موتة	مَوْت,مَوَّت
موبقها	مَوْبِق
مواقيتها	مِيقات
مهنته	مِهْنَة,مَهَن-َُ
مهلكة	مُهْلِك,مَهْلَكَة
مهزور	NOTFOUND
مهرودتين	NOTFOUND
مهرها	مَهْر,مُهْرَة,مُهْر
منيته	مَنَى-ِ,مُنْيَة,مَنِيَّة,مَنَّى
منيبا	مُنِيب
منهوس	NOTFOUND
منهبطة	NOTFOUND
منهبط	NOTFOUND
منكرة	مُنْكَر,مُنَكَّر,مُنْكِر
منعكما	مَنْع,مَنَع
منعة	مَنَع,مَنْع,مَنْعَة
منصورين	مَنْصُور
منصرفه	مُنْصَرِف,مُنْصَرَف
منشد	مُنْشِد
منسيا	مَنْسِيّ
منسوجة	مَنْسُوج
منساة	NOTFOUND
منزلتي	مُنَزَّل,مَنْزِلَة
منزلتك	مُنَزَّل,مَنْزِلَة
منحها	مِنْحَة,مَنْح,مَنَح-َ
منتهون	مُنْتَهِي
منبطح	مُنْبَطِح
منامك	مَنام
مناسككم	مَنْسِك
منار	مَنار
مناديه	مُنادِي
منائح	NOTFOUND
ممطور	NOTFOUND
ملوكهم	مَلِك
ملنا	مَلّ,مال-ِ
مللت	مَلّ-َ
ملكوا	مَلَك-ِ,مَلَّك
ملكها	مَلَك-ِ,مَلِك,مِلْك,مَلَّك,مُلْك
ملكك	مَلِك,مَلَك-ِ,مِلْك,مَلَّك,مُلْك
ملحا	مَلُح,مُلِحّ,مَلَّح,مِلْح,مَلَح-َُ,مُلْحَة
ملتين	مُلَّة,مَلّ
ملتوية	مُلْتَوِي
ملاه	مَلَّى,مُلَّى,مَلَى,مَلّ,مَلْهَى
ملاقي	مَلّاق,مَلْقَى
ملات	NOTFOUND
ملئت	مَلِئ-َ
ملؤهم	مِلْء,مَلَأ
مكيال	مِكْيَل
مكلبة	NOTFOUND
مكسورة	مَكْسُور
مكحلة	مِكْحَل,مُكْحُلَة
مكتوف	مَكْتُوف
مكانهن	مَكان
مكافاتان	مُكافاة
مكاتبته	مُكاتَبَة,مُكاتِب
مكاتبة	مَكْتَب,مُكاتَبَة,مُكاتِب,مَكْتَبَة
مقيله	مَقِيل
مقيدة	مُقَيَّد
مقمعة	NOTFOUND
مقلدة	مُقَلَّد,مُقَلِّد,مِقْلَد
مقعدي	مُقْعِد,مَقْعَد,مُقْعَد
مقطعة	مُقْطَع,مَقْطَع,مُقَطَّع,مِقْطَع,مُقْطِع
مقبولة	مَقْبُول
مقبلات	مُقْبِل
مقاعدهم	مَقْعَد
مفظع	مُفْظِع
مفضيا	مُفْضِي,مُفَضَّى
مفسرة	مُفَسِّر
مفردة	مُفَرِّد,مُفْرَدَة,مُفْرَد
مفرد	مُفَرِّد,مُفْرَد
مفتون	مُفْتِي,مَفْتُون
مفتوحا	مَفْتُوح
مغنم	مَغْنَم
مغضب	مُغْضِب
مغرما	مَغْرَم,مُغْرَم
مغبون	مَغْبُون
مغارب	مَغْرِب
معكن	مَعَ,مَعَك-َ
معصفران	مُعَصْفَر
معرض	مُعَرَّض,مُعَرِّض,مَعْرِض
معدن	مُعَدِّن,مَعَد-َ,مَعْدِن,مَعْدَن
معتمد	مُعْتَمِد,مُعْتَمَد
مظلمته	مَظْلِمَة,مُظْلِم
مطهرة	مَطْهَر,مَطْهَرَة,مُطَهِّر,مُطَهَّر
مطليا	NOTFOUND
مطلقة	مُطْلَق
مطرها	مَطِر,مَطَر
مطرت	مَطَر
مطبوخا	مَطْبُوخ
مطاعا	مُطّاع
مضطبعا	NOTFOUND
مضبة	NOTFOUND
مضار	مَضَرَّة
مضاجعهم	مُضاجِع,مَضْجَع
مصلانا	مُصَلَّى,مَصَل
مصفر	مُصْفَرّ,مُصْفِر,مُصَفِّر
مصعدة	مِصْعَد,مَصْعَد
مصعبا	NOTFOUND
مصدقي	مُصَدَّق
مصدع	NOTFOUND
مشيا	مَشَّى,مَشْي,مَشَى-ِ
مشهدا	مَشْهَد
مشمرا	مُشَمَّر,مُشَمِّر
مشمر	مُشَمَّر,مُشَمِّر
مشغولا	مَشْغُول
مشغول	مَشْغُول
مشركين	مُشْرِك
مشركي	مُشْرِك
مشاقص	NOTFOUND
مشافهة	مُشافَهَة
مشاش	NOTFOUND
مسيرا	مَسِير,مُسَيِّر,مُسَيَّر
مسندة	مُسْنَد,مِسْنَد
مسندا	مُسْنَد,مِسْنَد
مسلمهم	مُسْلِم,مُسَلَّم
مسلمتين	مُسْلِم,مُسَلَّم
مسكينة	مِسْكِين
مسكتان	مُسْكَة,مَسْكَة
مسروح	NOTFOUND
مسرف	مُسْرِف
مسحت	مَسَّح,مَسَح-َ
مستهل	مُسْتَهَلّ
مستنطقات	مُسْتَنْطِق
مستكره	NOTFOUND
مستفتيا	NOTFOUND
مستغفر	NOTFOUND
مستخلفكم	NOTFOUND
مستجمعا	NOTFOUND
مسافرا	مُسافِر
مساغا	مَساغ
مساحق	NOTFOUND
مسا	مَسّ,مَسّ-َ
مسئولات	مَسْؤُول
مزمار	مِزْمار
مزقه	مَزْق,مَزَق-ِ,مِزْقَة,مَزَّق
مزفت	NOTFOUND
مزرعة	مَزْرَع
مزررة	NOTFOUND
مزجت	مَزَج
مزارعه	مَزْرَع,مُزارَعَة,مُزارِع
مزادتين	NOTFOUND
مرية	مُرّ,مُرْيَة
مروها	مَرْوَة,مَرّ
مروطهن	NOTFOUND
مرماتين	NOTFOUND
مرقق	NOTFOUND
مرقة	مَرَق,مارِق,مَرَّق
مرفوعة	مَرْفُوع
مرضاكم	مَرِيض,مَرَض,مَرَّض
مردفين	NOTFOUND
مرحل	مُرَحِّل,مُرَحَّل
مرجت	NOTFOUND
مرجا	مَرَج,مَرْج
مرتان	مُرّ,مَرَّة
مربعا	مُرَبَّع,مَرْبَع
مربادا	NOTFOUND
مراق	مِرْقاة,مارِق
مرافقتك	مُرافَقَة,مُرافِق
مراة	مَرّ,مُرّ
مرابطا	مُرابِط
مذنب	مُذَنَّب,مُذْنِب
مذلة	مَذَلَّة,مُذِلّ,مَذِل-َ,مَذْل
مذكور	مَذْكُور
مدمن	مُدْمِن
مدلة	مُدِلّ,مُدَلَّه
مدقع	مُدْقِع
مدخلي	مَدْخَل,مُدْخَل
مدخلا	مَدْخَل,مُدْخَل
مدت	مَدّ,ماد-ِ
مخوصا	NOTFOUND
مخليا	NOTFOUND
مخضوبا	NOTFOUND
مخدج	NOTFOUND
مخبتا	مُخْبِت
محمية	مَحْمِيّ,مِحَمّ
محموما	مَحْمُوم
محلم	NOTFOUND
محقوقا	مَحْقُوق
محق	مَحْق,مُحِقّ,مَحَق-َ
محصور	مَحْصُور
محسن	مُحَسِّن,مُحْسِن
محرقا	مَحْرَق,مُحَرِّق,مُحْرَق
محدثة	مُحْدَث
محدثاتها	مُحْدَث
محبوسون	مَحْبُوس
محبب	مُحَبَّب
محامده	مَحْمَدَة
محاصر	مُحاصَر
مجيب	مُجِيب
مجوب	NOTFOUND
مجموعة	مَجْمُوع,مَجْمُوعَة
مجلود	NOTFOUND
مجلسها	مَجْلِس
مجلسك	مَجْلِس
مجرب	مُجَرَّب,مُجَرِّب
مجدعا	NOTFOUND
مجخيا	NOTFOUND
مجتمعين	مُجْتَمِع,مُجْتَمَع
مجالسكم	مَجْلِس
مج	مَجّ
مثليها	مِثْلِيّ
مثقالا	مِثْقال
مثرود	NOTFOUND
متوفي	مُتَوَفَّى
متوضئ	NOTFOUND
متها	مات
متم	مات
متقنعا	NOTFOUND
متقبلتان	NOTFOUND
متقاربين	مُتَقارِب
متفاضلا	NOTFOUND
متعوذا	NOTFOUND
متعنتا	مُتَعَنِّت
متعلقا	مُتَعَلِّق
متعتنا	مُتْعَة,مَتَّع,مَتَع-َ
مترسلا	NOTFOUND
متخشعا	NOTFOUND
متحريها	NOTFOUND
متبوعة	مَتْبُوع
متبعا	مُتَّبَع
مبيتهم	مَبِيت,مُبَيِّت
مبيت	مَبِيت,مُبَيِّت
مبلغا	مُبَلِّغ,مَبْلَغ
مبعوث	مَبْعُوث
مبرئي	NOTFOUND
مبدل	NOTFOUND
مبتلي	مُبْتَلّ,مُبْتَلَى,مُبْتَلِي
ماواه	NOTFOUND
مانوس	أَوْسَى
مالنا	مال
ماكلهم	NOTFOUND
ماكستك	ماكَس
ماشيتك	ماشِيَة,ماشَى,ماشِي
مارية	مارّ
مادام	مادام
مادا	ماد-ِ,مادّ
ماثرة	NOTFOUND
مائعا	مائِع
مائتا	مائِت,مِئَة
ماؤها	ماء
مؤمنات	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
مؤذنه	مُؤَذِّن
مؤثرة	مُؤَثِّر
ليهابون	NOTFOUND
لينه	وَنَى-ِ,نَها,يِن,لِين,لَيَّن,لَيِّن,نَهَى-ِ,أَنْهَى
لينصرف	ٱِنْصَرَف
لينزل	نَزَل-ِ,أَنْزَل,نَزَّل,نَزِل-َ
ليمسك	مَسَى,مَسَّك,مَسَّى,أَمْسَك,مَسَك,أَمْسَى,وَمَس-ِ,مَسّ-َ,ماس-ِ
ليليني	لَيَّن,وَلِي-ِ
ليلني	وَلِي-ِ,أَلان
ليلك	لاك,لَيْلَك,وَلِي-ِ,لَيْل,لَكّ
ليلقين	لَقِي-َ,أَلْقَى
ليكذب	كَذَب-ِ,أَكْذَب,كَذَّب
ليكتفون	NOTFOUND
ليقولن	NOTFOUND
ليعوده	عاد,عَوَّد
ليعدل	عَدَل-ِ,عَدَّل
ليضربه	ضَرَب,أَضْرَب,ضَرَّب
ليضحك	ضَحِك-َ,أَضْحَى,أَضْحَك,ضَحا,ضَحَّى,ضَحِي-َ
ليصدق	صَدَق,صَدَّق
ليشفي	أَشْفَى,شَفَى
ليشربن	أَشْرَب,شَرِب-َ,شَرَّب
ليشتروا	ٱِشْتَرَى,شَتَر-ِ
ليسمعون	NOTFOUND
ليستحل	ٱِسْتَحال,ٱِسْتَحَلّ,ٱِسْتَحْلَى
ليسال	أَسال
ليريه	وَرَى-ِ
ليردن	راد,رَدَن-ِ,أَراد,وَرَد-ِ
ليذكر	ذَكَر,أَذْكَر,ذَكَّر
ليدنو	دَنا
ليدعها	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
ليدخلوا	أَدْخَل,دَخَل
ليخيل	خَيَّل,أَخال
ليختمن	خَتَم-ِ
ليحنكه	حَنَّك,أَحْنَك,حَنَك-ُِ
ليجب	جَبَى-ِ,وَجَب-ِ,جَبَّى,جاب,جَبّ,أَجاب
ليتوضا	NOTFOUND
ليتمن	تَمَنَّى,يَتُم,يَتِم-َ,تام,يَتَم-ِ
ليتقدم	تَقَدَّم
ليتفصد	تَفَصَّد
ليتعشي	تَعَشَّى
ليتحلق	تَحَلَّق
ليتاهبوا	NOTFOUND
ليبدا	بَدّ
لياكله	أَكَل
لياخذها	أَخَذ
