لينوء	ناء
باني	آن,آنِيّ,بانِي,بِأَنَّ,أَنَى
بانسان	إِنْسان
بانا	آنا,أَنا,بِأَنَّ,بان-ِ
باليهود	يَهُودِيّ
بالهدي	هَدْي,هُدَى
بالموعظة	مَوْعِظَة
بالمكاره	مَكّار,مَكْرَه
بالمدائن	مَدائِن,مَدِينَة
بالكذب	كِذْب
بالقضاء	قَضاء
بالقدوم	قادِم,قَدُّوم,قُدُوم,قَدُوم
بالغرة	غِرَّة,غُرَّة
بالعربية	عَرَبِيَّة,عَرَبِيّ
بالطعام	طَعام
بالشمال	شَمال,شِمال
بالشفعة	شُفْعَة
بالدنيا	دُنْيا
بالدنانير	دِينار
بالجنازة	جِنازَة
بالجمل	جُمْلَة,جَمَل
بالجريد	جَرِيد
بالثوب	ثَوْب
بالثلج	ثَلْج
بالتوراة	تَوْراة
بالتسليم	تَسْلِيم
بالاغاليط	أُغْلُوطَة
بالاذان	أَذان,أُذُن
باعوه	أَعْوَه,باع-ِ
باعمالهم	عَمَل
باحسان	إِحْسان
بابها	آب,باب
بابراهيم	إِبْراهِيم
باباه	أَب,باب,آبِي
اينما	أَيْنَما
ايمانه	إِيمان,يَمِين
ايحب	NOTFOUND
اوقفه	وَقَّف,أَوْقَف
اهليهم	أَهْل,أَهْلِيّ,آهِل
اهد	هاد,أَهْدَى,هَدّ-ِ,هَدَى-ِ,هَدّ
اهتز	ٱِهْتَزّ
اهاجر	هاجَر
انيابه	ناب
انهاك	إِنْهاك,أَنْهَى,نَهَى-ِ
انكحتك	أَنْكَح
انفض	أَنْفَض,نَفَّض,نَفَض,ٱِنْفَضّ
انعمت	أَنْعَم
انتقم	ٱِنْتَقَم
انبئيني	NOTFOUND
انبئت	NOTFOUND
اناه	آن,أَنّ-ِ,أَناة,أَنَى-ِ,أَنَى
انازع	نازَع
امواتا	مَيِّت
املككم	مَلَك-ِ,أَمْلَك,مَلَّك
امض	وَمَض-ِ,أَمْضَى,مَضّ-َ,مَضَّى,مَضّ,أَمَضّ,مَضَى-ِ
امرين	أَمْر,أَمَرّ,آمِر
امتاه	أُمَّة,أَمات
امانة	أَمانَة,أَمان
الين	يِن,لَيَّن,أَلْيَن,آلَى,أَلان
الوهبي	NOTFOUND
الوجنتين	وَجْنَة
الوان	لَوْن,أَلْوان
الهيئة	هَيْئَة
الهوام	NOTFOUND
الهدبة	هَدِب
الهجري	هِجْرِيّ
النياحة	NOTFOUND
النقيع	نَقِيع
النعل	نَعْل
النحام	نُحام
النبيل	نَبِيل
المنكبين	مَنْكِب,مُنْكَبّ
المنابذة	NOTFOUND
المقبلة	مُقْبِل
المفطرون	مُفْطِر
المغفل	مُغَفَّل,مُغْفَل
المشعر	مَشْعَر
المرفق	مِرْفَق,مُرْفَق
المرسلة	مُرْسِل,مُرْسَل
المدري	مِدْرَى
المدح	مَدْح
المد	مَدّ
المتصدق	مُتَصَدِّق
المتبايعان	NOTFOUND
المبيت	مَبِيت,مُبَيِّت
اللهو	لَهْو
اللهعليه	NOTFOUND
اللتان	الَّذِي
الكي	كَيّ
الكور	كُورَة,كُور
الكفن	كَفْن,كَفَن
الكاتب	كاتِب
القيراط	قِيراط
القوها	أَلَق-ِ,أَلْقَى
القليب	NOTFOUND
القلائد	قِلادَة
القسطنطينية	قُسْطَنْطِينِيّ,قُسْطَنْطِينِيَّة
القدم	قَدُوم,قَدَم
الفلاس	NOTFOUND
الفروج	فَرُّوج,فَرْج
الفرع	فَرْع
الفداء	فِداء
الفارس	فارِس
الغيوب	غَيْب
الغيلاني	غَيْلانِيّ
الغيرة	غَيْرَة
الغمام	غَمام
الغافر	NOTFOUND
العظام	عَظْم,عَظِيم
العشور	عَشُور,عُشْر
العشرين	عُشْر,عِشْرُون
العزة	عِزَّة
العريان	عُرْيان
العروس	عَرُوس
العاقب	عاقِب
العارية	عارِي
الطيرة	طِيرَة,طَيْرَة
الطوسي	NOTFOUND
الضحك	ضَحْك
الضال	ضالّ
الصفي	صَفِيّ
الصحبة	صُحْبَة
الصاحب	صاحِب
الشهب	أَشْهَب,شَهَب,شِهاب
الشكال	شِكال
الشفاء	شِفاء
الشعيثي	NOTFOUND
الشعثة	شَعِث
الشروط	شَرْط
الشحام	NOTFOUND
السواق	سَوّاق
السواري	سارِيَة,سَوارِيّ
السكين	سِكِّين
السكك	سِكَّة
السكري	سُكَّرِيّ,سَكْران
السرايا	سَرِيَّة
السجن	سَجْن,سِجْن
الساق	ساق
الزعراء	أَزْعَر
الريبة	رِيبَة
الرهاوي	NOTFOUND
الرمضاء	رَمْضاء
الرعاء	راعِي
الرزي	NOTFOUND
الذود	ذَوْد
الدير	دَيْر
الدخ	NOTFOUND
الدجاجة	دَجاج
الخواتم	خاتَم
الخلود	خُلُود
الخريت	خِرِّيت
الحمو	حَم,حَمْو
الحمامات	حَمام,حَمّام
الحلي	حَلْي,حِلْيَة
الحلق	حَلْق,حَلَق
الحرقة	حُرْقَة
الحجري	حَجَرِيّ
الحجبي	NOTFOUND
الحبرة	حَبَرَة
الحبال	حَبْل
الحامل	حامِل
الحاكم	أَلَحّ,أَلْحَى,لَحَى,حاكِم
الجوزجاني	NOTFOUND
الجمال	جَمال,جَمّال,جَمَل
الجلب	جَلْب,جَلَب
الجرس	جَرَس,جَرْس
الجرار	جَرَّة,جَرّار
الجذعة	جَذَعَة
الجان	NOTFOUND
الجام	جام
التنور	تَنُّور
التمتع	تَمَتُّع
التكبيرة	NOTFOUND
التفسير	تَفْسِير
الترك	تَرْك,تُرْكِيّ
البيعة	بَيْعَة,بِيعَة
البويرة	بُوَيْرَة
البهيم	بَهِيم
البلاط	بَلاط,بَلاطَة
البث	لَبِث-َ,بَثّ
البائس	بائِس
الايتان	آيَة
الاولون	أَوَّل
الاميين	أُمِّيّ
الامصار	مِصْر
الامرين	أَمْر,أَمَرّ,آمِر
الالهاني	NOTFOUND
الاكمة	أَكَمَة,أَكْمَه,لاكَم
الاكثرون	NOTFOUND
الاشواط	شَوْط
الاشرف	أَشْرَف
الاشجعية	NOTFOUND
الاسم	ٱِسْم
الارملة	أَرْمَلَة
الاربعين	أَرْبَعُون,أَرْبَع
الاذنين	إِذْن,آذِن,أُذُن
الاحرام	إِحْرام,حَرَم
الاجير	أَجِير
اكفئوا	NOTFOUND
اكسكها	NOTFOUND
اكثركم	أَكْثَر,كَثَّر
اكبركم	كَبَّر,كَبَر,أَكْبَر
اقعد	قَعَد,أَقْعَد,قَعَّد
اقسط	قَسَّط,أَقْسَط,قَسِط-َ
اقراك	أَقَرّ
اقال	قال,أَقال
افلم	NOTFOUND
افعله	فَعَل-َ,أَفْعَل
افتلتت	NOTFOUND
افئدة	فُؤاد
اغفي	غَفِي-َ,أَغْفَى
اغزو	غَزا
اغثنا	أَغاث,غاث-ِ,غَثَى-ِ,أَغْثَى
اعنك	أَعان,عَنَى-ِ,عَنَّى,عَنا
اعلمنا	أَعْلَم,عَلِم-َ,عَلْمَن,عَلَّم
اعطيها	أَعْطَى
اعزل	أَعْزَل,عَزَل-ِ
اعرفه	عَرَّف,عَرَف-ِ,أَعْرَف
اعجبه	أَعْجَب,عَجَّب
اعتكافه	NOTFOUND
اعتقيها	NOTFOUND
اعتدل	ٱِعْتَدَل
اظهركم	أَظْهُر,أَظْهَر,ظَهَر-َ,ظَهَّر
اطعمني	أَطْعَم,طَعَّم,طَعِم-َ
اضيافك	NOTFOUND
اضاء	أَضاء
اصدقها	أَصْدَق,صَدَّق
اصابتهم	إِصابَة,أَصاب
اشهب	أَشْهَب
اشقر	أَشْقَر,شَقِر-َ,ٱِشْقَرّ
اشترت	ٱِشْتَرَى
اسمعيل	NOTFOUND
اسمعنا	سَمَّع,سَمِع-َ,أَسْمَع
استيقن	ٱِسْتَيْقَن
استووا	ٱِسْتَوَى
استنصت	NOTFOUND
استحللتم	ٱِسْتَحَلّ
استانس	NOTFOUND
اسبغوا	أَسْبَغ
اساوره	إِسْوار,ساوَر,سِوار
اسارير	أَسارِير
ارواح	رُوح,رِيح
ارفعه	أَرْفَع,رَفَع-َ,رَفَّع
ارضيتم	أَرْضَى
ارجلنا	رَجَّل,رِجْل,رَجِل-َ
ارب	أَرَب,أَرِب-َ,أَرَب-ِ,راب-ِ,آرَب,راب,أَرِب,أُرْب,أَراب,إِرْب,رَبّ,أَرْبَى,رَبا,رَبَّى
اذخر	ذَخَر-َ
اذانه	أَذان,أُذُن
اديم	أَدام,أَدِيم
ادعوك	ٱِدَّعَى,دَعا
اخوي	خَوَى-ِ,أَخَوِيّ,أَخ,خَوِي-َ
اخرجنا	خَرَّج,أَخْرَج
اخذتما	أَخَذ,آخَذ,أَخَّذ
اختناث	NOTFOUND
اخبرتكم	أَخْبَر
اخبارها	إِخْبار,أَخْبار,خَبَر
احوال	حال
احلي	أَحْلَى,حَلَى,حَلَّى,حَلِي-َ,حَلُو
احله	أَحَلّ,حَلَى,أَحال,حَلَّى,حَلِي-َ,حال,حَلُو,حَلّ
احصاها	أَحْصَى,أَحَصّ
احسنتم	أَحْسَن
احدثهم	حَدَث,أَحْدَث
احتلم	ٱِحْتَلَم
احتلام	NOTFOUND
احتبس	ٱِحْتَبَس
اجنبت	NOTFOUND
اجنب	جَنَب,جَنَّب
اجلسكم	أَجْلَس
اجساد	جَسَد
اجتمعن	ٱِجْتَمَع
اثاركم	أَثَر,أَثار
اثاثة	أَثاث,أَثاثَة
اتوب	تاب,تَوَّب
اتهموا	ٱِتَّهَم
اتقاهم	ٱِتَّقَى,أَتْقَى
اتطهر	تَطَهَّر
اتزوجت	NOTFOUND
اتخذها	ٱِتَّخَذ
اتالفهم	NOTFOUND
ابيتم	أَبَى-َ
ابواه	أَب
ابهامه	إِبْهام
ابنيه	ٱِبْن,بَنَى-ِ,بِناء
ابنتك	ٱِبْن,أَبان,أَبَّن
ابقيت	أَبْقَى
ابرت	أَبَرّ,أَبار,أَبَّر,أَبَر-ُِ
ابدان	أَبَد,بَدَن
ابتاعي	NOTFOUND
ائمة	إِمام
اؤتمن	NOTFOUND
يوهب	أَوْهَب,وَهَب-َ
يومان	يَوْم
يوجف	أَوْجَف
يوافق	وافَق
يهراق	NOTFOUND
يهبط	أَهْبَط,هَبَط
ينهيانكم	نَهَى-ِ,أَنْهَى
ينفل	NOTFOUND
ينظروا	نَظَر
ينصر	نَصَر,نَصَّر
ينشدنك	نَشَد,أَنْشَد
ينشئ	أَنْشَأ,نَشَّأ
ينسي	نَسِي-َ,أَنْسَى
ينسلخ	ٱِنْسَلَخ
ينتعل	ٱِنْتَعَل
يناولوه	ناوَل
يناوله	ناوَل
يناله	نال-َ
يمهل	مَهَل-َ,أَمْهَل,مَهَّل
يمن	يَمَن,يَمِن-َ,مَنَى-ِ,مَنّ,أَمَنّ,مَنا,يُمْن,يَمُن,يَمَّن,مَنَّى
يمضه	وَمَض-ِ,أَمْضَى,مَضَّى,مَضّ,أَمَضّ,مَضَى-ِ
يلهمون	أَلْهَم,لَهِم-َ
يكنه	كَنا,كَنَى-ِ,كَنَّى,كَنّ-ِ,كان,أَكَنّ
يكلمني	كَلَّم
يكفوا	وَكَف-ِ,كَفّ,كَفَى-ِ
يكسب	كَسَب-ِ,كَسَّب,أَكْسَب
يقلبه	قَلَب-ِ,قَلَّب
يقصروا	قَصُر,قَصَر-ِ,قَصَّر,قَصَر,أَقْصَر
يقتدي	ٱِقْتَدَى
يفلح	فَلَح-َ,أَفْلَح
يفقهه	فَقِه-َ,أَفْقَه,فَقَّه
يفرقون	فَرَق,فَرَّق
يفترش	ٱِفْتَرَش
يفتر	فَتَر,فَتَّر,ٱِفْتَرّ,أَفْتَر,ٱِفْتَرَى
يغسلوا	غَسَل-ِ,غَسَّل
يعين	أَعان,عَيَّن,وَعَى-ِ
يعودونه	عاد,عَوَّد
يعملوها	عَمِل-َ,أَعْمَل
يعفه	عاف,عَفّ-ِ,عَفَّى,عاف-ِ,عَفا,أَعْفَى
يعصهما	عَصَى-ِ,عَصّ-َ
يعرضه	أَعْرَض,عَرَض-ِ,عَرَّض
يعذبه	عَذَب-ِ,عَذَّب,أَعْذَب
يعجبني	أَعْجَب,عَجَّب
يعب	عَبا,عَبَّى,وَعَب-ِ,عَبّ,عاب-ِ
يظلهم	أَظَلّ,ظَلّ-َ
يطعنها	طَعَن-َ,أَطاع,طاع
يطعمه	أَطْعَم,طَعَّم,طَعِم-َ
يطا	NOTFOUND
يضيفوهما	أَضاف
يضعن	ضاع-ِ,وَضَع,أَضاع,ضاع
يضعفان	أَضْعَف,ضَعَّف,ضَعُف
يضربن	ضَرَب,أَضْرَب,ضَرَّب
يصفر	صَفَر-ِ,أَصْفَر,ٱِصْفَرّ,صَفَّر
يصف	صَفا,صَفَّى,أَصْفَى,صَفّ,وَصَف-ِ,يَصْف
يشهدها	شَهِد-َ,أَشْهَد
يشمت	أَشْمَت,شَمَّت,شَمِت-َ
يشكر	شَكَر
يشتمل	ٱِشْتَمَل
يشب	شَبّ-ِ,شَبّ,أَشاب,شاب,يَشْب,شاب-ِ
يسمونها	وَسَم-ِ,سَمّ,سَمَّى,أَسْمَى,سَما
يسقيه	أَسْقَى,سَقَى-ِ
يسعون	سَعَى-َ,وَسِع-َ
يسره	يَسْرَة,يَسَّر,يُسْر,سار-ِ,سَرَى-ِ,سَرَّى,أَسار,أَسَرّ,سَرّ,أَسْرَى
يسرد	سَرَد,سَرَّد
يسرا	يَسَّر,يَسِر-َ,يُسْر,أَسَرّ,سَرّ,يَسُر
يستهموا	NOTFOUND
يستن	ٱِسْتَنّ
يستغفروا	ٱِسْتَغْفَر
يستظل	ٱِسْتَظَلّ
يسترني	سَتَر,سَتَّر
يستر	سَتَر,سَتَّر
يستجب	ٱِسْتَجاب
يستثني	ٱِسْتَثْنَى
يسبق	سَبَّق,سَبَق-ُِ
يسبغ	أَسْبَغ,سَبَغ-َُ
يزوج	زَوَّج
يزنون	وَزَن-ِ,زَنّ,زَنَى-ِ
يزاد	زاد-ِ,أَزاد
يريم	رَيَّم,رام-ِ
يروح	راح,رَوَّح,أَرْوَح
يرمونها	رَمَى-ِ,رَمّ
يرغب	رَغِب-َ
يرعي	أَرْعَى,يَرَع,رَعَى-َ
يرعني	أَرْعَى,راع,أَراع,رَعا,رَعَن,راع-ِ,رَعَى-َ
يردوا	رَدِي-َ,رَدَّى,رَدّ,أَرْدَى,وَرَد-ِ
يرجعها	أَرْجَع,رَجَّع,رَجَع-ِ
يرتع	ٱِرْتَعَى,ٱِرْتاع
يرائي	راءَى
يذوب	ذاب,ذَوَّب
يدنو	دَنا
يدعه	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
يخلقني	أَخْلَق,خَلَق,خَلَّق
يخلص	خَلَص,أَخْلَص,خَلَّص
يخفضهم	خَفَّض,خَفَض-ِ
يخرص	خَرَص
يخرجها	خَرَّج,أَخْرَج
يخرب	أَخْرَب,خَرِب-َ,خَرَب-ِ,خَرَّب
