واتوب	تاب,تَوَّب
حائطا	حائِط
جهد	جَهْد,جُهْد,جَهَد-َ
جملك	جَمَّل,جُمْلَة,جَمَل
ثيابها	ثَوْب
تنبت	نَبَّت,نَبَت,أَنْبَت,ٱِنْبَتّ
تقرب	قَرَّب,تَقَرَّب,قَرِب-َ,تَقَرُّب,قَرُب
تغفر	غَفَر,غَفَّر
تستامر	NOTFOUND
تستاذن	NOTFOUND
تحريم	تَحْرِيم
بمالي	مالِيّ,مالِي,مال
بمال	مال
بلبن	لِبْن,لَبِنَة,لَبَن
بقضاء	قَضاء
بعيري	بَعِير,عَيْر
بعرق	عَرَق,عِرْق
بعرفات	عَرَفات
بطريق	بِطْرِيق,طَرِيق
بصرة	بَصِر-َ,بَصَّر,بَصُر,بَصْرَة,بَصَر,صُرَّة
بصدقته	صَدَقَة
بايعنا	بايَع
بالصواب	صَواب
بالثلث	ثُلْث
باحدي	أَحَد,أَحَدّ
انكسفت	ٱِنْكَسَف
انطلقنا	ٱِنْطَلَق
انصاف	نِصْف,إِنْصاف
انتصف	ٱِنْتَصَف
امراء	أَمِير
الوقت	وَقْت
الوسيلة	وَسِيلَة
النوفلي	NOTFOUND
النائم	نائِم
المصيصي	NOTFOUND
المستحاضة	NOTFOUND
الكوثر	كَوْثَر
الكرم	كَرَم,كَرْم
القصعة	قَصْعَة
القرية	قَرْيَة,قَرِيَّة
القائل	قائِل
العمد	عِماد,عُمْدَة,عَمْد
العطش	عَطَش,عَطِش
الصدقات	صَدَقَة
الشامي	شامِيّ
الدينار	دِينار
الحدثان	حَدَث,حِدْثان
الحبلة	NOTFOUND
الجمار	جُمّار
الجراد	جَراد
الثور	ثَوْر
الثمرة	ثَمْر
الثمار	ثَمَر
البتع	NOTFOUND
الباس	إِلْباس
البارقي	NOTFOUND
الاسرة	أُسْرَة,سُرّ
اقصي	قَصِي-َ,أَقْصَى
افرايت	NOTFOUND
اغنياء	غَنِيّ
اعقابهم	عُقْب
اظلم	ٱِظَّلَم,أَظْلَم,ظَلَم-َِ
اطعمه	أَطْعَم,طَعام,طَعَّم,طَعِم-َ
اسناد	إِسْناد,سَنَد
اسن	سَنَّى,سَنا,آسِن,أَسِن-َ,أَسَنّ,سَنّ
اسفلها	أَسْفَل
اسر	أُسْرَة,أَسَر-ِ,سَرَى-ِ,سَرَّى,سار-ِ,أَسار,أَسَرّ,سَرّ,أُسْر,أَسْر,أَسْرَى
ارحم	رَحَّم,رَحِم-َ
احمل	أَحْمَل,حَمَل-ِ,حَمَّل
احفظه	حَفِظ-َ,أَحْفَظ
احجار	حَجَر
يملا	مَلّ-َ,أَمَلّ
يقنت	يَقِن-َ,قَنَت
يقصر	قَصُر,قَصَر-ِ,قَصَّر,قَصَر,أَقْصَر
يعرفها	عَرَّف,عَرَف-ِ
يصيبه	أَصاب
يسقون	وَسَق-ِ,أَسْقَى,سَقَى-ِ
يستجاب	ٱِسْتَجاب
يرخص	أَرْخَص,رَخَّص,رَخُص
يرتحل	ٱِرْتَحَل
يراها	رَأَى-َ
يدركه	أَدْرَك,دَرَّك
يحاسب	حاسَب
يتنفس	تَنَفَّس
يتقي	ٱِتَّقَى,تَقَى-ِ
يبع	باع-ِ,أَباع,بيع
يامره	أَمَر
ياكلون	أَكَل
وينظر	نَظَر
ونافع	نافِع
ولدا	وَلَد-ِ,وَلَد,وَلَّد,أَلَدّ,لِدّ,لَدّ
وكلكم	كُلّ,وَكَّل,لَكْم,وَكَل-ِ
وكفنوه	كَفَن-ِ,كَفَّن
وفيهم	فِي,وَفِيّ
وعشرة	عِشْرَة,عَشَّر,عُشْر,عَشَر,عَشْر
وعزتك	عَزَى-ِ,عَزَّى,عَزا,عِزَّة,عاز
وشعيب	شُعَيْب,شَعِيب
وراد	راد,وارِد
وتكون	وَكَى-ِ,تَكَوَّن,كان,كَوَّن
وبيع	بَيْع,بيع
واهلي	أَهْل,أَهْلِيّ,آهِل
وانذر	نَذَر,أَنْذَر,نَذِر-َ
واناء	أَناء,نَأْي,إِناء,أَنَى
وامرني	مار,مار-ِ,أَمَّر,مَرَّن,أَمَرّ,مَرّ,أَمار,آمَر,أَمَر
والورق	وَرَق
والعباس	عَبّاس
والصدقة	صَدَقَة
والزكاة	زَكاة
والايمان	أَيِّم,إِيمان,يَمِين
واجله	آجِلَة,أَجْل,جَلا,أَجَّل,أَجْلَى,جَلَى-ِ,جال,آجِل,جَلَّى,أَجَلّ,أَجال,أَجَل
هرة	هِرَّة,هِرّ,هَرّ-ِ
نواصيها	ناصِيَة
نمرة	مار,نَمِر,مار-ِ,نِمْرَة,أَمَرّ,نَمَّر,أَنْمَر,مَرّ,أَمار,نُمْرَة
نم	نَمّ
نكون	كان,كَوَّن
نفعل	فَعَل-َ
ندخل	أَدْخَل,دَخَل
نبهان	نَبِه
ميسر	مَيْسِر,مُيَسَّر
موقف	مَوْقِف,مُوَقَّف
منجاب	NOTFOUND
منامه	مَنامَة,مَنام
مكتوبة	مَكْتُوب
مقامه	مَقامَة,مَقام,مِقَمَّة,مُقام
مسيلمة	NOTFOUND
مسنة	مِسَنّ,مُسِنّ,ماس-ِ
مسالة	مَسْأَلَة,مِسَلَّة
مائتين	مائِت,مِئَة
مؤمنة	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
للمهاجرين	مُهاجِر
لقيته	لَقِي-َ,لُقْيا
لاحدكم	أَحَد,أَحَّد,أَحَدّ,حَدّ
لابره	أَبَرّ,إِبْرَة,أَبَّر,أَبَر-ُِ
لابراهيم	إِبْراهِيم
كسوف	كُسُوف
قيمة	قِيمَة,قَيَّم,قَيِّم
قليب	NOTFOUND
قلوبكم	قَلُوب,قَلْب
قلتها	قَلا,قال,قُلَّة,قِلَّة,قَلَى-ِ,قَلَّة
قفاه	قَفا,قَفاً,قَفَّى
قرون	قَرْن,قَرا
قرنا	قِرْن,قَرْن,قَرَن-ِ,قَرّ-َِ,قُرْنَة,قَرّ
قتلهم	قَتَل,قَتَّل,قَتْل
قبلت	قَبَّل,قَبِل-َ
فيقولان	قال
فيقرا	أَقَرّ,قَرّ-َِ,وَقَر-ِ
فيشرب	أَشْرَب,شَرِب-َ,شَرَّب
فيخرج	خَرَج,خَرَّج,أَخْرَج
فيحسن	حَسَّن,حَسُن,أَحْسَن
فيجئ	جاء
فنهي	نَهْي,وَهَى-ِ,نُهَى,نَهَى-ِ
فليراجعها	راجَع
فقرب	قِراب,قُرْب,قِرْبَة,قَرَّب,قَرِب-َ,قَرُب,قُرْبَ
فضلا	فَضَل,فَضْل,ضَلّ,فَضَّل
فصمت	صَمّ,صَمْت,فَصَم-ِ,صام,صَمَت,صَمِت,صَمَّت
فصاح	فَصِيح,صاح-ِ,صاحِي
فسقط	سَقْط,سُقْط,سَقَط
فسالنا	سال-ِ,وَلِي-ِ,أَلان
فزعا	فَزَع,فَزِع-َ,فَزِع,فَزَّع
فدعوت	دَعا
فدعاهم	دَعّ-َ,دَعا
فانتهي	ٱِنْتَهَى
فانتزع	ٱِنْتَزَع
فالله	اللّٰه
فاقدروا	NOTFOUND
فاصيب	أَصاب
فاشهد	شَهِد-َ,أَشْهَد
فاجلدوها	أَجْلَد
فاتموا	أَتَمّ
غلامك	غُلام
غطفان	NOTFOUND
عودا	عُود,عَوَّد,عَوْد
عميرة	عُمَيْر
عمرتي	عُمْرَة
عكيم	NOTFOUND
عكل	NOTFOUND
عقدة	عِقْد,عَقْد,عُقْدَة,عَقَّد,عَقَد-ِ
عصا	عَصّ,عَصاً,عَصّ-َ
عشيرتك	عَشِيرَة,عَشِير
عسال	عَسّال
عرس	عَرَّس,عُرْس
ظله	ظِلّ,ظُلَّة,ظَلّ-َ
صواحب	NOTFOUND
صف	صَفّ
صدقتك	صَدَقَة,صَدَّق
صار	صار,صارِي
سنه	وَهَى-ِ,سِنّ,سُنَّة,سَنَة,سَنّ
سمعتها	سَمَّع,سَمِع-َ,سُمْعَة
سحاب	سَحاب,سَحّاب
زمرة	زَمَّر,زُمْرَة,زَمْر,زَمَر
ريحانة	رَيْحان
رقيق	رَقِيق
رضينا	رَضِيّ,رَضّ,رَضَّى,رَضِي-َ
ردها	رَدّ
دونك	دُونَ,دَوَّن,دُون
دعه	وَدَع-َ,دَعَة,دَعّ-َ
دابته	دابَّة
خيره	خَيِّر,خَيْر,خِيرَة,خَيْرَة,خَيَّر
خياركم	خَيْر,خِيار
خلاف	خِلاف
خضر	خَضَّر,خَضِر,خَضِر-َ,خُضْرَة,خُضْر
خروج	خُرُوج
خرشة	NOTFOUND
خر	خَرّ,خَرّ-ُِ,خُر
خداج	خِداج
خبات	خَبّ
خباء	خِباء
حسب	حَسْبُ,حَسْبَ,حَسْب,حَسَب,حَسِب-ِ,حَسُب
حرا	حُرّ,حَرّ
حبست	حَبَس-ِ
حبس	حَبْس,حَبَس-ِ,حِبْس
حاجتك	حاجَة,حاجّ,حاجَى
حائضا	حائِض
جهضم	NOTFOUND
جنبي	جَنْب,جَنْبَ,جَنْبِيّ
جعشم	NOTFOUND
جذع	جَذَع,جِذْع
جبارة	جِبارَة,جَبّار
ثابتا	ثاب,ثابِت
تنزيل	تَنْزِيل
تلقوا	لَقِي-َ,تَلَقَّى,أَلْقَى
تقطر	قَطَر,تَقَطَّر,قَطَّر
تقام	أَقام
تطيق	أَطاق
تصبر	صَبَّر,تَصَبَّر,صَبَر-ِ
تصبح	أَصْبَح,صَبَّح
تزوجني	زَوَّج,تَزَوَّج
تروا	وَرَى-ِ,رَأَى-َ
ترمي	رَمّ-ِ,وَرِم-ِ,رَمَى-ِ,رَمّ
تدعو	دَعا
تخمروا	أَخْمَر,خَمَّر,خَمَر,تَخَمَّر
تحرك	حَرَّك,أَحار,أَحْرَى,حَرَى,تَحَرُّك,تَحَرَّك,حار
تجوز	جاز,جَوَّز,تَجَوَّز
تجزئ	جَزَّأ
تجدوا	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جَدّ-ِ
تؤدي	أَدّ,أَدَّى
بغلة	غُلّ,غِلّ,بَغْل,غَلَّة
بصيام	صائِم,صِيام
بريئة	بَرِيء
برجله	رَجُل,بَرْجَل,رِجْل
بدينار	دِينار
بحق	حَقّ
بحجة	حِجَّة,حُجَّة,حَجّ
بامراته	آمِر
بالورق	وَرَق
بالنساء	نَسّاء,نِساء,نَساء
بالموت	مَوْت
بالكعبة	كَعْبَة
بالغداة	غَداة
باقامة	إِقامَة
اوما	أُوم
اوليس	لَيْسَ
اولا	أَوَّل
اوجبت	أَوْجَب
انتهينا	ٱِنْتَهَى
انبيائهم	نَبِيّ
امهات	أُمّ
امامه	أَمامَ,إِمام,أَمام,إِمامَة
امارة	أَمّار,إِمارَة,مارَى,أَمار,أَمارَة
النهر	نَهْر,نَهار
المملوك	مَمْلُوك
الملح	مُلِحّ,مِلْح,مُلْحَة
المعروف	مَعْرُوف
المساكين	مِسْكِين
المزارع	مَزْرَع,مُزارِع
القراء	قارِئ
الفرق	فَرْق,فِرْقَة
العهد	عَهْد
العدل	عَدْل
العائد	عائِد
الصنابحي	NOTFOUND
الصفرة	صَفْرَة,صُفْرَة
الصداق	صَداق
الشيب	أَشْيَب,شَيْب
السمط	سِمْط,سِماط
السدس	سُدْس
الزرقاء	زَرْقاء,أَزْرَق
الرفق	رِفْقَة,رِفْق
الربع	رَبْع,رُبْع
الحساب	حِساب
الجمع	جَمْع
الجسد	جَسَد
الجزار	جَزّار
الباطل	باطِل
البائع	بائِع
الاربعة	أَرْبَع
الاخضر	أَخْضَر
الاجلح	أَجْلَح
اقواما	قَوْم
اقتلوه	NOTFOUND
اغسل	غَسَل-ِ,غَسَّل
اعطيه	عَطاء,أَعْطَى
اعبد	عَبَد,عَبَّد
اصغر	أَصْغَر,صَغَّر,صَغُر
اصبنا	صَبّ,وَصَب-ِ,أَصاب,صَبَّن,صَبا,صَبِي-َ,صَبّ-َ,صَبَّى
اصابني	أَصاب
اشراط	شَرَط
اراها	رَأَى-َ
اخلف	خَلَف,أَخْلَف,خَلَّف
اثارهما	أَثَر,أَثار
ابوها	آب,أَب,آبِي,أَبّ,أَبَى-َ
يومها	يَوْم
يوصي	وَصَّى,أَوْصَى
ينتهي	ٱِنْتَهَى
يمتلئ	ٱِمْتَلَأ
يلقاه	لَقِي-َ
يقوله	قال
يفرض	فَرَض-ِ
يعملها	عَمِل-َ,أَعْمَل
يعطيني	أَعْطَى
يصرف	صَرَف-ِ,صَرَّف
يريدون	أَراد
يرويه	أَرْوَى,رَوَى-ِ,رَوَّى
يديها	يَد,وَدَى-ِ
يدعوه	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
يدر	دَرَى-ِ,أَدْرَى,أَدار,أَدَرّ,دَرّ-ُِ,دار
ويكني	وَكَى-ِ,كَنَى-ِ,كَنَّى
ويكره	كَرِه-َ,كَرُه,كَرَّه,أَكْرَه,كَرّ,كَرا,كَرِي-َ,كَرَى-ِ,أَكْرَى
ووكاءها	وِكاء
وها	ها
ونعم	نَعَّم,نَعُم,نَعِم-َ,نِعْم,عَمِي-َ,عَمّ,نَعَم-َُ,عَمَّى,عام,نِعْمَة,أَعْمَى,نَعَم
وماذا	ماذا
وقدم	قَدِم-َ,قَدَم,قَدُوم,قَدَّم
وعقد	عِقْد,عَقْد,عُقْدَة,عَقَّد,عَقَد-ِ
وعده	عَدّ,عُدَّة,عِدَة,وَعْد,وَعَد-ِ,عِدَّة
وضوئي	وُضُوء,ضَوْئِيّ,ضَوْء
وصلاته	وُصْلَة,صَلاة,صِلَة
وشيبة	أَشْيَب,شَيْب,شَيَّب,شَيْبَة,شِيبَة
وشهد	شَهِد-َ
وشرابه	شُرّابَة,شَرّاب,شَراب,شُرّاب
وذكوان	NOTFOUND
وحط	حَطّ
وجاءت	جاء
وتقيم	قَيَّم,أَقام
وتقليم	تَقْلِيم
وبها	وَبَه-َ,بِ,وَبْه
وبرة	وَبَر,بِرّ,بَرّ,بُرّ,وَبِر
وبر	بَرّ-ِ,وَبَر,بَرّ,بِرّ,بُرّ,وَبِر,وَبِر-َ
واهدني	أَهْدَى,هَدَى-ِ,هَدَن-ِ,هَدّ,هَدَّن
واليد	يَد
والمسور	مُسَوَّر
والمسلمون	مُسْلِم
والماشي	ماشِي
والرطب	رَطْب,رُطَب
والذكر	ذِكْر,ذَكَر
والحمار	حَمّار,حِمار
والبر	بُرّ,بِرّ,بَرّ
والامر	أَمْر,أَمَرّ,آمِر
واطيعوا	NOTFOUND
واحتج	ٱِحْتَجّ,ٱِحْتاج
هناك	هُناكَ
نهض	نَهْض,هَضّ,نَهَض-َ,هاض-ِ
نملة	مَلَّى,نَمْل,نَمِل,أَمْلَى,نَمْلَة,أَمَلّ,نَمَل,مَلا,نَمِل-َ
نعامة	نَعام
نسال	أَسال
نزول	نَزْل,نُزُول,زَوَّل,زال
نرجع	أَرْجَع,رَجَّع,رَجَع-ِ
ميراث	مِيراث
مكتوب	مَكْتُوب
مكانا	مَكان
مغافير	NOTFOUND
معقود	مَعْقُود
مسجدي	مَسْجِد
مساور	NOTFOUND
مالها	مال
ماعز	ماعِز
ماشيا	ماشَى,ماشِي
ليعذب	عَذَب-ِ,عَذَّب,عَذُب,أَعْذَب
لون	لَوْن,وَنّ-ِ,وَنّ,لَوَّن
لوددت	وَدّ-َ
للقران	قِران
