بحلالك	حَلال
اوجبه	وَجَّب,أَوْجَب
اوثقتها	أَوْثَق
اوثرهم	آثَر
اوثبته	أَوْثَب
اوثانهم	وَثَن
اوتيكم	NOTFOUND
اوتهب	NOTFOUND
اوتنادي	NOTFOUND
اوتك	آوَى,أَوَّى,أَوَى-ِ
اوتفعلون	NOTFOUND
اوتعافيني	NOTFOUND
اوتطيق	NOTFOUND
اوتستطيع	NOTFOUND
اوتري	NOTFOUND
اوتدري	NOTFOUND
اوبلغت	NOTFOUND
اوبقت	أَوْبَق
اوباشا	وَبَش,أَوْباش
اوبا	أَوْب,أَوَّب
اواهم	أَوَّى,آوَى,أَوَى-ِ
اوانيه	إِناء
اوامر	أَمْر
اواصل	واصَل
اواجب	NOTFOUND
اهيم	هَيَّم,هام-ِ
اهيل	أَهال,هَيَّل,هال-ِ
اهيب	هَيَّب,أَهاب
اهوله	هال,هَوَّل
اهمتهم	أَهَمّ
اهلوهم	أَهْل,أَهَلّ,آهِل
اهلون	أَهْل,آهِل
اهلله	أَهَلّ,هَلَّل,هَلّ-ِ
اهلكوه	أَهْلَك
اهلكها	أَهْلَك,هَلَّك,هَلَك
اهلكه	أَهْلَك,هَلَّك,هَلَك
اهلكني	أَهْلَك,هَلَّك,هَلَك
اهلكن	أَهْلَك,أَهال,هال-ِ,هال,أَهْل,أَهَلّ,هَلّ-ِ,آهِل
اهلالكم	NOTFOUND
اهزا	NOTFOUND
اهريقت	NOTFOUND
اهرول	هَرْوَل
اهرقوها	أَهْرَق
اهذا	NOTFOUND
اهدينا	هَدَى-ِ,أَهْدَى
اهدوا	أَهْدَى
اهدها	هَدَى-ِ,هَدّ,أَهْدَى
اهدمه	هَدَّم,هَدَم-ِ
اهدرها	أَهْدَر,هَدَر-ِ
اهدتها	أَهْدَى
اهداهن	أَهْدَى
اهجوا	NOTFOUND
اهج	هَجَّى,هاج-ِ,هَجا,هَجّ,وَهَج-ِ,أَهاج
اهتمامك	ٱِهْتِمام
اهتم	ٱِهْتَمّ,آه,أَهْتَم
اهاويل	NOTFOUND
اهان	أَهان
اهاليهم	أَهْل
اهاليكن	أَهْل
اهؤلاء	NOTFOUND
انيتنا	آنِيّ,إِناء,أَنَى-ِ
انيب	أَناب
انواع	نَوْع
انهوا	أَنْهَى
انههن	نَها,أَنْهَى,نَهَى-ِ
انهمكوا	ٱِنْهَمَك
انهكوا	أَنْهَك
انهزمتم	ٱِنْهَزَم
انهدوا	ٱِنْهَدّ
انني	إِنَّ,أَنَّ,أَنّ-ِ,وَنَى-ِ,آن
اننطلق	NOTFOUND
انملته	NOTFOUND
انملة	نَمِل-َ
انمتموه	أَنام
انماع	ٱِنْماع
انم	أَنْمَى,نَمّ,نَما,نَمَى-ِ,نَمَّى,أَنام,نام-َ
انله	أَنال,نال,نال-َ
انلقيه	NOTFOUND
انكي	آنُك,أَنْكَى,نَكَى-ِ
انكفئ	ٱِنْكَفَأ
انكشافا	ٱِنْكِشاف
انكساف	ٱِنْكِساف
انكروها	أَنْكَر
انكرناه	أَنْكَر
انكرتم	أَنْكَر
انكحنيها	NOTFOUND
انكحا	أَنْكَح
انكتب	ٱِنْكَتَب
انكاسها	NOTFOUND
انقوا	آنَق,أَنْقَى,أَنِق-َ
انقني	نَقّ-ِ,آنَق,نَقَّى,أَنْقَى,نَقِي-َ
انقمع	NOTFOUND
انقلبوا	ٱِنْقَلَب
انقلبن	ٱِنْقَلَب
انقطعه	NOTFOUND
انقضيه	ٱِنْقَضَى
انقضين	ٱِنْقَضَى
انقضها	أَنْقَض,ٱِنْقَضَى,ٱِنْقَضّ,نَقَض
انقصاما	NOTFOUND
انقذكم	نَقَذ,أَنْقَذ
انقذتك	أَنْقَذ
انقبضت	ٱِنْقَبَض
انقال	NOTFOUND
انقابها	نَقْب
