غارت	غار
باطنان	باطِن,طُنّ,طَنّان
باصحاب	صاحِب
باسلامي	إِسْلام,إِسْلامِيّ
باسفل	أَسْفَل
باسط	باسِط,باسَط
بازل	أَزَل
بارضنا	أَرْض
باذخر	NOTFOUND
باحدهما	أَحَد,أَحَدّ
باحدكم	أَحَد,أَحَدّ
باحب	أَحَبّ
باجل	أَجْل,آجِل,أَجَلّ,أَجَل
باجر	أُجْرَة,أَجْر
بابنه	ٱِبْن
بابصارهم	إِبْصار,أَبْصار
ايهدي	NOTFOUND
اينقص	NOTFOUND
ايتين	آيَة
ايتها	أَيّ,أَيُّها,آيَة
ايامنني	NOTFOUND
ايامكم	يَوْم
اولهما	وَلَّى,أَوَّل,أَوْلَى
اولاهن	أَوَّل,أَوْلَى
اوقفوه	أَوْقَف
اوقع	أَوْقَع,وَقَّع,وُقِّع
اوقظهما	أَيْقَظ,وَقَّظ
اوقظه	أَيْقَظ,وَقَّظ
اوقدت	أَوْقَد
اوفر	أَوْفَر,وَفَّر,وَفُر
اوصاه	أَوْصَى
اوص	وَصَّى,أَوْصَى
اوسطهم	وَسَّط,أَوْسَط
اوساخ	وَسَخ
اوجه	وَجَّه,أَوْج
اوجعتني	أَوْجَع
اواه	أَوَّه,أَوَى-ِ,أَوَّى,آوَى
اهي	وَهَى-ِ
اهلكك	هَلَّك,هَلَك,أَهْلَك
اهلكتهم	أَهْلَك
اهلت	أَهال,أَهَلّ
اهكذا	هٰكَذا
اهدنا	أَهْدَى,هَدَى-ِ,هَدَن-ِ,هَدّ,هَدَّن
اهجهم	هَجا,وَهَج-ِ,هَجّ,أَهاج,هَجَّى
اهب	هاب-َ,هَبا,أَهاب,أَهَبّ,أَهَّب,وَهَب-َ,إِهاب,أُهْبَة,هَبّ
انيسا	أَنِيس
انوسلم	NOTFOUND
انهزم	ٱِنْهَزَم
انمار	نَمِر
انكحت	أَنْكَح
انقلبتم	ٱِنْقَلَب
انقاهما	آنَق,أَنْقَى
انفقه	نَفَّق,أَنْفَق,نَفَق
انفذ	نَفَذ,أَنْفَذ,نَفَّذ
انفجنا	نَفَج
انفث	نَفَث
انطلقا	ٱِنْطَلَق
انضخ	NOTFOUND
انصلي	نَصْل
انصرك	نَصَر,نَصَّر
انزعها	نَزَّع,نَزَع-ِ
انجز	نَجَّز,أَنْجَز,نَجِز-َ,نَجَز
انتهت	ٱِنْتَهَى
انتمي	ٱِنْتَمَى
انتفع	ٱِنْتَفَع
انتشرت	ٱِنْتَشَر
انتزاعا	ٱِنْتِزاع
انتبذ	ٱِنْتَبَذ
انباط	نَبَطِيّ
انالله	NOTFOUND
اناخبره	NOTFOUND
اميره	مار-ِ,أَمِير,أَمار
اميرنا	مار-ِ,أَمِير,أَمار
اموالا	مال
امهاتهم	أُمّ
امنة	مَنَى-ِ,مَنّ,مَنا,أَمَنّ,آمَن,أَمْن,آمِنَة,أَمَّن,آمِن,مَنَّى
امله	مَلَّى,أَمَل-َ,آمِل,أَمْلَى,أَمَلّ,أَمَّل,أَمَل,مَلا
املا	أَمَل-َ,آمِل,أَمَلّ,أَمَّل,أَمَل
امشاطهم	مِشْط
امسيتم	أَمْسَى
امسوا	أَمْسَى
امرتم	أَمَّر,أَمار,آمَر,أَمَر
امتعتنا	مَتاع,أَمْتَع
امت	آم-ِ,مَتّ,أَمات,مات
امامنا	إِمام,أَمامَ,أَمام
اماطة	أَماط
اليست	لَيْسَ
الويل	وَيْل
الوكيعي	NOTFOUND
الوكت	NOTFOUND
الوقوف	وُقُوف
الوصافي	NOTFOUND
الوشر	وَشْر
الوجوب	وُجُوب
الوثقي	NOTFOUND
الوثاق	وَثاق,وِثاق,وَثِيق
الواح	لَوْح
الهر	هِرّ
الهدنة	هُدْنَة
الهجير	هَجِير
الهتهم	أَلَّه,أَلْهَى,إِلٰه
الهاني	لَهِي-َ,أَلَّه,أَلْهَى
الهام	هامّ,هام,إِلْهام
النهبي	نُهْبَى
النمرقة	نُمْرُق
النقباء	نَقِيب
النفساء	نَفْساء
النعت	نَعْت
النظرة	نَظْرَة
النطاقين	نِطاق
النزول	نَزْل,نُزُول
النجوي	نَجْوَى
النجاء	NOTFOUND
النت	أَلان
الموقن	مُوقِن
الموال	مَوّال
المهل	مَهْل
المنكدري	NOTFOUND
المنفقة	مُنْفَق
الممت	أَلَمّ
الملهوف	مَلْهُوف
الملكة	مَلَكَة,مَلِكَة
المكسورة	مَكْسُور
المكتوبات	NOTFOUND
المقضي	مَقْضِيّ
المقربين	مَقْرَب,مُقَرَّب
المقالة	مَقال,مُقال
المقاسم	مَقْسَم,مُقاسِم
المغفرة	مَغْفِرَة
المعقري	NOTFOUND
المعتكف	مُعْتَكَف
المعتدي	مُعْتَدِي,مُعْتَدَى
المطيرة	مَطِير
المصورون	مُصَوِّر
المستقدمين	مُسْتَقْدَم
المسبل	NOTFOUND
المسبحة	مِسْبَحَة,مُسَبِّحَة
المسبحات	مُسَبِّحَة
المربد	مُرَبَّد
المذهب	مَذْهَب,مُذَهَّب
المدحة	NOTFOUND
المدائني	NOTFOUND
المخنثين	مُخَنَّث
المخدجي	NOTFOUND
المخدج	NOTFOUND
المحمود	مَحْمُود
المحلل	مُحَلَّل,مُحَلِّل
المحكم	لَمَّح,مُحْكَم,مُحَكَّم,أَلْمَح,لَمَح-َ
المحصنات	مُحَصَّن,مُحْصَن,مُحْصِن
المحرر	مُحَرَّر,مُحَرِّر
المجل	NOTFOUND
المجاز	مَجاز,مُجاز
المتين	مَتِين
المتنمصات	NOTFOUND
المتكئ	مُتَّكِئ
المتقين	مُتَّقِي
المتعفف	مُتَعَفِّف
المبشرات	مُبَشِّر,مِبْشَرَة
المباركات	مُبارَك
المامومة	NOTFOUND
المالكي	مالِكِيّ
الماشية	ماشِيَة,ماشِي
الماحي	NOTFOUND
الماثم	NOTFOUND
اللغط	لَغْط
اللذات	لَذَّة
اللباس	لِباس
الكنزين	كَنِز
الكلاعي	NOTFOUND
الكفرة	كافِر
الكري	كُرِيّ,كَرَى,كُرَة
الكديد	NOTFOUND
الكتابين	كِتاب
الكبرياء	كِبْرِياء
القيراطان	قِيراط
القوس	قَوْس
القفا	قَفاً
القطيفة	قَطِيفَة
القصير	قَصِير
القسية	قَسِيّ
القسملي	NOTFOUND
القرينين	قَرِين
القرنين	قَرْن
القرع	قَرْع,قُرْعَة,قَرَع,قُرْع
القذر	قَذِر,قَذَر
القبيلة	قَبِيلَة
القبلية	قَبَلِيّ,قِبْلِيّ,قَبْلِيّ
القبلتين	قِبْلَة,قُبْلَة
القبض	قَبْض,قُبْضَة
القاهر	قاهِر
القابض	قابِض
الفسطاط	فُسْطاط
الفزع	فَزَع,فَزِع
الفرح	فَرَح,فَرِح
الفراسي	NOTFOUND
الفخر	فَخْر
الفتيلة	فَتِيل,فَتِيلَة
الفتخ	NOTFOUND
الفتان	أَلْفَت,آلِف,فَتّان
الفئة	فِئَة
الفؤاد	فُؤاد
الغم	غَمّ,لَغَم-َُ,أَلْغَم,لَغَّم
الغلط	غَلَط
الغفار	غَفّار
الغصن	غُصْن
الغشي	غَشْي
الغريب	غُرَيْب,غَرِيب
الغرز	غَرْز
الغداني	NOTFOUND
الغامدي	غامِدِيّ
الغافلات	غافِل
العمة	عَمِه,عَمَّة,عِمَّة,عَمَه
العلاق	عَلّاق
العقيق	عَقِيق
العظيمين	عَظِيم
العطاف	عِطاف
العصفري	NOTFOUND
العشرة	عِشْرَة,عَشَر,عَشْر
العروة	عُرْوَة
العتيرة	NOTFOUND
العباء	عَباء
العامنا	NOTFOUND
العادي	عادِيّ,عادِي
العادل	عادِل
العابد	عابِد
العائذي	NOTFOUND
الظاهران	ظاهِر
الطيالسة	طَيْلَسان
الطلقاء	طَلِيق
الطست	طَسْت
الطبطبية	NOTFOUND
الطاق	طاق
الطاغية	طاغِي
الطائفتان	طائِف,طائِفَة
الضيعة	ضَيْعَة
الضرب	ضَرْب
الضباب	ضَباب
الضالة	ضالَّة,ضالّ
الصياح	صَيْحَة,صَيّاح
الصواغين	NOTFOUND
الصلب	صُلْب,صَلْب
الصغر	صِغَر
الصريخ	صَرِيخ
الصاغاني	NOTFOUND
الصارخ	صارِخ
الصادقة	صادِق
الشهور	شَهْر
الشهباء	أَشْهَب,شَهْباء
الشعار	شِعار
الشريك	شَرِيك
الشركاء	شَرِيك
الشربة	شَرْبَة
الشاكرين	شاكِر
السيول	سَيْل,سُيُول
السيناني	NOTFOUND
السورتين	سُورَة
السودان	سُودان
السني	سَنِيّ,أَلَّس,لِسان,سُنِّيّ,سَنَى,وَلَس-ِ,لاس,لَسَّن,أَلْسَن
السلب	سَلْب,سِلاب
السقيا	NOTFOUND
السقف	سَقْف
السفل	سُفْل
السعاية	سِعايَة
السرية	سِرِّيّ,سَرِيّ,سُرِّيَّة,سِرِّيَّة,سَرِيَّة,سُرِّيّ
السجزي	NOTFOUND
السبيعي	سُبَيْعِيّ
السبب	سَبَب
السامي	سامِيّ,سامِي
الساريتين	سارِيَة,سارِي
السائق	سائِق
الزوال	زَوال
الزبانية	زَبانِيَة
الرياحي	NOTFOUND
الرماني	NOTFOUND
الرقيب	رَقِيب
الرضعة	NOTFOUND
الرضا	رِضاً
الرداء	رِداء
الرجوع	رُجُوع
الذهلي	NOTFOUND
الديل	NOTFOUND
الدهن	وَلَد-ِ,دُهْن,دَهْن,أَلَدّ,لَدّ
الدف	دَفّ,دُفّ
الدخشن	NOTFOUND
الدباغ	دَبّاغ
الداخل	داخِلَ,داخِل
الداء	داء,لَدِيد
الخيمة	خَيْمَة
الخمسة	خَمْس
الخلنجي	NOTFOUND
الخلافة	خِلافَة
الخفي	خَفِيّ
الخسف	خَسْف
الخرق	أَخْرَق,خِرْقَة,خَرْق
الختلي	NOTFOUND
الخالق	خالِق
الحنظلية	NOTFOUND
الحنتمة	NOTFOUND
الحناط	NOTFOUND
الحميم	حَمِيم
الحلاق	حَلّاق
الحضير	NOTFOUND
