للبواب	بَوّاب
فيقتلهم	قَتَّل,قَتَل
فيفضوا	فَضّ,فَضا,فَضَّى,وَفَض-ِ,أَفْضَى
فيفرغ	فَرَّغ,فَرِغ-َ,فَرَغ,أَفْرَغ
فيفر	فَرَّى,وَفَر-ِ,أَفْرَى,فَرَى-ِ,أَفَرّ,فار,أَفار,فَرّ-ِ
فيفتنون	ٱِفْتَنّ,أَفْتَن,فَتَن-ِ
فيفتتحون	ٱِفْتَتَح
فيغيب	غاب-ِ,غَيَّب
فيغاثون	أَغاث
فيعيده	عَيَّد,أَعاد
فيعمرها	عَمَر,أَعْمَر,عَمُر,عَمَّر
فيعلقه	عَلَّق
فيعضه	عَضّ-َ,عاض,أَعاض
فيعصبوه	أَعْصَب,عَصَب-ِ,عَصَّب
فيعصبونه	أَعْصَب,عَصَب-ِ,عَصَّب
فيعرفهم	عَرَّف,عَرَف-ِ
فيعرفه	عَرَّف,عَرَف-ِ
فيعرف	عَرَّف,عَرَف-ِ
فيعذب	عَذَب-ِ,عَذَّب,عَذُب,أَعْذَب
فيعتزلن	ٱِعْتَزَل
فيعترق	ٱِعْتَرَق
فيطيل	أَطال
فيطعمني	أَطْعَم,طَعَّم,طَعِم-َ
فيطعمنا	أَطْعَم,طَعَّم,طَعِم-َ
فيطعم	أَطْعَم,طَعَّم,طَعِم-َ
فيطرح	طَرَّح,طَرَح-َ,ٱِطَّرَح
فيضلون	ضَلّ,أَضَلّ
فيضعها	ضاع-ِ,وَضَع,أَضاع
فيضره	ضَرّ,ضَرَّى,ضار,أَضَرّ,ضار-ِ
فيضحكون	ضَحِك-َ,أَضْحَك
فيضجع	ضَجَع-َ,أَضْجَع,ٱِضَّجَع
فيضاران	NOTFOUND
فيصليهما	صَلَّى,صَلَى-ِ,أَصْلَى
فيصدقها	صَدَّق
فيصبغ	صَبَغ
فيشير	أَشار
فيشفعوا	شَفَع-َ
فيشربون	أَشْرَب,شَرِب-َ,شَرَّب
فيسيرون	سَيَّر,سار-ِ,أَسار
فيسهل	سَهَّل,أَسْهَل,سَهُل
فيسميهم	سَمَّى,أَسْمَى
فيسمعها	سَمَّع,سَمِع-َ,أَسْمَع
فيسكنهم	أَسْكَن,سَكَّن,ساك
فيسقيناه	NOTFOUND
فيسقي	سَقَى-ِ,أَسْقَى
فيسقون	وَسَق-ِ,سَقَى-ِ,أَسْقَى
فيسره	يَسْرَة,يَسَّر,يُسْر,سَرَّى,سَرَى-ِ,سار-ِ,أَسَرّ,أَسار,سَرّ,أَسْرَى
فيستوي	ٱِسْتَوَى
فيستنجي	ٱِسْتَنْجَى
فيستقون	ٱِسْتَقَى
فيستقبل	ٱِسْتَقْبَل
فيستغني	ٱِسْتَغْنَى
فيستظل	ٱِسْتَظَلّ
فيستريح	ٱِسْتَراح
فيستخرج	ٱِسْتَخْرَج
فيستجيبون	ٱِسْتَجاب
فيستجيب	ٱِسْتَجاب
فيستامنوه	NOTFOUND
فيستاك	NOTFOUND
فيسالونه	NOTFOUND
فيسالون	أَسال
فيسالنه	NOTFOUND
فيزيدون	زاد-ِ,زَيَّد,أَزاد
فيزيدها	زاد-ِ,زَيَّد,أَزاد
فيزورون	زار,ٱِزْوَرّ,زَوَّر
فيزداد	ٱِزْداد
فيزجره	زَجَر
فيريحها	رَيَّح,أَراح
فيريحنا	رَيَّح,أَراح
فيروعه	راع,رَوَّع
فيرمونه	رَمَى-ِ,رَمّ
فيرقد	رَقَّد,رَقَد,أَرْقَد
فيرفضه	ٱِرْفَضّ,رَفَض,أَرْفَض
فيردون	رَدِي-َ,رَدَّى,رَدّ,أَرْدَى,وَرَد-ِ
فيرحمه	رَحَّم,رَحِم-َ
فيرتلها	رَتَّل
فيرتقي	ٱِرْتَقَى
فيربيها	أَرْبَى,رَبَّى
فيذكرهن	ذَكَر,أَذْكَر,ذَكَّر
فيذكره	ذَكَر,أَذْكَر,ذَكَّر
فيدور	دَوَّر,دار
فيدلج	أَدْلَج
فيدقه	أَدَقّ,دَقّ
فيدق	أَدَقّ,دَقّ,دَقّ-ِ
فيدفعه	دَفَع-َ
فيدفع	دَفَع-َ
فيدركني	أَدْرَك,دَرَّك
فيداوين	داوَى
فيخونه	خَوَّن,خان,وَخَى-ِ
فيخفف	خَفّ-ِ,خَفَّف
فيخرص	خَرَص
فيختلج	ٱِخْتَلَج
فيخبرونهم	أَخْبَر,خَبُر,خَبَر,خَبَّر
فيخبرهم	أَخْبَر,خَبُر,خَبَر,خَبَّر
فيخبره	أَخْبَر,خَبُر,خَبَر,خَبَّر
فيخالطها	خالَط
فيحفر	حَفَر-ِ
فيجيبهم	أَجاب
فيجيئون	NOTFOUND
فيجلسانه	أَجْلَس
فيجدهم	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جاد,أَجاد
فيجدانها	وَجَد-ِ,أَجَدّ
فيجتهد	ٱِجْتَهَد
فيجتمع	ٱِجْتَمَع
فيجارون	جارَى,أَجار
فيتوسط	تَوَسَّط
فيتمرغ	تَمَرَّغ
فيتمثل	تَمَثَّل
فيتماري	تَمارَى
فيتلو	تَلَوَّى,تَلا
فيتكلوا	ٱِتَّكَل
فيتقدم	تَقَدَّم
فيتطهر	تَطَهَّر
فيتخذنه	ٱِتَّخَذ
فيتبعوني	تَبِع-َ,أَتْبَع,ٱِتَّبَع
فيتاذي	NOTFOUND
فيبيعونه	باع-ِ,أَباع
فيبيع	باع-ِ,أَباع
فيبيتان	بات-ِ,أَبات,بَيَّت
فيبوء	باء,بَوَّأ
فيبطح	بَطَح-َ
فيبدا	بَدّ
فياكلوها	أَكَل
فياخذون	أَخَذ
فياخذها	أَخَذ
فياتينا	أَتَى-ِ
فياتونهم	أَتَى-ِ
فيئا	فَيَّأ,فَيْء
فويل	وَيْل
فويسقا	NOTFOUND
فوهبه	وَهْبَة,وَهَب-َ
فوليها	وَلِي-ِ,وَلِيّ
فولدته	وَلَد-ِ,وَلْدَة,وَلَّد
فولجت	وَلَج-ِ
فوقفوا	وَقَّف,وَقَف-ِ
فوقفا	وَقَّف,وَقَف-ِ,وَقْف
فوعظهم	وَعْظ,وَعَظ
فوعظه	وَعْظ,وَعَظ,وَعْظَة
فوعظنا	وَعْظ,وَعَظ
فوضعوه	وَضَع
فوصفه	وَصْفَة,وَصَف-ِ,وَصْف
فوسوس	وَسْوَس
فوزنت	وَزَن-ِ
فوحشوا	NOTFOUND
فوح	فَوْح
فوجع	وَجِع-َ,وَجَع
فوجدهم	وَجَد-ِ
فوجداني	وَجَد-ِ,وِجْدان,وِجْدانِيّ
فوجبت	وَجَب-ِ,وَجَّب
فوته	فَوَّت,فَوْت
فوافيت	وافَى
فواشيكم	واشِي
فواريته	وارَى
فواره	فَوّارَة,فَوّار
فوار	فَوّار
فوا	وا
فهيجتهما	هَيَّج
فهزموا	هَزَم-ِ
فهرقتها	هَرَق-َ
فهدي	هَدْي,هُدَى,فَهْد,هَدَى-ِ,هَدّ
فهدمها	هَدَّم,هَدَم-ِ,هَدْم
فهدم	هَدَّم,هَدَم-ِ,هَدْم
فهدان	NOTFOUND
فهداكم	هُدَى,هَدَى-ِ,هَدّ
فهد	هَدّ-ِ,فَهْد,هَدّ
فهجرت	هَجَر,هَجَّر
فهبطت	هَبَط
فهاتوا	NOTFOUND
فنهضت	نَهَض-َ
فنهتني	نَها,هَتَن-ِ,نَهَى-ِ
فنمنا	نَمّ,نام-َ
فنلعق	لَعِق-َ
فنلت	نال,لَتّ,نال-َ
فنكستها	نَكَس,نَكَّس,نَكْسَة
فنكت	كَتّ-ِ,نَكَّت,نُكْتَة,ناك-ِ,نَكَت,نَكَى-ِ
فنكاحه	نِكاح
فنقش	نَقْش,نَقَش,قَشّ,نَقَّش
فنقتله	قَتَل,قَتَّل
فنفع	نَفَّع,نَفَع-َ,نَفْع
فنفضت	نَفَّض,نَفَض
فنفسوا	نَفِس-َ,نَفَّس,نَفُس
فنفر	فَرَّى,نَفَّر,وَفَر-ِ,أَفْرَى,فَرَى-ِ,أَفَرّ,فار,نافِر,نَفَر,فَرّ-ِ,أَفار
فنفدت	نَفِد-َ
فنفد	نَفِد-َ,أَفاد,وَفَد-ِ,فَدَى-ِ
فنفح	فَحّ,نَفَح-َ,فاح
فنعمت	نَعُم,نَعَّم,نَعِم-َ,نَعَم-َُ,نِعْمَت
فنعاهم	نَعَى-َ,نَعَى-ِ
فنظرنا	نَظَر
فنطوف	طاف,طَوَّف
فنصيب	أَصاب,نَصِيب
فنصبا	نَصَّب,نُصْب,نَصْب,نَصَب,نَصِب-َ
فنصب	صَبّ,وَصَب-ِ,نَصَّب,أَصاب,نُصْب,نَصْب,صَبِي-َ,صَبا,صَبّ-َ,نُصْبَ,نَصَب,صَبَّى,نَصِب-َ
فنشرع	شَرَّع,شَرَع-َ,أَشْرَع
فنشدته	نَشَد
فنشد	شَدّ-ُِ,نَشَد,شَدا,شاد-ِ,أَشاد
فنسميه	سَمَّى,أَسْمَى
فنسمع	سَمَّع,سَمِع-َ,أَسْمَع
فنسلم	سَلَّم,أَسْلَم,سَلِم-َ
فنسخوها	سَخُو-َ,سَخا,نَسَخ-َ
فنستامره	NOTFOUND
فنسب	سَبّ,ساب-ِ,نَسَب,نِسْبَة,سَبَى-ِ
فنزلني	نَزَل-ِ,أَزال,زال-َ,أَزَلّ,زال,نَزَّل,زَلّ-َِ,نَزِل-َ
فنزحناها	NOTFOUND
فنريح	رَيَّح,أَراح
فنرفعه	رَفَع-َ,رَفَّع
فنذكر	ذَكَر,أَذْكَر,ذَكَّر
فنذرع	ذَرَع-َ
فنذرت	نَذَر,نَذِر-َ
فنخسه	خَسّ,نَخَس-َُ,نَخْس,خاس-ِ
فنخرج	خَرَج,خَرَّج,أَخْرَج
فنحروا	نَحَر
فنحرناها	نَحَر
فنحرنا	نِحْر,نَحْر,أَحار,أَحْرَى,حَرَى,نَحَر,حار
فنحاها	نَحا,نَحَّى,نَحَى
فنجوا	نَجَّى,نَجْو,نَجا
فنبيذ	نَبِيذ
فنبذتهن	نَبَذ-ِ,نَبَّذ,نُبْذَة
فناي	ناي
فناما	نام-َ
فنال	نال,أَلا,نال-َ
فناظر	ناظَر,ناظِر
فناشدهم	ناشَد
فنادت	نادَى,ناد
فناداها	نادَى,ناد
فناخذ	أَخَذ
فناجاها	ناجَى
فناجاه	ناجَى
فنؤمر	أَمَّر
فمها	فَم,مَها
فمني	مُنَى,مَنَى-ِ,مَنّ,مِنَى,مِن,مَنَّى,مَنَى
فمنهن	مَنّ,مِن
فمنعنيها	NOTFOUND
فمنعنا	مَنْع,مَنَع
فممن	مِمَّن
فملء	مِلْء,مَلْء
فمس	مَسّ,مَسّ-َ
فمروه	مُرُوَّة,مَرْوَة,مَرّ
فمرني	مَرِن,مَرّ
فمرضناه	مَرَّض
فمرتا	مَرّ,مُرّ,مَرَّة
فمحاها	مَحا,مَحّ,مَحَّى
فمج	مَجّ
فماء	ماء
فليوسع	وَسُع,أَوْسَع,وَسَّع
فليوجز	أَوْجَز
فلينصب	أَنْصَب,نَصَّب,ٱِنْصَبّ,نَصَب,نَصِب-َ
فلينسك	ناس,نَسِي-َ,نَسَك,أَنْسَى
فليمنعه	مَنَع
فليمكث	مَكَث
فليمضغه	مَضَغ-َُ
فليلق	لَقِي-َ,لاق-ِ,أَلْقَى
فليلفظ	لَفَظ-ِ
فليلغ	لَغِي-َ,أَلْغَى,وَلَغ-َ,لَغا
فليلتفت	ٱِلْتَفَت
فليقولن	NOTFOUND
فليقع	وَقَع-َ,أَقْعَى
فليقصها	قَصا,قَصّ,قَصِي-َ,أَقْصَى,وَقَص-ِ
فليفرش	فَرَش,فَرَّش,فَرَش-ِ
فليغسل	غَسَل-ِ,غَسَّل
فليعمد	عَمَّد,عَمَد-ِ
فليعزم	عَزَم-ِ,عَزَّم
فليعتدل	ٱِعْتَدَل
فليعبد	عَبَد,عَبَّد,يَعْبُد
فليطلب	طَلَب
فليطل	طال,أَطَلّ,طَلّ,أَطال,طَلَى-ِ
فليضربها	ضَرَب,أَضْرَب,ضَرَّب
فليصوموا	صام
فليصوت	صات,صَوَّت
فليصطرفها	NOTFOUND
فليصدر	صَدَّر,أَصْدَر,صَدَر
فليشهد	شَهِد-َ,أَشْهَد
فليسرع	سَرَّع,سَرُع,أَسْرَع
فليستقل	ٱِسْتَقَلّ,ٱِسْتَقال
فليستغفر	ٱِسْتَغْفَر
فليستجمر	NOTFOUND
فليرفعهما	رَفَع-َ,رَفَّع
فليرد	رَدِي-َ,راد,رَدَّى,أَراد,أَرْدَى,رَدّ,وَرَد-ِ
فليرثه	وَرِث-ِ,رَثا,راث-ِ,رَثَى,راث
فليرتقبوا	ٱِرْتَقَب
فليدن	ٱِدَّنَى,دَنِي-َ,أَدان,دَنَّى,أَدْنَى,دَنا,دان-ِ
فليدفع	دَفَع-َ
فليدعها	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
فليدخل	أَدْخَل,دَخَل
فليخرج	خَرَج,خَرَّج,أَخْرَج
فليخالف	خالَف
فليحمل	حَمَل-ِ,حَمَّل
فليحب	أَحَبّ,حَبّ-ِ,حَبا
فليجعلهما	جَعَل-َ
فليجز	أَجاز,جاز,وَجَز-ِ,أَجْزَى,جَزَى-ِ,جَزّ
فليثن	ثَنَّى,ثَنَى-ِ,أَثْنَى
فليتني	فَلَى-ِ,لَيْتَ,فَلَّى
فليتموا	تَمّ-ِ,أَتَمّ
فليتركه	تَرَك,تَرَّك
فليتحلله	تَحَلَّل
فليبعث	بَعَث-َ
فليبزق	بَزَق
فليبايعني	بايَع
فلياذن	أَذِن-َ
فليؤمكم	NOTFOUND
فليؤمروا	أَمَّر
فليؤذنه	أَذَّن,آذَن
فلووا	لَوِي-َ,لَوَى-ِ,لَوَّى
فلهي	لَهِي-َ,لُهِيّ,لَهَّى
فلنقتل	قَتَل,قَتَّل
فلنصيبن	NOTFOUND
فلنجتمع	ٱِجْتَمَع
فللعصبة	عَصَبَة
فلكناه	كُنْيَة,فَلْكَن
فلكنا	لٰكِنَّ,فَلْكَن,لُكّ,فَلَك,لَكّ
فلكزني	لَكَز
فلفه	لَفَّة,لَفّ,لِفّ
فلعلكم	لَعْل,لَعَلَّ
فلطمته	لَطْمَة,لَطَم-َ
فلصقت	لَصِق-َ,لَصَّق
فلزمت	لَزِم-َ
فلحد	لَحَد-َ,لَحْد,لَحَد,حَدّ
فلتنظر	نَظَر
فلتغيره	غَيَّر,تَغَيُّر,أَغار
فلتطهري	طَهَّر,طَهَر
فلتدركه	أَدْرَك,تَدَرُّك,دَرَّك
فلتختمر	ٱِخْتَمَر
فلتخبز	خَبَز-ِ
فلتة	فَلّ,فَلَى-ِ,وَهَى-ِ,فَلَت-ِ,فِلَّة,فُلْط,لَتّ,فَلَت,فَلَّى,فَلْتَة
فلتبايعني	بايَع
فلتاته	لَتّات,أَتَى-ِ,فَلْتَة
فلبينا	لَبَّى
فلبسوه	لَبَّس,لَبِس-َ
فلبسوا	لَبَّس,لَبِس-َ
فلبستهما	لَبَّس,لَبِس-َ,بَسَّة,لِبْسَة,لُبْسَة
فلاكهن	لاك,كَهَن-َُ
فلاكها	لاك
فلاقولن	NOTFOUND
فلاعنها	لاعَن,أَعان
فلاعبرنها	عَبْرَن
فلاجه	لاجّ
فلئن	لَئِن,لَئِنَّ
فكميت	مَيِّت,كُمَيْت
فكمل	كَمَّل,كَمَل,مَلّ,كَمِل-َ
فكلنا	كال-ِ,كُلّ,أَكَل
فكلموهم	كَلَّم
فكلمني	كَلَّم
فكلمتها	لُمَّة,كَلَّم,كَلِمَة,لِمَّة,لَمَّة
فكلمت	كَلَّم
فكلا	كُلّ,كِلا,كَلّا
فكفانا	كَفّ,كَفَى-ِ
فكفئت	NOTFOUND
فكسوتهما	كِسْوَة,كَسا
فكسفت	كَسَف-ِ
فكسرناه	كَسَر-ِ,كَسَّر
فكسرنا	كَسْر,سُرّ,كَسَر-ِ,سِرّ,كَسَّر
فكرهوا	كَرِه-َ,كَرُه,كَرَّه
فكرهها	كَرْه,كَرِه-َ,كَرَّه,كَرِه,كُرْه
فكرهتم	كَرِه-َ,كَرُه,كَرَّه
فكذاب	كَذّاب
فكثرة	كُثْر,كَثْرَة,ثَرّ,كَثَّر
فكتمنا	كَتْم,كَتَّم,كَتَم
فكتم	كَتْم,كَتَّم,كَتَم
فكتبها	كِتاب,كَتَب
فكتبه	كِتاب,كاتِب,كَتَب
فكانهما	آن,كان
فكانها	آن,كان
فكادت	كاد-َ,كاد-ِ
