الخسوف	خُسُوف
يكفت	كَفَت-ِ,كَفَّت
يكسل	كَسِل-َ,كَسَّل
يكرههن	كَرِه-َ,كَرَّه,أَكْرَه
يكدح	كَدَح-َ
يكبوا	وَكَب-ِ,أَكْبَى,أَكَبّ,كَبا,كَبّ
يكال	NOTFOUND
يكافئه	كافَأ
يكاريها	كارَى
يكادون	كاد-َ
يقينا	وَقَى-ِ,يَقِين
يقيمونه	قَيَّم,أَقام
يقيموا	قَيَّم,أَقام
يقومان	قام,قَوَّم
يقولونها	قال
يقودني	قاد
يقهقر	قَهْقَر
يقنتون	قَنَت
يقمها	قام,قَمّ,أَقام
يقمن	قام,أَقام
يقلن	أَقال,قال
يقلله	قَلَّل,أَقَلّ
يقلس	قَلَّس,قَلَس-ِ
يقفوه	قَفا,وَقَف-ِ,قَفَّى
يقطف	قَطَّف,قَطَف-ِ
يقصه	قَصا,قَصّ,قَصِي-َ,أَقْصَى,وَقَص-ِ
يقصمها	قَصَم-ِ
يقصص	قَصّ,قَصَّص
يقروهم	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
يقربه	قَرَّب,قَرِب-َ,قَرُب
يقربنك	قَرَّب,قَرِب-َ,قَرُب
يقراهما	أَقَرّ,قَرّ-َِ,وَقَر-ِ
يقرئ	أَقْرَأ
يقرءوا	NOTFOUND
يقر	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
يقذفنه	قَذَّف,قَذَف-ِ
يقذرك	قَذَّر
يقدمه	قَدِم-َ,أَقْدَم,قَدَّم
يقتلوني	قَتَّل,قَتَل
يقتلونهم	قَتَل,قَتَّل
يقتلهن	قَتَل,قَتَّل
يقتلها	قَتَل,قَتَّل
يقتلا	قَتَّل,قَتَل
يقتض	ٱِقْتَضَى
يقترئ	NOTFOUND
يقتدون	ٱِقْتَدَى,ٱِقْتَدّ
يقبلونه	قَبَّل,أَقْبَل,قَبِل-َ
يقبلوا	قَبَّل,أَقْبَل,قَبِل-َ
يقبلنا	قَبَّل,أَقْبَل,قَبِل-َ
يقاضي	قاضَى
يقارف	قارَف
يقاتلهم	قاتَل
يقاتلان	قاتَل
يفيئه	فَيَّأ,أَفاء
يفور	فَوَّر,فار
يفهمه	فَهِم-َ,أَفْهَم,فَهَّم
يفقدون	فَقَد-ِ,أَفْقَد
يفقا	وَفَق-ِ
يفطره	أَفْطَر,فَطَر
يفضين	فَضَّى,أَفْضَى
يفسو	فَسا
يفسرها	فَسَّر
يفرك	فَرَّى,فَرَّك,أَفْرَى,أَفَرّ,فَرَى-ِ,فار,فَرَك,أَفار,فَرّ-ِ
يفرقه	فَرَق,فَرَّق
يفرغوا	فَرَّغ,فَرِغ-َ,فَرَغ,أَفْرَغ
يفرضوا	فَرَض-ِ
يفرش	فَرَش,فَرَّش,فَرَش-ِ
يفحش	فَحُش,أَفْحَش
يفجاهم	أَفَجّ,فَجّ
يفتيهم	أَفْتَى
يفتون	فَتّ,أَفْتَى,فَتِي-َ
يفتك	فَتّ,ٱِفْتَكّ,فَتَك,فات,أَفْتَى,فَتِي-َ
يفتشه	فَتَّش
يفتش	فَتَّش
يفارقنا	فارَق
يفاخر	فاخَر
يغيلون	NOTFOUND
يغيرون	غَيَّر,أَغار
يغنيكم	أَغْنَى,غَنَّى
يغنم	غَنِم-َ,غَنَّم,أَغْنَم
يغمد	أَغْمَد,غَمَد-ِ,غَمَّد
يغلظ	أَغْلَظ,غَلُظ,غَلَّظ
يغلبون	غَلَب-ِ
يغلبني	غَلَب-ِ
يغفرها	غَفَّر,غَفَر
يغفره	غَفَّر,غَفَر
يغضبون	غَضِب-َ,أَغْضَب
يغصبوهم	غَصَب-ِ
يغسلوه	غَسَل-ِ,غَسَّل
يغزوها	غَزا
يغزوننا	غَزا
يغزهم	غَزا
يغري	غَرا,غَرَّى,أَغْرَى
يغرم	غَرَّم,غَرِم-َ,أَغْرَم
يغربل	غَرْبَل
يغذو	غَذا
يغدوا	غَدِي-َ,غَدا,غَدَّى
يغترون	ٱِغْتَرّ
يغازي	NOTFOUND
يعيرني	أَعار,عار-ِ,عَيَّر
يعيدني	عَيَّد,أَعاد
يعوداني	عاد,عَوَّد
يعنيابن	NOTFOUND
يعنف	عَنَّف,أَعْنَف
يعلن	أَعال,أَعْلَن,عال-ِ,عال
يعلق	عَلِق,عَلَّق
يعقبهم	عَقَب,أَعْقَب,عَقَّب
يعقب	أَعْقَب,عَقَب,عَقَّب
يعفون	عَفّ-ِ,عَفَّى,عَفا,أَعْفَى
يعفهم	عاف,عَفّ-ِ,عَفَّى,عاف-ِ,عَفا,أَعْفَى
يعطيناها	NOTFOUND
يعطوا	أَعْطَى
يعطهم	أَعْطَى
يعصيه	عَصَى-ِ
يعصني	عَصَى-ِ,عَصّ-َ
يعصر	عَصَر-ِ,عَصَّر
يعزيه	عَزَى-ِ,عَزَّى
يعزل	أَعْزَل,عَزَل-ِ
يعزروني	عَزَر-ِ,عَزَّر
يعز	عَزَى-ِ,عَزا,عَزَّى,أَعَزّ,عاز,عَزّ-ِ,عَزِي-َ
يعروه	عَرّ,عَرَّى,عَرا
يعروا	وَعَر-ِ,عَرّ,عَرَّى,عَرا,عَرِي-َ
يعرفنا	عَرَّف,عَرَف-ِ
يعرفان	عَرَّف,عَرَف-ِ
يعذروا	أَعْذَر,عَذَر-ِ
يعذبني	عَذَب-ِ,عَذَّب,أَعْذَب
يعذبكم	عَذَب-ِ,عَذَّب,أَعْذَب
يعدي	عَدَّى,أَعْدَى,عَدا
يعدونه	عَدّ,عَدَّى,أَعْدَى,عَدا,وَعَد-ِ,أَعَدّ
يعدون	عَدّ,عَدَّى,أَعْدَى,عَدا,وَعَد-ِ,أَعَدّ
يعدم	عَدِم-َ,أَعْدَم
يعددها	عَدّ,عَدَّد,أَعَدّ
يعجلها	عَجَّل,أَعْجَل,عَجِل-َ
يعجبنا	أَعْجَب,عَجَّب
يعتملوها	ٱِعْتَمَل
يعتكفها	NOTFOUND
يعتزل	ٱِعْتَزَل
يعترف	ٱِعْتَرَف
يعتر	ٱِعْتَرَى
يعتاد	ٱِعْتاد
يعبدونهم	عَبَد,عَبَّد
يعبدوا	عَبَد,عَبَّد
يعبده	عَبَد,عَبَّد
يعافيهم	عافَى
يعافيني	عافَى
يعارضني	عارَض
يعاديهم	عادَى
يعاد	عادَى,أَعاد
يظهروا	أَظْهَر,ظَهَر-َ,ظَهَّر
يظنان	ظَنّ
يطيفون	طَيَّف,طاف-ِ,أَطاف
يطويانه	طَوَى-ِ
يطولها	طَوَّل
يطوق	طاق,طَوَّق
يطهرها	طَهَّر
يطهرن	طَهَّر,طَهَر
يطمسان	طَمَس-ِ
يطلبونه	طَلَب
يطلبنكم	طَلَب
يطعموها	أَطْعَم,طَعَّم,طَعِم-َ
يطعمهم	أَطْعَم,طَعَّم,طَعِم-َ
يطرقوا	أَطْرَق,طَرَق,طَرَّق
يطرحوا	طَرَّح,طَرَح-َ,ٱِطَّرَح
يطرحه	طَرَّح,طَرَح-َ,ٱِطَّرَح
يطبخونه	طَبَخ-َُ
يطاطئ	NOTFOUND
يطارد	طارَد
يضير	ضار-ِ
يضيان	NOTFOUND
يضعهما	ضاع-ِ,وَضَع,أَضاع
يضطرب	ٱِضْطَرَب
يضروك	ضَرّ,ضَرَّى,أَضَرّ
يضرط	ضَرَط
يضرح	NOTFOUND
يضربوه	ضَرَب,أَضْرَب,ضَرَّب
يضربونها	ضَرَب,أَضْرَب,ضَرَّب
يضربني	ضَرَب,أَضْرَب,ضَرَّب
يضاعفها	ضاعَف
يضئ	أَضاء
يصيرون	صار,صَيَّر
يصيح	صاح-ِ,صَيَّح
يصيبونهم	أَصاب
يصيبون	أَصاب
يصيبهم	أَصاب
يصيبن	NOTFOUND
يصومها	صام
يصومن	NOTFOUND
يصور	صَوَّر
يصنعوا	صَنَّع,صَنَع-َ
يصنعن	صَنَّع,صَنَع-َ
يصمن	وَصَم-ِ,صام
يصلبوا	صَلَب-ِ,صَلُب,صَلَّب
يصفها	صَفا,صَفَّى,أَصْفَى,صَفّ,وَصَف-ِ,يَصْف
يصريني	NOTFOUND
يصرم	صَرَم-ِ
يصرفها	صَرَّف,صَرَف-ِ
يصرخون	صَرَخ
يصدوا	أَصَدّ,صَدّ,وَصَد-ِ,صَدِي-َ,أَصْدَى,صَدَّى
يصدنهم	صاد-ِ
يصدنكم	صاد-ِ
يصدقه	صَدَّق
يصدقني	صَدَّق
يصدقانكم	صَدَّق
يصبهم	وَصَب-ِ,صَبّ,أَصاب,يَصْب,صَبِي-َ,صَبا,صَبّ-َ,صَبَّى
يصبحن	أَصْبَح,صَبَّح
يصادف	صادَف
يشيرون	أَشار
يشمس	أَشْمَس,شَمَّس,شَمِس-َ,شَمَس
يشم	وَشَم-ِ,شَمّ,شام-ِ,يَشْم
يشكون	شَكّ,شَكا
يشكوا	شَكّ,شَكا
يشكا	شَكّ
يشقها	شَقّ,شَقا,شَقِي,شاق,أَشْقَى
يشغل	شَغَّل,شَغَل-َ,أَشْغَل
يشعث	شَعِث-َ,شَعَّث
يشرن	أَشار,وَشَر-ِ
يشركه	شَرِك-َ,أَشْرَك
يشربن	أَشْرَب,شَرِب-َ,شَرَّب
يشتمون	شَتَم-ُِ,ٱِشْتَمّ
يشتمني	شَتَم-ُِ,ٱِشْتَمّ
يشتكيه	ٱِشْتَكَى
يشتريها	ٱِشْتَرَى
يشترونك	ٱِشْتَرَى,شَتَر-ِ
يشترك	ٱِشْتَرَى,شَتَر-ِ,ٱِشْتَرَك
يشبهون	شَبَّه,أَشْبَه
يشبكن	شَبّ-ِ,شَبَّك,شَبّ,أَشاب,شَبَك-ِ,شاب,يَشْب
يشبعوا	شَبِع-َ,أَشْبَع,شَبَّع
يشبعك	أَشْبَع,شَبِع-َ,شَبَّع
يشبب	شَبّ-ِ,شَبّ,شَبَّب
يشاقق	NOTFOUND
يشاربوهن	شارَب
يشار	أَشار
يشاد	شادّ,أَشاد
يشاءوا	شاء-َ
يسيبون	ساب-ِ,سَيَّب
يسورك	سَوَّر
يسنه	سَنَّى,سَنا,أَسَنّ,سَنّ
يسند	سَنَّد,أَسْنَد,سَنَد
يسميهم	سَمَّى,أَسْمَى
يسمعهم	سَمَّع,سَمِع-َ,أَسْمَع
يسمر	سَمَر,سَمُر,سَمَّر,ٱِسْمَرّ
يسلف	أَسْلَف,سَلَف,سَلَّف
يسلخ	سَلَخ-َُ
يسكر	أَسْكَر,سَكِر-َ,سَكَّر
يسكتوني	أَسْكَت,سَكَّت
يسكتهن	أَسْكَت,سَكَّت
يسقيني	أَسْقَى,سَقَى-ِ
يسق	وَسَق-ِ,سَقَى-ِ,أَسْقَى,ساق
يسرهم	يَسَّر,يُسْر,سار-ِ,سَرَّى,سَرَى-ِ,أَسَرّ,أَسار,سَرّ,أَسْرَى
يسرنا	يَسَّر,يَسِر-َ,يُسْر,سَرَّى,سار-ِ,سَرَى-ِ,أَسَرّ,أَسار,سَرّ,أَسْرَى,يَسُر
يسرقن	سَرَق-ِ,سَرَّق
يسرج	سَرَج-َ,سَرَّج,أَسْرَج
يسدده	سَدَّد,أَسَدّ,سَدّ
يسخطه	أَسْخَط
يسخط	سَخِط-َ,أَسْخَط
يسحب	سَحَب-َ
يسجرون	سَجَر,سَجَّر
يسجدوا	سَجَد
يسجدان	سَجَد
يستوفي	ٱِسْتَوْفَى
يستوضع	NOTFOUND
يستوشيه	NOTFOUND
يستنون	ٱِسْتَنّ
يستند	ٱِسْتَنَد
يستمكن	ٱِسْتَمْكَن,ٱِسْتام
يستمسك	ٱِسْتَمْسَك
يستكبرون	ٱِسْتَكْبَر
يستقي	ٱِسْتَقَى
يستقون	ٱِسْتَقَى
يستقل	ٱِسْتَقال,ٱِسْتَقَلّ
يستقسم	ٱِسْتَقْسَم
يستقبله	ٱِسْتَقْبَل
يستقبلكم	ٱِسْتَقْبَل
يستغشون	ٱِسْتَغْشَى,ٱِسْتَغَشّ
يستعين	ٱِسْتَعان
يستعن	ٱِسْتَعان
يستعمله	ٱِسْتَعْمَل
يستطيعان	ٱِسْتَطاع
يستطيبوا	ٱِسْتَطاب,ٱِسْتَطْيَب
