وربتي	رَبَّة,رِبَّة,رَبْت,رَبّ
وترجي	تَرَجِّي,رَجا,رَجّ,تَرَجَّى,رَجِي-َ
وترجم	رَجَّم,تَرْجَم,رَجَم
وتربتها	تَرَّب,تُرْبَة,رَبَت-ِ,رَبَّت
وترافعوا	رافَع,تَرافَع
وتراحمهم	NOTFOUND
وتراجع	تَراجَع,تَراجُع,راجَع
وتذيفون	NOTFOUND
وتذوق	تَذَوَّق,ذاق,تَذَوُّق
وتذمر	تَذَمَّر,تَذَمُّر
وتذكر	تَذَكُّر,ذَكَر,أَذْكَر,ذَكَّر,تَذَكَّر
وتذريته	تَذَرَّى,تَذْرِيَة
وتذرع	ذَرَع-َ,تَذَرَّع,تَذَرُّع
وتذر	ذَرَى-ِ,ذَرا,أَذْرَى,ذَرّ,ذَرَّى,وَذِر-َ
وتدلكه	دَلَك,دَلَّك
وتدفع	تَدَفَّع,تَدَفُّع,دَفَع-َ
وتدعونه	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
وتدري	دَرَى-ِ,أَدْرَى,أَدَرّ,دَرّ-ُِ
وتدخلنا	أَدْخَل,تَدَخَّل,دَخَل,تَدَخُّل
وتدخل	تَدَخَّل,أَدْخَل,دَخَل,تَدَخُّل
وتدالون	أَدال
وتدئبه	NOTFOUND
وتخلل	خَلّ,تَخَلَّل,أَخَلّ,خَلَّل
وتخلفت	تَخَلَّف
وتخلص	خَلَص,تَخَلُّص,أَخْلَص,تَخَلَّص,خَلَّص
وتخطي	تَخَطِّي,خَطا,خَطَّى,خَطّ,وَخَط-ِ,تَخَطَّى
وتخشع	خَشَع-َ,خَشَّع,تَخَشَّع
وتخريب	تَخْرِيب
وتخرجها	تَخَرُّج,خَرَّج,أَخْرَج
وتخرج	خَرَج,تَخَرُّج,خَرَّج,تَخَرَّج,أَخْرَج
وتختمها	خَتَم-ِ
وتختم	خَتَم-ِ
وتختلف	ٱِخْتَلَف
وتختطف	ٱِخْتَطَف
وتخبر	تَخَبَّر,خَبُر,أَخْبَر,خَبَر,خَبَّر
وتخاف	خاف-َ,أَخاف
وتحيضي	حاض-ِ
وتحويل	تَحْوِيل
وتحميدة	NOTFOUND
وتحمداه	حَمِد-َ,حَمَّد
وتحمدا	حَمِد-َ,حَمَّد
وتحليلهم	تَحْلِيل
وتحل	أَحَلّ,تَحَلِّي,حَلّ-ِ,حَلَى,أَحال,حَلَّى,حَلِي-َ,حَلُو,حال,حَلّ
وتحفظ	تَحَفَّظ,حَفِظ-َ,أَحْفَظ,تَحَفُّظ
وتحط	حَطّ,أَحاط,حاط
وتحضر	حَضَّر,تَحَضَّر,أَحْضَر,حَضَر
وتحرمان	حَرِم-َ,حَرُم,حَرَّم,حَرَم-ُِ
وتحرم	حَرِم-َ,تَحَرَّم,حَرُم,حَرَّم,حَرَم-ُِ
وتحركت	تَحَرَّك
وتحدثوا	حَدَث,تَحَدَّث,أَحْدَث
وتحجيله	NOTFOUND
وتحجر	حَجَر,حَجَّر,تَحَجُّر,تَحَجَّر
وتحتسب	ٱِحْتَسَب
وتحاقروا	NOTFOUND
وتجهموا	تَجَهَّم,أَجْهَم,جَهُم
وتجهلون	جَهَّل,جَهِل-َ
وتجمعها	تَجَمَّع,جَمَع-َ,جَمَّع,أَجْمَع,تَجَمُّع
وتجعلون	جَعَل-َ
وتجرون	أَجْرَى,جَرَى-ِ,أَجَرّ,جَرّ
وتجربون	جَرَّب,جَرِب-َ
وتجبنون	جَبُن,جَبَّن
وتجبروا	أَجْبَر,جَبَّر,تَجَبَّر,جَبَر
وتتكلم	تَكَلَّم
وتتكافا	NOTFOUND
وتتركوه	تَرَك,تَرَّك
وتتركنا	تَرَك,تَرَّك
وتترك	تَرَك,وَتَر-ِ,تَتَر,تَرَّك
وتتذكر	تَذَكَّر
وتتخذها	ٱِتَّخَذ
وتتخذه	ٱِتَّخَذ
وتتحدث	تَحَدَّث
وتبعها	تَبِع-َ,باع-ِ,تَبَع,أَباع
وتبطر	أَبْطَر,بَطِر-َ
وتبدر	بَدَر
وتبخترن	تَبَخْتَر,بَخْتَر
وتباءس	تَباءَس
وتاولوا	NOTFOUND
وتامر	أَمَر,تامِر
وتاكلوا	أَكَل
وتاركه	تارَك
وتارك	تارَك
وتاخرنا	تَأَخُّر
وتاخرت	NOTFOUND
وتاخذ	أَخَذ
وتاتون	أَتَى-ِ
وتابعهم	تابِع,تابَع
وتاب	تاب,أَبَى-َ
وتؤمرني	أَمَّر
وتؤخرين	ؤَخِّر
وتؤخذ	أَخَذ,أَخَّذ
وتؤتوا	آتَى
وبيوتهن	بَيُّوت,بَيْت
وبيوت	بَيُّوت,بَيْت
وبيعه	بَيْعَة,بَيْع,بِيعَة
وبيعكم	بَيْع
وبيعتين	بِيعَة
وبيصا	NOTFOUND
وبيسان	NOTFOUND
وبيسار	يَسار
وبيد	بِيد,يَد,بَيْدَ
وبيته	بَيْت,بَيَّت
وبوجهه	وِجْهَة,وَجْه
وبهيسة	NOTFOUND
وبهم	بِ,هَمّ,بَهِيم
وبهجتها	بَهِج,بَهِج-َ,بَهَّج,بَهْجَة
وبهائمك	بَهِيمَة,هائِم
وبهؤلاء	هٰذا
وبنيك	بِن,نَيّ,نِيّ,بُنَيّ
وبنوك	بَنَى-ِ,بِن,بَنْك
وبنسيئة	نَسِيئَة
وبندار	NOTFOUND
وبنحو	نَحْو,نَحْوَ
وبنجم	نَجْم
وبنافع	نافِع
وبناصيتك	ناصِيَة
وبمعني	مَعْنِيّ,مَعْنَى
وبمعناه	مَعْنَى
وبماذا	ماذا
وبلقائه	لِقاء
وبلاغا	بَلاغ
وبكل	بَكَّل,بُكْلَة,كُلّ
وبكفر	كُفْر,كَفَر,كَفْر
وبكذا	NOTFOUND
وبكتابك	كُتّاب,كِتاب,كاتِب
وبكت	بَكَى-ِ,بَكَّى,بَكَّت,كَتّ
وبكار	كار
وبكاء	بُكاء,بَكّاء,بَكِيء
وبقولهما	بَقْل,قَوْل
وبقول	بَقْل,قَوْل
وبقلا	بَقْل,بَقَل
وبقري	قَرْيَة,بَقَرِيّ,قِرَى,قَرّ,بَقَر
وبقره	قَرّ,قِرَّة,بَقَر,قُرَّة
وبقرن	قِرْن,قَرْن,قُرْنَة,بَقَر
وبقرا	بَقَر
وبقبور	قَبْر
وبغنم	غُنْم,غَنَم
وبغلته	بَغْل,غَلَّة
وبغلة	غِلّ,غُلّ,بَغْل,غَلَّة
وبغضهم	بَغِض-َ,بَغَّض,غَضّ,بُغْض
وبغضها	بَغَّض,بَغِض-َ,غَضّ,بُغْض
وبغالها	بَغّال,بَغْل,غال
وبعين	عَيْن
وبعيرا	بَعِير
وبعهد	عَهْد
وبعقبك	عُقْب
وبعثوا	بَعَث-َ
وبعثه	بَعَث-َ,عُثّ,بَعْثَة,بَعْث
وبع	NOTFOUND
وبطونهم	بُطُون
وبطنك	بَطَّن,بَطَن,طُنّ,بَطْن
وبطن	بَطَّن,بَطُن,بَطَن,طُنّ,بَطْن
وبطح	بَطَح-َ
وبطارقتهم	بِطْرِيق,طارِق,طارِقَة
وبضعته	بَضَّع,بِضْع,ضَعَة,بَضَع-َ
وبصيام	صائِم,صِيام
وبصل	بَصَل
وبصرها	بَصِر-َ,بَصُر,بَصَّر,بَصَر
وبصرك	بَصِر-َ,بَصَّر,بَصُر,بَصَر
وبصحابتكم	صَحابَة
وبشيرا	بَشِير
وبشروا	بَشَر-ِ,بَشَر,بَشِر-َ,بَشَّر
وبشئ	شَيْء
وبسم	سَمّ,بِسْمِ,بَسَم-ِ,بَسْم
وبسطهما	بَسْط,بَسَّط,بَسَط,بِساط
وبسره	بَسَر,سُرّ,بُسْر,سِرّ,سُرَّة
وبسبع	سُبْع,سَبْع
وبسبحة	سُبْحَة,سَبْحَة
وبزق	زَقّ,بَزْق,بَزَق
وبرنس	بُرْنُس
وبرمته	بُرْمَة,بَرَّم,رُمَّة,رِمَّة,بَرَم
وبرمة	بُرْمَة,بَرِم,بَرَّم,رُمَّة,رَمّ,رِمَّة,بَرَم
وبركعة	رَكْعَة,راكِع
وبركته	بِرْكَة,رُكَّة,رِكَّة,بَرَك,بَرَكَة,بَرَّك
وبركاتك	بَرَكَة
وبرقت	بَرَق
وبرزق	رِزْق
وبرزت	بَرَّز,بَرَز,بَرُز
وبررت	بَرّ-ِ,بَرَّر
وبردي	بَرَدَى,بَرْدِيّ,بَرَد,بُرْد,رَدَى,رَدّ,بَرْد
وبرده	بَرَدَة,رَدَّة,بُرْد,بَرَد,بَرَّد,رَدّ,بَرْد
وبردة	بَرَدَة,رَدَّة,بُرْد,بَرَد,بَرَّد,رَدّ,بَرْد
وبرداه	بَرَد,بَرَّد,رَدَى
وبراع	راع,راعِي
وبراءة	أَوْبَر,بَراءَة,بَرِيء,راء
وبذل	بَذَل,ذُلّ,بَذْل
وبذر	بَذَّر,بَذْر,بَذَر,ذَرّ
وبدوت	بَدا,دُوت
وبدنت	بَدُن,بَدَن
وبدر	بَدْر,بَدَر,دَرّ,دُرّ
وبدد	بَدَّد
وبدءا	بَدْء
وبد	بُدّ,بَدّ
وبخل	بَخِل-َ,خَلّ,بَخُل,بُخْل
وبحينة	حِين,حَيْن,حِينَ
وبحق	حَقّ
وبجريد	جَرِيد
وبثلاث	ثَلاث
وبتكليمه	NOTFOUND
وبتبارك	تَبار
وببيعتنا	بَيْعَة,بِيعَة
وببصر	بَصَر
وببركة	بِرْكَة,بَرَكَة
وبايمانهم	إِيمان,يَمِين
وبايعوه	بايَع
وبايع	بايَع
وباي	أَيّ,باي
وباهلها	أَهْل,باهِل,آهِل
وبان	آن,بانِي,بِأَنَّ,بان-ِ,بِأَن
وبامه	أُمَّة,أَمَة,أُمّ
وبامراة	NOTFOUND
وبالوتر	وَتَر,وِتْر
وبالنهار	نَهار
وبالنعال	نَعْل
وبالمعوذتين	NOTFOUND
وبالمصورين	مُصَوِّر,مُصَوَّر
وبالمسلمين	مُسْلِم,مُسَلَّم
وبالكوكب	كَوْكَب
وبالكواكب	كَوْكَب
وبالكرام	كَرِيم,كَرّام
وبالقيلولة	قَيْلُولَة
وبالقنو	قُنْو
وبالغلام	غُلام
وبالعصا	عَصاً
وبالسباحتين	سَبّاح
وبالتي	بالَة,آلَة,الَّذِي
وبالتوراة	تَوْراة
وبالتمر	تَمْر
وبالبعث	بَعْث
وبالبصرة	بَصْرَة
وبالايدي	يَد
وبالاعرابي	أَعْرابِيّ
وبالاخر	آخِر,آخَر
وبالابواب	باب
وباقي	باقِي
وباقلا	NOTFOUND
وبافلح	أَفْلَح
وباعها	باع,باع-ِ
وباطية	باطِيَة
وباطنة	باطِن,باطِنَة
وباطل	باطِل
وباصحابي	صاحِب
وباسمك	باسِم,ٱِسْم
وبارق	آرِق,أَرِق,أَرَق,أَرَقّ,بارِق
وباذن	إِذْن,آذِن,أُذُن
وباديتك	بادِيَة,بادِي,بادَى
وبادروا	بادَر
وباخوال	خال
وباحكام	حُكْم,إِحْكام
وبائعا	بائِع
وباؤها	باء,وَباء
وبئس	بَئِس-َ,بِئْسَ,بِئْس
وبئة	وَبِئ,وَبَأ
وبؤنا	باء,وَبُؤ,وَبَأ
وب	وِيب,ب
وايهما	أَيّ
واينما	أَيْنَما
وايلة	آيِل,أَيِّل
وايكاء	NOTFOUND
وايقظته	أَيْقَظ
وايقاعا	إِيقاع
وايفاء	إِيفاء
وايس	أَيَس,أَيِس-َ
وايدينا	يَد
وايتين	آيَة
واياها	إِيّا
واياس	إِياس
وايات	آيَة
واونس	آنَس
واومئوا	NOTFOUND
واولياؤه	وَلِيّ
واولم	آلَم,أَوْلَم
واولتها	أَوَّل,أَوْلَى
واوكيه	وِكاء
واوكي	وَكَى-ِ
واوكل	أَوْكَل,آكَل,وَكَّل
واوكا	NOTFOUND
واوكئوا	NOTFOUND
واوقر	أَوْقَر,وَقُر,وَقَّر
واوقدوا	أَوْقَد
واوقدتم	أَوْقَد
واوفي	وَفَّى,وَفَى-ِ,أَوْفَى
واوفوا	أَوْفَى
واوعاهم	أَوْعَى
واوضعها	أَوْضَع
واوضعت	أَوْضَع
واوصت	أَوْصَى
واوصاهم	أَوْصَى
واوشكهم	وَشُك,وَشَّك
واوجعه	أَوْجَع,وَجِع-َ
واوجزت	أَوْجَز
واوجز	أَوْجَز
واوجب	أَوْجَب,وَجَّب
واوتينا	NOTFOUND
واوتي	آتَى,أُوتِي
واواني	أَوَى-ِ,أَوان,آوَى,أَوَّى,إِناء
واهية	وَهَى-ِ,واهِي
واهيب	هَيَّب,أَهاب
واهي	وَهَى-ِ,واهِي
واهول	هال,هَوَّل
واهلنا	أَهال,هال,هال-ِ,هَلّ-ِ,هَلَّن,أَهْل,أَهَلّ,آهِل
واهلكوا	أَهْلَك
واهريقوها	NOTFOUND
واهريقت	NOTFOUND
واهرقوها	أَهْرَق
واهدوا	أَهْدَى
واهدنا	أَهْدَى,هَدَن-ِ,هَدَى-ِ,هَدّ,هَدَّن
واهداها	أَهْدَى
واهبط	أَهْبَط,هَبَط
وانيلنا	نَيَّل,أَنال
وانيسة	أَنِيس
وانيته	آنِيّ,وانِي,إِناء,أَنَى-ِ
وانيت	أَنَى-ِ
وانهوهم	ٱِنْهَوَى,نَها,أَنْهَى
وانهوا	أَنْهَى
وانهسوه	NOTFOUND
وانهزمت	ٱِنْهَزَم
وانهزم	ٱِنْهَزَم
وانهارها	نَهْر
وانهاره	نَهْر
وانهارا	نَهْر,ٱِنْهار
وانمار	نَمِر
وانكروا	أَنْكَر
وانكرهم	نَكَّر,أَنْكَر
وانكرته	أَنْكَر
وانقطع	ٱِنْقَطَع
وانقضوا	ٱِنْقَضَى,أَنْقَض,ٱِنْقَضّ
وانقبضت	ٱِنْقَبَض
وانفع	نَفَّع,نَفَع-َ
وانفسها	نَفْس,نَفِس-َ,نَفَّس
وانفث	نَفَث
وانفاذ	نَفَذ,إِنْفاذ
وانضحيه	NOTFOUND
وانضحوا	NOTFOUND
وانصرفوا	ٱِنْصَرَف
وانصرفنا	ٱِنْصَرَف
وانشاد	إِنْشاد,نَشِيد
وانسي	أَنَسِيّ,نَسِي-َ,أُنْس,إِنْسِيّ,إِنْس,أَنْسَى
وانسكوا	NOTFOUND
وانسك	ناس,نَسِي-َ,أُنْس,نَسَك,آنَس,أَنَّس,أَنْسَى,إِنْس
وانسان	إِنْسان
وانزلوه	أَنْزَل
وانزلناه	أَنْزَل
وانزع	نَزَّع,نَزَع-ِ
وانخسفت	ٱِنْخَسَف
وانحرفت	ٱِنْحَرَف
وانحرف	ٱِنْحَرَف
وانجشة	NOTFOUND
وانجاه	أَنْجَى
وانثييه	أُنْثَى
وانثييك	أُنْثَى
وانثا	أَنَّث,أَنُث
وانث	أَنَّث,أَنُث
وانتهكوا	ٱِنْتَهَك
وانتهره	ٱِنْتَهَر
وانتقصوه	ٱِنْتَقَص
وانتق	ٱِنْتَقَى
وانتفع	ٱِنْتَفَع
وانتفخت	ٱِنْتَفَخ
وانتفاخ	ٱِنْتِفاخ
وانتعل	ٱِنْتَعَل
وانتظرني	ٱِنْتَظَر
وانتضح	NOTFOUND
وانتشر	ٱِنْتَشَر
وانبسطنا	ٱِنْبَسَط
وانبسطت	ٱِنْبَسَط
وانبسط	ٱِنْبَسَط
واناملي	أُنْمُولَة
واناملك	أُنْمُولَة
واناصراه	NOTFOUND
واناسا	إِنْسان,إِنْس
واميمة	أُمَيْمَة
واميرهم	مار-ِ,أَمِير,أَمار
واميرا	أَمِير
وامير	مار-ِ,أَمِير,أَمار
وامواتا	مَيِّت
وامهن	أَماه,مَهَن-َُ,أُمّ,مَهُن
وامهما	أُمّ
وامهم	أُمّ
وامهاتهم	أُمّ
وامنعوها	NOTFOUND
وامنعوا	NOTFOUND
وامنعهم	مَنَع,أَمْنَع
وامنع	مَنَع,أَمْنَع
وامكم	أُمّ
وامعضوا	NOTFOUND
وامطرنا	مَطَر,أَمْطَر,مَطْرَن
وامضوا	أَمْضَى,أَمَضّ
وامض	وَمَض-ِ,أَمْضَى,مَضّ-َ,مَضَّى,مَضّ,مَضَى-ِ,أَمَضّ
وامشطنها	NOTFOUND
وامسينا	أَمَسّ,مَسَى,مَسَّى,أَمْسَى
وامسحه	مَسَّح,مَسَح-َ
وامرتهم	أَمَّر,أَمَرّ,أَمار,آمَر,إِمْرَة,أَمَر,آمِر
وامرة	أَمْر,مار,مار-ِ,أَمَّر,أَمَرّ,مَرّ,آمَر,أَمار,إِمْرَة,أَمَر,آمِر
وامراء	أَمِير
وامدد	مَدَّد,مَدّ,أَمَدّ
وامد	أَمْدَى,مَدّ,ماد-ِ,أَمْبِير,أَمَدّ
وامتهنوا	ٱِمْتَهَن
وامتلا	ٱِمْتَلّ
وامتعضوا	ٱِمْتَعَض
وامانتكم	أَمانَة
