ارك	رَأَى-َ,آر,رَكّ,وَرَى-ِ,رَكّ-ِ
ووكل	وَكَّل,وَكَل-ِ
ووكائها	وِكاء
ووقي	وَقِيّ,وَقَى-ِ,وَقْي
ووقفه	وَقَّف,وَقْفَة,وَقَف-ِ,وَقْف
ووقعت	وَقَع-َ,وَقَّع,وُقِّع
ووعيناها	وَعَّى,وَعَى-ِ
ووعظهن	وَعْظ,وَعَظ
ووعظه	وَعْظ,وَعَظ,وَعْظَة
ووضا	NOTFOUND
ووحده	وَحْد,وَحَّد,وَحْدَة
ووجوههم	وَجْه
ووجب	وَجَب-ِ,وَجَّب
ووافقه	وافَق
ووافقته	وافَق
وواحدا	واحِد
وهيشات	NOTFOUND
وهيئتهم	هَيْئَة,هَيَّأ
وهون	هَوَّن,هُون,هَوْن
وهناني	NOTFOUND
وهمزه	هَمْزَة,هَمَز,هَمْز
وهشمت	هَشَم-ِ,هَشَّم
وهزلهن	هَزَّل,هَزِل,هَزْل
وهذين	هٰذا,هَذَى-ِ
وهذاك	NOTFOUND
وهجر	هَجَر,هَجَّر,هَجْر
وهبه	وَهْبَة,هَبَّة,وَهَب-َ,هِبَة,هَبّ
وهبته	هاب-َ,هَبَت-ِ,هَبا,وَهْبَة,هَبَّة,وَهَب-َ,هَبْت,هِبَة,هَبّ
وهان	هان
ونوائبه	نائِبَة
ونهر	نَهْر,نَهار,هار,هَرا,وَهَر-ِ,هَرّ-ِ,نَهَر-َ
ونكحت	كَحَّت,كَحَت-َ,نَكَح-َُِ
ونكتب	أَكْتَب,كَتَب
ونكبر	كَبَّر,كَبَر,أَكْبَر
ونعله	نَعَّل,نَعَل-َ,أَعال,عَلا,نَعْل,أَعْلَى,عال,عَلَّى
ونظرنا	نَظَر
ونضيجة	نَضِيج
ونصيحته	نَصِيحَة
ونصيب	أَصاب,نَصِيب
ونصوم	صام
ونصفه	صَفا,نَصَف,صَفَّى,أَصْفَى,نِصْف,صَفّ,وَصَف-ِ,نَصَّف,نَصَفَة
ونصحت	نَصَح-َ
ونسوة	نَسِي-َ,سَوَّى,نِسْوَة,سَوِي-َ
ونساؤه	نِساء,نَساء
ونزول	نَزْل,نُزُول,زَوَّل,زال
ونزع	نَزَّع,نَزْع,نَزَع-ِ
ونرجع	أَرْجَع,رَجَّع,رَجَع-ِ
ونخاف	خاف-َ,أَخاف
ونحوهما	نَحْو,نَحا,حَوَى-ِ,نَحَّى,نَحَى,نَحْوَ
ونحوركما	حَوَّر,نَحْر,حار
ونحمد	حَمِد-َ,حَمَّد
ونحرت	نَحَر
ونتنهم	نات,نَتِن-َ,نَتِن,نَتَن-ِ,نَتَّن,نَتْن,نَتُن
وناحية	ناحِيَة,ناحِي
وميمون	مَيْمُون
وميكائل	NOTFOUND
ومولي	مَوْلَى
وموته	مَوْت,مَوَّت
ومنهن	مَنّ,مِن
ومنعه	مَنْع,مَنَع,مَنْعَة
ومنزل	مُنَزَّل,مُنْزَل,مَنْزِل
ومنتعلا	NOTFOUND
ومنبله	NOTFOUND
ومنافق	مُنافِق
ومم	مِمَّ
وملبسه	مُلَبَّس,مَلْبَس
وملائكتك	مَلْأَك
ومكرهنا	مَكْرَه,مُكْرَه
ومكدوس	NOTFOUND
ومكث	مَكْث,مَكَث
ومقتك	مَقْت,وَمَق-ِ,مَقَت,مَقَّت
ومفازا	NOTFOUND
ومعهما	مَعَ
ومعن	ماع-ِ
ومطر	مَطِر,مَطَر,مُطْرِي
ومضينا	مُضِيّ,مَضَّى,مَضَى-ِ
ومصيبة	مُصِيبَة
ومصعب	مُصْعَب
ومصر	مِصْر,مُصِرّ
ومسجدا	مَسْجِد
ومركب	مَرْكَب,مُرَكَّب
ومرتين	مُرّ,مَرَّة
ومدهم	مُدْهَم,وَمِد,مَدّ
ومخرفة	مُخَرِّف,مَخْرَفَة
ومحاضر	مَحْضَر,مُحاضِر
ومجنة	مِجَنّ,ماج,مَجَن
ومجاهدا	مُجاهِد
ومبشرا	مُبَشِّر
وماش	ماشِي
ومائتين	مائِت,مِئَة
ومئونة	NOTFOUND
وليي	لَيّ,يِي,وَلِيّ
وليلتهم	ٱِلْتَهَم,لَيْلَة,لَتّ
وليقم	قام,قَمّ,أَقام
وليقرا	أَقَرّ,قَرّ-َِ,وَقَر-ِ
وليفعل	فَعَل-َ
وليضربن	ضَرَب,أَضْرَب,ضَرَّب
وليصل	صال,صَلَّى,صَلِي-َ,وَصَل-ِ,أَصْلَى,صَلَى-ِ
وليصفح	صَفَح-َ,صَفَّح
وليستظل	ٱِسْتَظَلّ
وليستا	لَيِس-َ,لَيْسَ
وليرد	رَدِي-َ,راد,رَدَّى,أَرْدَى,أَراد,رَدّ,وَرَد-ِ
وليدع	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
وليد	وُلَيْد,يَد,وَلِيد,وَدَى-ِ
وليحدث	حَدَث,أَحْدَث
وليتوضا	NOTFOUND
وليته	وَلَّى,تاه,أَتاه,لَيْتَ,وَلِي-ِ,وَلِيَّة,لَيَّة
وليتفل	تَفَل,تَفَلَّى
وليان	يان,أَنَى-ِ
ولياكل	أَكَل
ولياتين	أَتَى-ِ
ولهؤلاء	هٰذا
ولني	نَيّ,نِيّ
ولنصيفها	صَيَّف,نَصِيف
ولنسائكم	نِساء,نَسّاء,نَساء
وللقوم	قَوْم
وللرجل	رَجُل,رِجْل
ولقيه	لَقِي-َ,قِياء,لُقْيا
ولقيطها	لَقِيط
ولقوا	لَقِي-َ
ولقائه	لِقاء
ولفظ	لَفْظ,لَفَظ-ِ,فَظّ
ولعنهم	لَعَن-َ,وَلَّع,وَلِع-َ,لَعْن
ولعمري	عُمْرِيّ,عُمْر,عُمَرِيّ,عُمَر
ولعقبك	عُقْب
ولعبد	عَبْد
ولضحكتم	NOTFOUND
ولصاحب	صاحِب
ولسان	لِسان,سان
ولذراري	ذُرِّيَّة
ولذت	لَذّ-َ,لاذ
ولحيان	لَحْي
ولحقت	لَحِق-َ
ولحق	حَقّ,لَحِق-َ,لَحَق
ولجت	جِت,وَلَج-ِ,لَجّ-َِ
ولتسمعن	سَمَّع,سَمِع-َ,أَسْمَع
ولبيوتهم	بَيُّوت,بَيْت
ولبوس	لِبْس,لَبُوس
ولاقومن	NOTFOUND
ولاعملن	NOTFOUND
ولاصومن	NOTFOUND
ولاصحابه	صاحِب
ولاحمس	حَمَّس,حَمِس-َ,أَحْمَس
ولاة	لاهِي,وَلَّى,والِي
ولابن	ٱِبْن,أَبان
وكيسان	كَيِّس,كِيس
وكلني	أَكَل,وَكَّل,وَكَل-ِ
وكلمت	كَلَّم
وكلما	كَلَّم,كُلَّما,كَلْم
وكلتا	كَلَت-ِ,كِلا,كِلَّة,وَكَّل,وَكَل-ِ
وكلاما	كَلام
وكلام	لام,كَلام
وكفه	وَكَف-ِ,كَفّ,كُفَّة,وَكْف,كِفَّة
وكسوتهن	كِسْوَة,كَسا
وكساه	ساهِي,كِسْوَة,وَكَس-ِ,كَسا,وَكَّس
وكرامته	كَرّام,كَرامَة
وكذبني	كَذَب-ِ,كَذَّب
وكتفي	كِتاف,أَكْتَف,كَتِف,كِتْف,تُفّ
وكتابكم	كُتّاب,كِتاب,كاتِب
وكانتا	كان
وكافرهم	كافِر
وقوي	قَوِيّ,قَوَّى,قَوِي-َ,قُوَّة,قَوَى
وقوف	وُقُوف
وقه	وُقَّة
وقلوبا	قَلُوب,قَلْب
وقعدت	قَعَد,قَعَّد
وقصه	قَصّ,قِصَّة,قَصَّة,وَقَص-ِ
وقرؤها	قُرْء
وقر	قَرّ-َِ,قَرّ,وَقْر,وَقَر-ِ,وَقُر,وِقْر,وَقَّر
وقدمي	قَدُوم,قَدَم
وقدمه	قَدِم-َ,قَدَم,قَدُوم,قَدَّم
وقدمنا	قَدِم-َ,قَدَم,قَدُوم,قَدَّم
وقبله	قَبَّل,قِبْلَة,قُبْلَة,قِبَل,قَبْلَ,قَبِل-َ
وقباء	قِباء
وقاض	قاض-ِ,قاض,قاضِي
وفيمن	NOTFOUND
وفيم	فِيما
وفوقي	فَوْق,فَوْقِيّ,فَوْقَ
وفود	وَفْد,فَوْد
وفكوا	فَكّ
وفعله	فِعْل,فَعْلَة,فَعَل-َ
وفضلني	فَضَّل
وفضلت	فَضَل,فَضَّل
وفضحه	فَضْح,فَضَّح,فَضَح-َ
وفضة	فَضّ,وَفَض-ِ,وَفْضَة,فِضَّة
وفصه	فَصّ,فِصَّة
وفسره	فَسَّر
وفسر	فَسَّر
وفزعنا	فَزَع,فَزِع-َ,فَزِع,فَزَّع
وفريق	فَرِيق
وفرقوا	فَرَق,فَرَّق
وفرقت	فَرَق,فَرَّق
وفرض	فَرْض,فَرَض-ِ
وفرة	وَفْرَة,وَفَّر,فَرِه,فَرّ,وَفْر,فَرّ-ِ
وفر	وَفَر-ِ,وَفُر,وَفَّر,فَرّ,فَرّ-ِ,وَفْر
وفدنا	وَفْد,فَدَّن,وَفَد-ِ,وَفَّد
وفتر	فَتَر,فِتْر,فَتَّر
وفتاتي	فُتات,فَتاة
وفارق	فارِق,فارَق
وفاجرها	فاجِر
وغيظ	غَيَّظ,غَيْظ
وغيرت	غَيَّر
وغيرة	غَيَّر,غَيْرَة,غَيْر
وغوريها	NOTFOUND
وغورها	غَوْر
وغنيمة	غَنِيمَة
وغزوت	غَزا
وغرة	غِرّ,وَغْر,غِرَّة,غَرّ,غُرَّة,أَغَرّ
وغربت	غَرَّب,غَرَب
وعنبسة	NOTFOUND
وعنائها	عَناء
وعموده	عَمُود
وعمدي	عِماد,عُمْدَة,عَمْدِيّ,عَمْد
وعمان	عَمّ,عُمان,عَمّان
وعمامته	عِمامَة
وعلق	عَلِق,عَلَّق
وعلف	عَلَف
وعلانيته	عَلانِيَّة
وعقالا	عاقِل,عِقال
وعفان	عَفّ,عَفّان
وعظهم	وَعْظ,وَعَظ
وعظمي	أَعْظَم,عُظْم,عَظْم,عَظْمِيّ
وعصا	عَصّ,عَصاً,عَصّ-َ
وعسلا	عَسَّل,عَسَل
وعسفان	NOTFOUND
وعزة	عِزَّة,عِزّ
وعرينة	عَرِينَة,عَرَّى,عَرِين
وعرضي	عَرْضِيّ,عَرَض,عَرْض,عَرَضِيّ,عِرْض
وعذره	عُذْرَة,عُذْر,عَذَر-ِ
وعدها	عَدّ,وَعْد,وَعَد-ِ
وعدنا	عَدّ,وَعْد,وَعَد-ِ,عاد
وعدتها	عَدّ,عُدَّة,عَدَّى,عِدَة,عَدا,وَعَد-ِ,عاد,عِدَّة
وعالجوه	عالَج
وظهر	ظَهْر,ظُهْر,ظَهَر-َ,ظَهَّر
وطيبته	طِيبَة,طَيَّب,طَيِّب
وطول	طَوْل,طُول,طَوَّل
وطهرهم	طُهْر,طَهَّر
وطهرت	طَهَّر,طَهَر
وطه	طٰهَ
وطمحت	طَمَح-َ
وطلقها	طَلَق,طَلَّق,طَلْق
وطعنة	طَعَن-َ,طاع,طَعْن,طَعْنَة
وطعامهن	طَعام
وطست	طَسْت
وطبق	طَبَق,طَبَّق
وطا	NOTFOUND
وضغابيس	NOTFOUND
وضعناه	ضاع-ِ,وَضَع
وضربة	ضَرَب,ضَرَّب,ضَرْب,ضَرْبَة
وضحك	ضَحِك-َ,وَضَح,وَضَّح,ضَحْك
وضاح	ضاحِي,وَضّاح
وصيف	صَيْف,وَصِيف,صَيَّف
وصيا	وَصَّى,وَصِيّ
وصوموا	NOTFOUND
وصوت	صَوَّت,صَوْت
وصنعت	صَنَّع,صَنَع-َ
وصنعاء	صَنْعاء
وصمت	صَمّ,صَمْت,وَصَم-ِ,صام,صَمَت,صَمَّت,صَمِت
وصفيه	وَصْفِيَّة,صَفّ,وَصْف,وَصْفِيّ,صَفِيّ,صَفِيَّة
وصفق	صَفَق-ِ,صَفْق,صَفَّق,صَفَق
وصفدت	صَفَّد
وصفح	صَفْح,صَفَح-َ,صَفَّح
وصفا	صَفا,صَفّ,وَصَف-ِ,صَفاً,وَصْف
وصرف	صِرْف,صَرْف,صَرَف-ِ,صَرَّف
وصدقه	صَدَقَة,صِدْق,صَدَّق
وصح	صَحّ-ِ
وصبوا	وَصَب-ِ,صَبّ,وَصِب-َ,صَبِي-َ,صَبا,صَبّ-َ,صُبُوّ,صَبَّى
وصالا	صال,وِصال
وشهر	شَهَّر,شَهْر,شَهَر-َ
وشقة	شَقّ,وَشَق,شَقَّة,شُقَّة,شِقّ
وشفتيه	شِفْت,شَفَة
وشريبه	شِرِّيب,شَرِيب
وشربنا	شَرِب-َ,شُرْب,شَرَّب
وشربا	شَرِب-َ,شُرْب,شَرَّب
وشرار	شَرّار,شَرارَة
وشدد	شَدَّد
وشجاع	شُجاع
وشج	شَجِي,شَجّ
وشبعنا	شَبِع-َ,شَبْع,شَبَّع
وشبابي	شَبّ,شَباب,شَبابِيّ
وشاهده	شاهَد,شاهِد,شاهِدَة
وشاربها	شارَب,شارِب
وشاة	وَشَى-ِ,شاة,واشِي,وَشَّى,شاه
وسيما	وَسِيم,سِيما,سِيَّما
وسوي	سَوَّى,سَوِيّ,سِوَى,سَوِي-َ
وسوست	سَوِس-َ,سَوَّس,وَسْوَس
وسودة	أَسْوَد,سَوَّد
وسمنا	وَسَم-ِ,سَمَّن,سَمّ,سِمَن,سُمُّن,وَسْم,وَسَّم,سَمْن,سَمِن-َ,سام
وسمرت	سَمَر,سَمُر,سَمَّر
وسليني	سَلِي-َ
وسلام	سَلّام,سَلام
وسلاح	سِلاح
وسكنت	سَكَّن,سَكَن
وسقمت	سَقُم,سَقِم-َ,سَقَّم
وسعينا	سَعَى-َ,سَعْي
وسددني	سَدَّد
وسدد	سَدَّد,سَدَد,سُدَّة
وسخط	سَخِط-َ,سُخْط
وسخابها	NOTFOUND
وسجود	سُجُود,ساجِد
وسجدتم	سَجَد
وسجدت	سَجَد
وستكون	وَكَى-ِ,كان,كَوَّن
وسبقته	سَبْقَة,سَبَّق,سُبْقَة,سَبَق-ُِ
وسبرة	سَبَر,سَبْر,سِبار
وسبحه	سُبْحَة,سَبَّح,سَبْحَة,سَبَح-َ
وسبابه	سَبّابَة,سِباب,سَبّاب
وساقول	قال
وساقه	ساق,وَقَى-ِ,أَقْهَى,قَهِي-َ,ساقَة
وساضرب	ضَرَب,أَضْرَب,ضَرَّب
وساروا	سار-ِ,سارّ
وسائد	أَدّ,وَأَد,سائِد,وِسادَة
وزودنا	زَوَّد
وزوجة	زَوَّج,زَوْج,زَوْجَة
وزنوا	وَزَن-ِ,زَنّ,زَنَى-ِ
وزكها	NOTFOUND
وزعموا	زَعَم
وزده	NOTFOUND
وزدنا	زاد-ِ
وزان	وِزان,زان-ِ,زانِي,زان
وزادوا	زاد-ِ
وزادنا	زاد-ِ,زاد
وريقه	رَيِّق,وُرَيْقَة,رِيق
وروثة	رَوْث
ورمينا	رَمْي,رَمَى-ِ,وَرَم
وركيه	وَرْك
وركوع	رُكُوع
وركبته	رُكْبَة,رَكِب-َ,رَكَّب
وركبانا	رَكِب-َ,رَكَّب
ورقك	وَرَق,رَقّ,رِقّ,وَرَّق
ورقد	رَقْد,راقِد,رَقَّد,رَقَد
ورغب	رَغِب-َ,رَغَب
ورعلا	NOTFOUND
ورعاءها	راعِي
ورطب	رَطْب,رَطُب,رَطَّب,رَطِب-َ,رُطَب
ورضينا	رَضِيّ,رَضّ,رَضَّى,رَضِي-َ
ورشد	رَشَّد,رَشَد,رُشْد
ورزيق	رَزِيق
ورزق	رَزَق,رِزْق
وردي	رَدِي-َ,وَرْد,رَدَّى,رَدَى,وَرْدِيّ,رَدّ,وِرْد
ورداء	رِداء
ورخصوا	رَخَّص,رَخُص
ورثوا	وَرِث-ِ,رَثا,وَرَّث,رَثّ-ِ,رَثَى
ورثه	وَرِث-ِ,رِثَّة,وَرَّث,وِرْث,وارِث,رَثّ
ورثت	رَثا,وَرِث-ِ,وَرَّث,راث-ِ,رَثّ-ِ,رَثَى,راث
وربه	رَبَّة,رِبَّة,رُبّ,وَرَّب,وَرْب,رَبّ
وربا	رُبّ,وَرْب,وَرَّب,رِبا,رَبّ,رَبا
وراكبا	راكِب
وراع	راع,راعِي,راع-ِ
وراشد	راشِد
وراءهم	وَراءَ,وَراء,راء
وراءك	وَراءَ,وَراء,راء
ورئي	NOTFOUND
وذمم	ذِمَّة,ذَمَّم
