ترفعن	تَرَفَّع,رَفَع-َ,رَفَّع
يستنكر	ٱِسْتَنْكَر
يستمع	ٱِسْتَمَع
يستمتع	ٱِسْتَمْتَع
يستقيله	ٱِسْتَقال
يستفتح	NOTFOUND
يستغني	ٱِسْتَغْنَى
يستعذب	ٱِسْتَعْذَب
يستظلون	ٱِسْتَظَلّ
يستطيعون	ٱِسْتَطاع
يستطيب	ٱِسْتَطاب,ٱِسْتَطْيَب
يستدبرها	ٱِسْتَدْبَر
يستحبه	ٱِسْتَحَبّ
يستام	ٱِسْتام
يسالك	NOTFOUND
يس	NOTFOUND
يزور	زار,ٱِزْوَرّ,زَوَّر
يزوجه	زَوَّج
يريهم	وَرَى-ِ
يركعون	رَكَّع,رَكَع-َ,أَرْكَع
يركض	رَكَض
يركز	رَكَّز,رَكَز
يركبها	رَكِب-َ,رَكَّب,أَرْكَب
يرفعوا	رَفَع-َ,رَفَّع
يرفعاه	رَفَع-َ,رَفَّع
يرثي	رَثا,رَثَى
يرتفع	ٱِرْتَفَع
يذهبه	أَذْهَب,ذَهَب-َ,ذَهَّب
يذنب	أَذْنَب
يذبحهما	ذَبَّح,ذَبَح-َ
يدينان	أَدان,دان-ِ
يدوم	دام,دَوَّم
يدمنها	أَدام,دام,دَمَن,أَدْمَن
يدعونه	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
يدرون	دَرَى-ِ,أَدْرَى,أَدَرّ,دَرّ-ُِ
يدركك	أَدْرَك,دَرَّك
يدخلهما	أَدْخَل,دَخَل
يداين	دايَن
يخيره	خار-ِ,خَيَّر
يخلو	خَلا
يخطون	خَطَّى,خَطا,خَطّ,وَخَط-ِ
يخطفها	خَطَف-ِ,خَطِف-َ
يخص	خَصّ,خَصَى-ِ
يختله	خَتَل-ُِ,ٱِخْتَلّ,ٱِخْتَلَى
يختلسه	ٱِخْتَلَس
يخب	خَبا,خاب-ِ,خَبّ,أَخاب,خَبّ-َ
يحوي	حَوَى-ِ
يحملكم	حَمَل-ِ,حَمَّل
يحصيهما	أَحْصَى
يحسمهم	حَسَم-ِ
يحسبن	حَسَب,حَسِب-ِ,حَسُب
يحركها	حَرَّك
يحرق	حَرَّق,حَرَق-ِ,حَرَق,أَحْرَق
يحرسونهم	حَرَس
يحرسونها	حَرَس
يحرسني	حَرَس
يحرس	حَرَس
يحرجه	حَرَّج,أَحْرَج
يحذر	حَذَّر,حَذِر-َ
يحجبها	حَجَّب,حَجَب
يحتطب	ٱِحْتَطَب
يحتجون	ٱِحْتَجّ
يحتاج	ٱِحْتاج
يحاسبكم	حاسَب
يجيبك	أَجاب
يجهز	جَهَّز,أَجْهَز,جَهَز-َ
يجمعون	جَمَع-َ,أَجْمَع,جَمَّع
يجره	جار,أَجار,أَجْرَى,جَرَى-ِ,أَجَرّ,جَرّ
يجرجر	جَرْجَر
يجدونه	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ
يجدها	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جاد,أَجاد
يجتنبه	ٱِجْتَنَب
يجترئون	ٱِجْتَرَأ
يجبها	جَبَى-ِ,جَبَّى,جاب,جَبَه-َ,جَبّ,أَجاب
يثوي	ثَوَّى,ثَوَى-ِ,أَثْوَى,ثُوِي-َ
يثقل	أَثْقَل,ثَقُل,ثَقَّل
يتورع	تَوَرَّع
يتوجوه	تَوَّج
يتواري	تَوارَى
يتهم	ٱِتَّهَم
يتهلل	تَهَلَّل
يتهجد	تَهَجَّد
يتناول	تَناوَل
يتمه	أَتَمّ,يُتْم
يتمم	تَمّ-ِ,أَتَمّ,تَمَّم
يتلوه	تَلَوَّى,أَتْلَى,تَلا
يتلو	تَلَوَّى,تَلا
يتكلوا	ٱِتَّكَل
يتكل	ٱِتَّكَل
يتفل	تَفَل,تَفَلَّى
يتفجر	تَفَجَّر
يتعجل	تَعَجَّل
يتطيب	تَطَيَّب
يتطهر	تَطَهَّر
يتضاغون	NOTFOUND
يتصدقون	تَصَدَّق
يتشحط	NOTFOUND
يتردي	تَرَدَّى
يتربصن	تَرَبَّص
يتخلل	تَخَلَّل
يتخذه	ٱِتَّخَذ
يتجلجل	NOTFOUND
يتبعونه	تَبِع-َ,أَتْبَع,ٱِتَّبَع
يتبعها	تَبِع-َ,أَتْبَع,ٱِتَّبَع
يبيض	باض-ِ,ٱِبْيَضّ,بَيَّض
يبيتون	بات-ِ,أَبات,بَيَّت
يبغي	بَغَى-ِ
يبعثهم	بَعَث-َ
يبعثني	بَعَث-َ
يبعثنا	بَعَث-َ
يبطش	بَطَش-ُِ
يبصر	بَصِر-َ,أَبْصَر,بَصُر,بَصَّر
يبرك	أَبَرّ,بَرَى-ِ,بَرَك,أَبْرَك,أَبار,بَرَّك
يبرد	بَرَد,بَرَّد,بَرُد,أَبْرَد
يبرح	أَبْرَح,بَرَّح,بَرِح
يبتدرون	ٱِبْتَدَر
يان	يان,أَنَى-ِ
يامراني	أَمَر
يؤذيك	آذَى
يؤذنون	أَذَّن,آذَن
يؤدم	NOTFOUND
ويهودية	يَهُودِيّ,يَهُودِيَّة
ويهلل	هَلّ-ِ,هَلَّل,أَهَلّ
ويمد	أَمْدَى,مَدّ,ماد-ِ,أَمَدّ
ويلقين	لَقِي-َ,أَلْقَى
ويلعن	لَعَن-َ,لاع
ويلد	وَلَد-ِ,لَدّ
ويقولان	قال
ويقضي	قَضَّى,قَضَى-ِ
ويفشو	فَشا
ويفتدي	ٱِفْتَدَى
ويعجبني	أَعْجَب,عَجَّب
ويضرب	ضَرَب,أَضْرَب,ضَرَّب
ويصدقه	صَدَّق
ويسعي	سَعَى-َ
ويسره	يَسْرَة,يَسَّر,يُسْر,سَرَّى,سَرَى-ِ,سار-ِ,أَسار,أَسَرّ,سَرّ,أَسْرَى
ويستنشق	ٱِسْتَنْشَق
ويستقبل	ٱِسْتَقْبَل
ويزيدون	زاد-ِ,زَيَّد,أَزاد
ويزعم	زَعَم
ويزرعوها	زَرَع-َ
ويرون	وَرَى-ِ,رَأَى-َ
ويرحم	رَحَّم,رَحِم-َ
ويرث	رَثا,وَرِث-ِ,راث-ِ,رَثّ-ِ,رَثَى,راث
ويدعوا	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
ويدعنا	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
ويحدثهم	حَدَث,أَحْدَث
ويحتمل	ٱِحْتَمَل
ويجيبه	أَجاب
ويتيم	يَتِيم,تام,تَيَّم
ويتم	تَمّ-ِ,يَتُم,أَتَمّ,يَتِم-َ,تام,يُتْم,يَتَم-ِ
ويتصدقون	تَصَدَّق
ويتبسم	تَبَسَّم
ويبيع	باع-ِ,أَباع
ويبلغوا	بَلُغ,بَلَغ,بَلَّغ,أَبْلَغ
ويبعث	بَعَث-َ
ويابسكم	يابِس
ويؤذيني	آذَى
وورث	وَرِث-ِ,وَرَّث,وِرْث
ووجه	وَجَّه,وَجْه,واجَه
وواحد	واحِد
ونور	نُور,نَوَر,أَوْرَى,نَوَّر,وَرَّى
ونهينا	وَهَى-ِ,نَهْي,نَهَى-ِ
ونهران	نَهْر
ونقشنا	نَقْش,نَقَش,قَشّ,نَقَّش
ونفي	نَفَى,نَفِيّ,وَفَى-ِ,نَفْي
ونفث	نَفْث,نَفَث
ونعيم	نَعِيم
ونضح	أَضْحَى,نَضْح,نَضَح-َ,ضَحا,وَضَح-ِ,نَضَح-ِ,ضَحَّى,ضَحِي-َ
ونصفها	نَصَف,صَفا,صَفَّى,أَصْفَى,نِصْف,صَفّ,وَصَف-ِ,نَصَّف
ونشرب	أَشْرَب,شَرِب-َ,شَرَّب
ونسيه	نَسِي-َ,نَسْي,نَسِيّ
ونسجد	سَجَد
ونذيرا	نَذِير
ونحوها	نَحْو,نَحا,حَوَى-ِ,نَحَّى,نَحَى,نَحْوَ
ونحمل	حَمَل-ِ,حَمَّل
ونحري	نِحْر,نَحْر,أَحْرَى,حَرَى
ونجعل	جَعَل-َ
ونام	نامِي,نام-َ
ونارا	نار
وميثاقه	مِيثاق
وميتكم	مَيِّت
ومواثيق	مِيثاق
ومنعت	مَنَع
وملك	مَلَك-ِ,مَلِك,مِلْك,مَلَّك,مَلّ,مُلْك
ومكة	مَكَّة
ومكاتلهم	مِكْتَل
ومقعده	مَقْعَد,مُقْعِد,مُقْعَد
ومصلي	مُصَلِّي,مُصَلَّى,مَصْل,مَصْلِيّ
ومشاطة	مِشْط
ومسخ	مَسْخ,مَسَخ-َ
ومستراح	مُسْتَراح
ومس	مَسّ,وَمْس,وَمَس-ِ,مَسّ-َ
ومريم	مَرْيَم
ومروهم	مَرْوَة,مَرّ
ومرقا	مَرَق,مَرَّق
ومج	مَجّ
وماؤه	ماء
وليهما	وَهَم-ِ,لَيّ,وَلِي-ِ,هَمّ,وَلِيّ,أَهَمّ
ولينزلن	نَزَل-ِ,أَنْزَل,نَزَّل,نَزِل-َ
وليلته	لَيْلَة,ٱِلْتَهَى,لَتّ
وليلبسه	لَبَّس,لَبِس-َ,أَلْبَس
وليكفر	كَفَر-ِ,كَفَّر,أَكْفَر
وليسالوه	NOTFOUND
ولياكلها	أَكَل
ولواؤه	لِواء
ولهما	لَهِم-َ,لِ-,لَهِم,لَهْم
ولنفسك	نَفْس,فَسا,نَفَس
وللصائم	صائِم
ولقيت	لَقِي-َ
ولفلان	فُلان
ولعلك	لَعْل,لَعَلَّ,عِلْك,عَلْك
ولشاني	NOTFOUND
ولدينها	دِين,دَيِّن,دَيْن
ولدوا	وَلَد-ِ,وَلَّد,لَدّ
ولدتك	وَلَد-ِ,وَلْدَة,وَلَّد,لِدَة,لَدّ
ولحسبها	حَسَب,حَسْب
ولبني	بُنّ,لَبَنِيّ,لُبْنَى,لِبْن,لَبِنَة,بِنْيَة,بَنِي,بِن,لَبَن,بُنَيّ,لَبّ
ولبسنا	لَبَّس,لَبِس-َ,لَبْس,لِبْس
ولابنة	ٱِبْن,أَبان
وكنيته	كَنَى-ِ,كَنَّى,كُنْيَة,نِيَّة,نِيّ
وكم	كَم,كَمّ
وكلمتكما	كَلَّم,لُمَّة,كَلِمَة,لَمَّة,لِمَّة
وكساء	كِساء
وكرجل	رَجُل,رِجْل
وكذبا	كَذَب-ِ,كِذْب,كَذَّب
وكثيرها	كَثِير
وكثرت	كَثَّر,كَثُر
وكتما	كَتْم,كَتَّم,كَتَم
وكاد	كاد-َ,كاد-ِ,إِدّ
وكاء	وِكاء
وقيتم	وَقَى-ِ
وقية	قِياء,وِقِيَّة,وَقِيّ,وَقْي
وقيام	قِيام
وقوفا	وُقُوف
وقوته	قَوَّى,قَوَّت,قُوت,قُوَّة
وقلوبهم	قَلُوب,قَلْب
وقران	قِران,وَقْر
وقدمت	قَدِم-َ,قَدَّم
وقدح	قِدْح,قَدَح,قَدَح-َ,قَدْح
وقتلت	قَتَّل,قَتَل
وقاعدا	قاعِد
وقاتلوهم	قاتَل,قاتِل
وفضالة	فُضالَة,فِضال
وفساد	فَساد
وفرحوا	فَرِح-َ,فَرَّح
وفدت	وَفَد-ِ,وَفَّد,فَدَى-ِ
وغشيتهم	غَشْي,غَشِي-َ,غَشَّى
وغسلت	غَسَل-ِ,غَسَّل
وعوف	عَوْف
وعودوا	عَوَّد
وعمي	عَمِي-َ,عَمّ,عَمَّى,عَمَى
وعلموهم	عَلِم-َ,عَلَّم
وعلموا	عَلِم-َ,عَلَّم
وعلمنا	عَلِم-َ,عَلْمَن,عِلْم,عَلَم,عَلَّم
وعقر	عُقْر,عَقَّر,عَقُر,عاقِر
وعظم	عَظُم,عُظْم,عَظْم,عَظَّم
وعسي	عَسِيّ,عَسّ,وَعْس,عَسَى
وعرض	عَرَض,عَرَض-ِ,عَرْض,عِرْض,عَرَّض
وعدنيه	عَدْنِيّ
وعدلا	عَدَل-ِ,عَدْل,عَدَّل
وعدل	عَدَل-ِ,عَدْل,عَدَّل
وعدك	عَدّ,وَعْد,وَعَد-ِ
وعدتم	عاد,وَعَد-ِ
وعتق	عَتُق,عِتْق,عَتَق-ِ
وظهره	ظَهْر,ظُهْر,ظَهَر-َ,ظَهَّر
وطلوع	طُلُوع
وطلق	طَلَق,طَلَّق,طَلْق
وطفنا	طاف,وَطِف-َ,طاف-ِ
وطفقت	طَفِق-َ
