للذين	لَذِي-َ,الَّذِي
اضع	ضاع-ِ,وَضَع,أَضاع,ضاع
اصرم	صَرَم-ِ
اصابها	أَصاب
اشعرنها	أَشْعَر
استدبرت	ٱِسْتَدْبَر
استثني	ٱِسْتَثْنَى
اركع	رَكَّع,رَكَع-َ,أَرْكَع
ارضنا	راض,رَضّ,أَرَّض,أَرْضَى,رَضَّى,أَرْض,رَضِي-َ
ارجعي	NOTFOUND
ارتفع	ٱِرْتَفَع
اذناب	ذَنَب
اجزا	NOTFOUND
اثما	أَثَّم,أَثِم-َ,آثِم,أَثَم,إِثْم
اتيه	تاه,أَتاه,تَيَّه,آتِي
اتنا	أَتان
اتصلي	تَصَلَّى,ٱِتَّصَل
ابيع	باع-ِ,أَباع
ابلغ	بَلُغ,بَلَغ,بَلَّغ,أَبْلَغ
اباها	آب,أَب,أَبّ,أَبَى-َ
يهجر	أَهْجَر,هَجَر,هَجَّر
يهادي	هادَى
يمشيان	أَمْشَى,مَشَّى,مَشَى-ِ
يمانية	يَمانِيّ
يكلمه	كَلَّم
يكسر	كَسَر-ِ,كَسَّر
يقولان	قال
يقبله	قَبَّل,أَقْبَل,قَبِل-َ
يفعلوا	فَعَل-َ
يعلمهم	أَعْلَم,عَلِم-َ,عَلَّم
يعذبهم	عَذَب-ِ,عَذَّب,أَعْذَب
يصم	صَمّ,أَصْمَى,وَصَم-ِ,صام,أَصَمّ
يشربها	أَشْرَب,شَرِب-َ,شَرَّب
يستخرج	ٱِسْتَخْرَج
يستحيي	ٱِسْتَحْيَى
يزيدون	زاد-ِ,زَيَّد,أَزاد
يراجعها	راجَع
يدعها	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
يخلط	خَلَّط,خَلَط-ِ
يخشي	خَشِي-َ,خَشَّى
يخبره	أَخْبَر,خَبُر,خَبَر,خَبَّر
يحمد	حَمِد-َ,حَمَّد
يحبنا	أَحَبّ,حَبّ-ِ,حَبا
يجتنب	ٱِجْتَنَب
يتلي	أَتْلَى,تَلا
يتخذ	ٱِتَّخَذ
يتبايعون	تَبايَع
يبتاع	ٱِبْتاع
ياتيها	أَتَى-ِ
ويوسف	يُوسِف
ويغتسل	ٱِغْتَسَل
ويسمي	سَمَّى,أَسْمَى
ويسلم	سَلَّم,أَسْلَم,سَلِم-َ
وهن	وَهُن,هُنَّ,وَهْن,واهِن,هَنّ-ِ,وَهَن-ِ
ونحبه	أَحَبّ,نَحَب-َِ,حَبّ-ِ,نَحْب,حَبا
ومزينة	مُزَيِّن,مُزَيِّنَة,مُزَيَّن
ولعبدي	عَبْدِيّ,عَبْد
وكيعا	NOTFOUND
وكفر	كَفَر-ِ,كَفَّر,كُفْر,كَفَر,فَرّ,كَفْر
وكفارته	فارّ,فارَة,كَفّارَة
وقيل	قَيَّل,قال,قَيْل
وعبادة	عَبّاد,عابِد,عِباد,عِبادَة
وصلينا	صَلَّى,صَلِي-َ,صَلَى-ِ,وَصْل
وصدق	صَدَق,صِدْق,صَدَّق
وسمي	سُمِّيّ,سَمّ,سَمَّى,وَسْم,سَمِيّ
وزنا	وَزْن,وَزَن-ِ,زان-ِ,وَزّ,وَزَّة,زَنّ,زِنَى
ورفعه	رَفْعَة,رِفْعَة,رَفَع-َ,رَفْع,رَفَّع
ورايته	رايَة
وراءنا	وَراءَ,وَراء,راء
وداود	داوُد
وحق	حَقّ,حَقّ-ُِ
وحسابه	حِساب
وحجة	حِجَّة,حُجَّة,حَجّ
وتوضا	NOTFOUND
وتلاعبك	لاعَب,تَلاعُب
وتغتسل	ٱِغْتَسَل
وتصدق	تَصَدَّق,صَدَق,صَدَّق
وتره	رَها,وَتَر-ِ,تَرِه-َ,وَرَى-ِ,وَتَّر,وَتَر,رَأَى-َ,وِتْر
وبنو	بِن
وبسط	بَسُط,بَسْط,بَسَّط,بَسَط,بِساط
وانكم	إِنَّ,وَنَى-ِ,آن,أَنّ-ِ,أَنَّ
وانطلق	ٱِنْطَلَق
واليهود	يَهُودِيّ
والمهاجره	مُهاجَرَة,مُهاجِر
والمحاقلة	مُحاقَلَة
والمتفلجات	NOTFOUND
والخامسة	خامِس
والجنة	جِنَّة,جُنَّة,جَنَّة,لَجِن-َ
والتي	آلَة,الَّذِي
والاوزاعي	NOTFOUND
واصاب	أَصاب
واختار	ٱِخْتار
واجعلن	NOTFOUND
واتقي	ٱِتَّقَى,أَتْقَى,تَقَى-ِ
هامة	هامّ,هامَة,هام
نفست	نَفِس-َ,نَفَّس,نَفُس
نعل	نَعَّل,نَعَل-َ,أَعال,عَلا,نَعْل,أَعْلَى,عال-ِ,عال,نَعِل-َ,عَلَّى
نسيئة	نَسِيئَة
نسائها	نِساء,نَسّاء,نَساء
نسائكم	نَسّاء,نِساء,نَساء
نخلة	نَخْلَة,نَخَل,أَخْلَى,خَلّ,خَلا,خال-َ,نَخْل,خَلَّى,أَخَلّ
نؤمر	أَمَّر
منكما	مَنّ,مِن
منع	مَنْع,مَنَع
مناديا	مُنادِي,مُنادَى
ملجا	مَلَج,مَلْج
مكاننا	مَكان
مقبل	مُقْبِل
معتمرا	مُعْتَمِر
مطرنا	مَطِر,مَطَر,مَطْرَن
مضغة	مَضْغ,مَضَغ-َُ,مُضْغَة
مرابض	مَرْبِض
مخلدا	مُخْلِد,مُخَلَّد
محتلم	مُحْتَلِم
مانع	مانِع,مانَع,وَعَى-ِ
ليخرجن	خَرَج,خَرَّج,أَخْرَج
للمؤمن	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
لقتادة	قَتادَة,قَتاد
لطعام	طَعام
لحمها	حَم,حَمّ,لَحَم,لَحِم-َ,لَحْم,لَحِم,لَحَّم
لامراته	آمِر
لامرئ	اِمْرُؤ
لاربع	رَبَّع,أَرْبَع,رَبَع-َ
لاخيك	أَخ,وَخَى-ِ
لابيه	أَب,أَبِيّ,أَبِيه,آبِي
كمن	كَمَن,مَنّ,مَن,كَمِن-َ
كلمه	كَلَّم,لُمَّة,كَلِمَة,لِمَّة,لَمَّة,كَلْم
كلبي	كَلَب,كَلِب,كَلْبِيّ,كَلْب,لُبّ,كَلِيب
كتابتها	كِتابَة
قلوبكما	قَلُوب,قَلْب
قطعتم	قَطَع-َ,قَطَّع
قتلها	قَتَّل,قَتَل,قَتْل
قتلتموه	قَتَّل,قَتَل
قاضي	قاضَى,قاضِي
فيجعل	جَعَل-َ
فليصلها	صال,صَلِي-َ,وَصَل-ِ,صَلَّى,صَلَى-ِ,أَصْلَى
فليذبح	ذَبَّح,ذَبَح-َ
فليتزوج	تَزَوَّج
فليبدا	بَدّ
فكلم	كَلَّم,كَلْم
فقيرا	قِير,فَقِير,قَيَّر
فقلها	قِلّ
ففاضت	فاض-ِ
فعض	عَضّ,عَضّ-َ
فعدل	عَدَل-ِ,عَدْل,عَدَّل
فطرح	طَرَّح,طَرَح-َ,طَرْح,طَرْحَة
فصببت	صَبّ,صَبّ-َ
فصار	صار,صارِي
فسماه	سَمّ,سَمَّى,سامِي
فرغتن	فَرَّغ,فَرِغ-َ,راغ,فَرَغ
فرجة	رَجّ,فُرْجَة,فَرَّج,رَجَّة,فَرَج,فَرْج
فرارا	فَرّار,فِرار
فدعت	دَعّ-َ,دَعا
فخشيت	خَشِي-َ,خَشَّى
فحسن	حَسَّن,حَسَن,حَسُن,حُسْن
فجلده	جَلَد-ِ,جِلْد,جَلَد,جَلْد,جَلِد-َ,جَلْدَة,جَلَّد
فتي	تِي,فَتَى,فَتِي-َ,فَتِيّ
فبلغه	لُغَة,بُلْغَة,بَلَغ,بَلَّغ
فبكت	بَكَى-ِ,بَكَّى,بَكَّت,كَتّ
فاوتر	أَوْتَر,وَتَّر
فاكثر	أَكْثَر,كَثَّر,كَثُر
فاقمنا	قام,قَمّ,أَقام
فاقرا	أَقَرّ
فاغسلي	NOTFOUND
فاغسله	غَسَل-ِ,غَسَّل
فاستحييت	ٱِسْتَحْيَى
فاساله	أَسالَة,أَسال
فارسلوا	أَرْسَل
فاذنني	أَذِن-َ,أَذَّن,آذَن
فادعهم	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
فاخبرتها	أَخْبَر
فاحب	أَحَبّ,حَبّ-ِ,حَبا
فاتيناه	آتَى,أَتَى-ِ
فابدءوا	NOTFOUND
غنمك	غَنِم-َ,غُنْم,غَنَّم,غَنَم
غضبه	غَضْبَة,غَضِب,غَضَب
عملها	عَمِل-َ,عَمَل
عمارا	NOTFOUND
علام	عَلّام,عَلامَ
عقبيه	NOTFOUND
عضو	عُضْو
عصت	عَصَى-ِ,عَصّ-َ
عرفجة	NOTFOUND
عدا	عَدّ,عَدا
عامرا	عامِر
ظهرك	ظَهْر,ظُهْر,ظَهَر-َ,ظَهَّر
ظلمت	ظَلَم-َِ
طولها	طَوْل,طُول,طَوَّل
طرق	طَرِيق,طَرَق,طَرَّق
طرفيه	طَرَف,طَرَفِيّ
طاهرا	طاهَر,طاهِر
ضيفه	ضَيْف
صوتي	صَوْتِيّ,صَوْت,صُوَّة
صلاها	صَلَّى,صَلَى-ِ
صفة	صُفَّة,صَفّ,صِفَة
صابرا	صَبْرا,صابِر,صابَر
شماس	شَمّاس,شَمْسِيَّة
شعرها	شِعْر,شَعَر,شَعْر
شرف	شَرَف,شَرَّف,شَرُف
شانكم	شان-ِ
سهلا	سَهَّل,سَهُل,سَهْل
سميع	سَمِيع
سلف	سالِف,سَلَف,سَلَّف,سِلْف
سدرة	سِدْر,سِدْرَة
سترون	وَرَى-ِ,رَأَى-َ
سترا	سَتَر,سُتْرَة,سِتار,سِتْر,سَتَّر
سباب	سِباب,سَبّاب
سالتها	سال-ِ,لَتّ
ساقيه	ساقِي,ساق,ساقِيَة,وَقَى-ِ
سئلت	سَأَل-َ
زيارة	زِيارَة,أَزْيار
زدت	زاد-ِ
زانية	زانِي,زانِيَة
روحة	رَوَّح,رَوْحَة,رُوح,رَوْح
رمثة	رَمَث
ردوا	رَدِي-َ,رَدَّى,رَدّ
ردف	رَدِف-َ,رِدْف,رَدَف
رحمتي	رَحْمَة
رحمتك	رَحَّم,رَحْمَة,رَحِم-َ
رايناه	NOTFOUND
ذنوبي	ذَنْب
ذنب	ذَنْب,ذَنَب
ذكرني	ذَكَر,ذَكَّر
ديننا	دِين,دَيِّن,دَيْن
دونها	دُونَ,دَوَّن,دُون
دواء	دَواء,دِواء
خوف	خَوَّف,خَوْف,خائِف
خليد	NOTFOUND
خلفنا	خَلْف,خِلْف,خُلْف,خَلْفَ,خَلَف,خَلَّف
خلاس	NOTFOUND
خفت	خَفّ-ِ,خَفَت,خاف-َ,خَفَى-ِ
خفاف	خَفِيف,خَفاف,خُفّ
خزاعة	NOTFOUND
خزائن	خِزانَة
خبزا	خَبَز-ِ,خُبْز
خارجا	خارِجَ,خارِج
حناجرهم	حَنْجَر
حملكم	حَمْل,حَمَل,حَمَل-ِ,حِمْل,حَمَّل
حلوة	حَلَى,حُلْوَة,حَلَّى,حُلْو,حَلّ
حسد	حَسَد,حَسُود
حجرتها	حُجْرَة,حَجَر,حَجَّر
حجرا	حُجْرَة,حَجَر,حَجَّر,حَجْر,حِجْر
حبوا	حَبّ-ِ,حَبا,حَبْو
حاملا	حامِل
حاجتها	حاجَة,حاجّ,حاجَى
جعلهم	جَعَل-َ,جُعْل,جَعْل
جعد	جَعُد,جَعْد,جَعَّد
جاوز	جاوَز
جاريتان	جارِي,جارِيَة
توتر	أَوْتَر,وَتَّر,تَوَتَّر,تَوَتُّر
تنفق	نَفِق-َ,نَفَّق,أَنْفَق,نَفَق
تنالوا	نال-َ
تمضمض	تَمَضْمَض,مَضْمَض
تمتع	تَمَتُّع,مَتَّع,مَتَع-َ,تَمَتَّع,أَمْتَع
تماثيل	تِمْثال
تعجل	عَجَّل,أَعْجَل,تَعَجَّل,عَجِل-َ
تطوعا	طاع,تَطَوُّع,تَطَوَّع,طَوَّع
تضلوا	ضَلّ,أَضَلّ
تصلح	صَلُح,صَلَّح,أَصْلَح
تسمي	وَسَم-ِ,سَمّ,سَمَّى,تَسَمَّى,أَسْمَى,سَما
ترضي	رَضّ,أَرْضَى,رَضَّى,رَضِي-َ,تَرَضَّى
تجزي	وَجَز-ِ,أَجْزَى,جَزّ,جَزَى-ِ
تتبع	تَتَبَّع,تَبِع-َ,تَتَبُّع,أَتْبَع,ٱِتَّبَع
تبتغي	ٱِبْتَغَى
تامر	أَمَر,تامِر
تاكلون	أَكَل
بيوتنا	بَيُّوت,بَيْت
بيتنا	بَيْت,بَيَّت
بكيرا	بَكِير
بكافر	كافِر
بقصته	قَصَّة,قِصَّة
بقرونها	قَرْن
بقر	قَرّ,بَقَر
بقباء	قِباء
بعينه	عِينَة,عَيِّنَة,عَيْن
بصير	بَصِير
بساحة	ساحَة
بذات	ذات
بدينه	دِين,دَيِّن,دَيْن,بَدِين
بالولد	وَلَد
بالنبل	نابِل,نُبْل,نَبْل
بالطيب	طِيب,طَيِّب
بالسبابة	سَبّابَة,سَبّاب
بالحجر	حُجْرَة,حَجَر,حَجْر,حِجْر
بالبقيع	NOTFOUND
باعد	باعَد
باذني	إِذْن,آذِن,أُذُن,أُذُنِيّ
اولو	أُولُو,أَوَّل
اوتيت	آتَى
اهاب	هاب-َ,أَهاب,إِهاب
انهر	نَهْر,نَهار,ٱِنْهار,نَهَر-َ
انقضي	ٱِنْقَضَى
انحلت	أَنْحَل,ٱِنْحَلّ
اميرا	أَمِير
اليمانيين	يَمانِيّ
اليكما	آلِيّ,إِلَى,وَلِي-ِ
الوفد	وَفْد
النسائي	نِسائِيّ
النجم	نَجْم
الموالي	مُوالِي,مَوْلَى
المني	أَلَّم,آلَم,لام,مِنَى,لَمّ,أَلام,مَنَى,أَلِم-َ
المنذرين	مُنْذِر
المغنم	مَغْنَم
المعصفر	مُعَصْفَر
المسلمان	مُسْلِم,مُسَلَّم
المزفت	NOTFOUND
المخابرة	مُخابَرَة
المثاني	NOTFOUND
اللخمي	NOTFOUND
الكلم	كَلْم
القصر	قاصِر,قَصَر,قَصْر,قِصَر
القسم	قَسَم,قِسْم
القتلي	قَتِيل
العطاء	عَطاء
العسرة	عَسِر
الظلم	ظُلْم
الظفر	ظَفِر,ظُفُر,ظَفَر
الطحان	طَحّان
الضان	NOTFOUND
الصائغ	صائِغ
الشك	شَكّ,شِيك
الشطر	شَطْر
السنابل	سُنْبُل
السلولي	NOTFOUND
السلطان	سُلْطان
السراويل	سِرْوال
السباق	سابِق,سِباق,سَبّاق
الساقين	ساق
الزيادة	زِيادَة
الروضة	رَوْضَة
الرضاع	رِضاع
الراي	رَأْي
الديلمي	NOTFOUND
الختان	خِتان
الحنث	حِنْث
الحمراء	أَحْمَر
الجيشاني	NOTFOUND
