وطحنت	طَحَن-َ
قربوا	قَرَّب,قَرِب-َ,قَرُب
قراكم	قَرْيَة,قَرّ-َِ,قِرَى,قَرَى-ِ,قَرا
قراءتهم	قِراءَة
قذفه	قَذَّف,قَذْف,قَذْفَة,قَذَف-ِ
قدورنا	قِدْر
قدمني	قَدِم-َ,قَدَّم
قدرت	قَدَّر,قَدِر-َ,قَدَر-ِ,قَدَر
قحطان	قَحْطان
قتلتها	قَتَّل,قَتَل,قاتِل
قتلة	قَتَّل,قَتَل,قاتِل,قَتْل
قتالكم	قَتّال,قِتال,قاتِل
قتات	قَتّات
قبيلة	قُبَيْلَ,قَبِيلَة,قَبِيل
قبلتها	قَبَّل,قِبْلَة,قُبْلَة,قَبِل-َ
قبضت	قَبَّض,قَبَض-ِ
قباب	قُبَّة
قافلين	قافِل
قادما	قادِم
قاتلي	قاتِل
فيوم	يَوْم,فَيُّوم
فيوقف	وَقَّف,أَوْقَف
فيوعي	وَعَّى,وَعَى-ِ,أَوْعَى
فينتقل	ٱِنْتَقَل
فيكشف	كَشَف-ِ
فيقولها	قال
فيقسم	أَقْسَم,قَسَم-ِ,قَسَّم
فيقدمه	قَدِم-َ,أَقْدَم,قَدَّم
فيقتتلون	ٱِقْتَتَل
فيقبض	قَبَّض,قَبَض-ِ
فيفعل	فَعَل-َ
فيعطيها	أَعْطَى
فيعضلها	عَضَل
فيطوف	طاف,طَوَّف
فيطلقها	طَلَق,طَلَّق,أَطْلَق
فيضعه	ضاع-ِ,وَضَع,أَضاع
فيضربه	ضَرَب,أَضْرَب,ضَرَّب
فيصيبون	أَصاب
فيشهدن	شَهِد-َ,أَشْهَد
فيشفع	شَفَع-َ
فيستهل	ٱِسْتَهَلّ,ٱِسْتَهال
فيستشهد	ٱِسْتَشْهَد
فيستحي	ٱِسْتَحْيَى
فيستبيح	ٱِسْتَباح
فيسبوا	سَبّ,سَبَى-ِ
فيراهما	رَأَى-َ
فيدنو	دَنا
فيتوضا	NOTFOUND
فيتساقطون	تَساقَط
فيبرك	أَبَرّ,بَرَى-ِ,بَرَك,أَبار,أَبْرَك,بَرَّك
فيبارك	بارَك,بارَى
فياكلون	أَكَل
فيا	يا
فيؤتي	آتَى
فوعظ	وَعْظ,وَعَظ
فورث	وَرِث-ِ,وَرَّث,وِرْث
فوجدتها	وَجَد-ِ
فوثبت	وَثَب-ِ
فهممت	هَمّ
فننزل	نَزَل-ِ,أَنْزَل,نَزَّل,نَزِل-َ
فنقبت	نَقَّب,نَقَب,نَقِب
فنفلني	فَلّ,فَلَى-ِ,فَلَّى
فنصفها	صَفا,نَصَف,صَفَّى,أَصْفَى,صَفّ,نِصْف,وَصَف-ِ,نَصَّف
فنسي	نَسِي-َ,نَسْي,نَسِيّ
فندر	دَرَى-ِ,أَدْرَى,أَدار,أَدَرّ,نَدَر,نَدُر,دَرّ-ُِ,نَدْر,دار
فنبذه	نَبَذ-ِ,نَبَّذ,نُبْذَة,بَذّ,نَبْذ
فناكله	أَكَل
فناره	نار,فَنار
فنار	نار,فَنار
فملا	مَلّ-َ,مَلّ,مَلا,مُلّا
فمسحوا	مَسَّح,مَسَح-َ
فمسحت	مَسَّح,مَسَح-َ
فمست	مَسَى,مَسَّى,مَسّ-َ,ماس-ِ
فمثله	مِثْل,مَثَل,مَثَّل
فليهلل	هَلّ-ِ,أَهَلّ,هَلَّل
فليكفر	كَفَر-ِ,كَفَّر,أَكْفَر
فليقعد	قَعَد,أَقْعَد,قَعَّد
فليعنه	أَعان,عَنَى-ِ,عَنَّى,عَنا
فليعمل	عَمِل-َ,أَعْمَل
فليعتزلنا	NOTFOUND
فليصبر	صَبَّر,صَبَر-ِ
فليستتر	ٱِسْتَتَر
فليست	لَيِس-َ,لَيْسَ
فليرقه	رَقَّى,يَرَقَة,أَراق,راق-ِ,رَقِي-َ,أَرَقّ,راق
فليردها	رَدِي-َ,راد,رَدَّى,أَراد,رَدّ,أَرْدَى,وَرَد-ِ
فليرده	رَدِي-َ,راد,رَدَّى,أَراد,أَرْدَى,رَدّ,وَرَد-ِ
فلير	وَرَى-ِ,لِيدز,رَأَى-َ
فليت	فَلَى-ِ,لَيْتَ,فَلَّى
فليبعها	باع-ِ,أَباع
فلياتها	أَتَى-ِ
فلنولينك	NOTFOUND
فللاخت	أُخْت
فلقيهما	لَقِي-َ,قِياء,فَلْق
فلفت	أَلْفَت,لَفَت-ِ,لاف,لِفْت,لَفْت,لَفّ,لَفَّت
فلعلها	لَعْل,لَعَلَّ
فلعلك	لَعْل,لَعَلَّ,عِلْك,عَلْك
فلدغته	لَدْغَة,لَدَغ
فلدغ	لَدَغ
فلتنفر	نَفَّر,نَفَر
فلاصلي	أَصْل,أَصَلَة,صَلِي-َ,صَلَّى,صَلَى-ِ,أَصْلِيّ,أَصْلَى
فل	فَلّ,لِ,فُلّ
فكلموه	كَلَّم
فكشفت	شِفْت,كَشَف-ِ
فكذبوه	كَذَب-ِ,كَذَّب
فكبرا	كِبْر,كِبَر,كُبْر,كَبَّر,كَبَر
فكانا	آنا,أَنا,كان,فَكّ
فقنت	قَنَى-ِ,قَنا,قَنَت
فقلتها	قَلا,قال,قُلَّة,قِلَّة,قَلَى-ِ,قَلَّة
فقلتما	قال
فقلب	قَلَب-ِ,قَلْب,قَلَّب
فقربت	قَرَّب,قَرِب-َ,قَرُب
فقدموا	قَدِم-َ,قَدَّم
فقاتلهم	قاتَل,قاتِل
ففلت	فَلّ,فَلَى-ِ,فَلَت-ِ,فال-ِ,فَلَت,فُلْط,فَلَّى
ففقده	فَقْد,فَقَد-ِ
ففرح	فَرِح-َ,فَرَح,فَرِح,فَرَّح
ففت	فَتّ,فات
فغزا	غَزا
فعم	عَمّ
فعلوها	عُلُوّ,فَعَل-َ,عَلا,عَلَّى
فعلوت	عَلا
فعلمها	عَلِم-َ,عِلْم,عَلَم,عَلَّم
فعلتموه	فَعَل-َ,عال
فعرفوا	عَرَّف,عَرَف-ِ
فعدوا	عَدّ,عَدَّى,عَدا,عَدُوّ,عَدْو
فعدناه	عاد
فعاده	عادَة,عاد
فعادت	عادَى,عاد
فعاب	عاب-ِ
فطلعت	طَلَع
فطلبوه	طَلَب
فطاطاه	NOTFOUND
فطار	طار-ِ
فضيخ	NOTFOUND
فضمني	ضِمْنَ,ضَمّ,ضِمْنِيّ,ضِمْن
فضلكم	فَضْل,ضَلّ,فَضَّل
فضلة	فَضْل,ضَلّ,فَضْلَة,فَضَّل
فضع	NOTFOUND
فضربها	ضَرَب,ضَرَّب,ضَرْب
فضاق	ضاق
فصعدا	صَعِد-َ,صَعِيد,صَعَّد
فصرعتها	صَرَع-َ
فصرخ	صَرَخ
فصدقهم	صِدْق,صَدَّق
فصحوا	صَحّ-ِ,صَحَّى,صَحِي-َ,صَحْو,صَحا,فَصُح
فصاحت	صاح-ِ
فصاحب	صاحَب,صاحِب
فشوبوه	NOTFOUND
فشهادة	شَهادَة
فشققتها	شَقّ,شَقَّق
فشربتم	شَرِب-َ,شَرَّب
فسيبرئك	أَبْرَأ,بَرَّأ
فسوي	سَوَّى,فَسْو,سَوِيّ,سِوَى,سَوِي-َ
فسمه	سَمّ,سِمَة
فسماني	سَمّ,سَمَّى,سُمانَى,سَمّان
فسلوني	سَلّ,سَلِي-َ,سَلَّى,سَلا
فسلموا	سَلَّم,سَلِم-َ
فسلما	سُلَّم,سَلَّم,سَلِم-َ,سِلْم
فسعوا	سَعَى-َ
فسطاطه	فُسْطاط
فسري	سِرِّيّ,سَرِيّ,سُرّ,سَرِي,سِرّ,سَرَى-ِ,سَرَّى,سُرِّيّ
فسترته	سَتَر,رَتَّى,رَتا,سُتْرَة,سَتَّر
فسبه	سَبّ,سُبَّة,سَبَّة,سَبَه
فسبقها	سَبَّق,سَبْق,سَبَق-ُِ,سَبَق
فسبق	سَبَّق,سَبْق,سَبَق-ُِ,سَبَق
فزوروا	زَوَّر
فزوجها	زَوَّج,زَوْج
فروج	فَرُّوج,رُوج,فَرْج,رَوَّج
فركبنا	رِكاب,رُكْبَة,رَكْب,رَكِب-َ,رَكَّب
فركبا	رِكاب,رُكْبَة,رَكْب,رَكَّب,رَكِب-َ
فرقاه	فَرَق,رَقَّى,فَرَّق,رُقْيَة,راقِي
فرعا	فَرَّع,فَرْع,رَعا
فرسين	رَسَّى,فَرَس
فردوني	رَدِي-َ,رَدَّى,فَرَّد,رَدّ
فرحهم	فَرِح-َ,فَرَح,فَرِح,فَرَّح
فراوا	NOTFOUND
فرانا	رانا,فَرَّى,ران-ِ,فِرْيَة,فَرّان,فَرَى-ِ,فَرّ-ِ
فراشها	راش,فَرّاش,فِراش
فراجعته	راجِع,راجَع
فذكروني	ذَكَر,ذَكَّر
فذبحت	ذَبَّح,ذَبَح-َ
فديناك	دَيِّن,فَدَى-ِ
فدين	دِين,دَيِّن,دَيْن,دان-ِ,فَدَى-ِ
فدهنت	دَهَن,دَهَّن
فدمعت	دَمَع-َ
فدعيت	دَعا
فدعني	وَدَع-َ,دَعّ-َ
فدثروني	دَثَّر
فداءه	فِداء,داء
فخيرت	خَيْرَت,خَيَّر
فخلوا	خَلّ,خِلْو,خَلا,خُلُوّ,خَلَّى
فخلاصه	خُلاصَة,خَلاص
فحلوا	حَلّ-ِ,حَلَى,حَلَّى,حَلِي-َ,حَلُو,حُلْو,حَلّ
فحلها	فَحْل,حِلّ,حَلّ
فحلفوا	حَلَّف,حَلَف-ِ
فحق	حَقّ,حَقّ-ُِ
فحفر	حَفَر-ِ,حُفْرَة,حَفْر
فحشه	فُحْش,حَشّ
فحزرنا	حَزْر,حَزَر-ُِ
فحزرت	حَزَر-ُِ
فحركت	حَرَّك
فحذفه	حَذْف,حَذَّف,حَذَف-ِ
فحدثتني	حَدَث
فحدثتنا	حَدَث
فحججت	حَجّ
فحثي	حَثّ
فحث	حَثّ
فحتها	حَتّ,فَحّ
فجملوها	جَمَّل,جَمَل
فجزاهم	جَزَى-ِ,جَزّ,جِزْيَة
فجرح	جُرْح,جَرَّح,جَرَح-َ
فجالت	جال
فثلطت	NOTFOUND
فثاب	ثاب
فتياك	فَتَى,فَتِيّ
فتوجه	وَجَّه,تَوَجَّه,تَوَجُّه,تَوَّج
فتناولت	تَناوَل
فتنازعوا	نازَع,تَنازَع
فتمنيت	تَمَنَّى
فتمطر	مَطَر,أَمْطَر
فتمرغت	تَمَرَّغ
فتلقاها	لَقِي-َ,تَلَقَّى
فتلاحي	تَلاحَى,أَلاح
فتقام	أَقام
فتغضبت	تَغَضَّب
فتعوذوا	تَعَوَّذ,عاذ,عَوَّذ
فتعشي	عَشِي-َ,أَعْشَى,عَشَّى,عَشا,تَعَشَّى
فتعجلت	تَعَجَّل
فتطهري	طَهَّر,طَهَر
فتطلع	أَطْلَع,ٱِطَّلَع,تَطَلَّع,طَلَع,تَطَلُّع
فترت	فَتَر,رَتا,رَتَّى,فَتَّر
فتراه	فَتَر,فَتَّر,رَأَى-َ
فتذاكرنا	تَذْكَرَة,تَذاكَر,ذاكَر
فتحبس	حَبَس-ِ
فتاخر	تَأَخُّر
فبين	يِن,بِين,بَيَّن,بَيْنَ,بَيِّن
فبلغني	بَلَغ,بَلَّغ
فبلغنا	بَلُغ,بُلْغَة,بَلَغ,بَلَّغ
فبعثهم	بَعَث-َ,عُثّ,بَعْث
فبصر	بَصِر-َ,بَصُر,بَصَّر,بَصَر
فبشره	بُشْر,بَشَر-ِ,شَرّ,بِشْر,شِرَّة,بَشَر,بَشَّر,بُشْرَة,بَشَرَة,بَشِر-َ,شَرَه,شَرِه
فبايعوا	بايَع
فاوي	أَوَى-ِ,أَوَّى,آوَى
فاوف	وَفَّى,أَوْفَى
فاهلوا	أَهَلّ
فاهلك	أَهال,هَلَّك,هال-ِ,هال,هَلَك,هَلّ-ِ,أَهْلَك,أَهْل,أَهَلّ,آهِل
فاهريقوا	NOTFOUND
فاهد	هاد,أَهْدَى,هَدّ-ِ,هَدَى-ِ,هَدّ
فانهزم	ٱِنْهَزَم
فانفري	NOTFOUND
فانفذه	نَفَذ,أَنْفَذ,نَفَّذ
فانزلها	نَزَل-ِ,أَنْزَل,نَزَّل,نَزِل-َ
فانحطت	ٱِنْحَطّ
فانحرفوا	ٱِنْحَرَف
فانتشد	NOTFOUND
فاملت	أَمَل-َ,أَمْلَى,أَمال,أَمَلّ,أَمَّل
فامكنني	أَمْكَن
فامتحنوهن	ٱِمْتَحَن
فالينا	آلِيّ,إِلَى,لَيَّن,وَلِي-ِ,أَلْيَن,آلَى
فالناس	ناس
فالقت	أَلَق-ِ,قَتّ,أَلْقَى
فالقاها	فالِق,لَقِي-َ,أَلَق-ِ,أَلْقَى
فالغسل	غِسْل,غُسْل
فالتمست	ٱِلْتَمَس
فالبسها	لَبَّس,لَبِس-َ,أَلْبَس
فاقيم	قَيَّم,أَقام
فاقعد	قَعَد,أَقْعَد,قَعَّد
فاقضوا	أَقَضّ
فاقصص	قَصّ,قَصَّص
فافيض	فاض-ِ,أَفاض
فافطرنا	أَفْطَر,فَطَر
فافرغت	أَفْرَغ
فافتل	فَتَّل,فَتَل-ِ
فاغلظ	أَغْلَظ,غَلُظ,غَلَّظ
فاعينوهم	NOTFOUND
فاعي	عَيِي-َ,وَعَى-ِ,أَعْيَى
فاعله	أَعال,فاعِل,فاعَل,عَلا,أَعْلَى,عال,عَلَّى
فاعقبني	عَقَب,أَعْقَب,عَقَّب
فاعطانيه	NOTFOUND
فاعتقي	NOTFOUND
فاعتدي	ٱِعْتَدَى,عَتاد
فاعتددت	ٱِعْتَدّ
فاعارته	أَعار,إِعارَة
فاظفر	ظَفِر-َ,أَظْفَر,ظَفَّر
فاضلة	فاضِل,فاضِلَة,فاضَل,ضَلّ,أَضَلّ
فاضربه	ضَرَب,أَضْرَب,ضَرَّب
فاضاعه	إِضاعَة,أَضاع
فاصرفه	صَرَّف,صَرَف-ِ
فاشتكت	ٱِشْتَكَى
فاشترط	ٱِشْتَرَط
فاسهم	أُسّ,آس,سَهْم,أَسْهَم,سَهَم,فاس
فاسلمتني	أَسْلَم
فاسفر	أَسْفَر,سَفَر-ِ,سَفَّر
فاستوصوا	ٱِسْتَوْصَى
فاستكمل	ٱِسْتَكْمَل
فاستقبلني	ٱِسْتَقْبَل
فاستقبلنا	ٱِسْتَقْبَل
فاستفتيت	ٱِسْتَفْتَى
فاستعين	ٱِسْتَعان
فاستعذر	ٱِسْتَعْذَر
فاستعدي	ٱِسْتَعْدَى
فاستطاع	ٱِسْتَطاع
فاسترجع	ٱِسْتَرْجَع
فاستاخرت	NOTFOUND
فارسي	رَسا,رَسَّى,فارِس,فارِسِيّ,أَرْسَى
فاردفني	أَرْدَف,رَدِف-َ,رَدَف
فارحمها	رَحَّم,رَحِم-َ
فارجو	رَجا
فارتحل	ٱِرْتَحَل
فاراهم	فارّ,فار,رَأَى-َ
فاذنوني	أَذِن-َ,أَذَّن,آذَن
فادمته	أَدام,أَدَمَة,أَدْمَى
فادخلوا	أَدْخَل,دَخَل
فادخلني	أَدْخَل,دَخَل
فادبها	آدِب,أَدَب,آدَب,أَدَّب,دَبّ-ِ,أَدْب
فاداها	أَدّ,أَدَّى,آد,فادَى
فاخوانكم	أَخ
فاخفاها	أَخَفّ,أَخْفَى
فاخذهما	آخِذ,أَخْذ,أَخَذ,آخَذ,أَخَّذ
فاحلفهما	حَلَّف,حَلَف-ِ
فاحضر	حَضَّر,أَحْضَر,حَضَر
فاحرقتها	أَحْرَق
فاحث	حَثّ,حَثا,أَحاث
فاحتمل	ٱِحْتَمَل
فاجمعوا	أَجْمَع
فاجرني	آجَر,جار,أَجَر,أَجار,أَجَّر,أَجْرَى,جَرَى-ِ,أَجَرّ,جَرّ
فاجرا	آجَر,فاجِر,أَجَر,أَجَّر,أُجْرَة,أَجْر,أَجَرّ
فاجتلدت	NOTFOUND
فاجبنا	جُبُن,جَبَى-ِ,جَبَّى,أَجْبَن,جاب,جَبَّن,جَبّ,أَجاب
فاتخذت	ٱِتَّخَذ
فاتبعني	تَبِع-َ,أَتْبَع,ٱِتَّبَع
فابيع	باع-ِ,أَباع
فابطا	إِبْط
فابصره	بَصِر-َ,أَبْصَر,بَصُر,بَصَّر
فابشروا	أَبْشَر
فابرد	بَرَد,بَرَّد,بَرُد,أَبْرَد
فابتني	آب,ٱِبْتَنَى,بَتّ,بات-ِ,أَبات,أَبّ,أَبَى-َ
فابتعت	ٱِبْتاع
فئتان	فِئَة
فؤاد	فُؤاد
غيظا	غَيْظ,غَيَّظ
غيظ	غَيْظ,غَيَّظ
غيرهما	غَيَّر,غَيْر
غيرته	غَيَّر,غَيْرَة
غناء	غَناء,غِناء,أَغَنّ
غلمانكم	غُلام
غلمانا	غَلِم,غُلام
غلبة	غَلَب-ِ,غَلْبَة
غلامين	NOTFOUND
غلا	غَلا,غُلّ,غِلّ,غَلّ-ِ,غَلّ
غطيطه	غَطِيط,غُطَيْط
غطت	غَطا,غَطّ,غَطَّى
غصنا	غَصَّن,غُصْن,غاص
غشينا	غَشْي,غَشِي-َ,غَشَّى
غزوته	غَزا,غَزْو
غرمائه	غَرِيم
غبا	غِبّ,غَبّ-َ,غَبّ
غارم	NOTFOUND
