لينتعلهما	ٱِنْتَعَل
لفاعنا	لِفاع
لفاعله	فاعِل,فاعَل
لفائف	لِفافَة
لفئتم	فاء-ِ
لغيور	غَيُور
لغيرهم	غَيَّر,غَيْر
لغيرة	غَيَّر,غَيْر,غَيْرَة
لغيت	لَغِي-َ
لغية	غَيّ,غَيَّة,لَغِي-َ
لغنية	غَنِيّ,غُنْيَة
لغلامين	NOTFOUND
لغلامه	غُلام
لغفور	غَفُور
لغفرها	غَفْر,غَفَر,غَفَّر
لغطهم	لَغْط,غَطّ
لغطه	لَغْط,غَطّ
لغط	لَغْط,لَغَّط,غَطّ,لَغَط-َ
لغروب	غُرُوب
لغرفا	غَرَف-ِ
لغدرته	غَدَر-ِ
لغتان	لُغَة
لغبوا	غَبّ-َ,غَبّ,غَبِي-َ
لغامها	غامّ,لُغام
لغارم	NOTFOUND
لعين	عَيَّن,لَعِين,عَيْن
لعيرهم	عَيْر,عَيَّر
لعيبها	لِعِّيب,عَيْب,عَيَّب
لعهدنا	عَهْد,عَهِد-َ
لعنه	لَعَن-َ,عُنَّة,لَعْنَة,لُعْنَة,لَعْن
لعنكن	لَعَن-َ,لَعْن
لعنك	لَعَن-َ,لَعْن
لعندي	عِنْدَ
لعندهم	عِنْدَ
لعنتي	عُنَّة,لَعْنَة,عَنَت,لُعْنَة
لعنتوا	عَنَّت,عَنِت-َ
لعنتهما	لَعَن-َ,عُنَّة,لَعْنَة,عَنَى-ِ,عَنَت,لُعْنَة,عَنَّت,عَنَّى,عَنا,عَنِت-َ
لعنتهم	لَعَن-َ,عُنَّة,عَنَى-ِ,عَنَت,لَعْنَة,لُعْنَة,عَنَّت,عَنَّى,عَنا,عَنِت-َ
لعنتم	لَعَن-َ,عَنَّت,عَنِت-َ
لعمود	عَمُود
لعمهما	عَمّ
لعمهم	عَمّ
لعملناه	عَمِل-َ
لعملك	عَمِل-َ,عَمَل
لعمرك	عَمَر,عَمُر,عُمْر,عَمَّر,عُمَر
لعمرتهم	عَمَر,عُمْرَة,عَمُر,عَمَّر
لعمرتكم	عَمَر,عَمُر,عُمْرَة,عَمَّر
لعليلة	عَلِيل
لعليك	عَلِيّ
لعلهما	لَعْل,لَعَلَّ
لعلمه	عَلِم-َ,عُلْمَة,عِلْم,عَلَم,عَلَّم
لعلف	عَلَف
لعلات	عِلَّة
لعكراش	NOTFOUND
لعقها	لَعِق-َ,عَقّ
لعقرته	عَقَّر
لعقتي	لُعْقَة,عَقّ
لعقبه	عَقَب,عُقْب,عَقَّب,عَقَبَة
لعقبك	عُقْب,عَقَب,عَقَّب
لعظماء	عَظِيم
لعصبة	عَصَب,عَصَب-ِ,عَصَّب,عَصَبَة
لعشاء	عَشاء,عِشاء
لعسي	عَسِيّ,عَسّ
لعرقا	عِرْق,عَرِق-َ,عَرَّق
لعرفت	عَرَّف,عَرَف-ِ
لعدوهم	عَدّ,عَدَّى,عَدا,عَدُوّ,عَدْو
لعدوكم	عَدّ,عَدَّى,عَدا,عَدُوّ,عَدْو
لعدو	عَدُوّ,عَدْو
لعجز	عَجْز,عَجِز-َ,عَجُز,عَجَّز
لعجبا	عَجِب-َ,عَجَّب
لعتقت	عَتُق,عَتَق-ِ
لعتبة	عَتَبَة,عَتَب,عَتْب,عَتَّب
لعبيدة	عُبَيْدَة,عُبَيْد,عَبْد
لعبوا	عَبا,عَبَّى,لَعِب-َ,عَبّ
لعبده	عَبَد,عَبَّد,عَبْدُه,عَبْد
لعبت	عَبا,عَبَّى,لَعِب-َ,عَبّ,عاب-ِ
لعباس	عَبّاس
لعباده	عَبّاد,عابِد,عِباد,عِبادَة
لعبادة	عَبّاد,عابِد,عِباد,عِبادَة
لعبا	عَبا,لَعِب-َ,عَبّ,لَعْب
لعانهما	لَعْنَة,لِعان
لعان	لَعْنَة,عانِي,لِعان
لعامه	عام,عامّ,عامَّة
لعاش	عاش
لعاب	لُعاب,لَعّاب,عاب-ِ
لظعنه	ظَعَن-َ,ظَعْن
لظئرين	NOTFOUND
لطيفة	طَيَّف,لَطِيفَة,لَطِيف,طَيْف
لطيبها	طَيَّب,طِيب,طَيِّب
لطوله	طَوْل,طُول,طَوَّل
لطولتها	طَوَّل
لطمس	طَمَس-ِ,طَمْس
لطمته	طَما,لَطْمَة,طَمَى-ِ,لَطَم-َ,طَمّ
لطلقك	طَلَق,طَلَّق,طَلْق
لطعمته	طُعْمَة,طَعَّم,طَعِم-َ
لطعمت	طَعَّم,طَعِم-َ
لطعامها	طَعام
لطتها	لاط
لضعيفهم	ضَعِيف
لضعيف	ضَعِيف
لضرسي	ضَرَس,ضِرْس
لضرار	NOTFOUND
لضراب	NOTFOUND
لضباعة	ضَبْع
لصيد	صَيْد
لصوقها	لَصُوق
لصوص	صُوص,لِصّ
لصوته	صَوَّت,صَوْت,صُوَّة
لصنمين	صَنَم
لصنم	صَنَم
لصلبي	صُلْب,صُلْبِيّ,صَلْب
لصلاتنا	صَلاة,صِلَة
لصق	لَصْق,لَصِق-َ,لَصَّق,لِصْق,لَصِق
لصفوان	صَفْوان
لصفة	صُفَّة,صَفّ,صِفَة
لصغير	صَغِير
لصديقك	صَدِيق,صِدِّيق
لصديق	صَدِيق,صِدِّيق
لصدقة	صَدَقَة,صِدْق,صَدَّق
لصخر	صَخْر,صَخَّر
لصحيفته	صَحِيفَة
لصحبتها	صَحِب-َ,صُحْبَة
لصحبته	صَحِب-َ,صُحْبَة
لصبياننا	صَبِيّ
لصارت	صار
لصار	صار,صارِي
لص	لَصّ,لِصّ
لشيئه	شَيْء
لشهيد	شَهِيد
لشهر	شَهَّر,شَهْر,شَهَر-َ
لشهدها	شَهِد-َ
لشقيق	شَقِيق
لشقه	شَقّ,شَقَّة,شُقَّة,شِقّ
لشغلهم	شَغَّل,شَغَل-َ,شُغْل,شَغْل
لشغلكم	شَغَّل,شَغَل-َ,شُغْل,شَغْل
لشعرة	شِعْر,شَعَر,شَعْر
لشعبان	شَعْب,شَعْبان
لشطر	شَطْر,شَطَر,شَطُر
لشربتهما	شَرِب-َ,شَرَّب,شَرْبَة
لشرابهم	شَرّاب,شَراب,شُرّاب
لشبيه	شَبِيه
لشبع	شَبِع-َ,شَبْع,شَبَّع
لشبر	شَبَّر,شِبْر,شَبَر
لشاني	NOTFOUND
لسيد	سَيِّد
لسويد	سُوِيد
لسوار	سارِيَة,سِوار
لسوء	سُوء
لسنه	سِنّ,لَسَن,لاس,سُنَّة,سَنَة,سَنّ,أَلْسَن,لَسَّن,لَسِن
لسنتي	سُنَّة,سِنْت,سَنَة,لَسِن
لسنان	سِنان,سِنّ,لَسِن,سَنّان
لسميت	سَمَّى
لسمعه	سَمَّع,سَمِع-َ,سَمْع,سُمْعَة
لسمع	سَمَّع,سَمِع-َ,سَمْع
لسلكتموه	سَلَّك,سَلَك
لسقيهم	سَقْي
لسقط	سَقْط,سُقْط,سَقَط
لسقائه	سَقّاء,سِقاء
لسفينة	سَفَى-ِ,سَفِين,سَفِينَة
لسفرته	سَفَر-ِ,سَفَّر,سَفْرَة,سُفْرَة
لسعية	سَعْي
لسرني	سَرّ
لسرعة	سَرَّع,سَرُع,سُرْعَة,سُرْع
لسرادق	سُرادِق
لسجودك	سُجُود,ساجِد
لسبيعة	NOTFOUND
لسبعون	سَبْعُون
لسبب	سَبَب,سَبَّب
لسانان	NOTFOUND
لسانا	لِسان,سانا
لسالته	سال-ِ
لسارة	سار-ِ,سارّ
لسابع	سابِع
لسائق	سائِق
لسئول	سَأّال
لزيق	زِيق,زَيَّق
لزياد	زِياد
لزومهن	زُوم,زَوَّم,لُزُوم
لزوم	زُوم,زَوَّم,لُزُوم
لزوجي	زَوْجِيّ,زَوْج
لزوجتك	زَوَّج,لُزُوجَة,زَوْجَة
لزوجت	زَوَّج
لزوجة	زَوَّج,لُزُوجَة,زَوْج,زَوْجَة
لزهيد	زَهِيد
لزمعة	NOTFOUND
لزمته	لَزْمَة,زام,لَزِم-َ,زَمّ
لزمتني	زام,لَزِم-َ,زَمّ
لزمت	زام,لَزِم-َ,زَمّ
لزمانته	زَمانَة
لزقت	زَقّ,لَزَّق,لَزِق-َ,زَقا
لزق	زَقّ,لَزَّق,لِزْق,لَزِق,لَزِق-َ
لزر	زَرّ,زِرّ
لزاما	زام,لِزام
لزارتكم	زار
لزادنا	زاد-ِ,زاد
لزائدة	زائِدَة,زائِد
لريق	رَيِّق,رِيق
لروحة	رَوَّح,رَوْحَة,رُوح,رَوْح
لركعتهما	رَكَّع,رَكَع-َ,رَكْعَة
لرقية	رُقَيَّة,رُقْيَة,رَقِي-َ,رُقِيّ
لرفعتك	رَفْعَة,رِفْعَة,رَفَع-َ,رَفَّع
لرغبتك	رَغِب-َ,رَغْبَة
لرسولك	رَسُول
لرزيق	رَزِيق
لرزقكم	رَزَق,رِزْق
لرزقتم	رَزَق
لرديف	رَدِيف
لرحم	رَحَّم,رَحِم,رَحِم-َ
لرحله	راحِل,رَحّال,رَحَل-َ,رَحْل,رَحَّل,رِحْلَة
لرحلت	رَحَّل,رَحَل-َ
لرجوت	رَجا
لرجالا	NOTFOUND
لربيعة	رَبِيعَة,رَبِيع
لربعي	رُبْعِيّ,رَبْع,رُبْع
لرباط	رِباط
لراق	راق-ِ,راقِي,راق
لراغب	راغِب
لرادك	راد
لرؤية	رُؤْيَة
لرءوف	رَؤُوف
لذوي	ذَوَى-ِ,ذَوِي-َ,ذُو
لذو	NOTFOUND
لذنوبهم	ذَنْب
لذنبي	ذَنْب,ذَنَبِيّ,ذَنَب
لذنب	ذَنْب,ذَنَب
لذريتك	ذَرَى-ِ,ذُرِّيّ,ذَرِّيّ,ذُرِّيَّة,ذَرَّى
لذراري	ذُرِّيَّة
لذة	لَذِيذ,لَذَّة
لذا	لَذّ-َ,لِذا,لَذِيذ
لديني	دِين,دَيِّن,دِينِيّ,دَيْن
لدينك	دِين,دَيِّن,دَيْن
لدينا	دِينا,دَيِّن,لِدَة,دان-ِ,لَدَى
لدوهم	لِدَة,لَدّ
لدوس	دُوس,دَوْس
لدنياه	دَنِيّ,دَنَّى,لَدُنِيّ,دُنْيا
لدنه	لَدَّن,لَدْن,لَدُن,دان-ِ
لدغفل	NOTFOUND
لدغة	لَدْغَة,لَدَغ
لدعوة	دَعْوَة,دَعّ-َ,دَعا
لدراهمك	دِرْهَم
لدخولي	دُخُول
لدخوله	دُخُول
لدخلته	دُخْلَة,دَخَل,دُخَّلَة,دِخْلَة
لدخلتم	دَخَل
لدخلت	دَخَل
لدحيم	NOTFOUND
لدابة	دابَّة
لخيرهم	خَيِّر,خَيْر,خَيَّر
لخيرة	خَيِّر,خِيرَة,خَيْر,خَيَّر,خَيْرَة
لخندقا	خَنْدَق
لخليق	خَلِيق
لخليفتين	خَلِيفَة
لخليفة	خَلِيفَة
لخليط	خَلِيط
لخلف	خِلْف,خَلْف,خُلْف,خَلْفَ,خَلَف,خَلَّف
لخلائه	خَلاء
لخصالا	NOTFOUND
لخص	لَخَّص,خَصّ,خُصّ
لخالتي	خالَة
لخادمه	خادِم
لحيتي	حَيّ,لُحَيَّة,حَيَّة,لِحْيَة
لحيانية	NOTFOUND
لحياة	حَيّا,حَياة,حَيّ-َ,حَيّ,لَحَى,لَحْي
لحوائجهما	حاجَة
لحوائجكن	حاجَة
لحوائج	حاجَة
لحمير	حِمار
لحملت	حَمَل-ِ,حَمَّل
لحملة	حَمْل,حَمْلَة,حَمَل,حِمْل,حَمَل-ِ,حَمَّل
لحمل	حَمْل,حَمَل,حِمْل,حَمَل-ِ,حَمَّل
لحمزة	حَمْزَة,حَمْز,حَمَز-ِ
لحمتي	حُمَة,حَمَّة,حُمَّة,لَحْم,لَحِم,لُحْمَة
لحمتها	حُمَة,حام,حُمَّة,حَمَّة,حَمّ,لَحَم,حَمَى-ِ,لَحِم-َ,لَحْم,لَحِم,حَمَّى,لُحْمَة,لَحَّم
لحليته	حَلَى,حِلْيَة,حَلَّى
لحله	حِلَّة,حِلّ,حَلَّة,حُلَّة,حَلّ
لحلفت	حَلَف-ِ,حَلَّف
لحلت	حَلّ-ِ,حَلَى,حَلَّى,حال,حَلُو,حَلّ
لحكيت	حَكَى-ِ
لحكمه	حَكَّم,حُكْم,حَكَم,حِكْمَة
لحكمة	حَكَّم,حُكْم,حَكَم,حِكْمَة
لحكم	حَكَّم,حُكْم,حَكَم
لحقوهم	حَقْو,لَحِق-َ
لحقوه	حَقْو,لَحِق-َ
لحقه	حُقَّة,حَقّ,لَحِق-َ,لَحَق
لحقا	لَحِق-َ,لَحَق,حَقّ-ُِ
لحف	لِحْف,حَفّ,لِحاف,حَفّ-ِ,لَحَف-َ
لحشرة	حَشَر-ُِ,حَشْر,حَشَرَة
لحسين	حُسَيْن
لحسنهن	لَحَس-َ,حَسَن,حَسَّن,لَحِس-َ,حُسْن
لحرمة	حُرْمَة,حَرَّم,حَرَم,حَرَم-ُِ
لحرم	حَرِم-َ,حُرْمَة,حَرُم,حَرَّم,حَرَم,حَرَم-ُِ
لحرب	حَرْب
لحدثنيه	NOTFOUND
لحدثك	حَدَث
لحدثتكم	حَدَث
لحدثتك	حَدَث
لحدثت	حَدَث
لحجكم	حَجّ
لحجك	حَجّ
لحجته	حِجَّة,حُجَّة,حَجّ,حَجا
لحجتك	حِجَّة,حُجَّة,حَجّ,حَجا
لحجاج	حاجّ
لحبي	حَبّ,حُبِّيّ,حُبّ
لحبشي	حَبَشِيّ,حَبَش
لحبان	NOTFOUND
لحب	حَبّ,حَبّ-ِ,حُبّ
لحانة	حان,حان-ِ
لحافه	حافَة,لِحاف,حافَّة,حافّ
لحاس	NOTFOUND
لحارثة	حارِث
لحاجتهما	حاجَة,حاجّ,حاجَى
لحاجتها	حاجَة,حاجّ,حاجَى
لحائط	حائِط
لجيوشهم	جَيْش
لجيوش	جَيْش
لجيفة	جِيفَة
لجيراننا	جار
لجيرانك	جار
لجيد	جَيِّد
لجهد	جَهْد,جُهْد,جَهَد-َ
لجنب	جَنَب,جَنْب,جَنَّب,جَنْبَ
لجنابة	جَناب,جَنابَة
لجمعته	جُمْعَة,جَمَع-َ,جَمَّع
لجمعة	جَمَع-َ,جُمْعَة,جَمَّع,جَمْع
لجمع	جَمَع-َ,جَمَّع,جَمْع
لجلف	جَلَف,جِلْف
لجلدها	جَلَد-ِ,جِلْد,جَلَد,جَلْد,جَلِد-َ,جَلَّد
لجلد	جِلْد,جَلَد-ِ,جَلَد,جَلْد,جَلِد-َ,جَلَّد,جَلُد
لجعلها	جَعَل-َ,جُعْل,جَعْل
لجعله	جَعَل-َ,جُعْل,جَعْل
لجعت	جاع
لجريرتك	جَرِيرَة
لجرت	جار,جَرَى-ِ,جَرّ
لجدي	جَدْي,جِدِّيّ,جَدّ,جِدّ
لجده	جِدَّة,جَدّ,جِدّ
لجبهته	جَبَه-َ,جَبْهَة
لجبة	لَجَب,جُبّ,جُبَّة,جَبَه-َ,جَبّ,لَجِب
لجام	لِجام,جام
لجارك	جار
لثوبك	ثَوَّب,ثَوْب
