وسخطه	سُخْط
والرحم	رَحِم
والربذة	NOTFOUND
والرباب	رَباب
والراكبان	راكِب
والديات	دِيَة
والدهن	وَلَد-ِ,دُهْن,والِد,دَهْن,أَلَدّ,لَدّ
والدرجات	دَرَجَة
والدحض	دَحْض
والخميصة	خَمِيص
والخليل	خَلِيل
والخلق	خَلْق,خِلْقَة,خَلَق,خُلْق
والخزف	خَزَف
والخالة	خالَة
والحية	حَيّ,حَيَّة,لَحْي
والحوض	حَوْض
والحنتمة	NOTFOUND
والحميدي	حَمِيدِي,حُمَيْدِي
والحمي	حُمَة,حَم,حَمِيّ,حِمَى,حُمِّيّ,حُمَّى
والحليفين	حَلِيف
والحلق	حَلْق,حَلَق
والحقول	حَقْل
والحقل	حَقْل
والحرورية	NOTFOUND
والحرث	حَرْث
والحرة	حُرّ,حَرَّة
والحديد	حَدِيد
والحدث	حَدَث
والحبلة	NOTFOUND
والحبل	حَبَل,حَبْل
والحالقة	NOTFOUND
والجهل	جَهْل,جاهِل
والجناح	جُناح,جَناح
والجنابة	جَنابَة
والجميع	جَمِيع
والجماعة	جَماعَة
والجليس	جَلِيس
والجسد	جَسَد
والجروح	جُرْح
والجراد	جَراد
والجذام	جُذام
والجبروت	جَبَرُوت
والجارية	جارِي,جارِيَة
والثنيا	NOTFOUND
والثمن	ثُمْن,ثَمَن
والثبور	ثُبُور
والتولة	تَوَلُّه
والتمسوا	ٱِلْتَمَس
والتمس	ٱِلْتَمَس
والتمائم	تَمِيمَة
والتقليد	تَقْلِيد
والتقديم	تَقْدِيم
والتقديس	تَقْدِيس
والتختم	NOTFOUND
والتحنث	NOTFOUND
والتجبية	تَجْبِيه
والتثاؤب	NOTFOUND
والتبرج	NOTFOUND
والتباغض	تَباغُض
والتاخير	NOTFOUND
والتؤدة	تُؤَدَة
والبيضة	بَيْضَة,بَيْض
والبيضاء	أَبْيَض
والبيان	بَيان
والبهي	بَهِيّ
والبنين	بِنِين,بِن
والبلي	بِلَى,بِلِّي,بَلِيّ
والبقاء	بَقاء
والبعيد	بُعَيْدَ,بَعِيد
والبصر	بَصَر
والبسوا	أَلْبَس
والبخيل	بَخِيل
والبخقاء	أَبْخَق
والبختري	NOTFOUND
والباقية	باقِي
والايم	أَيِّم
والاولاد	وَلَد
والاوطاب	وَطْب
والاه	والَى,آل,أَلا,إِلٰه,لاهَى,آلَى
والانتضاح	NOTFOUND
والانبساط	ٱِنْبِساط
والان	الآنَ,آن,آلان,أَلان
والامور	أَمْر
والاملاجتان	NOTFOUND
والاماني	أُمْنِيَّة,أَلام
والاشياخ	شَيْخ
والاشتر	NOTFOUND
والاربعة	أَرْبَع
والاربع	أَرْبَع
والاذنين	آذِن,إِذْن,أُذُن
والاذان	أَذان,أُذُن
والاختيال	ٱِخْتِيال
والاحاديث	حَدِيث
والاجلح	أَجْلَح
والابرص	أَبْرَص
والابتهال	ٱِبْتِهال
واكنيه	كَنَى-ِ,كَنَّى
واكلها	أَكَّل,آكِل,آكَل,كال-ِ,أَكَلّ,أُكُل,أَكَل,واكَل,أَكْل,وَكَل-ِ
واكله	أَكَّل,آكِل,آكَل,كال-ِ,أَكَلّ,أُكُل,أَكَل,آكِلَة,واكَل,أَكْل,وَكَل-ِ,أَكْلَة,إِكْلِيل
واكفتوا	NOTFOUND
واكفئوا	NOTFOUND
واكرمها	أَكْرَم,كَرَّم
واكرمك	أَكْرَم,كَرَّم
واكرب	كَرَب,أَكْرَب
واكذا	NOTFOUND
واكثروا	أَكْثَر
واكثرن	أَكْثَر
واكتب	أَكْتَب,كَتَب
واقلهم	قَلا,قال,أَقال,قَلِي-َ,أَقَلّ,قَلَى-ِ
واقله	قَلا,أَقال,قال,قَلِي-َ,أَقَلّ,قَلَى-ِ
واقعها	وَقَع-َ,أَقْعَى,واقِع
واقعد	قَعَد,أَقْعَد,قَعَّد
واقضوا	أَقَضّ
واقشعر	قَشْعَر,ٱِقْشَعَرّ
واقرؤهم	NOTFOUND
واقدمهم	قَدِم-َ,أَقْدَم,قَدَّم
واقدحي	قِدْح
واقدامنا	قَدَم,إِقْدام
واقتصوا	ٱِقْتَصّ
واقتصا	ٱِقْتَصّ
واقتد	ٱِقْتاد,ٱِقْتَدَى,ٱِقْتَدّ
واقبلنا	قَبَّل,أَقْبَل,قَبِل-َ
واقامه	إِقامَة,أَقام
وافهمني	فَهِم-َ,أَفْهَم,فَهَّم
وافلح	فَلَح-َ,أَفْلَح
وافقهما	أَفاق,فاق,وافَق,أُفُق
وافطرت	أَفْطَر
وافضلنا	أَفْضَل,فَضَّل
وافشوا	أَفْشَى
وافرضهم	فَرَض-ِ
وافر	فَرَّى,وَفَر-ِ,أَفْرَى,أَفَرّ,فَرَى-ِ,فار,وافِر,أَفار,فَرّ-ِ
وافدا	وافِد,وافَد
وافتراش	NOTFOUND
وافتحوا	فَتَح-َ
واغنياؤكم	غَنِيّ
واغننا	أَغْنَى,غَنِي-َ,غَنّ-َ,أَغَنّ,غَنَّى
واغلق	غَلَق-ِ,أَغْلَق
واغرق	أَغْرَق,غَرَّق,غَرِق-َ
واغاروا	أَغار
واعواني	عَوْن
واعملوا	أَعْمَل
واعمله	عَمِل-َ,أَعْمَل
واعماهم	أَعْمَى
واعلي	أَعْلَى,عَلَّى
واعلمنا	أَعْلَم,عَلِم-َ,عَلْمَن,عَلَّم
واعطيتنيه	NOTFOUND
واعطونا	أَعْطَى
واعصه	عَصَى-ِ,عَصّ-َ
واعرابي	أَعْرابِيّ,عَرَبِيّ,إِعْراب
واعذه	عَذِي-َ,عاذ,عَذا,أَعاذ
واعدلوا	NOTFOUND
واعد	واعَد,عَدّ,عَدَّى,أَعْدَى,أَعاد,عَدا,وَعَد-ِ,عاد,واعِد,أَعَدّ
واعجن	عَجَن
واعتلوا	ٱِعْتَلَى,ٱِعْتَلّ
واعتكف	ٱِعْتَكَف
واعتقها	عَتُق,أَعْتَق,ٱِعْتاق
واعتراني	ٱِعْتَرَى
واعتدي	ٱِعْتَدَى,عَتاد
واعتدل	ٱِعْتَدَل
واعتجنوا	NOTFOUND
واظهر	أَظْهُر,أَظْهَر,ظَهَر-َ,ظَهَّر
واظلافها	ظِلْف
واظفاره	ظُفُر
واظرفه	ظَرَّف,أَظْرَف
واطيط	أَطِيط
واطوف	طاف,طَوَّف
واطو	طَوَى-ِ,واطِي
واطل	طال,أَطَلّ,طَلّ,طَلَى-ِ,أَطال
واطفئي	NOTFOUND
واطعمني	أَطْعَم,طَعَّم,طَعِم-َ
واطعت	أَطاع
واطع	أَطاع,طاع
واطرد	طَرَد,ٱِطَّرَد
واطبخوا	NOTFOUND
واضطرب	ٱِضْطَرَب
واضربوه	أَضْرَب
واصيب	أَصاب
واصنعي	NOTFOUND
واصنعوا	NOTFOUND
واصلحوا	أَصْلَح
واصلحنني	أَصْلَح
واصغت	أَصْغَى
واصدقها	أَصْدَق,صَدَّق
واصدر	صَدَّر,أَصْدَر,صَدَر
واصحابنا	صاحِب
واصابعي	إِصْبَع
واصابتنا	إِصابَة,أَصاب
واشهدكم	شَهِد-َ,أَشْهَد
واشك	وَشَى-ِ,شَكّ,شاك,أَشاك,شَكا
واشعارها	شِعْر,شَعْر,إِشْعار
واشركهم	شَرِك-َ,أَشْرَك
واشرف	شَرَّف,أَشْرَف,شَرُف
واشربه	أَشْرَب,شَرِب-َ,شَرَّب
واشده	شَدّ-ُِ,شَداد,شَدا,أَشَدّ,شَدَه-َ,أَشاد,شاد-ِ,أَشُدّ
واشتدت	ٱِشْتَدّ
واسوسه	ساس
واسودك	ساد,أَسْوَد,سَوَّد,أَسَد
واسود	ساد,أَسْوَد,سَوَّد,ٱِسْوَدّ,أَسَد
واسواتاه	NOTFOUND
واسهم	أُسّ,آس,سَهْم,أَسْهَم,سَهَم
واسند	سَنَّد,أَسْنَد,سَنَد
واسنان	سِنّ,آسِن,أَسَنّ
واسمي	ٱِسْمِيّ,سَمَّى,ٱِسْم,أَسْمَى
واسمها	وَسَم-ِ,سَمّ,أَسام,سَمَّى,ٱِسْم,أَسْمَى,سام,سَما
واسمعه	سَمَّع,سَمِع-َ,أَسْمَع
واسق	وَسَق-ِ,ساق,أَسْقَى,سَقَى-ِ
واسروا	أَسَر-ِ,أَسَرّ,أَسْرَى
واسخر	سَخِر-َ,سَخَّر
واستيقظ	ٱِسْتَيْقَظ
واستوعي	NOTFOUND
واستوص	ٱِسْتَوْصَى
واستواؤه	ٱِسْتِواء
واستنقات	NOTFOUND
واستنصر	ٱِسْتَنْصَر
واستمعوا	ٱِسْتَمَع
واستلم	ٱِسْتَلَم,ٱِسْتَلام
واستلبت	ٱِسْتَلَب
واستكملوا	ٱِسْتَكْمَل
واستكبرتم	ٱِسْتَكْبَر
واستقينا	ٱِسْتَقَى
واستقبله	ٱِسْتَقْبَل
واستغفرك	ٱِسْتَغْفَر
واستعينوا	NOTFOUND
واستعينك	ٱِسْتَعان
واستعيذوا	NOTFOUND
واستعنت	ٱِسْتَعان
واستعملني	ٱِسْتَعْمَل
واستعرت	ٱِسْتَعَر,ٱِسْتَعار,ٱِسْتَعْرَى
واستعبرت	ٱِسْتَعْبَر
واستظل	ٱِسْتَظَلّ
واستحييت	ٱِسْتَحْيَى
واستحمدوا	NOTFOUND
واستحصاده	NOTFOUND
واستثنيت	ٱِسْتَثْنَى
واستاقوها	ٱِسْتاق
واستاذنت	NOTFOUND
واستاخر	NOTFOUND
واسبغه	أَسْبَغ
واسبال	NOTFOUND
وازيد	أَزْيَد,زاد-ِ,زَيَّد,أَزاد
وازواجهم	زَوْج
وازواجنا	زَوْج
وازهر	أَزْهَر,زَهَر-َ
وازجرها	زَجَر
وازارا	أَزار,إِزار
واريحاء	NOTFOUND
واروي	أَرْوَى,رَوَى-ِ,رَوَّى
واروا	وارَى
وارموا	أَرَم-ِ,أَرَّم
واركب	رَكَّب,رَكِب-َ,أَرْكَب
وارقب	رَقَب
وارفقوا	أَرْفَق
وارضعته	أَرْضَع
وارزاقنا	رِزْق
وارزاق	رِزْق
واردة	رَدِي-َ,راد,رَدَّى,أَرَدّ,رَدّ,أَرْدَى,أَراد,وَرَد-ِ,وارِد
وارجله	رَجَّل,رِجْل,رَجِل-َ
وارجاؤه	أَرْجاء,إِرْجاء
وارجا	أَرَج,أَرْج,أَرِج-َ,أَرِج
وارتق	ٱِرْتَقَى,رَتَق
وارتجز	ٱِرْتَجَز
واراني	وارَى,رَأَى-َ
وارانا	وارَى,رَأَى-َ
واراح	أَراح
واذرك	ذَرَى-ِ,ذَرا,أَذْرَى,ذَرّ,وَذِر-َ,ذَرَّى
واذربيجان	أَذَرْبَيْجان
واذبح	ذَبَّح,ذَبَح-َ
واذانا	أَذَى,أَذان,أُذُن,آذَى
واديتها	أَدَّى
وادناها	ٱِدَّنَى,أَدان,أَدْنَى,آد
وادمي	دَمِي-َ,دَمَّى,آدَمِيّ,أَدْمَى
وادريس	إِدْرِيس
وادره	دَرَى-ِ,أَدْرَى,أَدار,أَدَرّ,دار
وادركته	أَدْرَك
وادخلته	أَدْخَل
واداوي	داوَى
واداوة	داوَى
واداهم	أَدّ,أَدَّى,وادّ,آد,داهَم
وادام	أَدام,إِدام,أَدّام
واخوها	خَوَى-ِ,أَخ,آخَى,خَوِي-َ
واخواني	أَخ
واخواننا	أَخ
واخلفنا	خَلَف,أَخْلَف,خَلَّف
واخلع	خَلَع-َ,خَلَّع,خَلُع
واخفاؤهم	خَفِيف,إِخْفاء
واخشي	خَشِي-َ,خَشَّى
واخرها	خار-ِ,آخِر,خار,آخَر
واخرز	خَرَز-ُِ
واخرتك	آخِرَة,خَرَت,آخِر
واخرا	آخِر,آخَر
واخذها	آخِذ,أَخْذ,أَخَذ,آخَذ,أَخَّذ
واختك	أُخْت,آخَى
واختصموا	ٱِخْتَصَم
واختتن	ٱِخْتَتَن
واختاروه	ٱِخْتار
واخبروا	أَخْبَر
واخبرناه	أَخْبَر
واخبركم	أَخْبَر,خَبُر,خَبَر,خَبَّر
واخبرتهم	أَخْبَر
واحمديه	أَحْمَدِيّ,أَحْمَد
واحمدي	أَحْمَدِيّ,أَحْمَد
واحمدوا	NOTFOUND
واحفوا	NOTFOUND
واحصنت	أَحْصَن
واحشرني	حَشَر-ُِ
واحسنهم	حَسَّن,أَحْسَن
واحسنها	حَسَّن,أَحْسَن
واحسنت	أَحْسَن
واحزنني	أَحْزَن
واحدنا	أَحَد,أَحَّد,حَدِي,حاد-ِ,حاد,أَحَدّ,حَدا,حَدّ,واحِد
واحدثكم	حَدَث,أَحْدَث
واحتذي	ٱِحْتَذَى
واحتجموا	NOTFOUND
واحتجم	NOTFOUND
واحتبس	ٱِحْتَبَس
واحبنا	أَحَبّ,حَبّ-ِ,أَحْبَن,حَبا
واحبب	أَحَبّ,حَبَّب,حَبّ-ِ
واحاذر	حاذَر
واحاديث	حَدِيث
واجيبوا	NOTFOUND
واجملوا	أَجْمَل
واجملها	جَمَّل,جَمَل,أَجْمَل
واجملتم	أَجْمَل
واجمع	جَمَع-َ,جَمَّع,أَجْمَع
واجلسوا	أَجْلَس
واجلسها	أَجْلَس
واجلسته	أَجْلَس
واجلدهم	جَلَد-ِ,جَلِد-َ,جَلَّد,أَجْلَد
واجعلوه	NOTFOUND
واجزي	أَجْزَى,جَزَى-ِ
واجزاتك	NOTFOUND
واجتمعوا	ٱِجْتَمَع
واجتاحهم	ٱِجْتاح
واجبرني	أَجْبَر,جَبَّر,جَبَر
واجافه	جافَى
واجاف	جافَى
واثنيتم	أَثْنَى
واثنيت	أَثْنَى
واثنت	أَثْنَى
واثمه	أَثَمَة,أَثَّم,أَثِم-َ,آثِم,أَثَم,إِثْم
واثمك	أَثَّم,أَثِم-َ,آثِم,أَثَم,إِثْم
واثكلياه	NOTFOUND
واتوكل	تَوَكَّل
واتوجه	تَوَجَّه,تَوَّج
واتمم	تَمّ-ِ,أَتَمّ,تَمَّم
واتكات	NOTFOUND
واتقاكم	ٱِتَّقَى,أَتْقَى
واتفل	تَفَل,تَفَلَّى
واتفقا	ٱِتَّفَق
واتخذت	ٱِتَّخَذ
واتباعهم	ٱِتِّباع,تَبَع
واتاني	آتَى,أَتان,أَتَى-ِ,واتَى
واتاكم	آتَى,أَتَى-ِ,واتَى
وابنوهم	أَبَّن
وابنائنا	ٱِبْن
وابناءهم	ٱِبْن
وابصر	بَصِر-َ,أَبْصَر,بَصَّر,بَصُر
وابصارهم	إِبْصار,أَبْصار
وابشرا	أَبْشَر
وابركم	أَبَرّ,بَرَى-ِ,إِبْرَة,أَبار,أَبَّر,أَبَر-ُِ
وابراه	أَبَرّ,أَبَّر,أَبَر-ُِ
وااخياه	NOTFOUND
