لياتي	أَتَى-ِ
فقبلته	قَبَّل,قِبْلَة,قُبْلَة,قَبِل-َ
فقبضه	قَبْض,قَبَّض,قَبَض-ِ,قَبْضَة,قُبْضَة
فقالتا	قال
ففلان	فَلّ,فُلان
ففقا	NOTFOUND
ففرحوا	فَرِح-َ,فَرَّح
ففديت	فَدَى-ِ
ففدي	فِدَى,فَدَى-ِ
فغمس	غَمَس-ِ,غَمْس,غَمَّس
فغمز	غَمَز-ِ,غَمْز
فغلبت	غَلَب-ِ
فغط	غَطّ
فغشيها	غَشْي,غَشِي-َ
فغشي	غِشّ,غَشّ,غَشْي,غَشِي-َ,غَشَّى
فغرف	غُرْفَة,غَرَف-ِ
فغر	فُغْرَة,غِرّ,غَرّ,فَغَر-َُ,أَغَرّ
فغاضبني	NOTFOUND
فعيرته	عِيرَة,عَيَّر
فعنده	عِنْدَ
فعملني	عَمِل-َ
فعمر	عَمَر,عَمُر,عَمَّر,عُمْر,عَمِر-َ,عُمَر
فعليها	عَلِيّ,عَلَى,فِعْلِيّ
فعلتما	فَعَل-َ,عال-ِ,عال
فعقلها	عِقال,عَقْل,عَقَّل
فعقلت	عَقَل-ِ,عَقَّل
فعقد	عِقْد,عَقْد,عُقْدَة,عَقَّد,عَقَد-ِ
فعظمه	عُظْم,عَظْم,عَظْمَة,عَظَّم
فعطست	عَطَس-ِ,عَطَّس
فعصيته	عَصَى-ِ,عُصَيَّة,عَصِيّ
فعصاه	عَصَى-ِ,عَصاة,عَصاً,عَصّ-َ,عاصِي
فعرفنا	عَرَّف,عَرَف-ِ,عُرْف
فعرس	عَرَّس,عُرْس
فعذب	عَذَب-ِ,عَذَّب,عَذْب,عَذُب
فعدي	عَدّ,عَدَّى,عَدِيّ,عُدَيّ
فعجن	عاج,عَجْن,عَجَن
فعجلوا	عَجَّل,عَجِل-َ
فعاذت	عاذ
فعادني	عاد
فعاث	عاث
فظلة	ظِلّ,ظُلَّة,ظَلّ-َ
فطهر	طُهْر,طَهَّر,طَهَر
فطنت	فَطِن-َ,طَنّ,فَطُن,فَطَن
فطن	فِطَن,فَطِن,طُنّ,فَطِن-َ,طَنّ,فَطُن,فَطَن
فطمته	طَما,طَمَى-ِ,طَمّ,فَطَم-ِ
فطلق	طَلَق,طَلَّق,طَلْق
فطلبنا	طَلَب
فطعموا	طَعَّم,طَعِم-َ
فطرق	طَرِيق,طَرَق,طَرَّق
فطبقت	طَبَّق
فطال	طال
فطارت	طار-ِ
فضيلته	فَضِيلَة
فضممته	ضَمّ
فضلوا	فَضَل,ضَلّ,فَضَّل
فضلهم	فَضْل,ضَلّ,فَضَّل
فضعف	ضُعْف,ضَعَّف,ضِعْف,ضَعُف
فصوموه	NOTFOUND
فصليتهما	صَلِي-َ,فَصْلِيّ,صَلَّى,صَلَى-ِ
فصله	فَصَل-ِ,فَصْلَة,صِلَة,فَصْل,فَصَّل
فصفهم	صَفّ
فصفق	صَفَق-ِ,صَفْق,صَفَّق,صَفَق
فصرف	صِرْف,صَرْف,صَرَّف,صَرَف-ِ
فصدقوه	صَدَّق
فصبوا	صَبّ,صَبِي-َ,صَبا,صَبّ-َ,صُبُوّ,صَبَّى
فصبحهم	صُبْح,صَبَّح
فصاحوا	صاح-ِ
فشمه	شَمّ
فشمتها	شَمّ,شَمَّت,شَمِت-َ
فشمته	شَمّ,شَمَّت,شَمِت-َ
فشكاني	شَكّ,شَكا
فشقها	شَقّ,شِقّ
فشغله	شَغَّل,شَغَل-َ,شُغْل,شَغْل
فشرح	شَرْح,شَرَّح,شَرَح-َ
فشج	شَجِي,شَجّ
فشبك	شُبُق,شَبّ-ِ,شَبَّك,شَبّ,شَبَك-ِ
فسيراني	سَيَّر,رَأَى-َ
فسها	سَها
فسناخذ	أَخَذ
فسمعوه	سَمَّع,سَمِع-َ
فسمعهم	سَمَّع,سَمِع-َ,سَمْع
فسمعناه	سَمَّع,سَمِع-َ
فسمروا	سَمَر,سَمُر,سَمَّر
فسم	سَمّ
فسلوا	سَلّ,سَلِي-َ,سَلَّى,سَلا
فسلها	سَلّ,سِلّ,فَسْل
فسلط	سَلْط,سَلَّط
فسكب	سَكَب
فسقت	ساق,سَقَى-ِ,فَسَق
فسددوا	سَدَّد
فسخ	فَسِخ-َ,فَسْخ,فَسَخ-َ
فسترها	سَتَر,وَرَى-ِ,رَأَى-َ,سُتْرَة,سِتار,سِتْر,سَتَّر
فسبها	سَبّ,سَبَه
فسبقني	سَبَّق,سَبَق-ُِ
فسبحوا	سَبَّح,سَبَح-َ
فسب	سَبّ
فسالناهم	NOTFOUND
فسالتيه	NOTFOUND
فساره	رَها,وَرَى-ِ,سار-ِ,رَأَى-َ,سارّ
فزيادة	زِيادَة
فزوج	زَوَّج,زَوْج
فزجل	زَجَل
فزبره	زُبْر,زَبَر,زُبْرَة
فزادوه	زاد-ِ
فزادهم	زاد-ِ,زاد
فريعة	رَيَّع,رَيْع
فريضتي	فَرِيضَة
فروح	رَوَّح,رَوْح,رُوح
فروجهن	فَرُّوج,رُوج,فَرْج,رَوَّج
فروا	فَرَّى,فَرَى-ِ,فَرْو,فَرّ-ِ
فرملوا	فَرْمَل,رَمَّل
فركعنا	رَكَّع,رَكَع-َ,راكِع
فركته	رُكَّة,رِكَّة,فَرَّك,رَكّ,فَرَك
فركبها	رِكاب,رُكْبَة,رَكْب,رَكِب-َ,رَكَّب
فرفعتها	رَفْعَة,رِفْعَة,رَفَع-َ,رَفَّع
فرطا	فَرَط,فَرَّط,فَرْط
فرشهم	فَرَش,فَرَّش,رَشّ,فَرْش,فَرَش-ِ,فُرْشَة
فرشه	فَرَش,فَرَّش,فَرْشَة,رَشَّة,رَشّ,فَرْش,فَرَش-ِ,فُرْشَة
فردوه	رَدِي-َ,رَدَّى,فَرَّد,رَدّ
فرددته	رَدَّد,رَدّ
فرحي	فَرَح,رَحَى,فَرْحان,فَرِح
فرحمته	رَحَّم,رَحْمَة,رَحِم-َ
فربطوهم	رَبَط
فربطت	رَبَط
فراغهما	راغ,فَراغ
فراجعتها	راجِع,راجَع
فراجع	راجِع,راجَع
فراث	راث-ِ,راث
فرائصهما	فَرِيصَة
فرا	فَرّ,فَرّ-ِ
فذكيتهما	ذَكِيّ,ذَكَّى
فذكرتا	ذَكَر,ذَكَّر
فذبحه	ذَبَّح,ذَبْح,ذِبْحَة,ذَبَح-َ
فدينار	دِينار
فديته	دِيَة,فِدْيَة,فَدَى-ِ
فدنونا	دُنُوّ,دَنَّى,دَنا,فَدَّن
فدلك	دَلَك,دَلّ,دَلْك,دَلَّك
فدفنوه	دَفَن-ِ
فدفناه	دَفَن-ِ,داف
فدفن	دَفَن-ِ,دَفْن,داف
فدفعت	دَفَع-َ
فدفعا	دَفْع,دَفَع-َ
فدعوتها	دَعْوَة,دَعا
فدعمته	دَعَم-َ,دِعْمَة,دَعَّم
فدرج	دُرْج,دَرَّج,دَرَج,دَرْج
فدار	دار,دارّ,دارِي
فداؤك	فِداء
فخيف	NOTFOUND
فخنقه	خَنَق,خَنْق,خُنْقَة
فخمرت	خَمَّر,خَمَر
فخلع	خِلْعَة,خُلْع,خَلَع-َ,خَلَّع,خَلُع,خَلْع
فخطفت	خَطَف-ِ,خَطِف-َ
فخطبهم	خُطْبَة,خَطَب
فخشي	خَشِي-َ,خَشَّى
فخسفت	خَسَف-ِ
فخرت	خُرْت,فَخِر-َ,خار-ِ,فَخَر-َ,خَرَت,خَرّ-ُِ,خار
فخذفته	خَذَف-ِ
فخالفهم	خالَف
فخافوا	خاف-َ
فخاف	خافِي,خاف-َ
فخاصمه	خاصَم
فحيث	حَيْثُ
فحملوهما	حَمَل-ِ,حَمَّل
فحمدنا	حَمِد-َ,حَمْد,حَمَّد
فحمدت	حَمِد-َ,حَمَّد
فحمته	فَحْمَة,حُمَة,حام,حَمَّة,حُمَّة,حَمّ,حَمَى-ِ,فَحَّم,حَمَّى
فحم	حَم,حَمّ,فَحَّم,فَحْم,فَحَم-َ,فَحُم
فحلوهم	حَلَى,حَلَّى,حُلْو,حَلّ
فحلبنا	حَلَب,حَلَب-ُِ,حَلْب
فحشي	حَشَّى,فُحْش,حَشاً
فحرقها	حَرْق,حَرَّق,حَرَق-ِ,حَرَق
فحرام	حَرام
فحديدته	حَدِيدَة,حُدَيْدَة
فحدثوني	حَدَث
فحدثتها	حَدَث
فحدت	حاد-ِ,حاد,حَدّ-ِ,حَدا,حَدّ
فحد	حَدّ-ِ,حَدّ
فحبيب	حَبِيب
فحبسني	حَبَس-ِ
فحاصرناهم	حاصَر
فحاص	فاحِص,حاصّ-ِ,حاص-ِ
فحاسوا	NOTFOUND
فجميع	جَمِيع
فجمعته	جُمْعَة,جَمَع-َ,جَمَّع
فجللهم	جَلَل,جَلَّل,جُلَّى
فجعلتها	جَعَل-َ
فجرروه	NOTFOUND
فجدع	جَدَع,جَدَع-َ
فجثثت	جَثّ
فثلثه	ثُلْث,ثَلَّث
فثري	ثَرَى,ثَرِي-َ,ثَرّ,ثَرِيّ
فتياني	فَتَى
فتوفه	وَفَّى,أَوْفَى
فتواري	تَوارَى,وارَى
فتهيا	وَهَى-ِ
فتهدي	تَهَدَّى,أَهْدَى,هَدّ-ِ,هَدَى-ِ,هَدّ
فتنضح	نَضَح-َ,نَضَح-ِ
فتناولته	تَناوَل
فتماريا	مارَى,تَمارَى
فتلوت	تَلَوَّى,تَلا
فتلقاه	لَقِي-َ,تَلَقَّى
فتكسر	كَسَر-ِ,تَكَسُّر,تَكَسَّر,كَسَّر
فتق	فَتَق,فَتَّق,فَتْق,وَقَى-ِ
فتعرضت	تَعَرَّض
فتعجزوا	أَعْجَز,عَجِز-َ,عَجُز,عَجَّز
فتعتقها	عَتُق,أَعْتَق,ٱِعْتاق
فتعالين	أَعال,تَعالَى
فتعاظم	تَعاظَم
فتطرحهم	طَرَّح,طَرَح-َ,ٱِطَّرَح,تَطَرَّح
فتصدقوا	تَصَدَّق,صَدَق,صَدَّق
فتصدقن	تَصَدَّق,صَدَق,صَدَّق
فتصبح	أَصْبَح,صَبَّح
فتسلطون	سَلَّط
فتستقبله	ٱِسْتَقْبَل
فتستطيع	ٱِسْتَطاع
فتزوجتها	تَزَوَّج
فتزوجته	تَزَوَّج
فتري	فِتْر,وَرَى-ِ,رَأَى-َ
فتركناه	تَرَك,أَرْكَن,تَرَّك
فترفع	تَرَفُّع,تَرَفَّع,رَفَع-َ,رَفَّع
فترحمت	تَرَحَّم
فتربو	رَبا
فتذاكروا	تَذاكَر,ذاكَر
فتدلي	أَدَلّ,دَلّ,أَدْلَى,تَدَلَّى,دَلَّى
فتدعو	دَعا
فتخها	وَخَى-ِ
فتحولت	تَحَوَّل
فتحوا	فَتَح-َ,وَحَى-ِ
فتحملهم	تَحَمُّل,تَحَمَّل,حَمَل-ِ,حَمَّل
فتحدثنا	حَدَث,تَحَدُّث,تَحَدَّث,أَحْدَث
فتحاكما	فَتَح-َ,تَحاكَم,حاكَم
فتجمل	جَمَّل,جَمُل,جَمَل,أَجْمَل,تَجَمَّل
فتجعل	جَعَل-َ
فتبعهم	تَبِع-َ,باع-ِ,تَبَع,أَباع
فتبعه	تَبِعَة,تَبِع-َ,باع-ِ,تَبَع,أَباع
فتاولت	NOTFOUND
فتاكل	أَكَل
فبيعوها	NOTFOUND
فبيعوه	NOTFOUND
فبيدر	بَيْدَر
فبنينا	بَنَى-ِ,بِن,نَيّ,نِيّ,بُنَيّ
فبلغن	بَلُغ,بَلَغ,بَلَّغ
فبقيت	بَقِي-َ
فبعثه	بَعَث-َ,عُثّ,بَعْثَة,بَعْث
فبشرني	بَشَر-ِ,بَشَر,بَشِر-َ,بَشَّر
فبشرته	بَشَر-ِ,شِرَّة,بَشَر,بَشَرَة,بَشَّر,بَشِر-َ,بُشْرَة
فبسنة	باس,سِنّ,سُنَّة,سَنَة,سَنّ
فبرها	بَرّ,بِرّ,بُرّ
فبرات	NOTFOUND
فبدد	بَدَّد
فبتنا	بَتّ,بات-ِ
فباعها	باع,باع-ِ
فباعته	باع-ِ,بائِع
فبائع	بائِع
فاووا	أَوَى-ِ,أَوَّى,آوَى
فاوليه	وَلَّى,أَوَّلِيَّة,أَوَّل,أَوْلَى,أَوَّلِيّ
فاوقصته	NOTFOUND
فاوقد	وَقَّد,أَوْقَد
فاوجز	أَوْجَز
فاهلكهم	هَلَّك,هَلَك,أَهْلَك
فاهلت	أَهال,أَهَلّ
فاهدتها	أَهْدَى
فاهداها	أَهْدَى
فانهكه	نَهَك-َ,أَنْهَك,نَهِك-َ
فانكسفت	ٱِنْكَسَف
فانكروا	أَنْكَر
فانكحها	أَنْكَح,نَكَح-َُِ
فانقلبت	ٱِنْقَلَب
فانقذه	أَنْقَذ,نَقَذ
فانفلتت	ٱِنْفَلَت
فانفرجت	ٱِنْفَرَج
فانصت	نَصَت-ِ,أَنْصَت
فانزعها	نَزَّع,نَزَع-ِ
فانخنست	NOTFOUND
فانحرفت	ٱِنْحَرَف
فانتهره	ٱِنْتَهَر
فانتهرتها	ٱِنْتَهَر
فانتقلي	NOTFOUND
فانتظرته	ٱِنْتَظَر
فانباته	NOTFOUND
فانبئت	NOTFOUND
فامين	أَمِين,آمِين
فامنهم	مَنَى-ِ,مَنّ,مَنا,أَمَنّ,أَمْن,آمَن,أَمَّن,آمِن,مَنَّى
فامكنته	مَكان,أَمْكَن
فامكن	أَمْكَن,أُمّ,مَكَّن
فامطرت	أَمْطَر
فامطر	مَطَر,أَمْطَر
فامسي	أَمَسّ,أَمْس,مَسَى,مَسَّى,أَمْسَى
فامسكها	مَسَّك,أَمْسَك,مَسَك
فامسح	مَسَّح,مَسَح-َ
فامروه	أَمَّر,أَمَرّ,آمَر,أَمَر,آمِر
فامدهم	أَمْدَى,مَدّ,ماد-ِ,أَمْبِير,أَمَدّ
فامد	أَمْدَى,مَدّ,ماد-ِ,أَمْبِير,أَمَدّ
فامتنعت	ٱِمْتَنَع
فاليوم	يَوْم
فالماء	ماء
فالكيس	كَيْس,كَيِّس,كِيس,أَكْيَس
فالقيناه	أَلْقَى
فالقوها	أَلَق-ِ,أَلْقَى
فالقول	قَوْل
فالقته	أَلَق-ِ,أَلْقَى
فالعفو	عَفْو
فالصلوات	صَلاة
فالصلاة	صَلاة
فالسلطان	سُلْطان
فالحقتها	أَلْحَق
فالحجامة	حِجامَة
فالتمسوه	ٱِلْتَمَس
فالتزمته	ٱِلْتَزَم
فالامثل	أَمْثَل
فالاقرب	أَقْرَب
فالاخري	أُخْرَى
فالاخر	آخِر,آخَر
فالاخذ	آخِذ,أَخْذ
فاكلفوا	NOTFOUND
فاكلا	آكِل,أَكَّل,آكَل,أُكُل,أَكَلّ,أَكَل,أَكْل
فاكفني	وَكَف-ِ,كَفَن-ِ,كَفّ,كَفَّن,كَفَى-ِ
فاكذب	كَذَب-ِ,أَكْذَب,كَذَّب
فاكتنفته	ٱِكْتَنَف
فاكتبوه	أَكْتَب
فاكتب	أَكْتَب,كَتَب
فاقسمه	أَقْسَم,قَسَّم,قَسَم-ِ
فاقتلوهما	NOTFOUND
فاقتلعه	ٱِقْتَلَع
فاقتادوا	ٱِقْتاد
فاقبلوها	أَقْبَل
فاقاموا	أَقام
فافزعني	فَزَّع,أَفْزَع
فافتوا	أَفْتَى
فافتني	فَتّ,أَفْتَن,فات,فَتَن-ِ,أَفْتَى,فَتِي-َ
فافتدي	ٱِفْتَدَى
فاغمضه	غَمَّض,أَغْمَض
فاغلوا	أَغْلَى,أَغَلّ
فاغشنا	غَشّ,غَشِي-َ,أَغْشَى,غَشا,غَشَّى
فاعلم	أَعْلَم,عَلِم-َ,عَلَّم
فاعطيتهم	عَطاء,أَعْطَى
فاعطوها	أَعْطَى
فاعطه	أَعْطَى
فاعطاهما	أَعْطَى
فاعدد	عَدّ,عَدَّد,أَعَدّ
فاعجبته	أَعْجَب
فاعجب	عَجِب-َ,أَعْجَب,عَجَّب
فاعتمر	ٱِعْتَمَر
فاعتقهم	عَتُق,أَعْتَق,ٱِعْتاق
فاعتقه	عَتُق,أَعْتَق,ٱِعْتاق
فاعتزلها	NOTFOUND
فاعادت	أَعاد
فاطعمني	أَطْعَم,طَعَّم,طَعِم-َ
فاطردهم	طَرَد
فاطرحوه	ٱِطَّرَح
فاطبقت	أَطْبَق
فاطالوا	أَطال
فاطاف	أَطاف
فاضع	ضاع-ِ,وَضَع,أَضاع,ضاع
فاضطروهم	ٱِضْطَرّ
فاضطرب	ٱِضْطَرَب
فاضربوهن	أَضْرَب
فاضحكهما	ضَحِك-َ,أَضْحَك
فاضجعه	ضَجَع-َ,أَضْجَع,ٱِضَّجَع
فاضت	فاض-ِ,آض-ِ
فاصطنع	ٱِصْطَنَع
فاصبحنا	أَصْبَح,صَبَّح
فاصب	صَبّ,وَصَب-ِ,أَصاب,صَبِي-َ,صَبا,صَبّ-َ,صَبَّى
فاشهدوا	أَشْهَد
فاشهدنا	شَهِد-َ,أَشْهَد
فاشفقت	أَشْفَق
فاشتهينا	ٱِشْتَهَى
فاشتمل	ٱِشْتَمَل
فاشتراها	ٱِشْتَرَى
فاشبع	شَبِع-َ,أَشْبَع,شَبَّع
فاشاروا	أَشار
