الحسني	لَحَس-َ,حُسْنِي,لَحِس-َ,أَحْسَن
ونرد	رَدِي-َ,راد,رَدَّى,نَرْد,رَدّ,أَرْدَى,أَراد,وَرَد-ِ
ونحوا	نَحْو,نَحا,نَحَّى,نَحَى,نَحْوَ
ونحمده	حَمِد-َ,حَمَّد
ونافخ	نافِخ
وميتنا	مَيِّت
ومولاها	مَوَّل,مَوْلَى
وموضع	مَوْضِع
ومواليكم	مُوالِي,مَوّال,مَوْلَى
ومواثيقك	مِيثاق
ومليكه	مَلِيكَة,مَلِيك
وملت	مَلّ-َ,مال-ِ
وملاعبته	مُلاعِب
ومعتصرها	NOTFOUND
ومعاذا	مَعاذ
ومشيت	مَشَّى,مَشَى-ِ
ومشاقة	مُشاق,مَشَقَّة
ومساء	مَساء
ومرت	مار,مار-ِ,مَرّ
ومدها	وَمِد,مَدّ
ومدنا	وَمِد,مَدِينَة,مَدّ,ماد-ِ,مَدَّن
ومجري	مَجْرَى,مَجَرِيّ,مَجَرّ,مَجَر,مَجَرِّيّ
ومجالد	مُجالِد
ومتي	مَتَى,مَتَّى
ومؤمن	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
ومؤمل	مُؤَمَّل,مُؤَمِّل
ولينه	وَلَّى,نَها,وَنَى-ِ,يِن,لِين,لَيَّن,وَلِي-ِ,لَيِّن,أَنْهَى,نَهَى-ِ
وليلتهما	ٱِلْتَهَم,لَيْلَة,لَتّ
وليقصر	قَصُر,قَصَر-ِ,قَصَّر,قَصَر,أَقْصَر
وليشرف	شَرَّف,أَشْرَف,شَرُف
وليدته	وُلَيْد,وَلِيدَة
وليخزي	أَخْزَى,خَزِي-َ,خَزَى-ِ
وليحلل	أَحَلّ,حَلّ-ِ,حَلَّل,حَلّ
وليجعلها	جَعَل-َ
وليتحول	تَحَوَّل
وليبن	بَنَى-ِ,أَبان,بان-ِ
ولياتم	ٱِئْتَمّ
وليا	وَلَّى,لَيّ,وَلِي-ِ,وَلِيّ,لِي
ولهن	وَلِه-َِ,وَلَّه,لِ-
وللمقيم	مُقِيم
وللفضل	فَضْل
وللاخت	أُخْت
ولكان	لَكّ
ولقاب	قاب
ولغطهم	لَغْط
ولستم	لَيْسَ,وَلَس-ِ,لاس
ولزم	لَزِم-َ
ولرسول	رَسُول
ولحوم	لَحْم
ولحمي	حُمَة,حَم,حَمِيّ,حِمَى,حُمِّيّ,لَحْم,حُمَّى,لَحِم
ولجمالها	جَمال,جَمّال,جَمَل
ولجعلت	NOTFOUND
ولج	وَلَج-ِ,لُجّ,لَجّ-َِ
ولتنكح	أَنْكَح,نَكَح-َُِ
ولتعلموا	أَعْلَم,عَلِم-َ,عَلَّم
ولتصم	صَمّ,أَصْمَى,وَصَم-ِ,صام,أَصَمّ
ولاني	وَلَّى,وَنَى-ِ,آن,آنِيّ,لِأَنَّ,أَنَى
ولان	آن,لِأَن,لِأَنَّ
ولادها	إِدّ
ولابناء	ٱِبْن
ول	لِ
وكيله	كَيَّل,وَكِيل,كَيْل,كَيْلَة
وكما	كَما,كَمّ
وكلمة	لُمَّة,كَلَّم,كَلِمَة,لِمَّة,لَمَّة,كَلْم
وكلب	كَلَب,كَلِب,كَلْب,لُبّ,كَلِب-َ,كَلَّب
وكفي	كَفِيّ,كَفّ,كَفَى-ِ,وَكْف
وكفوا	وَكَف-ِ,كَفّ,كَفَى-ِ
وكفرا	كَفَر-ِ,كَفَّر,كُفْر,كَفَر,كَفْر
وكفانا	وَكَفان,وَكَف-ِ,كَفّ,كَفَى-ِ
وكسوته	كِسْوَة,كَسا
وكسر	كَسْر,سُرّ,كَسَر-ِ,سِرّ,كَسَّر
وكتابه	كُتّاب,كِتابَة,كِتاب,كاتِب
وكبيرنا	كَبِير
وكبير	كَبِير
وكاني	آن,وَكَى-ِ,آنِيّ,أَنَى
وكانها	آن,كان
وكافل	كافَل,آفِل,كافِل
وقميص	قَمِيص
وقليل	قَلِيل
وقفوا	وَقَّف,قَفّ,قَفا,وَقَف-ِ,قَفَّى
وقفل	قَفَل,قُفْل,قَفَل-ِ,قَفَّل
وقعود	قاعِد,قُعُود,قَعُود
وقعنا	وَقْع,وَقَع-َ,وَقَّع,وُقِّع
وقعدنا	قَعَد,قَعَّد,قَعُود
وقطيعة	قَطِيعَة,قَطِيع
وقصت	قَصا,قَصّ,وَقَص-ِ
وقريش	قُرَيْش
وقرنت	قَرَن-ِ
وقرن	قِرْن,قَرْن,قَرَن-ِ,قُرْنَة,وَقَر-ِ,وَقُر,وَقَّر
وقرشي	قُرَشِيّ,قِرْش
وقرابتنا	قَرابَة,قَرّاب,قُرابَة
وقدان	قِدّ
وقتلنا	قَتَل,قَتَّل,قَتْل
وقتلاهم	قَتِيل,قَتَل,قَتَّل
وقتا	وَقْت,وَقَّت,وَقَى-ِ,قَتّ,وُقَّة
وقب	وَقَب-ِ,وَقْب,قَبّ
وقاموا	قام
وقارعة	قارَع,قارِع,قارِعَة
وقاتلهم	قاتَل,قاتِل
وقائل	قائِل
وفيكم	فِي,وَفِيّ
وفقره	فَقْرَة,فَقْر
وفق	وَفَّق,وَفَق-ِ,وِفْقَ
وفرغ	فَرَّغ,فَرِغ,فَرِغ-َ,فَرَغ
وفرش	فَرَش,فَرَّش,فَرْش,فَرَش-ِ,فُرْشَة
وفراش	فَرّاش,فِراش
وفدوا	وَفَد-ِ,وَفَّد,فَدَى-ِ
وفتحت	فَتَح-َ
وفت	فَتّ,وَفَّى,وَفَى-ِ,فات
وفارس	فارِس
وفاديت	فادَى
وفاتحة	فاتِحَة,فاتَح,فاتِح
وغسان	غَسّان
وغزا	غَزا
وغرق	غَرَق,غَرَّق,غَرِق-َ
وغربه	غَرْب,غَرَّب,غُرْبَة,غَرَب
وغداة	غَداة,غَدَّى,وَغْد
وغابت	غاب-ِ
وغائبنا	غائِب
وعينها	وَعَّى,عَيَّن,وَعَى-ِ,عَيْن
وعينه	وَعَّى,عِينَة,عَيَّن,عَيِّنَة,عَيْن,وَعَى-ِ
وعين	وَعَّى,عَيَّن,وَعَى-ِ,عَيْن
وعيبتي	عَيْبَة
وعون	عَوْن
وعندنا	عِنْدَ,عَنِد-َ
وعمير	عُمَيْر
وعمه	عَمِه,عَمَّة,عَمّ,عِمَّة,عَمِه-َ,عَمَه
وعمده	عِماد,عَمَّد,عُمْدَة,عَمْد,عَمَد-ِ
وعما	عَمّ,عَمّا
وعليهما	عَلِيّ,عَلَى
وعليا	عَلِيّ,أَعْلَى,عَلَّى
وعلمها	عَلِم-َ,عِلْم,عَلَم,عَلَّم
وعلمته	عَلِم-َ,عُلْمَة,عَلَّم
وعلما	عَلِم-َ,عِلْم,عَلَم,عَلَّم
وعقلت	عَقَل-ِ,عَقَّل
وعفروه	عَفَر-ِ,عَفَّر
وعظامي	عَظْم,عَظِيم,عِظامِيّ
وعطية	عَطِيَّة
وعطست	عَطَس-ِ,عَطَّس
وعصي	عَصَى-ِ,عَصّ,عَصِيّ
وعزتي	عِزَّة
وعرف	عَرَّف,عَرَف-ِ,عُرْف
وعدوكم	عَدّ,عَدَّى,عَدا,وَعَد-ِ,عَدُوّ,عَدْو
وعتيرة	NOTFOUND
وعاشت	عاش
وعاتقه	عاتِق
وعاءها	وِعاء
وظلمة	ظالِم,ظَلَم-َِ,ظُلْم,ظُلْمَة
وطواعية	طَواعِيَّة
وطفيل	NOTFOUND
وطافت	طاف,طاف-ِ
وضعا	وَضْع,وَضَع
وضاقت	ضاق
وصنع	صَنَّع,صَنْع,صُنْع,صَنَع-َ
وصلته	وُصْلَة,صال,صَلَّى,وَصَل-ِ,وَصَّل,صَلَى-ِ,صِلَة,وَصْلَة
وصلاها	صَلَّى,وَصَل-ِ,وَصَّل,صَلَى-ِ,وَصْل
وصفية	وَصْفِيَّة,صَفّ,وَصْف,وَصْفِيّ,صَفِيّ,صَفِيَّة
وصغيرنا	صَغِير
وصدقتم	صَدَق,صَدَّق
وصحيفة	صَحِيفَة
وصاموا	صام
وصاع	صاع
وصاحبيه	صاحِب
وشهدت	شَهِد-َ
وشكوا	وَشُك,شَكّ,شَكا,شَكْو,وَشَّك
وشكا	وَشْك,شَكّ,وَشُك,شِيك,شَكا,وَشَّك
وشك	وَشْك,شَكّ,وَشُك,شِيك,وَشَّك
وشرحبيل	NOTFOUND
وشدتها	شَدّ-ُِ,شَدا,شِدَّة,شاد-ِ
وشتمني	شَتَم-ُِ
وشاهديه	شاهِد
وشاهدنا	شاهَد,شاهِد
وشاهد	شاهَد,شاهِد
وشارفاي	NOTFOUND
وسواكه	سِواك
وسماع	سَماع
وسلها	سَلّ,سِلّ
وسلموا	سَلَّم,سَلِم-َ
وسلق	سَلْق,سَلَق,سِلْق
وسلطانه	سُلْطان
وسكن	سَكَّن,سَكَن,ساك
وسكتة	سَكْت,سِكَّة,سَكْتَة,سَكّ,ساك,سَكَّت
وسقوا	وَسَق-ِ,سَقَى-ِ
وسقفه	سَقْف,سَقَّف
وسقطهم	سَقْط,سُقْط,سَقَط
وسعها	وُسْع,وَسَع,وَسَّع
وسجدهما	سَجَد,ساجِد
وستلقون	لَقِي-َ,أَلْقَى
وسبل	سَبِيل,سَبَل,سَبَّل
وسب	سَبّ
وساقيها	ساقِي,ساق,وَقَى-ِ
وسادتي	سَيِّد,سادَة,سادّ,وِسادَة
وساخبركم	أَخْبَر,خَبُر,خَبَر,خَبَّر
وزوجا	زَوَّج,زَوْج
وزكاة	زَكاة,زَكَّى
وزغة	NOTFOUND
وزره	وِزْر,وَزَر-ِ,زَرّ,وَزِر-َ,زِرّ
وزرا	وِزْر,وَزَر-ِ,زَرّ,وَزِر-َ,زِرّ
وزبيد	زُبَيْد
وزاده	زاد-ِ,زاد,زادَة
ورمت	رام-ِ,رَمّ-ِ,وَرَّم,وَرِم-ِ,رَمَى-ِ,رَمّ,رام
وركعنا	رَكَّع,رَكَع-َ,راكِع
وركبتيه	رُكْبَة
ورقه	وَرَق,رَقّ,رِقّ,وَرَّق,رِقَّة
ورفاعة	رِفاع
ورسلها	رِسْل,رَسْل,رَسُول
ورزقنيه	NOTFOUND
وردتني	راد,وَرَّد,رَدَّى,رَدّ,وَرَد-ِ
ورداؤك	رِداء
ورثته	رَثا,وَرِث-ِ,رِثَّة,وَرَّث,وارِث,راث-ِ,رَثَى,رَثّ,راث
ورادا	راد,وارِد
وراح	راح
وراءكم	وَراءَ,وَراء,راء
وذوي	ذَوَى-ِ,ذَوِي-َ,ذُو
وذكرها	ذِكْر,ذَكَر,ذَكَّر
وذراريهم	ذُرِّيَّة
وذبح	ذَبَّح,ذَبْح,ذَبَح-َ
ودينارها	دِينار
ودمي	دَمّ,دَم,دَمِي-َ,دُمْيَة,دَمَّى
ودلي	دَلّ,دَلَّى
ودك	وَدّ-َ,وَدَك,دَكّ,وُدّ,وَدِك
ودعاء	دُعاء
ودخانه	دُخان
ودابة	دابَّة
وخنازير	خِنْزِير
وخمسا	خَمَّس,خُمْس,خَمْس
وخليله	خَلِيل
وخلوا	خَلّ,خِلْو,خَلا,خُلُوّ,خَلَّى
وخلل	خَلَل,خَلَّل
وخلقه	خَلْق,خِلْقَة,خَلَقَة,خَلَق,خُلْق,خَلَّق
وخلاس	NOTFOUND
وخسر	خَسِر-َ,خَسَّر,خُسْر
وخبر	خَبُر,خُبَر,خَبَر,خَبَّر
وخالفه	خالَف
وخالة	خالّ,خالَة,خال-َ,خال
وحواري	حارَة,حَوارِيّ,حِوار
وحلفت	حَلَف-ِ,حَلَّف
وحل	وَحِل-َ,وَحِل,حِلّ,حَلّ-ِ,وَحْل,حَلّ
وحرمتها	حُرْمَة,حَرَّم,حَرَم-ُِ
وحرب	حَرْب
وحدثته	حَدَث
وحبان	NOTFOUND
وحاملها	حامِل
وجيها	وَجِيه
وجهلي	جَهْل,جاهِل
وجهاد	جِهاد
وجنة	وَجْنَة,جِنَّة,جُنَّة,جِنّ,جَنّ,جَنَّة
وجميل	جَمِيل
وجمالا	جَمال,جَمّال,جَمَل
وجلالها	جَلال
وجرت	جار,جَرَى-ِ,جَرّ
وجدي	جَدْي,جِدِّيّ,وَجْدِي,جَدّ,جِدّ
وجدتيه	جَدّ
وجدا	وَجَد-ِ,جَدا,جَدّ,جِدّ,جَدّ-ِ
وجبهته	جَبَه-َ,جَبْهَة
وجامع	جامِع,جامَع
وجافي	جافِي,جافَى,جافّ
وجاع	جاع,وَجَع
وجاريتك	جارِي,جارَى,جارِيَة
وجارية	جار,جارِي,جارِيَة,وِجار
وجاءوا	جاء
وثيابه	ثَوْب
وثمنها	ثَمَّن,ثُمْن,ثَمَن
وثمرة	ثَمْر,ثَمَر
وثمانيا	NOTFOUND
وثقفي	NOTFOUND
وثب	وَثْب,وَثَب-ِ
وثء	وَثْء
وتنكرون	نَكَّر,نَكِر-َ,أَنْكَر
وتنصب	أَنْصَب,نَصَّب,ٱِنْصَبّ,نَصَب,نَصِب-َ
وتناول	تَناوَل,تَناوُل,ناوَل
وتمسي	مَسَى,مَسَّى,أَمْسَى,وَمَس-ِ,مَسّ-َ
وتمتع	تَمَتُّع,مَتَّع,مَتَع-َ,تَمَتَّع,أَمْتَع
وتكثر	أَكْثَر,كَثَّر,كَثُر
وتقيل	أَقال,قَيَّل
وتقنعت	تَقَنَّع
وتقع	وَقَع-َ,أَقْعَى
وتقطعوا	قَطَع-َ,قَطَّع,أَقْطَع,تَقَطَّع
وتفطر	تَفَطَّر,أَفْطَر,فَطَر
وتفرقا	فَرَق,تَفَرَّق,تَفَرُّق,فَرَّق
وتفترق	ٱِفْتَرَق
وتغلق	غَلَق-ِ,أَغْلَق
وتطيعوا	أَطاع
وتطيب	تَطَيَّب,طاب-ِ,طَيَّب,أَطاب
وتطهر	تَطَهَّر,طَهَّر,طَهَر
وتضاحكك	تَضاحَك
وتشتهي	ٱِشْتَهَى
وتسبي	سَبّ,سَبَى-ِ
وتزيد	تَزَيَّد,تَزَيُّد,زاد-ِ,زَيَّد,أَزاد
وتزوج	زَوَّج,تَزَوَّج,تَزَوُّج
وتركتنا	تَرَك,تَرِكَة,تَرَّك
وتران	وَتَر,تران
وتدعنا	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
وتحية	حَيّا,تَحِيَّة,حَيّ-َ,أَحْيَى,وَحَى-ِ
وتحميد	NOTFOUND
وتحدثني	حَدَث,تَحَدَّث,أَحْدَث
وتجهز	جَهَّز,أَجْهَز,جَهَز-َ,تَجَهَّز
وتبين	تَبَيُّن,تَبَيَّن,أَبان,بَيَّن,بان-ِ
وتبعته	تَبِعَة,تَبِع-َ
وتامل	أَمَل-َ,تامِل
وتاتي	أَتَى-ِ
وتؤدبهن	آدَب,أَدَّب
وبيوتنا	بَيُّوت,بَيْت
وبينما	بَيْنَما
وبيت	بَيْت,بَيَّت
وبناه	بَنّاء,ناهِي,بِنْيَة,بَنَى-ِ,بانِي
وبمن	مَنّ,مَن
وبم	بِمَ
وبلغت	بَلُغ,بَلَغ,بَلَّغ
وبلغ	بَلُغ,بُلْغَة,بَلَغ,بَلَّغ
وبكيت	بَكَى-ِ,كِيت,بَكَّى,بَكِي-َ
وبقرت	قَرَت,بَقَر
وبعمل	عَمَل
وبعضها	عَضّ,بَعَّض,بَعْض
وبعضه	عَضّ,عَضَّة,بَعَّض,بَعْض
وبعضنا	عَضّ,بَعَّض,بَعْض
وبطونها	بُطُون
وبذي	بَذّ,ذِي
وبديل	بَدِيل
وبحر	حُرّ,بَحِر-َ,بَحْر,حَرّ,بَحَّر
وبثها	بَثّ
وبايعه	بايَع
وبايعته	بايَع
وبانت	بان-ِ
وبالناس	ناس
وبالغ	بالِغ,بالَغ
وبالخرب	خَرِب
وباع	باع,باع-ِ
وباسناده	إِسْناد,سَنَد
وباب	آب,أَب,باب,إِبّ
وبائعها	بائِع
وبئست	بَئِس-َ
وايمن	يَمَن,يَمِن-َ,أَيْمَن,يَمُن,يَمَّن,يَمِين
وايتكما	أَيّ,آيَة
واولات	أَوَّل
واوصل	وَصَل-ِ,وَصَّل,أَوْصَل
واهريقوا	NOTFOUND
واهد	أَهْدَى,هاد,هَدّ-ِ,هَدَى-ِ,هَدّ
واهالة	أَهال
وانعم	نَعُم,نَعَّم,نَعِم-َ,نَعَم-َُ,أَنْعَم,نِعْمَة
وانصبوا	أَنْصَب,ٱِنْصَبّ
