تظهره	ظَهَّر,أَظْهَر,ظَهَر-َ
المقل	مُقِلّ,مُقْلَة
المقسطين	مُقْسِط
المقسط	مُقْسِط
المقدمين	مُقَدِّم,مُقَدَّم
المقدمة	مُقَدَّمَة,مُقَدِّم,مُقَدَّم,مُقَدِّمَة
المقحمات	NOTFOUND
المقتت	NOTFOUND
المقادير	مَقْدُور,مِقْدار
المغلوب	مَغْلُوب
المغضب	مُغْضِب
المغتسل	مُغْتَسَل,مُغْتَسِل
المعيقيب	NOTFOUND
المعوذتان	NOTFOUND
المعمول	مَعْمُول
المعمري	مُعَمَّرِيّ
المعرف	NOTFOUND
المعذبين	مُعَذَّب,مُعَذِّب
المعتدين	مُعْتَدِي,مُعْتَدّ
المعاوي	NOTFOUND
المعاومة	NOTFOUND
المعافاة	مُعافَى,مُعافاة
المعاصي	مَعْصِيَة
المطيب	مُطَيَّب
المطهرين	مُطَهِّر,مُطَهَّر
المضمر	مُضْمَر
المضاربة	مُضارَبَة,مُضارِب
المصيبة	مُصِيبَة
المصلح	مُصْلِح,مَصْلَح,مُصَلِّح
المصح	مَصَحّ
المصافحة	مُصافَحَة
المشرقي	مَشْرِقِيّ
المشاة	ماشِي
المشائين	مَشّاء
المسلي	مَسْلِي,مُسَلِّي
المسلمة	مُسْلِم,مُسَلَّم
المسعر	مِسْعَر
المستريح	مُسْتَرِيح
المستبان	NOTFOUND
المستاخرين	NOTFOUND
المسارح	مَسْرَح
المساء	مَساء
المزفتة	مِزْفَتَة
المزادتين	NOTFOUND
المرية	مُرْيَة
المرهبي	NOTFOUND
المرزبان	مَرْزُبان
المرجل	مِرْجَل
المذحجي	NOTFOUND
المددي	NOTFOUND
المخيلة	مُخَيِّلَة,مَخِيلَة,مُخِيل
المخنث	مُخَنَّث
المخرج	مُخْرِج,مُخْرَج,مَخْرَج
المختال	مُخْتال
المحياة	NOTFOUND
المحمل	مَحْمَل,مُحَمَّل
المحشر	NOTFOUND
المحروم	مَحْرُوم
المحررين	مُحَرَّر,مُحَرِّر
المحدودة	مَحْدُود
المحدثين	مُحْدَث
المجيب	مُجِيب
المجنبة	مُجَنِّبَة
المجد	مَجْد,مُجِدّ
المجتهد	مُجْتَهِد
المجبوبة	NOTFOUND
المجاشعي	NOTFOUND
المثل	مِثْل,مَثَل
المتن	مَتْن,أَلَّم,آلَم,أَلام,أَلِم-َ
المتعمقون	NOTFOUND
المتعال	NOTFOUND
المتطوع	مُتَطَوِّع
المتشبهات	NOTFOUND
المتردد	مُتَرَدِّد
المتتابعة	مُتَتابِع
المتبايعين	NOTFOUND
المبرورة	مَبْرُور
المبتلي	مُبْتَلَى,مُبْتَلِي
المانع	مانِع
الماضية	ماضِي
الماربي	NOTFOUND
الماذيانات	NOTFOUND
المئونة	NOTFOUND
المؤلفة	مُؤَلِّف,مُؤَلَّف
المؤذنين	مُؤَذِّن
المؤذنون	مُؤَذِّن
اللوح	لَوْح
اللذان	الَّذِي
اللحاف	لِحاف
اللثة	لِثَة
اللائي	NOTFOUND
الكنيف	كَنِيف
الكنس	كَنْس
الكما	آل,وَلِي-ِ
الكلمي	كَلِيم
الكلمتين	كَلِمَة
الكلف	كَلِف,أَكْلَف,كُلْفَة,كَلَف
الكسرتين	كَسْرَة,كِسْرَة
الكساء	كِساء
الكروم	كَرْم,كرُوم,كُرُوم
الكرسف	NOTFOUND
الكتان	كَتّان
الكباث	NOTFOUND
الكاهل	كاهِل
الكانزين	NOTFOUND
القيود	قَيْد
القيه	أُلْقِيَّة,أَلْقَى
القيناه	أَلْقَى
القولين	NOTFOUND
القنطري	قَنْطَرِيّ
القمي	NOTFOUND
القطن	قُطْن,قَطَن
القسوة	قَسْوَة
القرناء	أَقْرَن,قَرِين
القرط	قُرْط,قَرْط
القرصة	قَرْصَة,قُرْصَة
القرص	قُرْص,قُرْصَة,قَرْص
القرشيين	قُرَشِيّ
القردوسي	NOTFOUND
القذاة	قَذاة
القتير	NOTFOUND
القته	أَلَق-ِ,أَلْقَى
القبضة	قَبْضَة,قُبْضَة
القانع	قانِع
القافة	NOTFOUND
الفيلة	فِيل
الفويسق	NOTFOUND
الفوز	فَوْز
الفغواء	NOTFOUND
الفصل	فَصْل
الفساق	فاسِق
الفرك	فَرْك
الفرض	فَرْض
الفرار	فَرّار,فِرار
الفدية	فِدْيَة
الفخذين	فَخْذ
الفتيا	NOTFOUND
الفالج	فالِج
الفاطمة	فاطِمَة
الفاسقون	فاسِق
الفاحش	فاحِش
الغير	غَيْر
الغيال	NOTFOUND
الغول	غُول
الغميصاء	NOTFOUND
الغماد	NOTFOUND
الغطيفي	NOTFOUND
الغرق	غَرَق
الغرف	غُرْفَة
الغرض	غَرَض
الغرائب	غَرِيبَة
الغامدية	NOTFOUND
العوقي	NOTFOUND
العوامر	NOTFOUND
العهن	عِهْن
العنف	عُنْف
العمالة	عَمالَة
العكارون	NOTFOUND
العفاف	عَفاف
العصبية	عَصَبِيَّة,عَصَبِيّ
العسكر	عَسْكَر
العريش	عَرِيش
العروقي	NOTFOUND
العروض	عَرْض,عَرُوض
العرضة	عُرْضَة,عَرْضَة
العرزمي	NOTFOUND
العربي	عَرَبِيّ
العذيب	NOTFOUND
العذري	عُذْرِيّ
العداوة	عَداوَة
العتواري	NOTFOUND
العتاق	NOTFOUND
العاقل	عاقِل
العاد	NOTFOUND
العابدين	عابِد
العائرة	NOTFOUND
الظلام	ظَلّام,ظَلام,ظالِم
الظعينة	ظَعِينَة
الطولي	طُولِيّ,أَطْوَل
الطبق	طَبَق
الطبراني	NOTFOUND
الطاعم	NOTFOUND
الطائر	طائِر
الضيق	ضِيق,ضَيِّق
الضلع	ضِلْع,ضَلْع
الضلالة	ضَلال
الضريس	NOTFOUND
الضبيب	NOTFOUND
الضارب	ضارِب
الصيحاني	NOTFOUND
الصوام	NOTFOUND
الصق	لَصِق-َ,لَصَّق,أَلْصَق
الصرم	صَرْم
الصدوق	صَدُوق
الصدغ	صُدْغ
الصخرات	صَخْر
الصحة	صِحَّة
الصائدي	NOTFOUND
الشنان	NOTFOUND
الشمردل	NOTFOUND
الشقاق	شِقاق
الشفع	شَفْع
الشعراء	أَشْعَر,شاعِر
الشعث	شَعِث,شَعْث
الشعباني	شَعْبانِيّ
الشرطة	شُرْطَة,شَرْطَة
الشحيح	شَحِيح
الشاهدين	شاهِد
الشامية	شامِيّ
الشاكر	شاكِر
السيئ	سَيِّء
السوم	NOTFOUND
السهمان	NOTFOUND
السمين	NOTFOUND
السميط	NOTFOUND
السمناني	NOTFOUND
السمت	سَمْت
السليمي	NOTFOUND
السلميين	سِلْمِيّ
السلمية	سِلْمِيّ
السلسلة	سِلْسِلَة
السكران	سَكْران
السكتتان	سَكْتَة
السعير	سَعِير
السعيد	سَعِيد
السعوط	سَعُوط
السعة	لَسَع-َ,سَعَة
السرف	سَرَف
السحابة	سَحابَة
السجدتان	سَجْدَة
الستة	أَلَّس,سِتّ,سَتْه
السبعة	سَبْع
السبابتين	سَبّاب
الزينة	زَيْنَة,زِينَة
الزمهرير	زَمْهَرِير
الزعافري	NOTFOUND
الزط	NOTFOUND
الريق	رَيِّق,رِيق
الريطة	NOTFOUND
الرويثة	NOTFOUND
الرمال	رَمْل,رَمّال
الرماة	رامِي
الركعتان	رَكْعَة
الركبتين	رُكْبَة
الرفاهية	رَفاهِيَّة
الرضف	NOTFOUND
الرضعتان	NOTFOUND
الرشح	رَشْح
الردة	رَدَّة
الرخاء	رَخاء,رُخاء
الرحبة	رَحْبَة,رَحْب
الرجبية	NOTFOUND
الرجالة	راجِل
الراحمين	NOTFOUND
الراجل	راجِل
الذكور	ذَكَر
الذاكرين	ذاكِر
الذاكرون	ذاكِر
الذارع	NOTFOUND
الدمان	دَمان,دُمان
الدلجة	NOTFOUND
الدلال	دَلّال,دَلال,دَلَّة
الدري	دُرِّيّ
الدرن	دَرَن
الدثنة	NOTFOUND
الدامغاني	NOTFOUND
الدال	دالّ,دال
الد	وَلَد-ِ,أَلَدّ,لَدّ
الخيرات	خَيِّر,خَيْرَة
الخنجر	خَنْجَر
الخمور	خَمْر
الخطائين	NOTFOUND
الخضراء	أَخْضَر
الخصبة	خَصِب
الخشبة	خَشَب
الخشب	خَشَب
