فكمنا	كَمِن-َ,مِنَى,كَمَن,كَمّ
فركا	فَرَّك,فَرْك,رَكّ,رَكّ-ِ,فَرَك
فرقيته	رَقَّى,رُقَيَّة,رُقْيَة,رَقِي-َ
فرقوا	فَرَق,رَقَّى,رَقّ-ِ,فَرَّق,رَقِي-َ
فرقهما	فَرَق,رَقّ,رِقّ,فَرْق,فَرَّق,فِرْقَة
فرقهم	فَرَق,رَقّ,رِقّ,فَرْق,فَرَّق,فِرْقَة
فرقها	فَرَق,رَقّ,رِقّ,فَرْق,فَرَّق,فِرْقَة
فرقه	فُرْقَة,فَرَق,رَقّ,رِقّ,فَرْق,فَرَّق,رِقَّة,فِرْقَة
فرقتان	فِرْقَة
فرقان	فُرْقان
فرفق	رِفْقَة,رَفَق,رِفْق,رَفِق-َ
فرفعهم	رَفَع-َ,رَفْع,رَفَّع
فرفعتهما	رَفْعَة,رِفْعَة,رَفَع-َ,رَفَّع
فرفصه	NOTFOUND
فرغته	فَرَّغ,فَرِغ,راغ,رَغَّى,رَغا
فرغتما	فَرَّغ,فَرِغ-َ,راغ,فَرَغ
فرعدت	رَعَد-َُ
فرعبت	رَعَب-َ,رَعَّب
فرعاية	رِعايَة
فرعاها	فَرَّع,فَرْع,رَعَى-َ
فرطت	فَرَط,فَرَّط
فرطان	NOTFOUND
فرضيها	فَرْضِيّ,رَضِيّ,رَضّ
فرضه	فَرْض,فَرَض-ِ,رَضّ,فُرْضَة
فرضة	فَرْض,فَرَض-ِ,رَضّ,فُرْضَة
فرضاخية	NOTFOUND
فرصتها	فُرْصَة,رَصّ
فرشقتهم	رَشَق
فرشته	فَرَش,راش,فَرَّش,فَرْشَة,رَشَّة,رَشّ,رُوشِتَّة,رَشا,فَرَش-ِ,فُرْشَة
فرشت	راش,فَرَش,فَرَّش,رَشّ,رَشا,فَرَش-ِ
فرسول	رَسُول
فرسكم	فارِسِيّ,فَرَس
فرسك	فارِسِيّ,فَرَس
فرساننا	فارِس
فرزقناه	رَزَق
فرزقنا	رَزَق,رِزْق
فرزقا	رَزَق,رِزْق
فررتم	فَرّ-ِ
فردوها	رَدِي-َ,رَدَّى,فَرَّد,رَدّ
فردهما	فَرْد,فَرَّد,رَدّ
فردهم	فَرْد,فَرَّد,رَدّ
فرددها	رَدَّد
فرددناهم	رَدَّد,رَدّ
فرددناه	رَدَّد,رَدّ
فرددنا	رَدَّد,رَدّ
فرحن	فَرِح-َ,راح,فَرَّح
فرحمت	رَحَّم,رَحِم-َ
فرحل	راحِل,رَحّال,رَحَّل,رَحْل,رَحَل-َ
فرحتين	فَرْحَة
فرحبوا	رَحُب,رَحَّب,رَحِب-َ
فرحبا	رُحْب,رَحُب,رَحَب,رَحَّب,رَحْب,رَحِب-َ
فرجونا	رَجا,رَجّ,فَرَّج,رَجِي-َ,فِرجَوْن
فرجمتها	رُجْمَة,رَجَّم,رَجَم
فرجعتا	رَجَّع,رَجَع-ِ
فرجت	رَجّ,رَجا,راج,فَرَّج
فرجالا	رَجُل
فرجات	NOTFOUND
فرثها	رَثّ
فرتعت	NOTFOUND
فرت	فَرَّى,فَرَى-ِ,فار,رُتّ,فَرّ-ِ
فرة	فَرِه,فَرّ,فَرّ-ِ
فربطته	رَبْطَة,رَبَط
فربط	رَبْط,رَبَط,رِباط
فربحت	رَبِح-َ,رَبَّح
فربا	رُبّ,رِبا,رَبّ,رَبا
فرايناه	NOTFOUND
فرايتماه	NOTFOUND
فرايتماني	NOTFOUND
فراياه	NOTFOUND
فراود	راوَد
فراهما	فَرَّى,فِرْيَة,فَرَى-ِ,فَرّ-ِ
فراقها	فِراق,راق-ِ,راق
فراقه	فِراق,راق-ِ,راق
فرافقني	رافَق
فرافصة	NOTFOUND
فراعني	راع,راع-ِ
فراطنها	NOTFOUND
فراضته	راض,راضَى
فراشنا	راش,فَرّاش,راشِن,فِراش
فراسة	فَراسَة,فِراسَة,رَأْس
فراخها	فِراخ
فراخ	فِراخ,راخِي
فراحت	راح
فراح	راح
فراجعوه	راجِع,راجَع
فراجعها	راجِع,راجَع
فراجعه	راجِع,راجَع
فراتني	NOTFOUND
فرائضهم	فَرِيضَة
فرائصه	فَرِيصَة
فرائد	فَرِيدَة,رائِد
فرئيتهما	NOTFOUND
فرئي	فَرَأ-َ
فرئ	NOTFOUND
فذكي	ذَكِيّ,ذَكَّى,ذَكِي-َ
فذكروه	ذَكَر,ذَكَّر
فذكرني	ذَكَر,ذَكَّر
فذكرناه	ذَكَر,ذَكَّر
فذكاهما	ذَكَّى
فذعر	ذُعْر,ذَعِر-َ,ذَعَر-َ
فذروه	ذَرْو,ذَرا,ذُرْوَة,ذَرّ,ذَرَّى
فذرها	ذَرّ
فذرني	ذَرّ
فذرفت	ذَرَف-ِ,ذَرَّف
فذراع	ذِراع
فذراري	ذُرِّيَّة
فذبحتهما	ذَبَّح,ذِبْحَة,ذَبَح-َ
فذات	ذات
فدوه	فَدَى-ِ
فدهشت	دَهِش-َ,دَهَّش
فدلوني	دَلّ,دَلَّى
فدله	دَلّ,دَلَّه,دَلِه-َ,دَلَّة
فدلكه	دَلَك,دَلْك,دَلَّك
فدلاهما	دَلّ,دَلَّى
فدق	دَقّ,دِقّ,دَقّ-ِ
فدفنوها	دَفَن-ِ
فدفنهم	دَفَن-ِ,دَفْن,داف
فدفنها	دَفَن-ِ,دَفْن,داف
فدفنته	دَفَن-ِ
فدفعوها	دَفَع-َ
فدفعونا	دَفَع-َ
فدفعوا	دَفَع-َ
فدفدا	فَدْفَد
فدعينا	وَدَع-َ,دَعِيّ
فدعوني	وَدَع-َ,دَعّ-َ,دَعا
فدعوناه	دَعا
فدعوتهما	دَعْوَة,دَعا
فدعنا	وَدَع-َ,دَعّ-َ
فدعتني	دَعّ-َ,دَعا
فدعاهما	دَعّ-َ,دَعا
فدعانا	دَعّ-َ,دَعا
فدرع	دِرْع,دَرَّع
فدراه	دَرَى-ِ
فدخلوه	دَخَل
فدخله	دُخْلَة,دَخْل,دَخَل,دُخَّلَة,دِخْلَة
فدخلني	دَخَل
فدخلناها	دَخَل
فدخلتا	دَخَل
فدحرجها	دَحْرَج
فدحا	دَحا,فَدَح-َ,فَدْح
فدثروه	دَثَّر
فدبغتموه	دَبَغ-َُِ
فدبغتم	دَبَغ-َُِ
فدب	دَبّ-ِ,دُبّ
فدارت	دار,دارَى
فداءكم	فِداء,داء
فدا	دا
فخيرني	خَيَّر
فخيارهم	خَيْر,خِيار
فخيار	خَيْر,خِيار
فخنقها	خَنَق,خَنْق
فخنثها	خَنِث
فخليته	خَلِيَّة,خَلِيّ,خَلَّى
فخليا	خَلَّى,خَلِيّ
فخلوهم	خِلْو,خَلّ,خُلُوّ,خَلَّى
فخلعها	خِلْعَة,خَلَّع,خُلْع,خَلَع-َ,خَلْع
فخلطوا	خَلَّط,خَلَط-ِ
فخل	خَلّ
فخفين	خَفِي-َ,خُفّ,خَفَى-ِ
فخفي	خَفِي-َ,خَفِيّ,خُفّ,خَفَى-ِ
فخففوا	خَفَّف
فخفضهم	خَفَّض,خَفَض-ِ,خَفْض
فخطم	خَطْم
فخطفته	خَطَف-ِ,خَطْفَة,خَطِف-َ
فخطر	خَطِر,خَطُر,خَطَر,خَطَر-ِ
فخطبناها	خَطَب
فخطبتها	خُطْبَة,خِطْبَة,خَطَب
فخطئت	خَطِئ-َ
فخشوا	خَشِي-َ,خَشَّى,خَشّ
فخزم	خَزَم-ِ
فخرهم	فَخِر-َ,خَرّ,فَخْر
فخرقها	أَخْرَق,خِرْقَة,خَرْق,خَرَق-ُِ
فخرصها	خِرْص,خَرَص
فخرصناها	خَرَص
فخرص	خِرْص,خَرَص
فخرح	NOTFOUND
فخذيك	فَخْذِيّ,فَخْذ
فخذوني	أَخَذ
فخدمت	خَدَم-ُِ,خَدَّم
فخدش	خَدَش-ِ,خَدْش,خَدَّش
فخدت	خَدّ
فخد	خَدّ
فختمت	خَتَم-ِ
فخبرتها	خِبْرَة,خَبُر,خَبَر,خَبَّر
فخبر	خَبُر,خُبَر,خَبَر,خَبَّر
فخبت	خَبا,خاب-ِ,خَبّ,خَبّ-َ
فخانوا	خان
فخانه	خانَة,خان
فخامس	خامِس
فخالفوا	خالَف
فخالطته	خالَط
فخاض	خاض
فخاصموه	خاصَم
فخاصمني	خاصَم
فخاصم	خاصَم
فحيهلا	NOTFOUND
فحينئذ	حِينَئِذٍ
فحيانا	حَيّا,حَيّ-َ,حَيّ
فحولت	حَوَّل
فحواري	حارَة,حَوارِيّ,حِوار
فحملوهم	حَمَل-ِ,حَمَّل
فحملهم	حَمْل,حَمَل,حَمَل-ِ,حِمْل,حَمَّل
فحملناه	حَمَل-ِ,حَمَّل
فحملتها	حَمْلَة,حَمَل-ِ,حَمَّل
فحملا	حَمْل,حَمَل,حِمْل,حَمَل-ِ,حَمَّل
فحماها	حُمَة,حَم,حِمَى,حَمّ,حَمَى-ِ,فَحَّم,حُمَّى,حَمَّى
فحليتهم	حَلَى,حِلْيَة,حَلَّى
فحلبناه	حَلَب-ُِ
فحلال	حَلال
فحكم	فَحّ,حَكَّم,حُكْم,حَكَم
فحك	فَحّ,حَكّ
فحقن	حاق,حاق-ِ,حُقْنَة,حَقْن,حَقَن-ُِ
فحقروا	حَقُر,حَقَّر,حَقَر-ِ
فحفها	حَفّ
فحفظ	حَفِظ-َ,حِفْظ
فحفرنا	حُفْرَة,حَفَر-ِ,حَفْر
فحفرتها	حَفَر-ِ,حُفْرَة
فحططت	حَطَّط,حَطّ
فحطاني	حَطّ
فحط	حَطّ
فحضرها	حَضَّر,حَضَر
فحصرهم	حَصَر-ُِ,حُصْر,حَصْر
فحصرناهم	حَصَر-ُِ
فحصبهم	حَصَب-ُِ,حَصِب-َ,حَصَب,حَصَّب
فحصبني	حَصَب-ُِ,حَصِب-َ,حَصَّب
فحشا	حَشا,فُحْش,فَحُش,حَشاً,حَشّ
فحسوا	حَسْو,حَسا,حَسّ-ِ
فحسنها	حَسَّن,حَسَن,حُسْن
فحسدنا	حَسُود,حَسَد
فحسبوه	حَسَب,حَسِب-ِ
فحسبنا	حَسْبَ,حَسْب,حَسَب,حَسِب-ِ,حَسُب
فحسبته	حَسَب,حَسِب-ِ
فحزن	حَزَن,حَزْن,حُزْن,حَزَّن,حاز-ِ,حاز,حَزِن-َ
فحزمته	حُزْمَة,حَزَم-ِ,حَزَّم
فحزروه	حَزَر-ُِ
فحزب	حَزَّب,حَزَب,حِزْب
فحز	حَزّ
فحرموه	حَرَّم,حَرَم-ُِ
فحرمت	حَرِم-َ,حَرُم,حَرَّم,حَرَم-ُِ
فحرقوهما	حَرَّق,حَرَق-ِ,حَرَق
فحرقهم	حَرْق,حَرَّق,حَرَق-ِ,حَرَق
فحرز	حِرْز,حَرُز,حَرَّز,حَرَز,حَرِز
فحذروه	حَذَّر
فحديث	حَدِيث
فحدوها	حَدِي,حَدّ,حَدا
فحدقني	حَدَّق,حَدَق-ِ
فحدثوه	حَدَث
فحدثهما	حَدَث
فحدثتهما	حَدَث
فحجي	حَجّ,حِجاً,حَجِيّ
فحجوا	حَجّ,حَجا
فحجنه	حَجَن-ِ
فحجزت	حَجَز
فحجا	حَجّ,حِجاً,حَجا
فحثوت	حَثا
فحبسناه	حَبَس-ِ
فحاك	فَحّ,حاكِي,حاك
فحافظ	حافَظ,حافِظ
فحاد	حاد-ِ,حادّ,حاد,حادِي
فجورها	جُورَة,جَوْر,فُجُور
فجور	جُورَة,جَوْر,فُجُور
فجوات	فَجْوَة
فجهش	NOTFOUND
فجمعكم	جَمَع-َ,جَمَّع,جَمْع
فجمعتهما	جَمَع-َ,جُمْعَة,جَمَّع
فجلله	جَلَل,جَلَّل,جُلَّى
فجلسني	NOTFOUND
فجلدها	جَلَد-ِ,جِلْد,جَلَد,جَلْد,جَلِد-َ,جَلَّد
فجلدته	جِلْد,جَلَد-ِ,جَلِد-َ,جَلْدَة,جَلَّد
فجلت	جَلا,جَلَى-ِ,جال,جَلّ-ِ,جَلَّى
فجفوا	جَفا,جَفْو,جَفّ-ِ
فجعلوها	جَعَل-َ
فجعلوه	جَعَل-َ
فجعلوني	جَعَل-َ
فجعلهم	جَعَل-َ,جُعْل,جَعْل
فجعلناه	جَعَل-َ
فجعلتهما	جَعَل-َ
فجعلتنا	جَعَل-َ
فجعلتموهما	جَعَل-َ
فجعفر	جَعْفَر
فجعد	جَعُد,جَعْد,جَعَّد
فجسها	جَسّ
فجزعت	جَزَّع,جَزِع-َ,جَزَع-َ
فجززته	جَزّ
فجزاء	جَزاء,جِزْيَة
فجري	جَرْي,جَرَى-ِ,جَرّ,فَجْر
فجروه	فَجَر,فَجَّر,جَرَى-ِ,جَرّ
فجروا	فَجَر,فَجَّر,جَرَى-ِ,جَرّ
فجره	فَجَر,فاجِر,جُرَّة,فَجَّر,جَرَّة,جَرّ,فَجْر
فجربته	جَرَّب,جَرِب
فجرب	أَجْرَب,جِراب,جَرَّب,جَرِب-َ,جَرَب,جَرِب
فجذبت	جَذَب-ِ
فجذب	جَذَب-ِ,جَذْب
فجده	جِدَّة,جَدّ,جِدّ
فجددت	جَدَّد,جَدّ-ِ
فجدته	جَدا,جِدَّة,جاد,جَدّ
فجحشت	NOTFOUND
فجحدتها	جَحَد-َ
فجثي	NOTFOUND
فجثت	جَثا,جَثّ
فجبريل	جَبْرَئِيل
فجبذت	جَبَذ-ِ
فجاوزهم	جاوَز
فجاوزها	جاوَز
فجامع	جامِع,جامَع
فجالسوهم	جالَس,جالِس
فجال	جال
فجافي	جافِي,جافَى,جافّ
فجاعوا	جاع
فجاشت	جاش-ِ
فجار	جار,جارِي,فاجِر
فجاذبه	جاذَب,جاذِب
فجاد	جادّ,جاد
فجاته	NOTFOUND
فجاءوني	جاء
فجاءجبريل	NOTFOUND
فجاءاه	جاء
فجئهم	فَجِئ-َ
فجئناهم	فَجِئ-َ,جاء
فجئناها	فَجِئ-َ,جاء
فجئتها	فَجِئ-َ,جاء
فجئتني	فَجِئ-َ,جاء
فجئتما	فَجِئ-َ,جاء
فثياب	ثَوْب
فثنتان	ثُنَّة
فثمنه	ثُمْنَة,ثَمَّن,ثُمْن,ثَمَن
فثمرها	ثَمَر
فثمرته	ثَمَر,ثَمْر
فثلثي	ثُلْث
فثقل	ثِقَل,ثَقُل,ثَقَّل
فثبنا	ثُبْنَة,ثاب,ثَبَن-ِ
فثبتوا	ثَبُت,ثَبَت,ثَبَّت
فثابت	ثاب,ثابِت
فتيمما	تَيَمَّم,يَمَّم
فتياممت	NOTFOUND
فتونا	تَوّ,فَتّ,وَنّ-ِ
فتولي	وَلَّى,أَوْلَى,تَوَلَّى,تَوَلِّي
فتوفني	وَفَّى,أَوْفَى
فتوفاه	تَوَفَّى
فتوضانا	NOTFOUND
فتوضئين	وَضُؤ
فتوسطوا	وَسَّط,تَوَسَّط
فتوخاه	تَوَخَّى
فتوحيه	أَوْحَى
فتوجهنا	وَجَّه,تَوَجَّه,تَوَجُّه
فتوجهت	تَوَجَّه
فتوجعنا	تَوَجُّع,أَوْجَع,تَوَجَّع,وَجِع-َ
فتوجعت	تَوَجَّع
فتواطات	NOTFOUND
فتواريت	تَوارَى
فتواريا	تَوارَى,وارَى
فتهيات	NOTFOUND
فتهوي	تَهَوَّى,هَوَى-ِ,هَوَّى,هَوِي-َ,أَهْوَى
فتهود	هَوَّد,هاد,تَهَوَّد
فتهلكين	هَلَّك,هَلَك,أَهْلَك
فتهلكي	هَلَّك,هَلَك,أَهْلَك
فتهلك	أَهال,هال-ِ,هال,هَلَّك,هَلَك,هَلّ-ِ,أَهْلَك,أَهَلّ
فتهل	أَهال,هال,هال-ِ,هَلّ-ِ,أَهَلّ
فتهب	هاب-َ,هَبا,أَهَبّ,أَهاب,وَهَب-َ,هَبّ
فته	فَتّ,وَهَى-ِ,فات
فتنوا	وَنَى-ِ,فَتَن-ِ
فتنكرت	تَنَكَّر
فتنكحها	أَنْكَح,نَكَح-َُِ
فتنكح	أَنْكَح,نَكَح-َُِ
فتنكبوا	ٱِنْكَبّ,تَنَكَّب,نَكَّب,نَكَب,ٱِنْكَبَى
فتنفي	نَفَى,نَفا,نَفّ-ِ
فتنفعوني	نَفَّع,نَفَع-َ
فتنفس	نَفِس-َ,تَنَفَّس,تَنَفُّس,نَفَّس,نَفُس
فتنعم	نَعُم,نَعَّم,نَعِم-َ,نَعَم-َُ,أَنْعَم,تَنَعَّم
فتنظرين	نَظَر
فتنظروا	تَنَظَّر,نَظَر
فتنطلق	ٱِنْطَلَق
فتنصر	تَنَصَّر,نَصَر,نَصَّر
فتنسين	نَسِي-َ,أَنْسَى
فتنزع	نَزَّع,نَزَع-ِ
فتنخع	تَنَخَّع
فتنحوا	أَنْحَى,نَحا,نَحَّى,نَحَى,تَنَحَّى
فتنحنحوا	نَحْنَح,تَنَحْنَح
فتنحنح	نَحْنَح,تَنَحْنَح
فتنجو	نَجا
فتنتن	نات,نَتِن-َ,نَتَن-ِ,نَتَّن,فَتَن-ِ,نَتُن,أَنْتَن
فتنت	نات,فَتَن-ِ
فتناولني	تَناوَل,ناوَل
فتنافرا	تَنافَر,نافَر,تَنافُر
فتنازعا	تَنازُع,نازَع,تَنازَع
فتناثر	تَناثَر,تَناثُر
فتميرات	NOTFOUND
فتملهم	مَلَّى,أَمْلَى,أَمَلّ,مَلا
فتمكن	تَمَكَّن,تَمَكُّن,أَمْكَن,مَكَّن
فتمكثين	مَكَث
فتمكثي	مَكَث
فتمطات	NOTFOUND
فتمضمضت	تَمَضْمَض
فتمشوا	أَمْشَى,مَشّ,مَشَّى,مَشَى-ِ,تَمَشَّى
فتمسحت	تَمَسَّح
فتمس	مَسَى,مَسَّى,أَمْسَى,وَمَس-ِ,مَسّ-َ,ماس-ِ
فتمزق	مَزَق-ِ,تَمَزَّق,تَمَزُّق,مَزَّق
فتمثل	مَثُل,تَمَثَّل,مَثَل,تَمَثُّل,مَثَّل
فتمتلئ	ٱِمْتَلَأ
فتلومني	لَوَّم,لام
فتلهفت	تَلَهَّف
فتلقيناها	تَلَقَّى
فتلقيناه	تَلَقَّى
فتلقيت	تَلَقَّى
فتلقوا	لَقِي-َ,تَلَقَّى,أَلْقَى
