وانثانا	أَنَّث,أُنْثَى
كوش	كَوَّش,كُوشَة
كنيته	كَنَى-ِ,كَنَّى,كُنْيَة,نِيَّة,نِيّ
كنبيب	NOTFOUND
كناني	كَنَى-ِ,كَنا,كَنَّى,كَنّ-ِ,كُنَّة
كموت	مَوْت
كمجلسك	مَجْلِس
كمانعها	مانِع
كلفني	كَلَّف
كلالة	كَلالَة,كَلال
كفيلا	كَفِيل,فِيلّا
كفني	كَفْن,فَنِّيّ,كَفَن,فَنّ,كَفّ
كففت	كَفَّف,كَفّ
كفتنة	كَفَت-ِ,كَفَّت,فِتْنَة
كظم	كَظَم-ِ
كشهر	شَهْر
كسرته	كَسْرَة,كِسْرَة,كَسَر-ِ,سُرَّة,كَسَّر
كساه	ساهِي,كِسْوَة,كَسا
كسائي	كِساء
كسا	كَسا
كرهنا	كَرْه,كَرِه-َ,كَرُه,كَرَّه,كَرِه,كُرْه
كرهتم	كَرِه-َ,كَرُه,كَرَّه
كرما	كَرَم,كَرَّم,كَرْم,كَرُم
كرعنا	كَرَع-َ,كَرْع
كرائم	كَرِيمَة
كراءها	كِراء,راء
كذبوهم	كَذَب-ِ,كَذَّب
كذبنا	كَذَب-ِ,كِذْب,كَذَّب
كدوح	دَوْحَة
كد	كَدّ
كحل	حِلّ,كَحِل,كَحَّل,كُحْل,حَلّ
كحبنا	حَبّ,حُبّ
كجمعة	جُمْعَة,جَمْع
كثبان	ثُبْنَة,كَثِيب,كُثْبان
كتمه	كَتْم,كَتَّم,كَتَم
كتبا	كِتاب,كَتَب
كبرنا	بَرّ,بُرّ,بِرّ,كِبْر,كِبَر,كُبْر,كَبَّر,كَبَر
كايامكم	يَوْم
كامثال	مِثْل,مَثَل
كالمهل	مَهْل
كالمنكل	NOTFOUND
كاللؤلؤ	لُؤْلُؤ
كالكاره	كارِه
كالرجل	رَجُل,رِجْل
كاعناق	عُنْق
كاعراب	عَرَبِيّ,إِعْراب
كاشفو	كاشِف
كاسنمة	سَنام
كاسا	كاس-ِ,كاس
كاره	كار,كارِه,آر
كاذبين	كاذِب
كاحدث	أَحْدَث
كاحد	أَحَد,أَحَدّ
كابل	كابُل,إِبْل,كابِل,كابَل
كئيبة	كَئِيب
قيوم	قَيُّوم
قوي	قَوِيّ,قَوَّى,قَوِي-َ,قُوَّة,قَوَى
قوسك	قَوَّس,قَوْس
قنع	قَنِع,قَنَع,قَنَّع,قَنِع-َ,قِناع,قِنْع
قناديل	قِنْدِيل
قلوصا	NOTFOUND
قلص	قَلَّص,قَلَص-ِ,قَلَص
قلبة	قَلْبَة,قَلَب-ِ,قَلْب,قَلَّب
قلبا	قَلَب-ِ,قَلْب,قَلَّب
قف	قَفّ
قعدنا	قَعَد,قَعَّد,قَعُود
قطوف	قُطُوف,قِطْف,قَطُوف
قطرتين	قَطْرَة
قضيته	قَضِيَّة,قَضَّى,قَضَى-ِ
قضية	قَضِيَّة
قضيب	قَضِيب
قضوا	قَضّ-َ,قَضَى-ِ,قَضَّى,قَضّ
قصيرا	قَصِير
قصها	قَصّ
قصه	قَصّ,قَصَّة,قِصَّة
قصصه	قِصَّة,قَصَّص,قَصَص
قصره	قَصَر-ِ,قاصِر,قَصَّر,قَصَر,قَصْر,قِصَر,قَصْرَة
قشبني	قَشَب
قزح	قُزَح,قَزَّح
قروء	قُرُوء
قرنين	قَرْن
قرضا	قَرَض-ِ,قَرَّض,قَرْض
قرحت	قَرَح-َ,قَرِح-َ,قَرَّح
قرحة	قَرِح,قَرْح,قَرْحَة,قَرِح-َ,قَرَح-َ,قَرَّح
قربوها	قَرَّب,قَرِب-َ,قَرُب
قربه	قِراب,قُرْب,قِرْبَة,قَرَّب,قُرْبَة,قَرِب-َ,قَرُب,قُرْبَ
قربك	قِراب,قُرْب,قِرْبَة,قَرَّب,قَرِب-َ,قَرُب,قُرْبَ
قراهما	قَرْيَة,قَرّ-َِ,قِرَى,قَرَى-ِ,قَرا
قراتيه	NOTFOUND
قراته	NOTFOUND
قراءتي	قِراءَة
قراءتنا	قِراءَة
قر	قَرّ-َِ,قَرّ
قذفوه	قَذَّف,قَذَف-ِ
قذرني	قَذَّر
قذذه	قُذَّة
قديم	قَدِيم
قديدا	قَدِيد
قدوس	قَدُّوس
قدميك	قَدَم
قدمها	قَدِم-َ,قَدَم,قَدُوم,قَدَّم
قدمتم	قَدِم-َ,قَدَّم
قدس	قُدْس,قُدُس,قَدُس,قَدَّس
قدرها	قَدْر,قَدَّر,قِدْرَة,قَدَر,قِدْر
قدرته	قَدَّر,قِدْرَة,قُدْرَة,قَدَر
قتلاها	قَتِيل,قَتَل,قَتَّل
قتلانا	قَتِيل,قَتَّل,قَتَل
قبول	قُبُول
قبورها	قَبْر
قبوركم	قَبْر
قبلوا	قَبَّل,قَبِل-َ
قاعدة	قاعِدَة,قاعِد
قارورة	قارُورَة
قارنها	قارَن
قادرا	قادِر
قاتلك	قاتَل,قاتِل
قاتلا	قاتَل,قاتِل
قابلا	قابِل,قابَل
قائلهن	قائِل
قائلهم	قائِل
فيوكي	وَكَى-ِ
فيهدي	أَهْدَى,هَدَى-ِ
فينفق	نَفِق-َ,نَفَّق,أَنْفَق,نَفَق
فينفع	نَفَّع,نَفَع-َ
فينفخ	نَفَخ
فيمكث	مَكَث
فيمسح	مَسَّح,مَسَح-َ
فيلحق	أَلْحَق,لَحِق-َ
فيلج	وَلَج-ِ,فَيْلَج,لَجّ-َِ
فيلبس	لَبَّس,لَبِس-َ,أَلْبَس
فيكلمني	كَلَّم
فيقيم	قَيَّم,أَقام
فيقلد	قَلَّد
فيقعدانه	قَعَد,أَقْعَد,قَعَّد
فيقرره	قَرَّر,أَقَرّ,قَرّ-َِ
فيقاتل	قاتَل
فيفيض	فاض-ِ,أَفاض
فيغتسل	ٱِغْتَسَل
فيعمد	عَمَّد,عَمَد-ِ
فيعليك	أَعْلَى,عَلَّى
فيعرفونهم	عَرَّف,عَرَف-ِ
فيعجبني	أَعْجَب,عَجَّب
فيعتقه	عَتُق,أَعْتَق,ٱِعْتاق
فيطير	طَيَّر,طار-ِ
فيطلعون	أَطْلَع,ٱِطَّلَع,طَلَع
فيطلبه	طَلَب
فيضرب	ضَرَب,أَضْرَب,ضَرَّب
فيصيح	صاح-ِ,صَيَّح
فيصوم	صام
فيصليها	صَلَّى,صَلَى-ِ,أَصْلَى
فيصلون	وَصَل-ِ,صَلَّى,صَلِي-َ,صَلَى-ِ,أَصْلَى
فيصرف	صَرَف-ِ,صَرَّف
فيصدق	صَدَق,صَدَّق
فيشتريه	ٱِشْتَرَى
فيرميها	رَمَى-ِ
فيرمي	رَمَى-ِ
فيذكرون	ذَكَر,أَذْكَر,ذَكَّر
فيدنيه	ٱِدَّنَى,أَدْنَى,دَنَّى
فيدخلهم	أَدْخَل,دَخَل
فيدارسه	دارَس
فيخلطون	خَلَط-ِ,خَلَّط
فيخسف	خَسَف-ِ
فيحمل	حَمَل-ِ,حَمَّل
فيحطب	حَطَب-ِ
فيحشرون	حَشَر-ُِ
فيحتطب	ٱِحْتَطَب
فيجربها	جَرَّب
فيتنخع	تَنَخَّع
فيتم	تَمّ-ِ,يَتُم,أَتَمّ,يَتِم-َ,تام,يُتْم,يَتَم-ِ
فيتزوجها	تَزَوَّج
فيتحينون	تَحَيَّن
فيتبعون	تَبِع-َ,أَتْبَع,ٱِتَّبَع
فيتبع	تَبِع-َ,أَتْبَع,ٱِتَّبَع
فيبيت	بات-ِ,أَبات,بَيَّت
فيبلغ	بَلُغ,بَلَغ,بَلَّغ,أَبْلَغ
فياتيني	أَتَى-ِ
فوهل	وَهِل-َ,وَهَل,وَهَّل
فوقعوا	وَقَع-َ,وَقَّع,وُقِّع
فوقص	وَقَص-ِ
فوطئ	وَطِئ-َ,وَطْء
فوضعتها	وَضْعَة,وَضَع
فوجدتهما	وَجَد-ِ
فوجب	وَجَب-ِ,وَجَّب
فوج	فَوْج
فوافوا	وافَى
فوافقت	وافَق
فواصل	واصِل,فاصِل,واصَل
فهمت	فَهِم-َ,هام-ِ,هَمّ,هِمَّت,هَما,فَهَّم
فهلكوا	هَلَّك,هَلَك
فهزمهم	هَزْم,هَزَم-ِ
فهرولت	هَرْوَل
فهرول	هَرْوَل
فهتكه	هَتَك-ِ,هَتْك,هَتَّك
فهابا	هاب-َ
فنيت	فَنِي-َ
فنور	نُور,أَوْرَى,نَوَر,نَوَّر,وَرَّى
فنوديت	NOTFOUND
فنهض	نَهْض,هَضّ,نَهَض-َ,هاض-ِ
فنهاها	نَها,نُهَى,نَهَى-ِ
فنكس	وَكَس-ِ,نَكَس,نُكْس,أَكْسَى,نَكَّس,كاس-ِ,كَسا,كَسِي-َ
فنكريها	نَكِر,كَرَى-ِ,أَكْرَى
فنكحته	كَحَت-َ,كَحَّت,نَكَح-َُِ
فنكاح	نِكاح
فنقرها	أَقَرّ,نَقَّر,نَقَر,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,نَقْر,قَرا,نَقِر,نُقْرَة
فنفط	نَفْط
فنفرت	نَفَّر,نَفَر
فنصفه	صَفا,نَصَف,صَفَّى,أَصْفَى,نِصْف,صَفّ,وَصَف-ِ,نَصَّف,نَصَفَة
فنصبوا	نَصَّب,نَصَب,نَصِب-َ
فنصبه	صَبّ,وَصَب-ِ,نُصْبَة,نَصَّب,أَصاب,نُصْب,نَصْب,نَصْبَة,صَبا,صَبِي-َ,صَبّ-َ,نُصْبَ,نَصَب,صَبَّى
فنري	وَرَى-ِ,رَأَى-َ
فندرت	نَدَر,نَدُر
فنثر	نَثْر,نَثَر,ثار,وَثَر-ِ,ثَرِي-َ,أَثار,ثَرّ,نَثَّر,أَثْرَى
فناكل	أَكَل
فناديت	نادَى
فمنها	مَنّ,مِن
فمنعوه	مَنَع
فمضيت	مَضَّى,مَضَى-ِ
فمسحها	مَسَّح,مَسَح-َ,مَسْح,مِسْح
فمرة	مَرّ,مُرّ,مَرَّة
فمحاه	مَحا,مَحّ,مَحَّى
فلينضح	نَضَح-َ,نَضَح-ِ
فليمسكها	مَسَّك,أَمْسَك,مَسَك
فليكظم	كَظَم-ِ
فليقعده	قَعَد,أَقْعَد,قَعَّد
فليقطعهما	قَطَع-َ,قَطَّع,أَقْطَع
فليقبل	قَبَّل,أَقْبَل,قَبِل-َ
فليقبض	قَبَّض,قَبَض-ِ
فليغمسه	غَمَس-ِ,غَمَّس
فليعذ	عَذِي-َ,عاذ,عَذا,أَعاذ
فليستعفف	NOTFOUND
فليستاذنه	NOTFOUND
فليخل	أَخْلَى,خَلّ,خَلا,خال-َ,أَخال,خَلَّى,أَخَلّ
فليحل	أَحَلّ,حَلّ-ِ,حَلَى,أَحال,حَلَّى,حَلِي-َ,حال,حَلُو,حَلّ
فليجتنب	ٱِجْتَنَب
فليتعجل	تَعَجَّل
فليتئد	ٱِتَّأَد
فليبلغ	بَلُغ,بَلَغ,بَلَّغ,أَبْلَغ
فلياخذها	أَخَذ
فلياتني	أَتَى-ِ
فلهم	فَلّ,فُلّ,لَهِم-َ,هَمّ,لِ-,لَهِم,لَهْم
فلمست	لَمَس
فلكاني	لَكّ
فلقة	فَلَقَة,فَلَق-ِ,فِلْقَة,فَلَّق,فَلْق
فلغبوا	NOTFOUND
فلطمها	طِمّ,لَطَم-َ,طَمّ
فلسطين	فِلَسْطِين
فلزمه	لَزْمَة,لَزِم-َ
فلحقته	حُقَّة,لَحِق-َ
فلتؤجروا	آجَر,أَجَّر
فلبست	لَبَّس,لَبِس-َ
فلاهله	هِلال,هَلّ-ِ,أَهْل,أَهَلّ,آهِل
فلاضرب	ضَرَب,أَضْرَب,ضَرَّب
فكلته	كال-ِ,كَلَت-ِ,كُلَّة,كِلَّة,لَتّ
فكفن	كَفَن-ِ,كَفْن,كَفَن,فَنّ,كَفَّن
فكسا	كَسا
فكرهته	كَرِه-َ,كَرَّه,كَرِه
فكاد	كاد-َ,كاد-ِ,إِدّ
فقيه	قِياء,فَقِيه
فقلما	قَلَم,قَلَّم,قَلَّما,قَلَم-ِ
فقطعته	قَطَع-َ,قَطَّع,قِطْعَة,قَطْعَة,قُطْعَة
فقرك	قَرّ-َِ,قَرّ,فَقْر
فقربنا	قِراب,قُرْب,قِرْبَة,قَرَّب,قَرِب-َ,قَرُب,قُرْبَ
فقراناها	NOTFOUND
فقراتها	فَقْرَة
فقرئ	NOTFOUND
فقدموني	قَدِم-َ,قَدَّم
فقبضها	قَبْض,قَبَّض,قَبَض-ِ,قُبْضَة
فقبضتها	قَبَّض,قَبَض-ِ,قَبْضَة,قُبْضَة
فقاعدا	قاعِد
ففقات	NOTFOUND
ففطنت	فَطِن-َ,فَطُن,فَطَن
ففصلتها	فَصَل-ِ,فَصْلَة,فَصَّل
ففرغ	فَرَّغ,فَرِغ,فَرِغ-َ,فَرَغ
ففرض	فَرْض,فَرَض-ِ
ففر	فَرّ,فَرّ-ِ
فغيره	غَيَّر,غَيْرَة,غَيْر
فغنموا	غَنِم-َ,غَنَّم
فغمزني	غَمَز-ِ
فغلبه	غَلَب-ِ,غَلْبَة
فغسلته	غَسْلَة,غَسَل-ِ,غَسَّل
فغسلت	غَسَل-ِ,غَسَّل
فغرت	غَرا,غَرّ,غَرَّى,فَغَر-َُ,غار
فعليهم	عَلِيّ,فِعْلِيّ,عَلَى
فعلموهم	عَلِم-َ,عَلَّم
فعلمه	عَلِم-َ,عُلْمَة,عِلْم,عَلَم,عَلَّم
فعلق	عَلِق,عَلَّق
فعلتن	فَعَل-َ,عال-ِ,عال
فعقرته	عَقَّر
فعظموا	عَظُم,عَظَّم
فعطس	عَطَس-ِ,عَطْس,عَطَّس
فعزل	أَعْزَل,عَزَل-ِ,عَزْل
فعرق	عَرَق,عِرْق,عَرِق-َ,عَرَّق
فعرفني	عَرَّف,عَرَف-ِ
فعرفته	عَرَفَة,عَرَّف,عَرَف-ِ
فعرج	عَرَج,عَرِج-َ,عَرَّج
فعدلت	عَدَل-ِ,عَدَّل
فعددنا	عَدّ,عَدَد,عَدَّد
فعددتها	عَدّ,عَدَّد
فظل	ظِلّ,ظَلّ-َ
فطلقتها	طَلَق,طَلَّق,طَلَقَة
فطفنا	طاف,طاف-ِ
فطفقوا	طَفِق-َ
فطركم	فِطْرَة,فِطْر,فُطْر,طَرّ-ِ,طَرّ,فَطَر,فَطْر
فطبخناها	طَبَخ-َُ
فضمها	ضَمّ
فضم	ضَمّ
فضحت	ضَحا,ضَحَّى,فَضَّح,فَضَح-َ
فصيله	فَصِيل
فصيلا	فَصِيل
