يخدع	خَدَع-َ
فذبحها	ذَبَّح,ذَبْح,ذَبَح-َ
فدفنه	دَفَن-ِ,دَفْن,داف
فدفنت	دَفَن-ِ
فخلل	خَلَل,خَلَّل
فخلا	خَلّ,خَلا
فخرجا	خَرَج,خَرْج,خَرَّج
فخرا	فَخِر-َ,فَخَر-َ,خَرّ,خَرّ-ُِ,فَخْر
فحضت	حَضّ,حاض-ِ
فحسبت	حَسَب,حَسِب-ِ,حَسُب
فحرم	حَرِم-َ,حُرْمَة,حَرُم,حَرَّم,حَرَم,حَرَم-ُِ
فحرك	حُرّ,حَرَّك,حَرّ
فحدثنيه	NOTFOUND
فحدثناه	حَدَث
فجلسنا	جَلَس-ِ
فجعلن	جَعَل-َ
فجعلا	جَعَل-َ,جُعْل,جَعْل
فجدح	جَدَح-َ
فجحدني	جَحَد-َ
فتيمموا	تَيَمَّم,يَمَّم
فتيمم	تَيَمَّم,يَمَّم
فتنا	فَتّ,فات,فَتَن-ِ,تُنّ,فِتْنَة
فتموله	مَوَّل
فتفرق	فَرَق,تَفَرَّق,تَفَرُّق,فَرَّق
فتعطي	أَعْطَى
فتعال	أَعال,تَعالَى
فتركها	تَرَك,تَرْك,تُرْكِيّ,تَرَّك,رَكّ
فترجع	أَرْجَع,تَرَجَّع,رَجَّع,رَجَع-ِ
فتخلفت	تَخَلَّف
فتخلف	خَلَف,تَخَلُّف,أَخْلَف,خَلَّف,تَخَلَّف
فتخرج	خَرَج,تَخَرُّج,خَرَّج,تَخَرَّج,أَخْرَج
فتحلف	حَلَف-ِ,حَلَّف
فتتبع	تَتَبَّع,تَبِع-َ,تَتَبُّع,أَتْبَع,ٱِتَّبَع
فتاة	فَتّ,تاه,فَتَى,فَتاة
فبلسانه	لِسان,بَلَسان
فبقلبه	قَلْبَة,قَلْب
فبعثني	بَعَث-َ
فبرك	بِرْكَة,بِرّ,بُرّ,بَرّ,بَرَك,بَرَّك
فبراها	بَرَى,بَرَى-ِ
فبايعوه	بايَع
فباعوها	باع-ِ
فباع	باع,باع-ِ
فانصر	نَصَر,نَصَّر
فانشا	إِنْش
فانزلن	أَنْزَل
فانذر	نَذَر,أَنْذَر,نَذِر-َ
فاناخه	أَناخ
فامهم	أُمّ
فامن	مَنَى-ِ,مَنّ,مَنا,أَمَنّ,آمَن,أَمِن-َ,أَمْن,أَمَّن,آمِن,مَنَّى
فامسكي	مَسَك
فامسكوا	أَمْسَك,مَسَك
فامرهن	مار,أَمْر,مار-ِ,أَمَّر,أَمَرّ,مَرّ,آمَر,أَمار,آمِر,أَمَر
فامرهما	مار,أَمْر,مار-ِ,أَمَّر,أَمَرّ,مَرّ,أَمار,آمَر,آمِر,أَمَر
فالنكاح	نِكاح
فالمستكثر	NOTFOUND
فالايمن	أَيْمَن,يَمِين
فالان	الآنَ,آن,آلان,أَلان
فاكفا	كَفّ
فاكره	آكَر,كَرِه-َ,كَرُه,كَرَّه,كَرا,أَكَر-ِ,كَرّ,أَكْرَه,كَرِي-َ,أُكْرَة,أَكْر,كَرَى-ِ,أَكْرَى
فاقدمهم	قَدِم-َ,أَقْدَم,قَدَّم
فاقترا	أَقْتَر
فاقبلنا	قَبَّل,أَقْبَل,قَبِل-َ
فافترش	ٱِفْتَرَش
فافاض	أَفاض
فاغسلوها	NOTFOUND
فاغسلوه	NOTFOUND
فاعلين	فاعِل,أَعْلَى
فاعطيت	أَعْطَى
فاعرف	عَرَّف,عَرَف-ِ,أَعْرَف
فاعجبه	أَعْجَب,عَجَّب
فاعتقيها	NOTFOUND
فاصغي	صَغِي-َ,أَصْغَى,صَغا
فاشرب	أَشْرَب,شَرِب-َ,شَرَّب
فاشتكي	ٱِشْتَكَى
فاستنت	ٱِسْتَنّ
فاستمسك	ٱِسْتَمْسَك
فاستاذنته	NOTFOUND
فاردنا	رَدِي-َ,راد,أَرَدّ,رَدَّى,رَدَن-ِ,أُرْدُنّ,أَرْدَى,أَراد,رَدّ,وَرَد-ِ
فارجله	رَجَّل,رِجْل,رَجِل-َ
فارادوك	أَراد
فاخرجنا	خَرَّج,أَخْرَج
فاخذتهم	آخِذ,أَخَذ,آخَذ,أَخَّذ
فاختاروا	ٱِخْتار
فاخاف	خاف-َ,أَخاف
فاحفظها	حَفِظ-َ,أَحْفَظ
فاجب	وَجَب-ِ,جَبَى-ِ,جَبَّى,جاب,جَبّ,أَجاب
فاجازه	أَجاز,جازَى,إِجازَة
فاتنا	فاتِن,فات,أَتان
فاتتني	فات,آتَى,أَتَى-ِ
فاتاهن	فات,آتَى,أَتَى-ِ
فابصرت	أَبْصَر
فابتدرناها	ٱِبْتَدَر
فئام	فِئام
ف	فَ
غيرهن	غَيَّر,غَيْر
غيرنا	غَيَّر,غَيْر
غنيا	غَنِي-َ,غَنِيّ,غَنَّى
غمس	غَمَس-ِ,غَمْس,غَمَّس
غلمان	غَلِم,غُلام
غلبتني	غَلَب-ِ
غلاب	غِلاب,غَلّاب
غصبا	غَصْب,غَصَب-ِ
غربوا	غَرَّب,غَرَب
غرامة	غَرامَة,غَرام,جرام
غدونا	غَدِي-َ,غُدُوّ,غَدا,غَدَّى
غازية	غازِي,غازِيّ,غاز,غازِيَة
عيدنا	عَيَّد,عِيد
عندهما	عِنْدَ
عميلة	عُمَيْلَة,عَمِيل
عملته	عُمْلَة,عَمِل-َ,عامِل
علمنيه	NOTFOUND
علمته	عَلِم-َ,عُلْمَة,عَلَّم
عفو	عَفْو
عظامه	عَظْم,عَظِيم
عطش	عَطَّش,عَطَش,عَطِش,عَطِش-َ
عصاه	عَصَى-ِ,عَصاة,عَصاً,عَصّ-َ,عاصِي
عسيت	NOTFOUND
عرفنا	عَرَّف,عَرَف-ِ,عُرْف
عرفته	عَرَفَة,عَرَّف,عَرَف-ِ
عرفاؤهم	عَرِيف
عرفاؤكم	عَرِيف
عددا	عَدَد,عَدَّد
عجلوا	عَجَّل,عَجِل-َ
عجزوا	عَجِز-َ,عَجُز,عَجَّز
عجزتما	عَجِز-َ,عَجُز,عَجَّز
عثرت	عَثَّر,عَثَر
عتود	NOTFOUND
عتل	عَتَل,عَتْل
عباءة	عَباء,عَبايَة
عاهر	عاهِر,عاهَر
عالما	عالَم,عالِم
عاقلة	عاقِل
عاصما	عاصِم
عارض	عارَض,عارِض
ظلمتكم	ظالِم,ظَلَم-َِ,ظُلْمَة
ظعينة	ظَعِينَة
طيبوا	طَيَّب
طلعة	طَلَع,طَلْعَة
طلبه	طَلْبَة,طالِب,طَلَب
طعنت	طَعَن-َ
طروقة	NOTFOUND
طبقا	طَبَق,طَبَّق,طِبْق
طبق	طَبَق,طَبَّق
طامث	طامِث
طالعة	طالِعَة,طالِع,طالَع
طائفتان	طائِف,طائِفَة
ضعه	ضَعَة
ضعفاء	ضَعِيف
ضخم	ضَخُم,ضَخْم,ضَخَّم
ضحضاح	ضَحْضاح
ضاحكا	ضاحِك
صيده	صَيْد
صيامكم	صائِم,صِيام
صنو	صِنْو
صلصلة	صَلْصَل,صَلْصَلَة
صلحت	صَلُح,صَلَّح
صعير	NOTFOUND
صاموا	صام
صائمة	صائِم
شيطانة	شَيْطان
شيخان	شَيْخ
شوكها	شَوَّك,شَوْك,شَوِك
شهوته	شَهْوَة
شهدها	شَهِد-َ
شناقها	NOTFOUND
شققت	شَقّ,شَقَّق
شغار	NOTFOUND
شعبها	شِعْب,شَعْب,شُعْبَة,شَعَّب
شطره	شَطْر,شَطَر,شِطْرَة
شسع	NOTFOUND
شرنا	شَرّ
شرقوا	شَرِق-َ,شَرَق
شربه	شَرِب-َ,شُرْب,شَرَّب,شَرْبَة
شرابه	شُرّابَة,شَرّاب,شَراب,شُرّاب
شحوم	شَحْم
شجرا	شَجِر,شَجَّر,شَجَرَة,شَجَر
شبيها	شَبِيه
شببة	شَبَّب
شانهم	شان-ِ
شاكرا	شاكِر,شاكَر
شاك	شاكِي,شاك,شاكّ
سيب	سِيب,سَيَّب
سووا	سَوَّى,سَوِي-َ
سوقهما	سَوَّق,سُوق,سَوْق
سور	سُورَة,سَوَّر,سُور,سِوار
سواران	NOTFOUND
سهمين	NOTFOUND
سها	سَها
سميعا	سَمِيع
سمعناه	سَمَّع,سَمِع-َ
سمعكم	سَمَّع,سَمِع-َ,سَمْع
سمعة	سَمَّع,سَمِع-َ,سَمْع,سُمْعَة
سمسارا	سِمْسار
سماع	سَماع
سلمنا	سُلَّم,سَلَّم,سَلِم-َ,سِلْم
سلط	سَلْط,سَلَّط
سكنت	سَكَّن,سَكَن
سكر	سَكِر-َ,سَكَّر,سُكْر,سُكَّر
سكتوا	سَكَت,سَكَّت
سكة	سِكَّة,سَكّ,أَسَكّ
سقتني	سَقَى-ِ,ساق
سفينتهم	سَفِينَة
سفينتنا	سَفِينَة
سرير	سَرِير
سرقوا	سَرَق-ِ,سَرَّق
سراعا	سِراع,سَرِيع
سدسه	سَدَّس,سُدْس
سدادا	سُداد,سَداد,سِداد
سجلا	سِجِلّ,سَجَّل
سجدنا	سَجَد,ساجِد
سبيع	NOTFOUND
سافعل	فَعَل-َ
ساروا	سار-ِ,سارّ
سارها	وَرَى-ِ,سار-ِ,رَأَى-َ,سارّ
زوجه	زَوَّج,زَوْج,زَوْجَة
زوجته	زَوَّج,زَوْجَة
زوجتكها	NOTFOUND
زنا	زان-ِ,زِنَى,زَنّ
زلنا	زَلّ,زال-َ,زال,زَلّ-َِ
رملة	رَمْل,رَمْلَة,رَمَّل
رمقت	رَمَق,رَمَّق
رمحه	رُمْح,رَمَح-َ
رماها	رَمَى-ِ,رَمّ
رماة	رامِي,رَمَى-ِ,رَمّ
ركعتم	رَكَّع,رَكَع-َ
ركعتا	رَكَّع,رَكْعَة,رَكَع-َ
ركضتني	رَكَض
ركبن	رَكَّب,رَكِب-َ
رقما	رَقَّم,رَقْم,رَقَم
رقدنا	راقِد,رَقْد,رَقَّد,رَقَد
رقابهم	رَقَبَة
رفيق	رَفِيق
رضيها	رَضِيّ,رَضّ
رض	رَضّ
رسالة	رِسالَة
ردفه	رَدِف-َ,رِدْف,رَدَف
ردع	رَدْع,رَدَع-َ
رددت	رَدَّد,رَدّ
رداؤه	رِداء
رجعتم	رَجَّع,رَجَع-ِ
رباع	رُباع,رَبْع,رَبّاع
راغبة	راغِب
راحلتي	راحِل,راحِلَة
راته	NOTFOUND
رءوسا	رَأْس
ذوو	ذُو
ذنوب	ذَنْب
ذبحنا	ذَبَّح,ذَبْح,ذَبَح-َ
دووي	NOTFOUND
دونهم	دُونَ,دَوَّن,دُون
دهقان	دِهْقان
دلوني	دَلّ,دَلَّى
دفعه	دُفْعَة,دَفْع,دَفَع-َ,دَفْعَة
دف	دَفّ,دَفّ-ِ,دُفّ
دعونا	وَدَع-َ,دَعّ-َ,دَعا
دعهم	وَدَع-َ,دَعّ-َ
دعاها	دَعّ-َ,دَعا
دعانا	دَعّ-َ,دَعا
دخلوها	دَخَل
داوم	داوَم,داوْم
دان	دانِي,دان-ِ
دارنا	دار,دارّ
داخلا	داخِلَ,داخِل,داخَل
داخل	داخِلَ,داخِل,داخَل
داجن	داجِن,داجَن
دابتها	دابَّة
خيرني	خَيَّر
خيرة	خَيِّر,خِيرَة,خَيْر,خَيْرَة,خَيَّر
خيبة	خَيْبَة,خَيَّب
خنساء	أَخْنَس,خَنْساء
خمرته	خَمَّر,خَمْرَة,خَمَر
خفافنا	خَفِيف,خَفاف,خُفّ
خط	خَطّ
خضرا	خَضَّر,خَضِر,خَضِر-َ,خُضْرَة
خضاب	خِضاب
خصاصة	خَصاصَة,خَصاص,خُصّ
خشف	NOTFOUND
خرجتم	خَرَج,خَرَّج
خرب	خَرِب,خَرِب-َ,خَرَب-ِ,خَرَّب
خراج	خَراج,خُراج
خدلج	NOTFOUND
خدلا	خَدِل-َ
خبيبا	خَبِيب
خامر	خامَر
خاطب	خاطَب,خاطِب
خار	خار-ِ,خار
خادمهم	خادِم
خاتمي	خاتِمِيّ,خاتَم
حينا	حَيّ,حَيّ-َ,حِين,حِينَ,حَيْن
حيطان	حائِط
حيضها	حَيْض
حيضتي	حَيْضَة
حوضا	حَوْض
حوسب	NOTFOUND
حوالة	حِوال,حَوالَة
حواريا	حَوارِيّ
حواري	حارَة,حِوار,حَوارِيّ
حواء	حَوّاء
حنكه	حُنْك,حَنَك,حَنَّك,حَنَك-ُِ,حُنْكَة
حملوا	حَمَل-ِ,حَمَّل
حملة	حَمْل,حَمْلَة,حَمَل,حِمْل,حَمَل-ِ,حَمَّل
حمان	NOTFOUND
حلي	حِلّ,حَلْي,حَلَى,حِلْيَة,حَلَّى,حَلِي-َ,حَلّ
حريص	حَرِيص
حري	حُرّ,حَرّان,حَرَى,حَرِيّ,حَرّ
حرمتها	حُرْمَة,حَرَّم,حَرَم-ُِ
حدب	حَدِب,حَدِب-َ,حَدَب,حَدَّب
حجنا	حَجَن-ِ,حَجّ
حجبني	حَجَّب,حَجَب
حافر	حافِر
حافتاه	حافَة,حافَّة,حافّ
حاصرت	حاصَر
حاذتا	حاذَى,حاذ
جيران	جار
جوس	NOTFOUND
جواظ	NOTFOUND
جوار	جارِيَة,جِوار
جنيب	NOTFOUND
جنوبهم	جَنُوب
جنته	جِنَّة,جُنَّة,جَنَى-ِ,جَنّ,جَنَّة
جنبنا	جَنَب,جَنْب,جَنَّب,جَنْبَ
جملا	جَمَّل,جُمْلَة,جَمُل,جَمَل
جمعتنا	جُمْعَة,جَمَع-َ,جَمَّع
جمال	جَمال,جَمّال,جَمَل
جمادي	جُمادَى,جَماد
جلدة	جَلَد-ِ,جِلْد,جَلَد,جَلْد,جَلِد-َ,جَلْدَة,جَلَّد
جلباب	جِلْباب
جريدة	جَرِيدَة,جَرِيد
جرست	جَرَس-ِ,جَرَّس
جرة	جُرَّة,جَرَّة,جَرّ
جذر	جَذَر,جَذَّر,جِذْر
جدع	جَدَع,جَدَع-َ
جالت	جال
جاعوا	جاع
جاءتني	جاء
جئتماني	جاء
ثيابنا	ثَوْب
ثوما	ثُوم
ثمل	ثَمِل,ثَمَل,ثَمِل-َ
ثبطة	ثَبَط,ثَبَّط
ثبج	ثَبَج
ثالثهما	ثالِث
ثالثة	ثالِث
ثالثا	ثالِث
ثالث	ثالِث
تهراق	NOTFOUND
تنكشف	ٱِنْكَشَف
تنفع	نَفَّع,نَفَع-َ
تنفروا	نَفَّر,نَفَر
تنطف	نَطَف
تنتقب	ٱِنْتَقَب
تنتظرون	ٱِنْتَظَر
تنتبذوا	ٱِنْتَبَذ
تنبغي	ٱِنْبَغَى,نَبَغ-َُِ
تنبذوا	نَبَذ-ِ,نَبَّذ,أَنْبَذ
تنافسوها	تَنافَس,نافَس
تمسوه	مَسَى,مَسَّى,أَمْسَى,وَمَس-ِ,مَسّ-َ
تمثلوا	مَثُل,تَمَثَّل,مَثَل,مَثَّل
تمتلئ	ٱِمْتَلَأ
تماروا	تَمارّ,مارَى,تَمارَى,أَمار
تليد	تَلِيد
تكلموا	كَلَّم,تَكَلَّم
تكفرها	كَفَر-ِ,كَفَّر,أَكْفَر
تكسب	تَكَسَّب,كَسَب-ِ,كَسَّب,أَكْسَب,تَكَسُّب
تكروا	تَكَرَّى,كَرّ,كَرا,كَرِي-َ,كَرَى-ِ,أَكْرَى
تقوي	تُقْو,قَوَّى,قَوِي-َ,تَقْوَى,تَقَوَّى,أَقْوَى
تقولها	تَقَوُّل,قال
تقصر	قَصُر,قَصَر-ِ,قَصَّر,قَصَر,أَقْصَر
تقرؤها	NOTFOUND
تقذرا	قَذَّر,قَذِر-َ
تقاتلون	قاتَل
تفلي	فَلّ,تَفِل,فَلَى-ِ,فَلَّى,تَفَلَّى,تُفْل
تفعلي	فَعَل-َ
تفريط	تَفْرِيط
تفرض	فَرَض-ِ
تفجر	فَجَر,تَفَجُّر,تَفَجَّر,فَجَّر
تفثه	NOTFOUND
تغني	أَغْنَى,غَنِي-َ,غَنّ-َ,أَغَنّ,غَنَّى,تَغَنَّى
تعلمين	أَعْلَم,عَلِم-َ,عَلَّم
تعسرا	عَسَّر,أَعْسَر,عَسَر,تَعَسَّر,تَعَسُّر,عَسُر
تعذيب	تَعْذِيب
تعجبا	عَجِب-َ,تَعَجَّب,تَعَجُّب,أَعْجَب,عَجَّب
تظاهرتا	تَظاهَر,تَظاهُرَة
تطهيرا	تَطْهِير
تطعنون	طَعَن-َ
تطعنوا	طَعَن-َ
تطرد	طَرَد,ٱِطَّرَد
