تضعونه	وَضَع
ومحا	مَحا,مُحّ,مَحّ
وليلا	لَيْل
وليقعد	قَعَد,أَقْعَد,قَعَّد
وليشرب	أَشْرَب,شَرِب-َ,شَرَّب
وليستعذ	ٱِسْتَعاذ
وليدا	وُلَيْد,وَلِيد
وليتها	وَلَّى,لَيْتَ,وَلِي-ِ,وَلِيَّة,لَيَّة
وليتم	وَلَّى,تَمّ-ِ,أَتَمّ,وَلِي-ِ,تام,يُتْم
وليبلغ	بَلُغ,بَلَغ,بَلَّغ,أَبْلَغ
وليبصق	بَصَق
وليؤمكما	NOTFOUND
ولهذه	هٰذا
ولهذا	هٰذا
وللمسلمين	مُسْلِم,مُسَلَّم
وللزوج	زَوْج
ولكنكم	لٰكِنَّ,كَنّ
ولكتابه	كُتّاب,كِتابَة,كِتاب,كاتِب
ولزوجها	زَوْج
ولدان	دانِي,لَدْن,وَلَد,وَلِيد
ولتركب	رَكِب-َ,رَكَّب,أَرْكَب
ولاهلك	هَلَّك,هَلَك,هَلّ-ِ,أَهْلَك,أَهْل,أَهَلّ,آهِل
ولائمة	إِمام,لائِم,وَلِيمَة,لائِمَة
وكلوه	كُلْوَة,أَكَل,وَكَّل,وَكَل-ِ
وكفن	وَكَف-ِ,كَفَن-ِ,كَفْن,كَفَن,فَنّ,كَفَّن
وكفرت	كَفَر-ِ,كَفَّر
وكفاه	وَكَف-ِ,كافِي,كَفّ,كَفَى-ِ
وكشف	شِفّ,كَشَف-ِ,كَشْف
وكسب	سَبّ,كَسْب,كَسَب-ِ,كَسَّب
وكبروا	كَبَّر,كَبَر
وكاذب	كاذِب
وقيصر	قَيْصَر
وقيت	وَقَى-ِ
وقوم	قَوْم,قَوَّم
وقني	قَنَى-ِ,قِنّ,قُنّ
وقلن	قال
وقلما	قَلَم,قَلَّم,قَلَّما,قَلَم-ِ
وقعوا	وَقَع-َ,وَقَّع,وُقِّع
وقربة	قِراب,قُرْب,قِرْبَة,قَرَّب,قُرْبَة,قَرِب-َ,قَرُب,قُرْبَ
وقراءة	قِراءَة,قارِئ
وقامه	قام,قامَة
وقاء	قاء-ِ,وَقاء
وفكاك	فِكاك,فَكّ
وفرحة	فَرِح-َ,فَرَح,فَرْحَة,فَرِح,فَرَّح
وفرج	فَرَّج,فَرَج,فَرْج
وفخذه	فَخْذ
وفاجر	فاجِر
وغيرك	غَيَّر,غَيْر
وغنما	غَنِم-َ,غُنْم,غَنَّم,غَنَم
وغندر	غُنْدُر
وغدا	غَد,غَدا,وَغْد
وعندكم	عِنْدَ
وعمرتك	عَمَر,عُمْرَة,عَمُر,عَمَّر
وعقل	عِقال,عَقَل-ِ,عَقْل,عَقَّل
وعفا	عَفّ,عَفّ-ِ,عَفا
وعصرت	عَصَر-ِ,عَصَّر
وعشيا	عَشِي-َ,عَشَّى
وعرشه	عَرْش,عَرَش,عَرَّش
وعدلت	عَدَل-ِ,عَدَّل
وعددها	عَدَد,عَدَّد
وعافه	عاف,عاف-ِ
وطيب	طَيَّب,طِيب,طَيِّب
وضل	ضَلّ
وضر	ضَرّ,وَضَر,ضِرّ
وصيته	وَصَّى,صَيِّت,صِيت,وَصِيَّة
وصوره	صُورَة,صَوَّر
وصله	وُصْلَة,وَصَل-ِ,وَصَّل,صِلَة,وَصْل,وَصْلَة
وصففنا	صَفَّف,صَفّ
وصديق	صَدِيق,صِدِّيق
وصدقة	صَدَقَة,صِدْق,صَدَّق
وصب	وَصَب-ِ,صَبّ,وَصِب-َ,صَبّ-َ,وَصَب
وصاعهم	صاع
وصار	صار,صارِي
وشهيدان	شَهِيد
وشقي	شَقِيّ,شَقّ,وَشَق,شَقِي,شِقّ
وشراب	شَرّاب,شُرّاب,شَراب
وشد	شَدّ-ُِ,شَدّ
وشبعوا	شَبِع-َ,شَبَّع
وشاب	شابّ,شاب,شاب-ِ
وسلمنا	سُلَّم,سَلَّم,سَلِم-َ,سِلْم
وسلط	سَلْط,سَلَّط
وسقاه	وَسَق-ِ,ساقِي,سَقَى-ِ
وسقاؤها	سَقّاء,سِقاء
وسعدا	سَعْد,سَعِد-َ
وسبعا	سُبْع,سَبْع,سَبَّع
وسبع	سُبْع,سَبْع,سَبَّع
وسار	وَرَى-ِ,رَأَى-َ,سار-ِ,سارِي,سارّ
وساحدثك	حَدَث,أَحْدَث
وسابق	سابَق,سابِق,بَقِي-َ,بَقّ,أَبْقَى,وَبَق
وزينب	زَيْنَب
وزهق	زَهَق-َ
وزلزلهم	زَلْزَل
وركبتاه	رُكْبَة,رَكَّب,رَكِب-َ
ورحمته	رَحَّم,رَحْمَة,رَحِم-َ
ورجمنا	رُجْمَة,رَجَّم,رَجْم,رَجَم
ورجله	رَجُل,رَجَّل,رِجْل,رَجِل-َ
ورجلا	رَجُل,رَجَّل,رِجْل,رَجِل-َ
ورجالها	رَجُل
ورثتها	وَرِث-ِ,رَثا,رِثَّة,وَرَّث,وارِث,راث-ِ,رَثَى,رَثّ,راث
ورثة	وَرِث-ِ,رِثَّة,وَرَّث,وِرْث,وارِث,رَثّ
وربيعة	رَبِيعَة,رَبِيع
وراها	وَرَى-ِ,وَرَى,وَرَّى
وراعيها	راعِي
وراسي	رَأْس,راسِي
ورائهم	وَراءَ,وَراء,راء
ورائنا	وَراءَ,وَراء,راء
وذكرهم	ذِكْر,ذَكَر,ذَكَّر
وذخرها	ذُخْر,ذَخَر-َ
ودون	دُونَ,دَوَّن,دُون
ودنونا	دُنُوّ,دَنَّى,دَنا
ودرعه	دِرْع,دَرَّع
وخيرهم	خَيِّر,خَيْر,خَيَّر
وخيرت	خَيْرَت,خَيَّر
وخرز	خَرَز-ُِ,خَرَز
وحسينا	حِسِّيّ,حُسَيْن
وحسنا	حَسَن,حَسَّن,حَسُن,حُسْن,حِسّ,حَسّ,حَسّ-ِ
وحرة	حُرّ,حَرَّة,حَرّ
وحدثتني	حَدَث
وحججت	حَجّ
وحبشي	حَبَشِيّ,حَبَش
وحاربوا	حارَب
وجيه	وَجِيه,جِيه
وجها	وَجَّه,وَجْه
وجندب	جُنْدُب
وجنته	وَجْنَة,جِنَّة,جُنَّة,جَنَى-ِ,جَنّ,جَنَّة
وجميع	جَمِيع
وجلودها	جَلُود
وجعي	وَجَع
وجسده	جَسَد,جَسَّد
وجدوه	وَجَد-ِ,جَدا
وجبة	جُبّ,جُبَّة,وَجْبَة,جَبَه-َ,جَبّ,وَجَّب
وثن	وَثَن
وثمنه	ثُمْنَة,ثَمَّن,ثُمْن,ثَمَن
وثمانون	ثَمانُون
وثلثا	ثُلْث,ثَلَّث
وثقه	وَثاق,وَثَّق,ثِقَة,وَثِق-َِ
وتوضئي	وَضُؤ,تَوَضُّؤ
وتوبي	NOTFOUND
وتنظر	تَنَظَّر,نَظَر
وتقري	تَقَرَّى,أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
وتفتح	فَتَح-َ,تَفَتَّح,تَفَتُّح
وتغير	غَيَّر,تَغَيَّر,تَغَيُّر,أَغار
وتعفو	عَفا
وتصديقا	تَصْدِيق
وتستحد	NOTFOUND
وتروح	راح,رَوَّح,تَرَوَّح,أَرْوَح
وتركهم	تَرَك,تَرْك,تُرْكِيّ,تَرَّك,رَكّ
وتركها	تَرَك,تَرْك,تُرْكِيّ,تَرَّك,رَكّ
وتحمل	تَحَمُّل,تَحَمَّل,حَمَل-ِ,حَمَّل
وتحريمها	تَحْرِيم
وتحج	حَجّ,حَجا
وتجحده	جَحَد-َ
وتتوضا	NOTFOUND
وتاخر	تَأَخُّر
وتؤدي	أَدّ,أَدَّى
وتؤخر	ؤَخِّر
وبيننا	يِن,بَيَّن,بَيْنَ,بَيِّن
وبياض	بَياض
وبنات	بِنْت
وبلغنا	بَلُغ,بُلْغَة,بَلَغ,بَلَّغ
وبكلامه	كَلام
وبقيت	بَقِي-َ
وبعثت	بَعَث-َ
وبطانة	بَطانَة,بِطان
وبسر	بَسَر,سُرّ,بُسْر,سِرّ
وبريد	بَرِيد
وبرك	بِرْكَة,وَبَر,بِرّ,بَرّ,بُرّ,بَرَك,بَرَّك,وَبِر
وبالت	بالَى,بال
وباطنهما	باطِن
واوسع	وَسُع,أَوْسَع,وَسَّع
واوسطه	وَسَّط,أَوْسَط
واوثق	وَثَّق,وَثِق-َِ,أَوْثَق
واهوي	هَوَى-ِ,هَوَّى,هَوِي-َ,أَهْوَى
وانهي	نَها,أَنْهَى,نَهَى-ِ
وانكحه	أَنْكَح,نَكَح-َُِ
وانقضي	ٱِنْقَضَى
وانعمت	أَنْعَم
وانشق	نَشِق-َ,ٱِنْشَقّ,أَنْشَق,نَشَّق
وامور	مار,أَمْر
وامنا	أَمَنّ,آمَن,أَمِن-َ,أَمْن,أُمّ,آمِن,أَمَّن
واملوا	أَمَل-َ,أَمْلَى,أَمَلّ,أَمَّل
وامسي	أَمَسّ,أَمْس,مَسَى,مَسَّى,أَمْسَى
وامسح	مَسَّح,مَسَح-َ
وامرت	أَمَّر,أَمَرّ,آمَر,أَمار,أَمَر
واليدين	يَد
والوقار	وَقار
والهرج	هَرْج
والنملة	نَمِل,نَمْل,نَمْلَة
والنعلين	نَعْل
والموتشمة	NOTFOUND
والموت	مَوْت
والمهاجر	مَهْجَر,مُهاجِر,مَهاجِر
والمنان	مَنّان
والمملوك	مَمْلُوك
والمكره	مَكْرَة,ماكِر,مَكْرَه,مُكْرَه
والمقام	مَقام,مِقَمَّة,مُقام
والمعني	لَمَع-َ,مَعْنِيّ,أَلْمَع,مَعْنَى,لَمَّع
والمعتمر	مُعْتَمِر
والمستضعفين	مُسْتَضْعَف
والمؤمنات	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
واللعنة	لَعْنَة,لُعْنَة
واللحم	لَحْم,لَحِم
والقلة	قُلَّة,قِلَّة,قَلَّة
والقلب	قَلْب
والقربي	قُرْبَى,قِرْبِيّ
والفقر	فَقْر
والفضيلة	فَضِيلَة
والفرات	فُرات
والغنيمة	غَنِيمَة
والعلاء	عَلاء
والعقوبة	عُقُوبَة
والعتيرة	NOTFOUND
والطير	طَيْر
والطائفة	طائِف,طائِفَة
والشهداء	شَهِيد
والشق	شَقّ,شِقّ
والشعبي	شُعَبِيّ,شَعْبِيّ
والشاة	شاة,شاه
والسلاح	سِلاح
والسعة	لَسَع-َ,سَعَة
والرسول	رَسُول
والرجلان	رَجُل,رِجْل
والرابع	رابِع
والذلة	ذِلَّة
والدواة	دَواة
والدراهم	دِرْهَم
والدة	وَلَد-ِ,والِد,أَلَدّ,لَدّ
والدا	والِد,أَلَدّ
والخنازير	خِنْزِير
والخلائق	خَلِيق
والخاتم	خاتَم
والحديبية	حُدَيْبِيَّة
والحجر	حُجْرَة,حَجَر,حِجْر,حَجْر
والجن	جِنّ,لَجِن-َ
والجلد	جِلْد,جَلَد,جَلْد
والجريد	جَرِيد
والثناء	ثَناء
والثلج	ثَلْج
والثلاث	ثَلاث
والثري	ثَرَى,ثَرِيّ
والثج	NOTFOUND
والثاني	ثانِي
والثالث	ثالِث
والتين	تِين,آلَة
والبغال	بَغّال,بَغْل
والاشعث	أَشْعَث
والاثنين	الٱِثْنانِ,ٱِثْنَيْنِ
والابهام	إِبْهام
والابن	ٱِبْن
واقيما	أَقام
واقع	وَقَع-َ,أَقْعَى,واقِع
واقطع	قَطَع-َ,قَطَّع,أَقْطَع
واقطا	أَقِط
واقبلوا	أَقْبَل
واقامة	إِقامَة,أَقام
وافطار	إِفْطار
واعرف	عَرَّف,عَرَف-ِ,أَعْرَف
واعدت	واعَد,أَعْدَى,أَعاد,أَعَدّ
واعتق	عَتُق,أَعْتَق,عَتَق-ِ,ٱِعْتاق
واعترفت	ٱِعْتَرَف
واطاع	أَطاع
واصيلا	أَصِيل
واصيد	صاد-ِ
واصوم	صام
واصرف	صَرَف-ِ,صَرَّف
واصحابي	صاحِب
واشف	أَشْفَى,شَفَى,شاف,شَفّ-ِ
واشدهم	شَدّ-ُِ,شَدا,أَشَدّ,شاد-ِ,أَشاد,أَشُدّ
واسلموا	أَسْلَم
واسرافيل	إِسْرافِيل
واسر	أُسْرَة,أَسَر-ِ,سار-ِ,سَرَّى,سَرَى-ِ,أَسَرّ,أَسار,سَرّ,أُسْر,أَسْر,أَسْرَى
واسجد	سَجَد
واستيقظوا	ٱِسْتَيْقَظ
واستمع	ٱِسْتَمَع
واستقدرك	ٱِسْتَقْدَر
واستثفري	NOTFOUND
واريد	أَراد
وارعاه	أَرْعَى,رَعَى-َ
وارضها	رَضّ,راض,أَرْضَى,أَرَّض,رَضَّى,رَضِي-َ,أَرْض
وارثا	إِرْث,وارِث,أَرَّث
واراك	وارَى,رَأَى-َ
واراساه	NOTFOUND
واذنوا	أَذِن-َ,أَذَّن,آذَن
وادخلهم	أَدْخَل,دَخَل
واخلقي	أَخْلَق
واخطات	NOTFOUND
واختلافهم	ٱِخْتِلاف
واخبر	أَخْبَر,خَبُر,خَبَر,خَبَّر
واحبوا	أَحَبّ
واجمله	جَمَّل,جَمَل,أَجْمَل
واجعلني	جَعَل-َ
واجتماع	ٱِجْتِماع
واثم	أَثَّم,أَثِم-َ,آثِم,أَثَم,إِثْم
واثار	أَثَر,أَثار
واتيناهم	آتَى,أَتَى-ِ,واتَى
واتبع	تَبِع-َ,أَتْبَع,ٱِتَّبَع
وات	آتِي,وات
وابيه	أَب,أَبِيّ,أَبِيه,آبِي
وابوء	باء,بَوَّأ
وابق	أَبَق-ُِ,بَقِي-َ,أَبَق,آبِق,بَقّ,أَبْقَى,وَبَق
وابعثه	بَعَث-َ
