وامامها	أَمام,إِمام,أَمامَ
واعتمرنا	ٱِعْتَمَر
واعتل	ٱِعْتَلَى,عَتَل,ٱِعْتَلّ
واعتكفنا	ٱِعْتَكَف
واعتقيني	NOTFOUND
واعترف	ٱِعْتَرَف
واعتذروا	ٱِعْتَذَر
واعتاده	ٱِعْتاد
واعاده	عادَى,أَعاد,إِعادَة
واظهرته	أَظْهَر
واظهارك	ظُهْر,إِظْهار
واظنني	ظَنّ
واظمات	NOTFOUND
واظفارك	ظُفُر
واطيبهما	طَيَّب,أَطاب,أَطْيَب
واطولهم	أَطْوَل,طَوَّل
واطوله	أَطْوَل,طَوَّل
واطلقت	أَطْلَق
واطلق	طَلَق,طَلَّق,أَطْلَق
واطلبه	طَلَب
واطلبا	NOTFOUND
واطفئ	أَطْفَأ
واطف	طاف,طاف-ِ,أَطاف,طَفا
واطعموهم	أَطْعَم
واطعمهن	أَطْعَم,طَعَّم,طَعِم-َ
واطعمها	أَطْعَم,طَعَّم,طَعِم-َ
واطعمتا	أَطْعَم
واطعام	إِطْعام
واطرق	أَطْرَق,طَرَق,طَرَّق
واطرافها	طَرَف
واطاف	أَطاف
واطاعوه	أَطاع
واطاعه	أَطاع,إِطاعَة
واطاعت	أَطاع
واطاطئ	NOTFOUND
واضل	ضَلّ,أَضَلّ
واضعه	واضِع,ضاع-ِ,وَضَع,أَضاع
واضعف	أَضْعَف,ضَعَّف,ضَعُف
واضطجعوا	ٱِضْطَجَع
واضطجعنا	ٱِضْطَجَع
واضطجعت	ٱِضْطَجَع
واضرم	أَضْرَم,ضَرِم
واضرت	أَضَرّ
واضربوهم	أَضْرَب
واضربهم	ضَرَب,أَضْرَب,ضَرَّب
واضرب	ضَرَب,أَضْرَب,ضَرَّب
واضحاكم	أَضْحَى,واضِح
واضجع	أَضْجَع,ضَجَع-َ,ٱِضَّجَع
واضب	ضَبّ-ِ,ضَبّ
واصيبت	أَصاب
واصنافه	صِنْف
واصلحا	أَصْلَح
واصلاحها	إِصْلاح
واصفي	صَفَّى,واصِف,أَصْفَى,آصِفِي
واصفروا	أَصْفَر,ٱِصْفَرّ
واصفر	صَفَر-ِ,أَصْفَر,ٱِصْفَرّ,صَفَّر
واصغي	صَغِي-َ,أَصْغَى,صَغا
واصغرهم	أَصْغَر,صَغَّر
واصعد	صَعِد-َ,أَصْعَد,صَعَّد
واصطلحنا	ٱِصْطَلَح
واصطفوا	ٱِصْطَفّ,ٱِصْطَفَى
واصطفاه	ٱِصْطَفّ,ٱِصْطَفَى
واصطفاك	ٱِصْطَفّ,ٱِصْطَفَى
واصطدته	ٱِصْطاد
واصطحب	ٱِصْطَحَب
واصرفه	صَرَف-ِ,صَرَّف
واصحابك	صاحِب
واصحابا	صاحِب
واصبعه	صَبَع-َ,إِصْبَع
واصبعاه	إِصْبَع
واصبر	أَصْبَر,صَبَّر,صَبَر-ِ
واصبحي	NOTFOUND
واصبتها	واصِب,أَصاب
واصبت	أَصاب
واصابهم	أَصاب
واصابها	أَصاب
واصابنا	أَصاب
واصابته	إِصابَة,أَصاب
واصابت	أَصاب
واصابا	أَصاب
واشير	أَشار
واشهدهم	شَهِد-َ,أَشْهَد
واشهدنا	شَهِد-َ,أَشْهَد
واشهدك	شَهِد-َ,أَشْهَد
واشكلت	أَشْكَل
واشقيتهم	أَشْقَى
واشعرت	أَشْعَر
واشركونا	أَشْرَك
واشرعت	أَشْرَع
واشرحهم	شَرَّح,شَرَح-َ
واشربيه	NOTFOUND
واشربته	أَشْرَب
واشربت	أَشْرَب
واشتوينا	NOTFOUND
واشتمهم	شَتَم-ُِ,ٱِشْتَمّ
واشتمال	NOTFOUND
واشتكي	ٱِشْتَكَى
واشتكت	ٱِشْتَكَى
واشتفي	ٱِشْتَفَى
واشتغل	ٱِشْتَغَل
واشترطوا	ٱِشْتَرَط
واشترت	ٱِشْتَرَى
واشتددنا	ٱِشْتَدّ
واشباهه	شَبَه,شِبْه
واشاروا	أَشار
واشارت	أَشار
واشارالي	NOTFOUND
واسيداه	NOTFOUND
واسوقهن	سَوَّق,ساق
واسهمت	أَسْهَم
واسناد	إِسْناد,سَنَد
واسمعوني	أَسْمَع
واسمعوا	أَسْمَع
واسمعك	سَمَّع,سَمِع-َ,أَسْمَع
واسماعهم	NOTFOUND
واسماعا	NOTFOUND
واسلمت	أَسْلَم
واسلام	إِسْلام
واسقيهم	أَسْقَى,سَقَى-ِ
واسقيتهم	أَسْقَى,سِقاء
واسقوا	أَسْقَى
واسقتنا	أَسْقَى
واسفلهما	أَسْفَل
واسفل	سَفَل,سَفِل-َ,سَفُل,أَسْفَل
واسعة	سَعَى-َ,واسِع
واسطة	سَطا,ساط,واسِطَة
واسط	سَطا,ساط
واسس	أَسَّس,أَساس,ساس
واسرعوا	أَسْرَع
واسرعهم	سَرَّع,سَرُع,أَسْرَع
واسرحكن	سَرَح-َ,سَرَّح,سَرِح-َ
واسرج	سَرَج-َ,سَرَّج,أَسْرَج
واسرت	أَسَر-ِ,أَسار,أَسَرّ,أَسْرَى
واسرا	أُسْرَة,أَسَر-ِ,أَسَرّ,أُسْر,أَسْر
واسحقه	سَحَق-َ,إِسْحاق,سَحَّق
واسحق	سَحَق-َ,سَحُق,إِسْحاق,سَحَّق,سَحِق-َ
واسحر	سَحَّر,سَحَر-َ
واسحاقبن	NOTFOUND
واستوحشت	ٱِسْتَوْحَش
واستهلاله	ٱِسْتِهْلال
واستنكرهم	NOTFOUND
واستنقع	ٱِسْتَنْقَع
واستنشقت	ٱِسْتَنْشَق
واستنشاق	ٱِسْتِنْشاق
واستنثرت	NOTFOUND
واستمسكوا	ٱِسْتَمْسَك
واستمسك	ٱِسْتَمْسَك
واستمدوه	ٱِسْتَمَدّ
واستمتعوا	ٱِسْتَمْتَع
واستلوا	ٱِسْتَلّ
واستلبث	NOTFOUND
واستل	ٱِسْتَلّ
واستكراء	NOTFOUND
واستكبرت	ٱِسْتَكْبَر
