هينة	هِينَة,هَيِّن
مجزئا	NOTFOUND
مجرسة	NOTFOUND
مجتابي	NOTFOUND
مجبية	NOTFOUND
مجاورة	مُجاوَرَة,مُجاوِر
مجادلة	مُجادِل,مُجادَلَة
مجاب	مَجْبَى
مثنوية	NOTFOUND
مثقلة	مُثْقَل,مُثَقَّل
مثدون	NOTFOUND
متونهم	مَتْن
متوجه	مُتَوَجِّه,مُتَوَّج
متنه	مَتْن,مَتَّن,مات
متنكبون	NOTFOUND
متنا	مَتْن,مَتَن,مَتَّن,مات
متمتعا	NOTFOUND
متماسكون	مُتَماسِك
متلففات	NOTFOUND
متلاعنين	مُتَلاعِن
متكبر	مُتَكَبِّر
متقلدين	NOTFOUND
متقدما	مُتَقَدِّم
متقارب	مُتَقارِب
متفرقين	مُتَفَرِّق
متفاوضين	مُتَفاوِض
متغيظا	NOTFOUND
متغير	مُتَغَيِّر
متغيبا	مُتَغَيِّب
متغش	NOTFOUND
متعني	مَتَّع,مَتَع-َ
متعلما	مُتَعَلِّم
متعفف	مُتَعَفِّف
متعطفا	NOTFOUND
متعجل	مُتَعَجِّل
متصل	مُتَّصِل
متشاكسون	NOTFOUND
متشابهات	مُتَشابِه
متزرا	NOTFOUND
مترجلا	مُتَرَجِّل
متخلقا	NOTFOUND
متخلق	NOTFOUND
متاولا	NOTFOUND
متاعكم	مَتاع
متاعك	مَتاع
مبنية	مَبْنِيّ
مبنيا	مَبْنَى,مَبْنِيّ
مبشرون	مُبَشِّر
مبسورا	NOTFOUND
مبرورة	مَبْرُور
مبتني	NOTFOUND
مبتل	مُبْتَلّ,مُبْتَلِي
مبتاعا	مُبْتاع
ماوي	مائِيّ
ماهر	ماهِر,ماهَر
ماهان	NOTFOUND
مامونا	NOTFOUND
مامورا	NOTFOUND
مالوا	مال-ِ
مالهما	مال
ماضيا	ماضِي
ماشيتهما	ماشِيَة,ماشَى,ماشِي
ماش	ماشِي
مازن	مازِن
مارة	مار,مار-ِ,مارّ
مارب	NOTFOUND
مادبة	مَأْدُبَة
ماد	ماد-ِ,مادّ
ماج	ماج
ماتي	NOTFOUND
ماتع	ماتِع,وَعَى-ِ
مابوس	NOTFOUND
مائلات	مائِل
مائلا	مائِل
مائك	ماء
مئوي	مِئَوِيّ
مئونتها	NOTFOUND
مئونته	NOTFOUND
مؤنة	مُؤْنَة
مؤمرا	مُؤَمَّر
مؤذنين	مُؤَذِّن
مؤذنان	مُؤَذِّن
مؤخرها	مُؤَخَّر,مُؤْخِر
ليومكم	يَوْم
ليوقع	أَوْقَع,وَقَّع,وُقِّع
ليوشك	وَشُك,وَشَّى,أَوْشَك,وَشَّك
ليورثنه	أَوْرَث,وَرَّث
ليوحون	NOTFOUND
ليهودي	يَهُودِيّ
لينها	وَنَى-ِ,يِن,لَيَّن,لِين,لَيِّن
لينفع	نَفَّع,نَفَع-َ
لينعلهما	نَعَّل,نَعَل-َ,أَنْعَل
لينظرن	نَظَر
لينزلن	نَزَل-ِ,أَنْزَل,نَزَّل,نَزِل-َ
لينج	نَجَّى,أَنْجَى,نَجا
لينثر	نَثَر,نَثَّر
لينتثر	ٱِنْتَثَر
ليناوله	ناوَل
لينا	يِن,لَيّ,لَيَّن,لِين,لِينا,لَيِّن
ليموت	مَوَّت,مات
ليمضي	أَمْضَى,مَضَّى,مَضَى-ِ
ليمش	أَمْشَى,مَشّ,مَشَّى,مَشَى-ِ
ليلزم	لَزِم-َ,أَلْزَم
ليلتهما	لَيْلَة,ٱِلْتَهَم,لَتّ
ليلتكما	لَيْلَة,لَتّ
ليكثر	أَكْثَر,كَثَّر,كَثُر
ليكتب	أَكْتَب,كَتَب
ليكاد	كاد-َ
ليقعوا	وَقَع-َ,أَقْعَى
ليقع	وَقَع-َ,أَقْعَى
ليقض	قَضّ-َ,قَضَّى,قَضَى-ِ,قَضّ,أَقَضّ,قاض-ِ,قاض
ليقتلني	قَتَّل,قَتَل
ليقبل	قَبَّل,أَقْبَل,قَبِل-َ
ليقاتل	قاتَل
ليفرن	وَفَر-ِ,فار,أَفار
ليغنم	غَنِم-َ,غَنَّم,أَغْنَم
ليغفر	غَفَّر,غَفَر
ليغان	NOTFOUND
ليعلي	أَعْلَى,عَلَّى
ليعلموا	أَعْلَم,عَلِم-َ,عَلَّم
ليعلمكم	أَعْلَم,عَلِم-َ,عَلَّم
ليعقوب	يَعْقُوب
ليعذبون	NOTFOUND
ليعذبنه	عَذَب-ِ,عَذَّب,أَعْذَب
ليطرحه	طَرَّح,طَرَح-َ,ٱِطَّرَح
ليضل	ضَلّ,أَضَلّ
ليضطجع	ٱِضْطَجَع
ليضربوا	ضَرَب,أَضْرَب,ضَرَّب
ليضرب	ضَرَب,أَضْرَب,ضَرَّب
ليصيبك	أَصاب
ليصحبه	صَحِب-َ,أَصْحَب
ليصبح	أَصْبَح,صَبَّح
ليشهده	شَهِد-َ,أَشْهَد
ليشهدن	شَهِد-َ,أَشْهَد
ليشفع	شَفَع-َ
ليشربوا	أَشْرَب,شَرِب-َ,شَرَّب
ليشبعني	شَبِع-َ,أَشْبَع,شَبَّع
ليسيل	سَيَّل,سال-ِ,أَسال
ليسير	سَيَّر,يَسِير,سار-ِ,أَسار
ليسلطك	سَلَّط
ليستعيد	ٱِسْتَعاد
ليستسقي	ٱِسْتَسْقَى
ليستتبعني	ٱِسْتَتْبَع
ليسارع	سارَع
ليريهم	وَرَى-ِ
ليركبها	رَكِب-َ,رَكَّب,أَرْكَب
ليركب	رَكَّب,رَكِب-َ,أَرْكَب
ليرقد	رَقَّد,أَرْقَد,رَقَد
ليرفع	رَفَع-َ,رَفَّع
ليرضي	أَرْضَى,رَضَّى,رَضِي-َ
ليرتو	رَتا,ٱِرْتَوَى
ليراني	رَأَى-َ
ليذكره	ذَكَر,أَذْكَر,ذَكَّر
ليذر	ذَرَى-ِ,ذَرا,أَذْرَى,ذَرّ,ذَرَّى,وَذِر-َ
ليذادن	NOTFOUND
ليدفع	دَفَع-َ
ليدرك	دَرَى-ِ,أَدْرَى,أَدار,أَدَرّ,أَدْرَك,دار,دَرَّك
ليخطبك	خَطَب
ليخطئك	أَخْطَأ,خَطَّأ
ليخرجوا	خَرَج,خَرَّج,أَخْرَج
ليخبره	أَخْبَر,خَبُر,خَبَر,خَبَّر
ليخالطنا	خالَط
ليخافه	NOTFOUND
ليحملني	حَمَل-ِ,حَمَّل
ليحفهما	حَفّ,حَفِي-َ
ليحدثن	حَدَث,أَحْدَث
ليحدث	حَدَث,أَحْدَث
ليجلس	جَلَس-ِ,أَجْلَس
ليجعله	جَعَل-َ
ليجدوا	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جَدّ-ِ
ليجتمعون	NOTFOUND
ليثا	لَيْث
ليتين	لَيَّة
ليتوب	تاب,تَوَّب
ليتواعدوني	تَواعَد
ليتهجد	تَهَجَّد
ليتم	تَمّ-ِ,يَتُم,أَتَمّ,يَتِم-َ,تام,يُتْم,يَتَم-ِ
ليتلوها	تَلَوَّى,أَتْلَى,تَلا
ليتعوذ	تَعَوَّذ
ليتركها	تَرَك,تَرَّك
ليتحري	تَحَرَّى
ليتا	لَيَّة
ليبول	بَوَّل,بال
ليبعها	باع-ِ,أَباع
ليبصر	بَصِر-َ,أَبْصَر,بَصَّر,بَصُر
ليباركن	بارَك,بارَى
لياوي	أَوَى-ِ
ليامر	أَمَر
لياخذوا	أَخَذ
لياتينها	أَتَى-ِ
ليؤيد	أَيَّد
ليؤمنن	NOTFOUND
ليؤتوا	آتَى
لوي	لَوِي-َ,لِوَى,لُوِي,لَوَى,لَيَّة,لَوَى-ِ,لَوَّى
لوهيب	وُهَيْب
لونا	لَوْن,وَنّ-ِ,لَوَّن
لوكيع	NOTFOUND
لوقت	وَقْت,وَقَّت,وَقَى-ِ
لوضوئه	وُضُوء
لوزنتهن	وَزَن-ِ,وَزْنَة
لوددنا	وَدّ-َ
لوحي	وَحْي,لَوْح,وَحَى-ِ
لواصلت	واصَل
لواصل	واصِل,واصَل
لواحدة	واحِد
لوائي	لِواء
لواؤه	لِواء
لهجة	هَجّ,لُهْجَة,لَهْجَة
لنوفل	NOTFOUND
لنوح	أَوْحَى,نُوح,نَوْح
لنكاد	كاد-َ
لنقتلها	قَتَل,قَتَّل
لنعد	عَدّ,عَدَّى,أَعْدَى,أَعاد,عَدا,وَعَد-ِ,عاد,أَعَدّ
لنظرت	نَظَر
لنصلي	صَلِي-َ,صَلَّى,أَصْلَى,صَلَى-ِ,نَصْل
لنشهدها	شَهِد-َ,أَشْهَد
لنشتري	ٱِشْتَرَى
لنسمع	سَمَّع,سَمِع-َ,أَسْمَع
لنسالنه	NOTFOUND
لنسائهم	نَسّاء,نِساء,نَساء
لنري	وَرَى-ِ,رَأَى-َ
لنرفع	رَفَع-َ,رَفَّع
لنراجعه	راجَع
لندبا	نَدَب,نَدِب-َ
لنحدثن	NOTFOUND
لنحب	أَحَبّ,نَحَب-َِ,حَبّ-ِ,نَحْب,حَبا
لنجردنك	NOTFOUND
لنتحدث	تَحَدَّث
لنبيكم	نَبِيّ
لنباتكم	نَبات
لناس	ناس,ناسِي,أَسِي-َ,أَسا
لناتين	NOTFOUND
لموقنا	مُوقِن
لموضع	مَوْضِع
لمم	لِمَّة,لَمَم
لمقتول	مَقْتُول
لمقالتي	مَقال,مُقال
لمقاتل	مَقْتَل,مُقاتِل
لمعمره	مُعَمَّر
لمعترضة	مُعْتَرِض
لمطلق	مُطْلَق
لمطرف	مِطْرَف,مُطْرِف
لمصل	مُصَلِّي,مَصْل,مَصَل
لمصدق	مُصَدَّق
لمشرك	مُشْرِك
لمسكم	مَسّ,لَمْس,لَمَس,مَسّ-َ
لمستك	مَسَى,مَسَّى,مَسَّة,لَمَس,لَمْسَة,ماس-ِ,مَسّ-َ
لمرزبان	مَرْزُبان
لمرت	مار,مار-ِ,مَرّ
لمخرمة	مُخَرَّم
لمجاعة	مَجاعَة
لمته	لُمَّة,لِمَّة,لَمَّة,لام,لَمّ,مات
لمت	مَتّ,لام,لَمّ,مات
لمبعوث	مَبْعُوث
لمازة	لَمّاز,مازَة,ماز-ِ
لماتوا	مات
لمات	مات
لمؤاخذون	مُؤاخَذ
لليمين	يَمِين
للوفد	وَفْد
للوط	لُوط
للوزان	وِزان,لَوْزان,لُوزان
للوالد	والِد
للنفيلي	NOTFOUND
للميت	مَيِّت
للمعطي	مُعْطِي,مُعْطَى
للمعتكف	مُعْتَكَف
للمطلقة	مُطْلَق
للمطلب	مَطْلَب
للمطففين	NOTFOUND
للمجاهد	مُجاهِد
للمتوسمين	NOTFOUND
للمتمتع	NOTFOUND
للمؤذنين	مُؤَذِّن
للكعبة	كَعْبَة
للكسب	كَسْب
للكذب	كِذْب
للقصواء	NOTFOUND
للقحة	لَقَّح,لَقَح-َ,قِحَة,لَقْح,قُحّ
للقتل	قَتْل
للفم	فَم
للغني	غِنَى,غَنِيّ
للغائط	غائِط
للعنب	عِنَب
للعشاء	عَشاء,عِشاء
للعالمين	عالَم,عالِم
للعاقلة	عاقِل
للعاص	NOTFOUND
للظعن	ظَعْن
للصواب	صَواب
للصف	صَفّ
للشهادة	شَهادَة
للشمس	شَمْس
للشقاء	شَقاء
للشتاء	شِتاء
للشاة	شاة,شاه
للشاب	شابّ
للسيئات	سَيِّء,سَيِّئَة
للسنة	لَسَن,لاس,سُنَّة,سَنَة,لَسَّن,لَسِن,أَلْسَن
للرعاة	راعِي
للرحيل	رَحِيل
للربيع	رَبِيع
للرب	رُبّ,رَبّ
للراكب	راكِب
للخيل	أَخْيَل,خَيْل
للخصومة	خُصُومَة
للخروج	خُرُوج
للحلاق	حَلّاق
للحل	حِلّ,حَلّ
للحارث	حارِث
للحائض	حائِض
للجن	لَجْنَة,جِنّ,لَجِن-َ
للتهجد	NOTFOUND
للتشهد	NOTFOUND
للترجمان	تُرْجُمان
للتجارة	تِجارَة
