ولمجالس	مَجْلِس
وصوته	صَوَّت,صَوْت,صُوَّة
وصوتا	صَوَّت,صَوْت,صُوَّة
وصهرا	صَهْر,صِهْر,صَهَر-َ
وصنعوا	صَنَّع,صَنَع-َ
وصنعها	صَنَّع,صَنْع,صُنْع,صَنَع-َ
وصنعنا	صَنَّع,صَنْع,صُنْع,صَنَع-َ
وصنعة	صَنْعَة,صَنَّع,صَنْع,صُنْع,صَنَع-َ
وصناديدها	صِنْدِيد
وصمنا	صَمّ,وَصَم-ِ,صام,أَصَمّ,وَصْم
وصلني	وَصَل-ِ,وَصَّل
وصلنا	صال,وَصَل-ِ,وَصَّل,وَصْل
وصلبهم	صُلْب,صَلَب-ِ,صَلُب,صَلَّب,صَلْب
وصلبه	صُلْب,صَلَب-ِ,صَلُب,صَلَّب,صَلْب
وصلاهن	صَلَّى,وَصَل-ِ,وَصَّل,صَلَى-ِ,وَصْل
وصلاتهم	وُصْلَة,صَلاة,صِلَة
وصلاتها	وُصْلَة,صَلاة,صِلَة
وصلاتك	وُصْلَة,صَلاة,صِلَة
وصفيي	وَصْفِيّ,صَفِيّ
وصفرته	صَفَر-ِ,صَفْرَة,صُفْرَة,صَفَّر
وصفر	صِفْر,صَفَر-ِ,أَصْفَر,صَفَر,صَفَّر
وصفته	صَفَّى,صُفَّة,وَصْفَة,صَفّ,وَصَف-ِ,صِفَة
وصغيره	صَغِيرَة,صَغِير
وصعصعة	NOTFOUND
وصعدوا	صَعِد-َ,صَعَّد
وصرمة	صَرْمَة,صَرْم,صَرَم-ِ
وصرعت	صَرَع-َ
وصرة	صَرّ-ِ,صُرَّة
وصر	صَرّ-ِ
وصدورهم	صَدْر,صُدُور
وصدورنا	صَدْر,صُدُور
وصدقوه	صَدَّق
وصدقهم	صِدْق,صَدَّق
وصدقناك	صَدَّق
وصدقنا	صَدَق,صِدْق,صَدَّق
وصدقا	صَدَق,صِدْق,صَدَّق
وصدره	صُدْرَة,صَدَّر,صَدْر
وصحبه	صَحِب-َ,صُحْبَة
وصحب	صَحِب-َ
وصبيح	صَبِيح
وصبيانكم	صَبِيّ
وصبيانا	صَبِيّ,صَبَّى
وصبروا	صَبَّر,صَبَر-ِ
وصبر	صَبَّر,صَبَر-ِ,صَبْر
وصبب	صَبَب
وصامت	صامِت,صام
وصالحيهم	صالِح
وصالحهم	صالِح,صالَح
وصالحه	صالِح,صالَح,صالِحَة
وصاك	وَصَّى
وصاففناهم	NOTFOUND
وصاعنا	صاع
وصادقا	صادَق,صادِق
وصادفنا	صادَف
وصاحبهما	صاحَب,صاحِب
وصاحبها	صاحَب,صاحِب
وصاحبك	صاحَب,صاحِب
وصاحباي	صاحِب
وشيقة	شَيِّق
وشيطان	شَيْطان
وشيخ	شَيْخ
وشي	وَشَى-ِ,وَشَّى,وَشْي,شَيّ
وشوك	وَشَى-ِ,شَوَّك,وَشَّى,شَوْك,شَوِك
وشوا	وَشَى-ِ,شَوّا,وَشَّى
وشهوته	شَهْوَة
وشهوة	شَهَّى,شَهْوَة
وشهده	شَهِد-َ
وشهدني	شَهِد-َ
وشهاب	شِهاب
وشنارا	شَنار
وشنار	شَنار
وشمه	وَشَّم,وَشَم-ِ,وَشْم,شَمّ
وشممنا	شَمَم,شَمّ
وشلجم	NOTFOUND
وشكي	وَشْك,شَكّ,شِيك
وشكوه	وَشُك,شَكّ,شَكْوَة,شَكا,شَكْو,وَشَّك
وشكت	شَكّ,وَشُك,شاك,شَكا,وَشَّك
وشقيق	شَقِيق
وشققت	شَقّ,شَقَّق
وشقران	NOTFOUND
وشقاق	شِقاق
وشفعه	شَفْع,شَفَع-َ,شُفْعَة
وشفعت	شَفَع-َ
وشفاني	شَفَى
وشفاء	شِفاء
وشغلونا	شَغَّل,شَغَل-َ
وشغلت	شَغَّل,شَغَل-َ
وشعير	شَعِير
وشعبهم	شِعْب,شَعْب,شُعْبَة,شَعَّب
وشعب	شِعْب,شَعْب,شُعْبَة,شَعَّب
وشعار	شِعار
وشريكي	شَرِيك
وشركم	شَرّ,وَشَر-ِ,وَشْر
وشرطين	شَرْط
وشربها	شَرِب-َ,شُرْب,شَرَّب
وشربه	شَرِب-َ,شُرْب,شَرَّب,شَرْبَة
وشربك	شَرْبَك,شَرِب-َ,شُرْب,شَرَّب
وشراكان	NOTFOUND
وشراك	شِرَى,شَرَى-ِ,وَشَر-ِ
وشرارهم	شَرّار,شَرارَة
وشراركم	شَرّار,شَرارَة
وشرائها	شِراء
وشرائعه	شَرِيعَة
وشددت	شَدّ-ُِ,شَدَّد
وشدته	شَدّ-ُِ,شَدا,شِدَّة,شاد-ِ
وشحم	شَحَّم,شَحْم,شَحُم,شَحِم
وشجوه	شَجْو,شَجّ,شَجَّى,شَجا
وشتات	شَتات
وشبهوا	شَبَّه
وشبههما	شَبَّه,شَبَه,شِبْه
وشبرا	شَبَّر,شُبْرا,شِبْر,شَبَر
وشب	شَبّ-ِ,شَبّ,وِشْب
وشارتهم	شارَة
وشارة	شارَة
وشاربوهم	شارَب,شارِب
وشاذان	شاذّ
وشاتين	شاة
وشابة	شابَّة,شابّ,شابَه,شاب
وشائهم	وَشّاء,وَشْي
وشائق	شائِق
وسيم	وَسِيم
وسيكلمه	كَلَّم
وسيقوم	قام,قَوَّم
وسيفا	سَيْف,سِيف
وسيصيب	أَصاب
وسيري	سِيرَة,سَيْر,سَرِي,وَرَى-ِ,رَأَى-َ
وسيرهم	سِيرَة,سَيَّر,سَيْر,وَرَى-ِ,رَأَى-َ
وسيدهم	سَيِّد,دَهَّم,ٱِدْهَمّ,دَهَم-َ,وَدَى-ِ
وسيدنا	سَيِّد,أَدان,وَدَى-ِ
وسيدتي	سَيِّدَة
وسيخرج	خَرَج,خَرَّج,أَخْرَج
وسيجيبك	أَجاب
وسيجئ	جاء
وسويقة	سُوَيْق,سَوِيق
وسويبط	NOTFOUND
وسوقها	سَوَّق,سُوق,وَسْق,سَوْق
وسوق	سَوَّق,سُوق,سَوْق,وَسْق
وسوغه	سَوَّغ
وسوطه	سَوْط
وسواك	سَوَّى,سِوَى,سِواك
وسواقيها	ساقِيَة,سَوّاق
وسواق	ساقِيَة,سَوّاق
وسوارين	NOTFOUND
وسوار	سارِيَة,سِوار
وسواء	سَواء
وسهمي	سَهْم
وسهمهما	سَهْم,سَهَم
وسهمك	سَهْم,سَهَم
وسهمان	NOTFOUND
وسنتين	وَسِن,سِنْت,سَنَة
وسنتها	وَسِن,سَنَّى,سَنا,سِنْت,سُنَّة,سَنَة,وَسِن-َ,سَنّ
وسنتنا	سَنَّى,وَسِن,سَنا,سُنَّة,سِنْت,وَسِن-َ,سَنَة,سَنّ
وسنامها	سَنام
وسموها	وَسَم-ِ,سَمّ,سَمَّى,وَسَّم,سُمُوّ
وسمومها	سَمّ,سَمُوم
وسمه	وَسَم-ِ,سَمّ,وَسْم,وَسَّم,سِمَة
وسمعه	سَمَّع,سَمِع-َ,سَمْع,سُمْعَة
وسمعناه	سَمَّع,سَمِع-َ
وسمعتها	سَمَّع,سَمِع-َ,سُمْعَة
وسماهم	وَسَم-ِ,سَمّ,سَمَّى,وَسْم,وَسَّم
وسمانا	وَسَم-ِ,سَمّ,سَمَّى,وَسْم,وَسَّم,سَمّان
وسماعه	سَماع,سَمّاعَة
وسماسم	NOTFOUND
وسماءك	وَسِيم,سَماء
وسلميومئذ	NOTFOUND
وسلممن	NOTFOUND
وسلمقام	NOTFOUND
وسلمرجلا	NOTFOUND
وسلمخاتما	NOTFOUND
وسلمبقطعه	NOTFOUND
وسلمالقمل	NOTFOUND
وسلك	سِلْك,سَلّ,سَلَّك,سَلَك,سِلّ
وسلقا	سَلْق,سَلَق,سِلْق
وسلفا	سالِف,سَلَف,سَلَّف,سِلْف
وسلب	سَلْب,سَلِب-َ,سَلَب,سِلاب
وسلاها	سَلّ,سَلَّى,سَلا
وسلامة	سَلّام,سَلام,سَلامَة
وسلاسلها	سِلْسِلَة
وسلاحنا	سِلاح
وسكوت	سكُوت,سُكُوت,سَكُوت
وسكر	سَكِر-َ,سَكَّر,سُكْر,سُكَّر
وسقينا	سَقَى-ِ,سَقْي
وسقونا	وَسَق-ِ,سَقَى-ِ
وسقط	سَقْط,سُقْط,سَقَط
وسقتنا	وَسَق-ِ,ساق,سَقَى-ِ
وسقت	وَسَق-ِ,سَقَى-ِ,ساق
وسقاية	سِقايَة
وسقاهن	وَسَق-ِ,سَقَى-ِ
وسقاك	وَسَق-ِ,سَقَى-ِ
وسقاء	سَقّاء,سِقاء
وسعير	سَعِير
وسعيا	سَعَى-َ,سَعْي
وسعوا	وَسُع,سَعَى-َ,وَسِع-َ,وَسَّع
وسعر	سَعَر-َ,سُعْر,سَعَّر,سِعْر,سَعِير
وسعدي	سَعْدِي,سَعْد,سَعْدِيّ
وسعت	وَسُع,سَعَى-َ,وَسِع-َ,وَسَّع
وسعة	وُسْع,وَسَع,سَعَة,وُسْعَة,وَسَّع
وسطيحة	سَطِيح
وسطي	وَسَطِيّ,أَوْسَط,سَطا,وَسْطَ,وَسْط
وسطوا	وَسَّط,سَطْو,سَطا
وسطهن	وَسَّط,وَسْطَ,وَسْط
وسطهم	وَسَّط,وَسْطَ,وَسْط
وسطنا	وَسَّط,وَسْطَ,ساط,وَسْط
وسطك	وَسَّط,وَسْطَ,وَسْط
وسرقت	سَرَق-ِ,سَرَّق
وسرق	سَرَق-ِ,سَرَّق
وسرف	سَرَف
وسراويل	سِرْوال
وسراقة	سَرّاق
وسرادق	سُرادِق
وسديس	NOTFOUND
وسدي	سَدَّى,سَدَى,وَساد,سُدَى,سَدّ,سُدّ
وسدس	سَدَّس,سُدْس
وسدرها	سِدْر
وسدرتها	سِدْر,سِدْرَة
وسدادا	سُداد,سَداد,سِداد
وسخرت	سَخِر-َ,سَخَّر
وسخة	وَسَخ,وَسَّخ,وَسِخ
وسخ	وَسَخ,وَسِخ-َ,وَسَّخ,وَسِخ
وسحقا	سَحَق-َ,سَحْق,سَحُق,سُحْق,سَحَّق,سَحِق-َ
وسجين	سَجَّى,سَجِين
وسجودكم	سُجُود,ساجِد
وسجودا	سُجُود,ساجِد
وسجدنا	سَجَد,ساجِد
وسجالا	سِجال
وستمائة	سِتّمائَة
وستلحق	أَلْحَق,لَحِق-َ
وستكفون	وَكَف-ِ,كَفّ,كَفَى-ِ
وستفتح	فَتَح-َ
وستعبد	عَبَد,عَبَّد
وسترتم	ٱِرْتَمَى,سَتَر,رَتَم-ِ,سَتَّر
وسترت	سَتَر,رَتا,رَتَّى,سَتَّر
وسترا	سَتَر,سُتْرَة,سِتار,سِتْر,سَتَّر
وستة	وَهَى-ِ,سِتّ,سَتْه
وسبهما	سَبّ
وسببتهما	سَبّ,سَبَّب
وسباخها	سَبَخَة,سِباخ
وسانيتنا	سانِيَة
وسام	سامّ,سام,وِسام,سامِي
وسالهم	أَلْهَم,سال-ِ,لَهِم-َ,وَلِي-ِ
وسالاه	سال-ِ,لاهَى
وساقيا	ساقِي,ساقَى
وساقها	ساق,وَقَى-ِ
وساقني	قَنَى-ِ,ساق,قَنا,وَقَى-ِ
وساقرع	قَرِع-َ,قَرَع-َ,قَرَّع
وساقا	ساق
وسافرت	سافَر
وساسال	أَسال
وسازيد	زاد-ِ,زَيَّد,أَزاد
وسارة	رَها,وَرَى-ِ,سار-ِ,رَأَى-َ,سارّ
وساد	ساد,وَساد,سادّ,وَدَى-ِ
وساخذ	أَخَذ
وساخبرك	أَخْبَر,خَبُر,خَبَر,خَبَّر
وسابقته	سابَق,سابِق,سابِقَة
وساءلتهم	ساءَل
وساءته	ساء
وساءت	ساء
وساء	ساء
وسئلت	سَأَل-َ
وزيران	وَزِير
وزيرا	وَزِير
وزيدوا	زاد-ِ,زَيَّد
وزيدبن	NOTFOUND
وزيتا	زَيَّى,زَيَّت,زَيْت
وزي	زِيّ,وَزَّة,وَزّ
وزوده	زَوَّد
وزوجي	زَوْجِيّ,زَوْج
وزوجهن	زَوَّج,زَوْج
وزوجتكها	NOTFOUND
وزوج	زَوَّج,زَوْج
وزواياه	زاوِيَة
وزهدنا	زُهْد,زَهَّد,زَهُد,زَهَد-َ
وزنيت	زَنَى-ِ
وزنها	وَزْن,وَزَن-ِ,زان-ِ,زَنّ
وزنه	وَزْن,وَزَن-ِ,زِنَة,زان-ِ,زَنّ,وَزْنَة
وزنك	وَزْن,وَزَن-ِ,زان-ِ,زَنّ,زِنْك
وزنتم	وَزَن-ِ,زان-ِ
وزناهم	وَزَن-ِ,زان-ِ,زَنّ,زِنَى
وزلزلة	زَلْزَل,زَلْزَلَة
وزلزل	زَلْزَل
وزكرياء	زَكَرِياء
وزكاته	زَكاة
وزق	زَقّ
وزفت	زاف,زِفْت,زَفَّت,زَفّ-ِ,زَفّ
وزعمتم	زَعَم
وزرعوا	زَرَع-َ
وزرع	زَرَع-َ,زَرْع
وزربي	NOTFOUND
وزرارة	NOTFOUND
وزبير	زُبَيْر
وزبيدا	زُبَيْد
وزبيبا	زَبِيب
وزبيب	زَبِيب
وزادك	زاد-ِ,زاد
وزادفادعها	NOTFOUND
وزادت	زاد-ِ
وريقة	رَيِّق,وُرَيْقَة,رِيق
وريحانة	رَيْحان
ورياحين	رَيْحان
ورويت	رَوَى-ِ,رَوَّى
ورووه	رَوَى-ِ,رَوَّى
وروضة	رَوَّض,رَوْضَة
ورودها	رَوْد,وُرُود
ورودا	رَوْد,وُرُود
وروحوا	رَوَّح
وروايته	رِوايَة
ورهبتك	رَهَّب,رَهْبَة
ورهبانية	رَهْبانِيَّة
ورهبانهم	راهِب
ورنة	رَنّ-ِ,ران-ِ,رَنَّة,وَرَن
ورميثة	رُمَيْثَة
ورملوا	رَمَّل
ورمل	رَمْل,رَمَّل
ورماح	رَمّاح,رُمْح
وركوعهن	رُكُوع
وركوعها	رُكُوع
وركوب	رُكُوب,رَكُوب
وركنت	رَكِن-َ,رَكَن
وركعتيه	رَكْعَة
وركعته	رَكَّع,رَكَع-َ,رَكْعَة
وركعتا	رَكَّع,رَكْعَة,رَكَع-َ
وركزت	رَكَّز,رَكَز
وركبوا	رَكَّب,رَكِب-َ
وركبهن	رِكاب,رُكْبَة,رَكْب,رَكِب-َ,رَكَّب
وركبهم	رِكاب,رُكْبَة,رَكْب,رَكَّب,رَكِب-َ
وركبني	رَكِب-َ,رَكَّب
وركانة	NOTFOUND
وركابهم	رِكاب,راكِب,رَكّاب
وركابنا	رِكاب,راكِب,رَكّاب
وركاء	NOTFOUND
ورقيقك	رَقِيق
ورقيت	رَقَّى,رَقِي-َ
ورقي	رَقَّى,وَرَق,رَقّ,رِقّ,رُقْيَة,رَقِي-َ,رُقِيّ,وَرَقِيّ
ورقدة	راقِد,رَقْد,رَقَّد,رَقَد,رَقْدَة
ورقت	رَقَّى,رَقّ-ِ,راق-ِ,وَرَّق,راق
ورقبة	رَقَب,رِقْبَة,رَقَبَة
ورفيقي	رَفِيق
ورفعتهما	رَفْعَة,رِفْعَة,رَفَع-َ,رَفَّع
ورغبنا	رَغِب-َ,رَغَب
ورعوا	وَرِع-ِ,رَعْو,رَعا,رَعَى-َ
ورعاتها	وَرِع,راعِي
ورعا	وَرِع-ِ,وَرَع,رَعا,وَرِع
ورع	وَرِع-ِ,وَرَع,وَرِع
ورطنت	رَطَن
ورطات	وَرْطَة
ورطاب	رَطِيب
ورضيفهما	NOTFOUND
ورضيعي	رَضِيع
ورضيعه	رَضِيع
ورضيتم	رَضَّى,رَضِي-َ
ورضفا	NOTFOUND
ورضاك	رِضاً,رَضّ,رَضَّى
ورضاعة	رِضاع,رَضاعَة,رَضّاعَة
ورشح	رَشْح,رَشَح-َ,رَشَّح
ورسية	NOTFOUND
ورسا	رَسا,وَرْس
ورزقها	رَزَق,رِزْق
ورزقا	رَزَق,رِزْق
ورديفه	رَدِيف
ورددناه	رَدَّد,رَدّ
ورداءه	رِداء,رَداءَة
ورخصة	رُخْص,رَخَّص,رَخْص,رُخْصَة
ورخصا	رُخْص,رَخَّص,رَخُص,رُخْصَة,رَخْص
ورحنا	راح
ورحمه	رَحَّم,رَحْمَة,رَحِم,رَحِم-َ
ورحمك	رَحَّم,رَحِم,رَحِم-َ
ورحمتي	رَحْمَة
ورحب	رُحْب,رَحَب,رَحُب,رَحَّب,رَحْب,رَحِب-َ
ورجوتني	رَجا
ورجوت	رَجا
ورجمت	رَجَّم,رَجَم
ورجلين	رَجُل,رِجْل
ورجلة	رَجُل,رَجَّل,رِجْل,رَجِل-َ
ورجف	رَجَف
ورجعا	رَجَّع,رَجَع-ِ,رَجْع
ورجاء	رَجاء
ورثناه	وَرِث-ِ,وَرَّث,راث-ِ,راث
ورتعت	NOTFOUND
وربنا	راب-ِ,رُبّ,وَرَّب,وَرْب,راب,رَبّ
وربعي	رُبْعِيّ,رَبْع,رُبْع
