فاشاح	أَشاح,شاحّ
حلفوا	حَلَّف,حَلَف-ِ
حلفا	حَلَف-ِ,حَلَّف,حَلْف,حِلْف
حلب	حَلَب,حَلَب-ُِ,حَلْب
حلاوته	حَلاوَة
حكيه	حَكْي
حكيمة	حَكِيم
حكمه	حَكَّم,حُكْم,حَكَم,حِكْمَة
حك	حَكّ
حقيبة	حَقِيبَة
حقويه	حَقْو
حقوقهم	حَقّ
حقن	حاق,حاق-ِ,حُقْنَة,حَقْن,حَقَن-ُِ
حقلا	حَقْل
حقك	حَقّ
حقاق	حُقَّة
حفيا	حَفِيّ,حَفِي-َ
حفظي	حِفْظ
حفصا	NOTFOUND
حفزني	حَفَز-ِ
حفالة	NOTFOUND
حظها	حَظّ
حطمه	حَطَم-ِ,حِطْمَة,حَطَّم
حطمة	حَطَم-ِ,حِطْمَة,حَطَّم
حضرة	حَضَّر,حَضَر,حَضْرَة
حصينا	حُصَيْن,حَصِين
حصر	حَصِر-َ,حَصَر-ُِ,حُصْر,حَصْر
حشفة	حَشَفَة,حَشَف
حسه	حِسّ,حَسّ,حَسّ-ِ
حزينة	حَزِين
حزور	NOTFOUND
حز	حَزّ
حرمته	حُرْمَة,حَرَّم,حَرَم-ُِ
حرس	حَرَس
حربا	حَرْب
حرامه	حَرام
حذوها	حَذْو,حَذَى-ِ,حَذْوَ,حَذا
حذف	حَذْف,حَذَّف,حَذَف-ِ
حذرهم	حَذَّر,حِذْر
حذرا	حَذَّر,حِذْر,حَذِر-َ
حذر	حَذَّر,حِذْر,حَذِر-َ
حديقتك	حَدِيقَة
حديدا	حَدِيد
حديثنا	حَدِيث
حدس	حَدْس,حَدَس-ُِ
حدثوا	حَدَث
حدثاء	حَدِيث
حثية	NOTFOUND
حثالة	حُثالَة
حبيبه	حُبَيْبَة,حَبِيب
حبش	حَبَش
حبات	حَبّ
حباء	حِباء
حبا	حَبّ,حَبّ-ِ,حُبّ,حَبا
حان	حان,حان-ِ
حالك	حالِك,حال
حالب	حالِب
حاقنتي	NOTFOUND
حافيا	حافِي
حافظا	حافَظ,حافِظ
حارها	حارّ,حار
حابستنا	NOTFOUND
حابستكم	NOTFOUND
حائش	NOTFOUND
جيوبهن	جَيْب
جياد	جَيِّد
جورا	جُورَة,جَوْر
جوالقي	NOTFOUND
جواز	جَواز
جواده	جَواد
جهوري	جَهْوَرِيّ
جهلا	جَهَّل,جَهْل,جاهِل,جَهِل-َ
جهزتها	جَهَّز,جَهَز-َ
جهرت	جَهُر,جَهَر-َ
جنده	جُنْد,جَنَّد
جنتك	جِنَّة,جُنَّة,جَنَى-ِ,جَنّ,جَنَّة
جنبني	جَنَب,جَنَّب
جنبك	جَنَب,جَنْب,جَنَّب,جَنْبَ
جنبان	جَنْب
جمز	NOTFOUND
جمرتان	جَمْر
جمة	جَمّ,جَمّ-ُِ
جمان	جُمان,جَمّ
جمالها	جَمال,جَمّال,جَمَل
جماء	NOTFOUND
جليل	جَلِيل
جلسيها	NOTFOUND
جلسها	NOTFOUND
جلسة	جَلْسَة
جلدك	جَلَد-ِ,جِلْد,جَلَد,جَلْد,جَلِد-َ,جَلَّد
جلحاء	أَجْلَح
جفا	جَفا,جَفّ-ِ
جعيد	NOTFOUND
جعلناه	جَعَل-َ
جشم	جَشِم-َ,جَشَّم
جزي	جَزَى-ِ,جِزْيَة
جزلتين	جَزْل,جِزْلَة
جزعي	جَزَع,جَزْع,جُزْع,جَزِع
جزاهم	جَزّ,جَزَى-ِ,جِزْيَة
جزارتها	جَزّار,جِزارَة
جزئه	جُزْء
جريدها	جَرِيد
جربا	أَجْرَب,جِراب,جَرَّب,جَرِب-َ,جَرَب,جَرِب
جراحة	جُرْح,جَرّاح,جِراحَة
جراحا	جَرّاح,جُرْح
جراتي	NOTFOUND
جرئ	NOTFOUND
جذوع	جِذْع
جذل	جَذِل-َ,جَذَل,جَذِل,جِذْل
جذام	جُذام
جدهن	جَدّ,جِدّ
جدعه	جَدَع,جَدَع-َ
جدرات	NOTFOUND
جددته	جَدَّد
جداد	NOTFOUND
جحد	جَحَد-َ,جَحْد
جثا	جَثا,جَثّ
جبليها	جَبَل,جَبَلِيّ
جبلين	جَبَل
جبلي	جَبَل,جَبَلِيّ
جبذته	جَبَذ-ِ
جبتك	جَبَى-ِ,جَبَّى,جُبَّة,جاب,جَبّ
جبانا	جَبَى-ِ,جُبّ,جَبَّى,جَبّان,جَبّ,جَبان
جبارا	جَبّار
جاوزوا	جاوَز
جاوزها	جاوَز
جاوان	NOTFOUND
جاهدهم	جاهَد,جاهِد
جامدا	جامِد
جامد	جامِد
جالسين	جالِس
جالست	جالَس
جاف	جافِي,جافّ
جازت	جازَى,جاز
جاريتين	جارِي,جارِيَة
جاريته	جارِي,جارَى,جارِيَة
جارود	NOTFOUND
جارتها	جار,جارَى
جابان	NOTFOUND
جائع	جائِع
جؤار	جُؤار
ثوابها	ثَوّاب,ثَواب
ثوابه	ثَوّاب,ثَواب
ثوابا	ثَوّاب,ثَواب
ثنيتيه	ثَنِيَّة,ثَنْيَة
ثنيتاه	ثَنِيَّة,ثَنْيَة
ثناياه	ثَنِيَّة
ثمغ	NOTFOUND
ثمرتك	ثَمْر,ثَمَر
ثمال	NOTFOUND
ثمارهم	ثَمَر
ثمارنا	ثَمَر
ثقيلا	ثَقِيل
ثقيل	ثَقِيل
ثفنة	ثِفْنَة
ثجا	ثَجّ
ثار	ثار
تويت	NOTFOUND
تولين	وَلَّى,أَوْلَى,تَوَلَّى
توكل	أَوْكَل,تَوَكَّل,وَكَّل,تَوَكُّل
توقد	وَقَّد,تَوَقُّد,تَوَقَّد,أَوْقَد
توفيته	تَوْفِيَة,تَوَفَّى
توفوا	وَفَّى,تَوَفَّى,أَوْفَى
توابا	تَوّاب
تهود	هَوَّد,هاد,تَهَوَّد
تهليلة	تَهْلِيل
تنكا	NOTFOUND
تنقيثا	NOTFOUND
تنقلبون	ٱِنْقَلَب
تنقصهم	أَنْقَص,نَقَص,نَقَّص
تنقزان	نَقَّز,نَقَز
تنقث	NOTFOUND
تنفعه	نَفَّع,نَفَع-َ
تنطلقون	ٱِنْطَلَق
تنصرف	ٱِنْصَرَف
تنشد	نَشَد,أَنْشَد
تنسنا	ناس,نَسِي-َ,تِنِس,أَنْسَى
تنزلوا	نَزَل-ِ,أَنْزَل,نَزَّل,نَزِل-َ,تَنَزَّل
تنذروا	نَذَر,أَنْذَر,نَذِر-َ
تنخع	تَنَخَّع
تنحيت	تَنَحَّى
تنحنح	نَحْنَح,تَنَحْنَح
تناشد	ناشَد,تَناشَد
تنادي	تَنادَى,نادَى
تنادون	نادَى
تميت	أَمات
تمكر	مَكَر
تمسكه	تَمَسُّك,تَمَسَّك,مَسَّك,أَمْسَك,مَسَك
تمري	تَمْر,أَمَرّ,مَرّ
تمرق	مَرَق,مَرَّق
تمد	أَمْدَى,مَدّ,ماد-ِ,أَمَدّ
تمثالا	تِمْثال
تلهب	تَلَهَّب,لَهَّب,أَلْهَب,لَهِب-َ
تلقينا	لَقِي-َ,تَلَقَّى,تَلَقِّي,تَلْقِين,أَلْقَى
تلقون	لَقِي-َ,أَلْقَى
تلقت	تَلَقَّى
تلده	وَلَد-ِ,لَدّ
تلبسون	لَبَّس,لَبِس-َ,أَلْبَس
تلادي	تِلاد
تكليما	NOTFOUND
تكلهم	كال-ِ,أَكَلّ,وَكَل-ِ
تكفا	وَكَف-ِ,كَفّ
تكف	وَكَف-ِ,كَفّ,كَفَى-ِ
تكسوها	وَكَس-ِ,أَكْسَى,كَسا,كَسِي-َ
تكرهينه	كَرِه-َ,كَرَّه,أَكْرَه
تكرهين	كَرِه-َ,كَرُه,كَرَّه,أَكْرَه
تكتبوها	أَكْتَب,كَتَب
تكتبوا	أَكْتَب,كَتَب
تقيمها	قَيَّم,أَقام
تقيمه	قَيَّم,أَقام
تقوله	تَقَوُّل,قال
تقواها	تَقْوَى
تقنطوا	قَنَّط,قَنِط-َ,أَقْنَط,قَنُط
تقلد	قَلَّد,تَقَلَّد
تقصيص	NOTFOUND
تقربه	قَرَّب,تَقَرَّب,قَرِب-َ,تَقَرُّب,قَرُب
تقربن	قَرَّب,تَقَرَّب,قَرِب-َ,قَرُب
تقرؤهن	NOTFOUND
تقرءونه	NOTFOUND
تقذفوا	قَذَّف,قَذَف-ِ
تقحمون	أَقْحَم,قَحَم
تقتلني	قَتَّل,قَتَل
تقتلك	قَتَّل,قَتَل
تقتتل	ٱِقْتَتَل
تقبلون	قَبَّل,أَقْبَل,قَبِل-َ
تقبلوا	قَبَّل,تَقَبَّل,أَقْبَل,قَبِل-َ
تقبح	قَبَّح,قَبُح
تقاولت	NOTFOUND
تفيئها	فَيَّأ,أَفاء
تفقدون	فَقَد-ِ,أَفْقَد
تفقد	تَفَقَّد,فَقَد-ِ,تَفَقُّد,أَفْقَد
تفعله	فَعَل-َ
تفعلا	فَعَل-َ
تفطرون	أَفْطَر,فَطَر
تفضيلا	تَفْضِيل
تفض	فاض-ِ,فَضّ,فَضا,أَفاض,فَضَّى,وَفَض-ِ,أَفْضَى
تفشلا	فَشِل-َ,أَفْشَل
تفسد	فَسَّد,فَسَد,أَفْسَد
تفسحوا	فَسُح,فَسَّح,فَسَح-َ,أَفْسَح,تَفَسَّح
تفريق	تَفْرِيق
تفرع	فَرَّع,تَفَرُّع,تَفَرَّع
تفتي	فَتّ,أَفْتَى,فَتِي-َ
تفترقا	ٱِفْتَرَق
تفارقه	تَفارَق,فارَق
تفارقني	تَفارَق,فارَق
تغيظ	أَغاظ,غَيَّظ,تَغَيَّظ,غاظ-ِ
تغيرت	تَغَيَّر
تغشي	تَغَشَّى,غَشّ,غَشِي-َ,أَغْشَى,غَشا,غَشَّى
تغش	غَشّ,غَشِي-َ,أَغْشَى,غَشا,غَشَّى
تغتسلين	ٱِغْتَسَل
تغادر	غادَر
تعينوا	أَعان,تَعَيَّن,عَيَّن
تعن	أَعان,عَنَى-ِ,عَنَّى,تَعَنِّي,عَنا,عَنّ
تعمقهم	أَعْمَق,عَمَّق,تَعَمُّق,تَعَمَّق
تعلمونه	أَعْلَم,عَلِم-َ,عَلَّم
تعلمن	أَعْلَم,تَعَلَّم,عَلِم-َ,تَعَلْمَن,عَلْمَن,عَلَّم
تعفي	عَفّ-ِ,عَفَّى,عَفا,أَعْفَى
تعظمه	أَعْظَم,عَظَّم
تعطيني	أَعْطَى
تعطينه	أَعْطَى
تعضد	عَضَد,عَضَّد
تعشيشا	تَعْشِيش
تعروه	عَرّ,تَعَرَّى,عَرَّى,عَرا
تعرفه	تَعْرِفَة,عَرَّف,عَرَف-ِ,تَعَرُّف
تعرضه	أَعْرَض,تَعَرُّض,عَرَض-ِ,عَرَّض
تعدوا	عَدّ,عَدَّى,أَعْدَى,عَدا,تَعَدَّى,وَعَد-ِ,أَعَدّ
تعده	عَدّ,عَدَّى,أَعْدَى,أَعاد,عَدا,عاد,وَعَد-ِ,أَعَدّ
تعجيلا	تَعْجِيل
تعجلت	تَعَجَّل
تعاهدوا	عاهَد,تَعاهَد
تعافوا	تَعافَى,عافَى
