فارمي	أُرَّم,إِرَم,رَمَى-ِ
عبيرة	عَبِير
عبيدك	عُبَيْد,عَبْد
عبيدالله	عُبَيْدالله
عبرة	عَبْر,عَبَر,عَبْرَة,عَبْرَ,عَبَّر,عِبْرَة
عبدين	عَبْد
عبدها	عَبَد,عَبَّد,عَبْد
عبدالرحمن	عَبْدالرَحْمَن
عبث	عَبِث-َ,عَبَث
عبانا	عَبا,عَبَّى,عَبّ
عباسقال	NOTFOUND
عبادنا	عَبّاد,عابِد,عِباد
عبادتهم	عِبادَة
عبادته	عِبادَة
عاين	عايَن
عاوده	عاوَد
عاهرت	عاهَر
عاهرا	عاهِر,عاهَر
عاهدهم	عاهَد
عاهدت	عاهَد
عاهة	عاهَة
عانقه	عانَق
عانتي	NOTFOUND
عاملها	عامَل,عامِل
عامله	عامَل,عامِل
عامد	عامِد
عامته	عامّ,عامَّة
عامتكم	عامّ,عامَّة
عاليه	عالِي,عالِيَة
عاليا	عالِي
عاقص	NOTFOUND
عاقدين	عاقِد
عاقبتها	عاقَب,عاقِبَة
عاقبتم	عاقَب
عاق	عاق,عاقّ
عافيتني	عافَى
عافي	عافَى,عافِي
عافاه	عاف,عاف-ِ,عافَى
عاعا	NOTFOUND
عاضده	عاضَد
عازم	عازِم
عاريا	عارِي
عاره	عار-َ,عارَة,عار,عار-ِ
عارضيها	عارِضِيّ,عارِض
عارضيه	عارِضِيّ,عارِض
عاذ	عاذ
عادية	عادِيّ,عادِي,عادِيَة
عادلة	عادِل
عادانا	عادَى,عاد
عادا	عاد
عاج	عاج
عاثت	عاث
عاتبني	عاتَب
عاتبنا	عاتَب,عاتِب
عاتب	عاتَب,عاتِب
عابوه	عاب-ِ
عائلنا	عائِل
عائفا	NOTFOUND
عائشةتقول	NOTFOUND
ظهورهن	ظُهُور
ظهرتم	ظَهَر-َ,ظَهَّر
ظهرانيه	NOTFOUND
ظهرانينا	NOTFOUND
ظهرانيكم	NOTFOUND
ظهرانهم	ظَهْران
ظنين	ظَنِين
ظنه	ظَنّ,ظِنَّة
ظننتم	ظَنّ
ظنان	NOTFOUND
ظمان	NOTFOUND
ظلمونا	ظَلَم-َِ
ظلمتهم	ظالِم,ظَلَم-َِ,ظُلْمَة
ظلمتها	ظالِم,ظَلَم-َِ,ظُلْمَة
ظلمته	ظالِم,ظَلَم-َِ,ظُلْمَة
ظلمتم	ظَلَم-َِ
ظلعهم	ظَلَع-َ,ظَلْع
ظلتان	NOTFOUND
ظلاله	ظِلّ
ظلالا	ظِلّ
ظفري	ظَفِر,ظُفُر,ظَفَر
ظفرتم	ظَفِر-َ,ظَفَّر
ظفرة	ظَفِر,ظُفُر,ظَفِر-َ,ظَفَر,ظَفَّر
ظعينتك	ظَعِينَة
ظعن	ظَعَن-َ,ظَعْن
ظريفا	ظَرِيف
ظرفكم	ظَرْف,ظَرَّف
ظبي	ظَبْي,ظَبِي
ظبة	NOTFOUND
ظاهرة	ظاهَر,ظاهِر,ظاهِرَة
ظئران	NOTFOUND
ظئرا	ظِئْر
طينه	طِين,طَيَّن,طِينَة
طينته	طَيَّن,طِينَة
طيبه	طِيبَة,طَيَّب,طِيب,طَيِّب
طيباتنا	طَيِّب
طولي	طَوْل,طُول,طُولِيّ,أَطْوَل
طوفتماني	طَوَّف
طوفة	طَوْف,طَوْفَة,طَوَّف
طوعت	طَوَّع
طوعا	طَوْع,طاعَة,طَوَّع
طود	طَوْد
طوت	طَوَى-ِ
طواها	طَوَى,طَوَى-ِ
طوالا	طَوِيل
طوافين	NOTFOUND
طوافون	NOTFOUND
طوافهما	طَواف,طافَة
طوافكما	طَواف,طافَة
طواغيتهم	طاغُوت
طواعية	طَواعِيَّة
طهوركم	طَهُور
طهرتها	طَهَّر
طنبي	طُنُب,طُنُبِيّ,طُنْب
طنب	طَنَّب,طُنُب,طُنْب
طمست	طَمَس-ِ
طمس	طَمْس,طَمَس-ِ
طمح	طَمَح-َ
طمانينة	NOTFOUND
طلقتهن	طَلَق,طَلَقَة,طَلَّق
طلعوا	طَلَع
طلح	طَلْح,طَلَح
طلبهن	طَلَب
طلبته	طَلْبَة,طالِب,طَلَب
طلاقه	طَلاق,طَلاقَة
طلاقك	طَلاق
طلاع	طَلّاع
طلاء	طَلّاء,طَلْي
طفيتين	NOTFOUND
طفلا	طَفَل,طِفْل
طفاوة	طُفاوَة,طَفاوَة
طفئت	طَفِئ-َ
طفئ	طَفِئ-َ
طغفة	NOTFOUND
طعيمة	NOTFOUND
طعيما	NOTFOUND
طعيم	NOTFOUND
طعمه	طُعْم,طُعْمَة,طَعْم,طَعَّم,طَعِم-َ
طعمنا	طُعْم,طَعْم,طَعَّم,طَعِم-َ
طعمتي	طُعْمَة
طعمته	طُعْمَة,طَعَّم,طَعِم-َ
طعت	طاع
طعامها	طَعام
طش	NOTFOUND
طسم	NOTFOUND
طريقها	طَرِيق
طريقه	طَرِيق,طَرِيقَة
طريقنا	طَرِيق
طريقكم	طَرِيق
طريقة	طَرِيق,طَرِيقَة
طريا	طَرَّى,طَرِي-َ,طَرِيّ
طرقني	طَرَق,طَرَّق
طرقت	طَرَق,طَرَّق
طرفين	طَرَف
طردتكم	طَرَد,طَرْدَة
طردا	طَرَد,طَرْد
طرخان	NOTFOUND
طرحوا	طَرَّح,طَرَح-َ
طرحته	طَرَّح,طَرَح-َ,طَرْحَة
طرحت	طَرَّح,طَرَح-َ
طبيبها	طَبِيب
طبي	طِبِّيّ,طِبّ
طبن	طَبِن-َ,طاب-ِ
طبل	طَبَّل,طَبَل,طَبْل
طبقتي	طَبَقَة
طبرية	طَبَرِيَّة,طَبَرِيّ
طباق	طَبَقَة
طباخ	طَبّاخ
طاويين	طاوِي
طاهرتان	طاهِر
طالما	طالَما
طالق	طالِق
طالع	طالِع,طالَع
طالبا	طالَب,طالِب
طاقين	طاق
طاقته	طاقَة
طاقا	طاق
طاغيتهم	طاغِي
طاغية	طاغِي
طاعون	طاعُون
طاعمين	NOTFOUND
طاعت	طاع
طابعا	طابِع
طائف	طائِف
طائعة	طائِع
طائروكان	NOTFOUND
ضيفهم	ضَيْف
ضيفنا	ضَيَّف,ضَيْف
ضيفا	ضَيَّف,ضَيْف
ضيغم	NOTFOUND
ضيعنا	ضَيْع,ضَيَّع
ضيعتي	ضَيْعَة
ضيرا	ضَيْر
ضوضوا	NOTFOUND
ضورا	ضَوْر
ضوؤه	ضَوْء
ضنا	ضَنّ,ضَنّ-َ
ضمنت	ضَمِن-َ,ضَمَّن
ضمن	ضِمْنَ,ضَمِن-َ,ضام-ِ,ضَمَّن,ضِمْن
ضممته	ضَمّ
ضمدهما	ضَمَد,ضَمْد,ضَمَّد
ضمامة	ضِمام
ضمادا	ضِماد
ضماد	ضِماد
ضما	ضَمّ
ضم	ضَمّ
ضللتم	ضَلَّل,ضَلّ
ضلعه	ضَلَّع,ضِلْع,ضَلَع-َ,ضَلْع
ضفرنا	ضَفْر,ضَفَر
ضفرته	ضَفَر
ضفدعا	ضَفْدَع
ضغينة	ضَغِينَة
ضغطة	ضَغَط,ضَغْط
ضغثا	ضِغْث,ضَغَث
ضعيها	NOTFOUND
ضعيفهم	ضَعِيف
ضعوها	NOTFOUND
ضعهن	NOTFOUND
ضعفتهم	ضَعِيف,ضَعَّف
ضعفت	ضَعَّف,ضَعُف
ضعفاءكم	ضَعِيف
ضعاف	ضَعِيف
ضريع	NOTFOUND
ضري	ضَرَّى,ضُرِّيّ,ضِرّ
ضروعها	ضَرْع
ضروبا	ضُرُوب
ضرك	ضَرّ,ضِرّ
ضربوك	ضَرَب,ضَرَّب
ضربهن	ضَرَب,ضَرَّب,ضَرْب
ضربناه	ضَرَب,ضَرَّب
ضربن	ضَرَب,ضَرَّب
ضربتها	ضَرَب,ضَرَّب,ضَرْبَة
ضربتم	ضَرَب,ضَرَّب
ضربتك	ضَرَب,ضَرَّب,ضَرْبَة
ضربتان	ضَرْبَة
ضرباه	ضَرَب,ضَرَّب
ضربان	NOTFOUND
ضرابه	NOTFOUND
ضحيته	ضَحِيَّة,ضَحَّى
ضحكي	ضَحْك
ضحكه	ضُحْكَة,ضَحِك-َ,ضَحْكَة,ضَحْك
ضحايانا	ضَحِيَّة
ضحاك	ضُحَى,ضَحّاك,ضَحَّى
ضجتهم	ضَجَّة
ضبعا	ضَبْع
ضامنون	NOTFOUND
ضالتي	ضالَّة,ضالّ
ضالته	ضالَّة,ضالّ
ضاعت	ضاع-ِ,ضاع
ضاري	ضَراوَة,ضارّ
ضارعة	ضارِع,ضارَع
ضارا	ضارّ,ضار,ضار-ِ
ضاد	ضادّ,ضاد
ضاحية	ضاحِيَة
ضاجعتها	ضاجَع
ضابطين	ضابِط
ضابط	ضابِط
ضائعا	ضائِع
صيف	صَيْف,صَيَّف
صيتا	صَيِّت,صِيت
صيامك	صائِم,صِيام
صياحهما	صَيْحَة,صَيّاح
صياحكما	صَيْحَة,صَيّاح
صومين	NOTFOUND
صوموه	NOTFOUND
صومهم	صائِم,صَوْم
صومك	صائِم,صَوْم
صولحوا	NOTFOUND
صوروا	صَوَّر
صورها	صُورَة,صَوَّر
صوره	صَوَّر,صُورَة
صوتين	صَوْت,صُوَّة
صواحباتها	NOTFOUND
صهيبة	NOTFOUND
صنيعكما	صَنِيع
صنيعا	صَنِيع
صنوف	NOTFOUND
صنفا	صِنْف,صَنَّف
صنعكم	صَنَّع,صَنْع,صُنْع,صَنَع-َ
صنعتهن	صَنْعَة,صَنَّع,صَنَع-َ
صنعتها	صَنْعَة,صَنَّع,صَنَع-َ
صنعتموه	صَنَّع,صَنَع-َ
صناع	صَناع,صانِع
صمنيها	NOTFOUND
صمغة	صَمَّغ,صَمْغ
صمتهما	صَمّ,صَمْت,صِمَّة,صام,صَمَّت,صَمِت
صمتم	صام,صَمَت,صَمَّت
صمتت	صَمَت,صَمَّت
صماما	صِمام
صمام	صِمام
صماخ	صِماخ
صمات	NOTFOUND
صليها	صَلِي-َ
صليح	NOTFOUND
صليتهما	صَلِي-َ,صَلَّى,صَلَى-ِ
صليبهم	صَلِيب
صليبه	صَلِيب
صليب	صَلِيب
صليا	صَلَّى,صَلِي-َ,صَلَى-ِ
صلوها	صَلَّى,صَلِي-َ,صَلَى-ِ
صلواتهم	صَلاة
صلها	NOTFOUND
صلفت	صَلِف-َ
صلتة	صال,صَلَّى,صَلَى-ِ,صِلَة
صلبي	صُلْب,صُلْبِيّ,صَلْب
صلاحا	صالِح,صَلاح
صلاتيكم	صَلاة
صلاتيك	صَلاة
صك	صَكّ
صقل	صَقْل,صَقَل
صفيه	صَفّ,صَفِيّ,صَفِيَّة
صفيتهن	صَفَّى,صَفِيّ,صَفِيَّة
صفون	صَفا
صفوفا	صَفّ,صُفُوف
صفوة	صَفَّى,صِفْوَة,صَفّ,صَفْوَة,صَفْو
صفه	صُفَّة,صَفّ,صِفَة
صفنا	صَفَن-ِ,صَفَن,صَفّ
صفقته	صَفَق-ِ,صَفْقَة,صَفَّق,صَفَق
