تنورا	تَنُّور,تَنَوَّر,أَنْوَر,نَوَّر
تصبهم	وَصَب-ِ,صَبّ,أَصاب,صَبِي-َ,صَبا,صَبّ-َ,صَبَّى
تصبحين	أَصْبَح,صَبَّح
تصاليب	NOTFOUND
تصافوا	تَصافّ,تَصافَى,صافَى
تصافحوا	تَصافَح,صافَح
تصاغر	تَصاغَر,تَصاغُر
تصادفه	صادَف
تشير	أَشار
تشهدوهم	شَهِد-َ,أَشْهَد
تشهدون	شَهِد-َ,أَشْهَد
تشهدوا	شَهِد-َ,أَشْهَد
تشهدها	شَهِد-َ,أَشْهَد
تشهدن	شَهِد-َ,أَشْهَد
تشميرا	NOTFOUND
تشمتوه	أَشْمَت,شَمَّت,شَمِت-َ
تشكيت	تَشَكَّى
تشقه	شَقّ,شَقا,شَقِي,أَشْقَى,شاق
تشق	شَقّ,شَقا,شَقِي,شاق,أَشْقَى
تشفين	أَشْفَى,شَفَى,تَشَفَّى,شَفّ-ِ
تشفني	أَشْفَى,شَفَى,شاف
تشفعنا	تَشَفَّع,تَشَفُّع,شَفَع-َ
تشغلوا	شَغَّل,شَغَل-َ,أَشْغَل
تشغفت	NOTFOUND
تشغبت	NOTFOUND
تشعر	شَعَر,أَشْعَر
تشعبت	تَشَعَّب
تشزنتم	NOTFOUND
تشزن	NOTFOUND
تشركه	شَرِك-َ,أَشْرَك
تشرع	شَرَّع,شَرَع-َ,أَشْرَع
تشرح	شَرَّح,شَرَح-َ
تشربنه	تَشَرَّب,أَشْرَب,شَرِب-َ,شَرَّب
تشديدا	تَشْدِيد
تشديد	تَشْدِيد
تشدوا	شَدّ-ُِ,شَدا
تشددوا	شَدَّد,تَشَدَّد
تشتهون	ٱِشْتَهَى
تشتمهم	شَتَم-ُِ,ٱِشْتَمّ
تشتمني	شَتَم-ُِ,ٱِشْتَمّ
تشتمل	ٱِشْتَمَل
تشتريها	ٱِشْتَرَى,شَتَر-ِ
تشترون	ٱِشْتَرَى,شَتَر-ِ
تشترطي	ٱِشْتَرَط
تشتد	ٱِشْتَدّ
تشبيها	شَبّ-ِ,شَبّ,تَشْبِيه
تشبيه	شَبّ-ِ,شَبّ,تَشْبِيه
تشبهون	شَبَّه,أَشْبَه
تشاجرتم	تَشاجَر
تشاءموا	تَشاءَم
تسيرون	سَيَّر,سار-ِ,أَسار
تسيروا	سَيَّر,سار-ِ,أَسار
تسوي	سَوَّى,سَوِي-َ
تسول	تَسَوُّل,تَسَوَّل,سَوَّل
تسوكوا	سَوَّك,ساك
تسوك	سَوَّك,سَوَّى,ساك,سَوِي-َ
تسوقونهم	سَوَّق,ساق
تسور	سَوَّر,تَسَوَّر
تسودوا	ساد,سَوَّد,ٱِسْوَدّ
تسنيم	تَسْنِيم
تسنديه	سَنَّد,أَسْنَد,سَنَد
تسميه	وَسَم-ِ,سَمّ,سَمَّى,أَسْمَى,سَما,تَسْمِيَة
تسميده	تَسْمِيد
تسموه	وَسَم-ِ,سَمّ,سَمَّى,أَسْمَى,سَما
تسمونها	وَسَم-ِ,سَمّ,سَمَّى,أَسْمَى,سَما
تسمها	وَسَم-ِ,سَمّ,أَسام,سَمَّى,أَسْمَى,سام,سَما
تسمه	وَسَم-ِ,سَمّ,أَسام,سَمَّى,أَسْمَى,سام,سَما
تسمني	وَسَم-ِ,سَمَّن,سَمّ,أَسام,سَمَّى,أَسْمَى,أَسْمَن,سَمِن-َ,سام,سَما
تسمن	وَسَم-ِ,سَمَّن,أَسام,أَسْمَن,سَمِن-َ,سام
تسمعيه	تَسَمُّع,سَمَّع,سَمِع-َ,أَسْمَع
تسمعني	سَمَّع,سَمِع-َ,أَسْمَع,تَسَمَّع
تسمعن	سَمَّع,سَمِع-َ,أَسْمَع,تَسَمَّع
تسمعت	تَسَمَّع
تسمعان	تَسَمُّع,سَمَّع,سَمِع-َ,أَسْمَع
تسليمك	تَسْلِيم
تسليمتان	NOTFOUND
تسلوا	تَسَلَّى,سَلّ,سَلَّى,أَسْلَى,سَلا
تسلميه	سَلَّم,أَسْلَم,تَسَلُّم
تسلما	سَلَّم,أَسْلَم,سَلِم-َ,تَسَلَّم,تَسَلُّم
تسلفوا	أَسْلَف,سَلَف,سَلَّف,تَسَلَّف
تسلفني	أَسْلَف,سَلَف,سَلَّف,تَسَلَّف
تسلفت	سَلْفَت,تَسَلَّف
تسلت	تَسَلَّى,سَلَت-ُِ
تسكنه	أَسْكَن,سَكَّن,ساك
تسكن	أَسْكَن,سَكَّن,سَكَن,ساك
تسكر	أَسْكَر,سَكِر-َ,سَكَّر
تسكب	سَكَب
تسقيهم	وَسَق-ِ,أَسْقَى,سَقَى-ِ
تسقون	وَسَق-ِ,أَسْقَى,سَقَى-ِ
تسقه	وَسَق-ِ,أَسْقَى,ساق,سَقَى-ِ
تسقني	وَسَق-ِ,أَسْقَى,سَقَى-ِ,ساق
تسفهم	سَفَى-ِ,أَسْفَى,أَسَفّ
تسعيان	سَعَى-َ
تسعها	تِسْع,سَعَى-َ,تُسْع
تسعر	سَعَر-َ,أَسْعَر,سَعَّر,تَسَعَّر
تسعدني	أَسْعَد
تسطع	سَطَع-َ
تسره	سَرَى-ِ,سَرَّى,سار-ِ,أَسار,أَسَرّ,سَرّ,أَسْرَى
تسرعوا	سَرَّع,تَسَرَّع,سَرُع,أَسْرَع
تسرج	سَرَج-َ,سَرَّج,أَسْرَج
تسر	تَسَرِّي,سار-ِ,سَرَى-ِ,سَرَّى,أَسار,أَسَرّ,سَرّ,أَسْرَى
تسديدك	تَسْدِيد
تسخر	سَخِر-َ,تَسَخَّر,سَخَّر
تسحر	سَحَّر,تَسَحَّر,سَحَر-َ
تسحبهم	سَحَب-َ
تسجدوا	سَجَد
تستوفيه	ٱِسْتَوْفَى
تستوفي	ٱِسْتَوْفَى
تستنظره	ٱِسْتَنْظَر
تستكمله	ٱِسْتَكْمَل
تستقيموا	ٱِسْتَقام
تستقيم	ٱِسْتَقام
تستقرض	ٱِسْتَقْرَض
تستقر	ٱِسْتَقَرّ,ٱِسْتَقْرَى
تستفتيني	ٱِسْتَفْتَى
تستفتي	ٱِسْتَفْتَى
تستغني	ٱِسْتَغْنَى
تستعيره	ٱِسْتَعار
تستعمله	ٱِسْتَعْمَل
تستعجب	ٱِسْتَعْجَب
تستطيعها	NOTFOUND
تستضيئوا	ٱِسْتَضاء
تستشيري	ٱِسْتَشار
تستروا	سَتَر,سَتَّر,تَسَتَّر
تستدينين	ٱِسْتَدان
تستخلقي	NOTFOUND
تستخلف	ٱِسْتَخْلَف
تستحييه	ٱِسْتَحْيَى
تستحق	ٱِسْتَحَقّ
تستح	NOTFOUND
تستجيبون	ٱِسْتَجاب
تستجاب	ٱِسْتَجاب
تستترين	ٱِسْتَتَر
تستتر	ٱِسْتَتَر
تستاصل	NOTFOUND
تسبيحا	تَسْبِيح
تسبوها	سَبّ,سَبَى-ِ
تسبهم	سَبّ,ساب-ِ,سَبَى-ِ
تسبها	سَبّ,ساب-ِ,سَبَى-ِ
تسبن	ساب-ِ
تسبل	أَسْبَل,سَبَّل
تسبقوني	سَبَّق,سَبَق-ُِ
تسبحه	تَسْبِحَة,سَبَّح,سَبَح-َ
تساند	تَسانَد,سانَد
تساموا	سامَى,أَسام,تَسامَى,سام
تسالين	أَسال
تسالي	تَسالِي,أَسال
تسالونني	NOTFOUND
تسالونا	NOTFOUND
تسالن	NOTFOUND
تسالانك	NOTFOUND
تسالان	أَسال
تساكنوا	تَساكَن,ساكَن
تساقطت	تَساقَط
تسافروا	سافَر
تسافرن	سافَر
تزين	زان-ِ,تَزَيَّن,زَيَّن
تزيدك	تَزَيَّد,زاد-ِ,تَزَيُّد,زَيَّد,أَزاد
تزويري	تَزْوِير
تزويجها	تَزْوِيج
تزوجه	زَوَّج,تَزَوَّج,تَزَوُّج
تزوجتهما	تَزَوَّج
تزهد	تَزَهَّد,زَهَّد,زَهُد,تَزَهُّد,زَهَد-َ
تزلقه	تَزَلَّق,زَلَق,زَلَّق,أَزْلَق,زَلِق-َ
تزلف	تَزَلَّف,زَلَف,أَزْلَف,زَلَّف
تزلع	NOTFOUND
تزلزلوا	زَلْزَل,تَزَلْزَل
تزكيه	زَكِي-َ,زَكَّى,زَكا,تَزْكِيَة,أَزْكَى
تزفن	زاف,زَفَن-ِ
تزفزفين	زَفْزَف
تزعزعوا	زَعْزَع,تَزَعْزَع
تزرع	زَرَع-َ
تزدن	ٱِزْدان,زاد-ِ,أَزاد
تزدادوا	ٱِزْداد
تزداد	ٱِزْداد
تزالي	أَزال,زال-َ
تزاد	زاد-ِ,أَزاد
تزاحم	تَزاحَم,تَزاحُم,زاحَم
تريها	وَرَى-ِ,رَأَى-َ
ترينها	ران-ِ,وَرَى-ِ,رَأَى-َ
تريدان	أَراد
تريان	وَرَى-ِ,رَأَى-َ
ترياقا	تِرْياق
ترياق	تِرْياق
ترويها	أَرْوَى,تَرَوِّي,رَوَى-ِ,رَوَّى
تروت	تَرَوَّى
ترهب	تَرَهَّب,رَهَّب,أَرْهَب,تَرَهُّب,رَهِب-َ
ترميهم	رَمَى-ِ,رَمّ
ترمم	رَمّ-ِ,رَمَّم,رَمّ,تَرَمَّم
ترمض	NOTFOUND
ترمذي	تِرْمِذِيّ
تركوهم	تَرَك,تَرَّك,رَكّ
تركهن	تَرَك,تَرْك,تُرْكِيّ,تَرَّك,رَكّ
تركهم	تَرَك,تَرْك,تُرْكِيّ,تَرَّك,رَكّ
تركناكم	تَرَك,أَرْكَن,تَرَّك
تركن	تَرَك,وَرَى-ِ,أَرْكَن,رَأَى-َ,رَكَن,رَكِن-َ,تَرَّك
ترككم	تَرَك,تَرْك,تُرْكِيّ,تَرَّك,رَكّ
تركعوا	رَكَّع,رَكَع-َ,أَرْكَع
تركض	رَكَض
تركتيها	تَرِكَة
تركتهما	تَرَك,تَرِكَة,تَرَّك
تركتني	تَرَك,تَرَّك
تركان	رَكّ,رَكّ-ِ
تركا	تَرَك,تَرْك,تُرْكِيّ,تَرَّك,رَكّ,رَكّ-ِ
ترقه	رَقَّى,أَراق,راق-ِ,أَرَقّ,رَقِي-َ,راق
ترقعيه	رَقَّع,رَقَع-َ
ترفل	تَرْفَل,رَفَل
ترفعين	تَرَفُّع,رَفَع-َ,رَفَّع
ترفعهما	تَرَفُّع,رَفَع-َ,رَفَّع
ترفعان	تَرَفُّع,رَفَع-َ,رَفَّع
ترغيم	NOTFOUND
ترغثونها	رَغَث-َ
ترغب	رَغِب-َ
ترغ	راغ,أَرْغَى,رَغَّى,رَغا
ترعرعت	تَرَعْرَع
ترعاها	رَعَى-َ
ترسيل	NOTFOUND
ترسلني	أَرْسَل
ترزقوا	رَزَق
تردين	رَدِي-َ,رَدَّى,تَرَدَّى,رَدّ,أَرْدَى,وَرَد-ِ
تردع	رَدَع-َ
ترددي	تَرَدُّد,تَرَدُّدِيّ,رَدَّد
تردده	تَرَدُّد,رَدَّد,رَدّ
ترددني	رَدَّد,رَدّ
ترددت	تَرَدَّد
ترخيم	تَرْخِيم
ترخصت	تَرَخَّص
ترحمت	تَرَحَّم
ترحا	تَرِح-َ,تَرَّح,تَرَح
ترح	راح,تَرِح-َ,أَراح,تَرَّح,تَرَح
ترجيعه	NOTFOUND
ترجوه	رَجّ,رَجا,رَجِي-َ,تَرَجَّى
ترجموهما	رَجَّم,تَرْجَم,رَجَم
ترجمه	تَرْجَمَة,رَجَّم,تَرْجَم,رَجَم
ترجمانه	تُرْجُمان,رَجَّم,رَجَم
ترثه	رَثا,وَرِث-ِ,راث-ِ,رَثَى,راث
ترتيل	تَرْتِيل
ترتكض	ٱِرْتَكَض
ترتدوا	ٱِرْتَدّ,ٱِرْتَدَى
ترتجين	ٱِرْتَجّ,رَتِج-َ,أَرْتَج,ٱِرْتَجَى,رَتَج
ترتج	رَتِج-َ,ٱِرْتَجّ,أَرْتَج,ٱِرْتَجَى,رَتَج
ترتبطه	NOTFOUND
تربوا	تَرَّب,تَرَبَّى,تَرِب-َ,رَبّ,أَرْبَى,رَبَّى,رَبا
تربو	رَبا
تربها	تَرَّب,تُرْبَة,راب-ِ,تِرْب,راب,أَراب,تَرِب,أَرْبَى,رَبا,رَبَّى
تربع	تَرَبَّع,رَبَّع,رَبَع-َ
ترايا	NOTFOUND
تراهن	راهَن,رَأَى-َ
تراضيا	تَراضِي,تَراضَى,راضَى
تراضوا	تَراضَى,راضَى
تراحمهم	NOTFOUND
تراحم	تَراحَم
تراجعا	تَراجَع,تَراجُع,راجَع
تراثي	تُراث,تُراثِيّ
تراءينا	NOTFOUND
تذوقه	تَذَوَّق,ذاق,تَذَوُّق
تذكرهما	تَذَكُّر,ذَكَر,أَذْكَر,ذَكَّر,تَذَكَّر
تذرون	ذَرَى-ِ,ذَرا,أَذْرَى,ذَرّ,وَذِر-َ,ذَرَّى
تذروا	ذَرَى-ِ,ذَرا,أَذْرَى,ذَرّ,تَذَرَّى,وَذِر-َ,ذَرَّى
تذبذبان	تَذَبْذُب,ذَبْذَب
تذبحونها	ذَبَّح,ذَبَح-َ
تذبحن	ذَبَّح,ذَبَح-َ
تذبحان	ذَبَّح,ذَبَح-َ
تذاكرون	ذاكَر
تذاب	أَذاب
تدين	تَدَيُّن,تَدَيَّن,أَدان,دان-ِ,وَدَى-ِ
تديموا	أَدام
تدوير	تَدْوِير
تدوم	دام,دَوَّم
تدوسون	داس
تدهده	NOTFOUND
تدلينا	دَلّ,أَدْلَى,تَدَلَّى,دَلَّى
تدلين	أَدَلّ,دَلّ,أَدْلَى,تَدَلَّى,دَلَّى
تدلكينه	دَلَك,دَلَّك
تدفنوها	دَفَن-ِ
تدفنها	دَفَن-ِ,داف
تدفعني	تَدَفَّع,دَفَع-َ
تدغرون	دَغَر-َ
تدعيه	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
تدعين	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
تدعوهما	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
تدعوك	دَعا
تدعوان	دَعا
تدركوهن	أَدْرَك,دَرَّك,تَدَرَّك
تدركها	أَدْرَك,تَدَرُّك,دَرَّك,تَدَرَّك
تدرجوه	دَرَّج,دَرَج,أَدْرَج,تَدَرَّج
تدخلني	أَدْخَل,تَدَخَّل,دَخَل
تدخلنها	أَدْخَل,تَدَخَّل,دَخَل
تدخلنا	تَدَخَّل,أَدْخَل,دَخَل,تَدَخُّل
تدخلن	تَدَخَّل,أَدْخَل,دَخَل
تدخريه	ٱِدَّخَر
تدخر	ٱِدَّخَر
تداينتم	تَدايَن
تداويه	تَداوِي,داوَى
تداوله	تَداوُل,داوَل,تَداوَل
تداريني	دارَى
تداري	تَدارَى,أَدار,دارَى
تداراتم	NOTFOUND
تدارءا	NOTFOUND
تدادا	NOTFOUND
تدابر	تَدابُر,تَدابَر
تخيلت	تَخَيَّل
تخيل	تَخَيُّل,تَخَيَّل,خَيَّل,أَخال
تخيط	خاط-ِ,خَيَّط
تخويفا	تَخْوِيف
تخويف	تَخْوِيف
تخوم	تَخْم
تخوف	تَخَوَّف,خَوَّف,تَخَوُّف
تخوضون	خاض,خَوَّض
تخمسون	خَمَّس
تخلوا	أَخْلَى,تَخَلَّى,خَلّ,خَلا,أَخَلّ,خَلَّى
تخلقت	تَخَلَّق
تخلفوني	خَلَف,أَخْلَف,خَلَّف,تَخَلَّف
تخلفوننا	خَلَف,أَخْلَف,خَلَّف
تخلفونا	خَلَف,أَخْلَف,خَلَّف,تَخَلَّف
تخلعه	تَخَلَّع,خَلَّع,خَلَع-َ
تخلع	تَخَلَّع,خَلَع-َ,خَلَّع,خَلُع
تخلط	خَلَّط,خَلَط-ِ
تخلد	خَلَد,أَخْلَد,تَخَلَّد,خَلَّد
تخففي	خَفَّف
تخطم	NOTFOUND
تخطبها	خَطَب
تخطئون	أَخْطَأ,خَطَّأ
تخطئ	أَخْطَأ,خَطَّأ
تخصوا	خَصّ,خَصَى-ِ
تخصه	خَصّ,خَصَى-ِ
تخشع	خَشَع-َ,خَشَّع,تَخَشَّع
تخزيني	أَخْزَى,خَزّ,تَخْزِينِيّ,تَخْزِين,خَزَى-ِ,وَخَز-ِ
تخزني	أَخْزَى,خَزَّن,خَزّ,خَزِي-َ,وَخَز-ِ,خَزَى-ِ,خَزَن
تخرم	خَرَم-ِ,خَرَّم
تخرقا	أَخْرَق,تَخَرَّق,خَرَق-ُِ
تخرق	أَخْرَق,تَخَرَّق,خَرَق-ُِ
تخرص	تَخَرَّص,خَرَص
تخرجي	خَرَج,تَخَرُّج,خَرَّج,أَخْرَج
تخرجه	تَخَرُّج,خَرَّج,أَخْرَج
تخرجني	خَرَّج,أَخْرَج
تختن	ٱِخْتان,خَتَن-ِ
تختفي	ٱِخْتَفَى
تختصوا	ٱِخْتَصّ
تختصمان	ٱِخْتَصَم
تختاروا	ٱِخْتار
تختار	ٱِخْتار
تخبط	تَخَبُّط,تَخَبَّط,خَبَط-ِ
تخبروه	تَخَبَّر,خَبُر,أَخْبَر,خَبَر,خَبَّر
تخبرونا	تَخَبَّر,أَخْبَر,خَبُر,خَبَر,خَبَّر
تخبرن	تَخَبَّر,خَبُر,أَخْبَر,خَبَر,خَبَّر
تخبرك	تَخَبَّر,خَبُر,أَخْبَر,خَبَر,خَبَّر
تخالفها	تَخالَف,خالَف,تَخالُف
تخالفه	تَخالَف,خالَف,تَخالُف
تخالطهم	خالَط
تخالطها	خالَط
تخافوا	خاف-َ,أَخاف
تخافني	NOTFOUND
تخاطب	تَخاطُب,تَخاطَب,خاطَب
تحين	حان-ِ,وَحَى-ِ,تَحَيَّن
تحيضي	حاض-ِ
تحيضهن	تَحَيَّض,حاض-ِ
تحياتكم	تَحِيَّة
تحولوا	حَوَّل,تَحَوَّل,ٱِحْوَلّ,حال
تحولنا	حَوَّل,تَحَوُّل,تَحَوَّل,حال
تحولان	تَحَوُّل,حَوَّل,ٱِحْوَلّ,حال
تحوضه	NOTFOUND
تحوش	حاش,حَوَّش
تحوزه	حاز
تحميم	NOTFOUND
تحميدا	NOTFOUND
تحميد	NOTFOUND
تحملوا	تَحَمَّل,حَمَل-ِ,حَمَّل
تحمله	تَحَمُّل,تَحَمَّل,حَمَل-ِ,حَمَّل
تحملن	تَحَمَّل,حَمَل-ِ,حَمَّل
تحملاني	تَحَمَّل,حَمَل-ِ,حَمَّل
تحمدون	حَمِد-َ,حَمَّد
تحمحم	حَمْحَم
تحلوا	أَحَلّ,تَحَلَّى,حَلّ-ِ,حَلَى,حَلَّى,حَلِي-َ,حَلُو,حَلّ
تحلبها	حَلَب-ُِ,تَحَلَّب
تحققن	تَحَقَّق,أَحَقّ,حَقّ-ُِ,حَقَّق
تحقر	حَقُر,حَقَّر,حَقَر-ِ
تحفني	حَفَن,حَفّ,حَفِي-َ
تحفن	حَفَن,حاف-ِ
تحفلوا	حَفَّل,حَفَل-ِ
تحفظته	NOTFOUND
تحفز	حَفَز-ِ,تَحَفَّز,تَحَفُّز
تحفتهم	تُحْفَة
تحفة	حَفّ,تُحْفَة,حَفِي-َ
تحضنه	حاض-ِ,حَضَن
تحضرها	حَضَّر,أَحْضَر,حَضَر
تحضرني	حَضَّر,أَحْضَر,حَضَر
تحصوه	أَحْصَى,أَحَصّ
تحصنوا	تَحَصَّن,أَحْصَن,حَصَّن,حَصُن
تحصنا	تَحَصَّن,أَحْصَى,أَحْصَن,حاص-ِ,أَحَصّ,تَحَصُّن,حَصَّن,حَصُن
تحصدوهم	حَصَد-ُِ
تحصب	حَصَب-ُِ,حَصِب-َ,حَصَّب
تحشروا	تَحَشَّر,حَشَر-ُِ
تحشرهم	تَحَشَّر,حَشَر-ُِ
تحسر	تَحَسُّر,حَسَّر,حَسِر-َ,حَسَر,تَحَسَّر
تحسبوه	حَسَب,حَسِب-ِ
تحسبه	حَسَب,حَسِب-ِ,تَحَسُّب
تحسبنهم	حَسَب,حَسِب-ِ
تحسب	حَسَب,حَسِب-ِ,حَسُب,تَحَسَّب,تَحَسُّب
تحزنا	حَزَن,تَحَزُّن,حَزَّن,حَزّ,حاز,أَحْزَن,حاز-ِ,حَزِن-َ
تحزبون	حَزَّب,حَزَب
تحريكهن	تَحْرِيك
تحريكا	تَحْرِيك
تحريا	تَحَرَّى,أَحْرَى,حَرَى,تَحَرِّي
تحركوها	حَرَّك,تَحَرَّك
تحركت	تَحَرَّك
تحرقوه	حَرَّق,حَرَق-ِ,حَرَق,أَحْرَق
تحرقه	حَرَّق,حَرَق-ِ,حَرَق,أَحْرَق,تَحَرُّق
تحرسها	حَرَس
تحرزوا	حَرُز,حَرَّز,أَحْرَز,حَرَز,حَرِز,تَحَرَّز
تحرر	حَرَّر,حَرّ,تَحَرُّر,تَحَرَّر
تحرث	حَرَث-ُِ
تحذر	حَذَّر,تَحَذَّر,حَذِر-َ
تحدثوني	حَدَث,تَحَدَّث,أَحْدَث
تحجزه	حَجَز
تحثين	حَثّ,حَثا
تحتهم	حَتّ,تَحْتَ
تحتمله	ٱِحْتَمَل
تحتكم	حَتّ,تَحْتَ,ٱِحْتَكَم
تحتجمون	NOTFOUND
تحتج	ٱِحْتَجّ,ٱِحْتاج
تحتبسون	ٱِحْتَبَس
تحتب	ٱِحْتَبَى
تحتاج	ٱِحْتاج
تحبني	أَحَبّ,حَبّ-ِ,حَبا
تحبسين	حَبَس-ِ
تحبسونها	حَبَس-ِ
تحبان	أَحَبّ,حَبّ-ِ
تحاوركما	تَحاوُر,تَحاوَر,حاوَر
تحاملت	تَحامَل
تحالا	أَحال
تحاسبوا	تَحاسَب,حاسَب
تحاسبني	تَحاسَب,حاسَب
تحاذي	حاذَى,تَحاذَى
تحاج	حاجّ,تَحاجّ,حاجَى
تجيعه	أَجاع
تجيرني	أَجار,جَيَّر
تجيبوني	أَجاب
تجيب	أَجاب
تجيان	NOTFOUND
تجيئني	NOTFOUND
تجوزوا	جاز,جَوَّز,تَجَوَّز
تجوزها	جَوَّز,تَجَوَّز
تجوزت	تَجَوَّز
تجمعوه	تَجَمَّع,جَمَع-َ,جَمَّع,أَجْمَع
تجمعون	جَمَع-َ,جَمَّع,أَجْمَع
تجمعن	جَمَع-َ,تَجَمَّع,جَمَّع,أَجْمَع
