كاملة	آمِل,كامِل,أَمَل
يحلل	أَحَلّ,حَلّ-ِ,حَلَّل,حَلّ
يحقر	حَقُر,حَقَّر,حَقَر-ِ
يحطم	حَطَم-ِ,حَطَّم
يحدثني	حَدَث,أَحْدَث
يحتكر	ٱِحْتَكَر
يحتجم	NOTFOUND
يحبون	أَحَبّ,حَبّ-ِ,حَبا
يحافظ	حافَظ
يجعلوها	جَعَل-َ
يجزه	أَجاز,أَجْزَى,جَزّ,جَزَى-ِ
يتغوطون	تَغَوَّط
يتطوع	تَطَوَّع
يتزوج	تَزَوَّج
يتركه	تَرَك,تَرَّك
يتراجعان	تَراجَع
يتجاوز	تَجاوَز
يتاول	NOTFOUND
يبوء	باء,بَوَّأ
يبلغني	بَلَغ,بَلَّغ,أَبْلَغ
يبكين	بَكَى-ِ,بَكَّى,أَبْكَى,بَكِي-َ
يبكيان	بَكَى-ِ,بَكَّى,أَبْكَى,بَكِي-َ
يبعثون	بَعَث-َ
يبعثك	بَعَث-َ
يبسون	بَسّ
يبزق	بَزَق
يبايعه	بايَع
يباشر	باشَر
يؤذي	آذَى
يؤت	آتَى
ويمشي	أَمْشَى,مَشَّى,مَشَى-ِ
ويفيض	فاض-ِ,أَفاض
ويصومون	صام
ويد	يَد,وَدَى-ِ
ويثني	ثَنَّى,ثَنَى-ِ,أَثْنَى
ووقف	وَقَّف,وَقَف-ِ,وَقْف
ووعد	وَعْد,وَعَد-ِ
ووضعت	وَضَع
ونهاهم	نَها,نُهَى,نَهَى-ِ
ونهاني	نَها,نَهَى-ِ
ونكاح	نِكاح
ونظرت	نَظَر
ومنابت	مَنْبَت
ومسجدي	مَسْجِد
وماشيا	ماشَى,ماشِي
وليمته	أَمات,وَلِيمَة,مات
ولياليهن	لَيْلَة
وللوفد	وَفْد
ولله	اللّٰه
وللمقصرين	مُقَصِّر
ولقاؤك	لِقاء
ولرجل	رَجُل,رِجْل
ولذلك	ذٰلِكَ,لِذٰلِكَ,ذُلّ
ولحما	حَم,لَحَم,لَحِم-َ,لَحْم,لَحِم,لَحَّم
ولبست	لَبَّس,لَبِس-َ
وكلت	كال-ِ,كَلَت-ِ,لَتّ,وَكَّل,وَكَل-ِ
وكفارتها	فارّ,فارَة,كَفّارَة
وكرهه	كَرْه,كَرِه-َ,كَرَّه,كَرِه,كُرْه
وكذبوا	كَذَب-ِ,كَذَّب
وكاتبه	كاتِب,كاتَب
وكاءها	وِكاء
وقي	قِياء,وَقِيّ,وَقَى-ِ,وَقْي
وقم	قَمّ
وعمله	عُمْلَة,عَمِل-َ,عَمَل,عامِل
وعزل	أَعْزَل,عَزَل-ِ,عَزْل
وعاد	عادِي,عاد
وطهوره	طَهُور
وضلع	ضَلَّع,ضَلَع-َ,ضِلْع,ضَلْع
وشريح	NOTFOUND
وشبل	شِبْل
وسلسلت	سَلْسَل
وستون	سِتُّون,وَنَّى,وَنِي-َ,وَنّ-ِ
وسادتين	سَيِّد,سادّ,وِسادَة
وريح	رَيَّح,رَيِّح,رِيح
ورهنه	رَهَن-َ,رَهْن
ورمضان	رَمَضان
ورائكم	وَراءَ,وَراء,راء
وذكروا	ذَكَر,ذَكَّر
ودمه	دَمّ,دَم
ودفع	دَفْع,دَفَع-َ
ودعوا	وَدَع-َ,دَعّ-َ,دَعا,وَدَّع
وخروج	خُرُوج
وخذ	أَخَذ
وحيوة	حَيّا,حَيّ-َ
وحجا	حَجّ,حِجاً,حَجا
وحبس	حَبْس,حَبَس-ِ,حِبْس
وجدتها	وَجَد-ِ,جَدا,جِدَّة,جاد,جَدّ
وجاره	جار,وِجار
وجئت	جاء
وثم	ثَمَّ,ثُمَّ
وتصبح	أَصْبَح,صَبَّح
وتركوا	تَرَك,تَرَّك,رَكّ,رَكّ-ِ
وترجله	تَرَجَّل,رَجَّل,رَجِل-َ
وتؤمن	آمَن,أَمَّن
وبينهما	يِن,بَيَّن,بَيْنَ,بَيِّن
وبول	بُول,بَوَّل,بَوْل
وبقر	قَرّ,بَقَر
وبالمدينة	مَدِينَة,مُدِين,مَدِين
وبالله	اللّٰه
وايام	يَوْم
واوكوا	NOTFOUND
واوقفه	وَقَّف,أَوْقَف
وانكر	نَكَّر,نَكِر-َ,أَنْكَر
وانفق	نَفِق-َ,نَفَّق,أَنْفَق,نَفَق
وانجلت	ٱِنْجَلَى
وانتهي	ٱِنْتَهَى
وامروا	أَمَّر,أَمَرّ,آمَر,أَمَر
وامراته	آمِر
واليتيم	يَتِيم
والهدي	هَدْي,هُدَى
والمسكين	مِسْكِين
والمزر	مِزْر
والمحلل	مُحَلَّل,مُحَلِّل
والمحجوم	NOTFOUND
والمؤمن	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
والقليل	قَلِيل
والقدمين	قَدَم
والقائم	قائِم
والف	لاف,آلِف,أَلَفّ,أَلَّف,أَلِف-َ,أَلْفَى,آلَف,لَفّ,والَف,إِلْف,أَلِف,أَلْف
والعيون	عُيُون,عَيْن
والعلم	عِلْم,عَلَم
والعرق	عَرَق,عِرْق
والعافية	عافِيَة,عافِي
والركبتين	رُكْبَة
والرجز	رُجْز,رَجَز
والدم	دَمّ,دَم
والدراوردي	NOTFOUND
والخنزير	خِنْزِير
والخمس	خُمْس,خَمْس
والثيب	ثَيِّب
والبطشة	بَطْشَة
والانس	أُنْس,إِنْس
والاقط	أَقِط
والاخرون	آخِر,آخَر
والابتر	أَبْتَر
واقل	قَلّ-ِ,قَلا,قال,أَقال,قَلِي-َ,أَقَلّ,قَلَى-ِ
واغسله	غَسَل-ِ,غَسَّل
واعفاء	عَفِيف,إِعْفاء
واعف	عاف,عَفّ-ِ,أَعَفّ,عَفَّى,عاف-ِ,عَفا,أَعْفَى
واعطاني	أَعْطَى
واعتقيها	NOTFOUND
واظنه	ظَنّ
واضع	واضِع,ضاع-ِ,وَضَع,أَضاع,ضاع
واضاعة	إِضاعَة,أَضاع
واسمنه	سَمَّن,أَسام,أَسْمَن,سَمِن-َ
وازرة	أَزار,وَزَر-ِ,زَرَى-ِ,أَزْر,وازَر,آزَر,أَزَّر,أَزَر-ِ,زَرّ,زار,إِزار,وازِرَة,أَزْرَى
وارضا	أَرَّض,أَرْض
واربعون	أَرْبَعُون
واربعة	رَبَّع,أَرْبَع,رَبَع-َ
واربعا	أَرْبَع
واداء	أَداء
واخري	أُخْرَى,آخِر,آخَر
واحل	أَحَلّ,حَلّ-ِ,حَلَى,حَلَّى,أَحال,حَلِي-َ,حال,حَلُو,حَلّ
واجري	أُجْرَة,أَجْر,أَجْرَى,جَرَى-ِ,أَجْرِيّ
واتينا	آتَى,آتِي,أَتَى-ِ,واتَى
وابنة	آب,ٱِبْن,بَنَى-ِ,أَبان,أَبَّن
وابكي	بَكَى-ِ,بَكَّى,أَبْكَى,بَكِي-َ
وابت	آب,بَتّ,بات-ِ,أَبات,أَبّ,أَبَى-َ
هرب	هَرَّب,هَرَب
هر	هِرّ,هَرّ-ِ
نوم	نَوَّم,نائِم,نَوْم
نوقش	NOTFOUND
نواحي	ناحِيَة,نَوّاح,نَوْح
نهرا	نَهْر,نَهار,نَهَر-َ
ننظر	نَظَر
ننتظر	ٱِنْتَظَر
نكري	نَكِر,كَرا,نُكْر,كَرِي-َ,كَرَى-ِ,أَكْرَى
نكاحها	نِكاح
نقية	نَقِيّ,وَقَى-ِ
نقل	نَقَّل,قَلا,قَلّ-ِ,قال,أَقال,قَلِي-َ,أَقَلّ,قَلَى-ِ,نَقْل,نَقَل
نقشه	نَقْش,نَقَش,قَشّ,نَقَّش
نفعني	نَفَّع,نَفَع-َ
نعمل	عَمِل-َ,أَعْمَل
نعمتي	نَعْمَة,نِعْمَة
نعت	عَتا,نَعَى-َ,نَعْت,نَعَى-ِ,نَعَت-َ
نصومه	صام
نصفا	نَصَف,نِصْف,نَصَّف
نسمي	نَسَم,سَمَّى,أَسْمَى
نسككم	نُسُك,نَسْك,سَكّ,ساك
نسبا	نَسَب,نِسْبَة
نساءهم	نَسّاء,نِساء,نَساء
نساءنا	نِساء,نَسّاء,نَساء
ندم	أَدام,دَمّ,دام,دَمِي-َ,دَمَّى,نَدِم-َ,نَدَم,أَدْمَى
ندب	نَدَب,نَدِب-َ,داب,نَدْب,دَبّ-ِ
ناقوسا	ناقُوس
نازل	نازِل,نازَل
ناد	نادِي,ناد
نابكم	ناب,أَبَى-َ
ميتته	مَيِّت,مَيْتَة,مِيتَة
مولده	مُوَلِّدَة,مُوَلِّد,مَوْلِد,مُوَلَّد
موضعا	مَوْضِع
مواقيت	مِيقات
مواقع	مَوْقِع
منيحة	NOTFOUND
منكبه	مَنْكِب,مُنْكَبّ
منظرا	مُنَظِّر,مَنْظَر
منزلنا	مُنَزَّل,مُنْزَل,مَنْزِل
مندل	مَنْدَل
منح	مِنْحَة,مَنْح,مَنَح-َ
مملوكين	مَمْلُوك
مملك	مُمَلِّك,مُمِلّ
ممدود	مَمْدُود
ملكين	مَلِك
مقعدا	مَقْعَد,مُقْعِد,مُقْعَد
مقسطا	مُقْسِط
مقالتي	مَقال,مُقال
مغازيه	مَغْزَى,مَغْزاة
مضين	مَضَّى,مَضَى-ِ
مشيت	مَشَّى,مَشَى-ِ
مشركة	مُشْرِك
مشركا	مُشْرِك
مشاة	مَشّ,مَشَّى,ماشِي
مسيك	مَسِيك
مستلقيا	NOTFOUND
مستحاضة	NOTFOUND
مساكن	مَسَى,مَسْكَن,مَسَّى,مُساكِن,مَسّ-َ
مزامير	مِزْمار,مَزْمُور
مروق	مُرُوق
مرهونا	مَرْهُون
مرتدين	مُرْتَدّ
مربد	مُرَبَّد
مذهب	مَذْهَب,مُذَهَّب
مدينة	مَدِينَة,مُدِين,مَدِين
مداد	مِداد
مخلب	مِخْلَب
مخرفا	مُخَرِّف
مختوما	NOTFOUND
مخبر	مَخْبَر,مُخْبِر
مخافتك	مَخافَة
محشورون	NOTFOUND
محسر	NOTFOUND
مجوس	مَجُوس
مجدع	NOTFOUND
مثلك	مِثْل,مَثَل,مَثَّل
متقبلة	NOTFOUND
مبينا	مُبِين,مُبَيِّن
مؤتمن	مُؤْتَمَن
ليلتي	لَيْلَة
ليقطع	قَطَع-َ,قَطَّع,أَقْطَع
ليصلح	صَلُح,صَلَّح,أَصْلَح
ليسكت	سَكَت,أَسْكَت,سَكَّت
ليبلغ	بَلُغ,بَلَغ,بَلَّغ,أَبْلَغ
لميمونة	مَيْمُون
لمناديل	مَنْدِيل
للوارث	وارِث
للمحلقين	مِحْلَق
للغلام	غُلام
للغروب	غُرُوب
للعرب	عَرَبِيّ
للحديث	حَدِيث
للبراء	بَرِيء
للاسلام	إِسْلام
للارض	أَرْض
لكتاب	كُتّاب,كِتاب,كاتِب
لقومي	قَوْم,قَوْمِيّ
لقنوا	لَقِن-َ,لَقَّن,قَنَى-ِ,قَنا
لقطتها	لُقْطَة,لَقَط,قِطَّة,قَطّ,لَقَّط,لَقْطَة
لقتال	قَتّال,قِتال,قاتِل
لعنت	لَعَن-َ,عَنَت,عَنَى-ِ,عَنَّت,عَنَّى,عَنا,عَنِت-َ,عَنّ
لعب	لَعِب-َ,عَبّ,لَعْب
لسبيله	سَبِيل
لدني	دَنِيّ,دَنِي-َ,لَدْن,دَنَّى,أَدْنَى,لَدُن,لَدُنِيّ,لَدّ
لدعوت	دَعا
لحسان	حَسَن
لثابت	ثاب,ثابِت
لبنها	بُنّ,لِبْن,لَبِنَة,لاب,لَبَن,بَنْها
لبحرا	بَحِر-َ,بَحْر,بَحَّر
لاوتين	NOTFOUND
لاهلك	هَلَّك,هَلَك,هَلّ-ِ,أَهْلَك,أَهْل,أَهَلّ,آهِل
لاني	وَنَى-ِ,آن,آنِيّ,لِأَنَّ,أَنَى-ِ,أَنَى
لامراتي	آمِر
لاقتلنهم	NOTFOUND
لاحللت	أَحَلّ
لاتصدقن	صَدَق,صَدَّق
لاتخذنا	ٱِتَّخَذ
كيس	كَيْس,كَيِّس,كِيس,أَكْيَس,كَيَّس
كوكب	وَكْب,كَوْكَب
كهيئتكم	هَيْئَة
كهذ	NOTFOUND
كنيسة	كَنِيس,كَنِيسَة
كنوزهما	كَنْز
كمل	كَمَّل,كَمَل,مَلّ,كَمِل-َ
كلابك	كُلّاب,كَلْب
كسرة	كَسْرَة,كِسْرَة,كَسْر,سُرّ,كَسَر-ِ,سِرّ,سُرَّة,كَسَّر
كريز	كُرَيْز
كرسي	كُرْسِيّ
كثبة	كَثَب,كَثِيب
كث	كَثّ-ِ,كَثّ
كتبها	كِتاب,كَتَب
كبار	بارّ,كَبِير
كالكير	كِير
كافي	كاف,كافِي,أَفِي,كافَى
كائنا	كائِن
قود	قَوْد,قَوَد,قائِد
قوتا	قَوَّى,قَوَّت,قُوت,قُوَّة
قوائم	قائِمَة
قنفذ	قُنْفُذ
قمن	قام,قَمِن
قليلة	قَلِيل
قسامة	قَسّام,قَسام,قَسامَة
قري	قَرْيَة,قِرَى,قَرّ,قَرَى-ِ
قربي	قِراب,قُرْبَى,قُرْب,قِرْبَة,قِرْبِيّ,قُرْبَ
قرؤك	قُرْء
قرءوا	NOTFOUND
قديد	قَدِيد
قبائل	قَبِيلَة,قَبائِل
قاضيا	قاضَى,قاضِي
قاتلتموه	قاتَل
قاب	قاب
قائمكم	قائِم
فيكسر	كَسَر-ِ,كَسَّر
فيصبح	أَصْبَح,صَبَّح
فيشربوا	أَشْرَب,شَرِب-َ,شَرَّب
فيرسل	أَرْسَل
فيختم	خَتَم-ِ
فيحصي	أَحْصَى
فيحبه	أَحَبّ,حَبّ-ِ,حَبا
فيجلس	جَلَس-ِ,أَجْلَس
فيتصدق	تَصَدَّق
فيامر	أَمَر
فياض	فَيّاض
فوقصته	وَقَص-ِ
فوضعوا	وَضَع
فوجدناه	وَجَد-ِ
فها	ها
فنسيت	نَسِي-َ
فنحرت	نَحَر
فنبذ	نَبَذ-ِ,نَبَّذ,نُبْذَة,بَذّ,نَبْذ
فناداهم	نادَى,ناد
فناتي	أَتَى-ِ
فمكثنا	مَكْث,مَكَث
فليلحق	أَلْحَق,لَحِق-َ
فليقرا	أَقَرّ,قَرّ-َِ,وَقَر-ِ
فليرجع	أَرْجَع,رَجَّع,رَجَع-ِ
فليذهب	أَذْهَب,ذَهَب-َ,ذَهَّب
فليدع	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
فليؤمهم	NOTFOUND
فلقينا	لَقِي-َ,قِياء,فَلْق
فلبس	لَبَّس,لَبِس-َ,لَبْس,لِبْس
فلاعن	أَعان,لاعَن,عَنّ
فكوني	كَوْنِيّ,كَوْن,كان,فَكّ,وَنَى,وَنّ
فكلاهما	كُلْوَة,كِلا
فكسرها	كَسْر,سُرّ,كَسَر-ِ,سِرّ,كَسَّر
فكبرنا	بُرّ,بَرّ,بِرّ,كِبْر,كِبَر,كُبْر,كَبَّر,كَبَر
فقعدت	قَعَد,قَعَّد
فقرئت	NOTFOUND
فقدها	قَدّ,فَقْد,قُدّ,فَقَد-ِ,قِدّ
فقاما	قام
ففني	فَنِّيّ,فَنّ,فَنِي-َ
فغدوا	غَدِي-َ,غُدُوّ,غَدا,غَدَّى
فعلتم	فَعَل-َ,عال-ِ,عال
فعدت	عَدّ,عَدَّى,عَدا,عاد
فظننا	ظَنّ,ظِنَّة
فطلبوا	طَلَب
فطفقت	طَفِق-َ
فطعنه	طَعَن-َ,طَعْن,طاع,طَعْنَة
فطعنته	طَعَن-َ,طَعْنَة
