الجنين	جَنِين
سراويل	سِرْوال
سد	سَدّ-ِ,سَدّ,سُدّ
سخطك	سُخْط
زعفران	زَعْفَران
زدني	NOTFOUND
زبد	زَبَد,زُبْدَة,زُبْد,زَبَّد
رياض	رِياض,رَوْضَة
رفعهما	رَفَّع,رَفَع-َ,رَفْع
رطبا	رَطْب,رَطُب,رَطَّب,رَطِب-َ,رُطَب
رسلك	رِسْل,رَسْل,رَسُول
راوها	NOTFOUND
دعوتي	دَعْوَة
دخلوا	دَخَل
خيرها	خَيْر,خَيِّر,خَيَّر
خيرنا	خَيْر,خَيِّر,خَيَّر
خيارهم	خَيْر,خِيار
خويلد	NOTFOUND
خفة	خِفَّة,خُفّ
خشيش	NOTFOUND
خشي	خَشِي-َ,خَشَّى
خشبة	خَشَب
خشاش	خِشاش
خبث	خُبْث,خَبَث,خَبُث
خالصا	خالَص,خالِص
حوتا	حَوَى-ِ,حُوت
حظ	حَظّ-َ,حَظّ
حسنهن	حَسَّن,حَسَن,حُسْن
حسبك	حَسْبَ,حَسَب,حَسْب,حَسِب-ِ
حدثتها	حَدَث
حجك	حَجّ
حبرة	حَبْر,حَبَرَة,حَبَّر,حِبْر,حَبَر
جنون	جُنُون
جناب	جَناب
جمعوا	جَمَع-َ,جَمَّع
جعلها	جَعَل-َ,جُعْل,جَعْل
جدك	جَدّ,جِدّ
جبرائيل	جَبْرَئِيل
توليت	تَوَلَّى
تولوا	تَوَلَّى,وَلَّى,أَوْلَى
تمت	تَمّ-ِ,تام,مات,مَتّ,أَمات
تقوموا	قَوَّم,قام
تقم	قام,قَمّ,أَقام
تقدر	قَدَّر,قَدِر-َ,قَدَر,قَدَر-ِ
تعلموا	أَعْلَم,عَلَّم,تَعَلَّم,عَلِم-َ
تعرفون	عَرَف-ِ,عَرَّف
تطليقة	NOTFOUND
تشرب	شَرِب-َ,تَشَرُّب,شَرَّب,تَشَرَّب,أَشْرَب
تسلم	سَلَّم,أَسْلَم,تَسَلَّم,سَلِم-َ,تَسَلُّم
تسحروا	سَحَّر,تَسَحَّر,سَحَر-َ
تستحاض	NOTFOUND
تسالوا	أَسال
تدعون	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
تخلفت	تَخَلَّف
تجري	أَجَرّ,جَرّ,أَجْرَى,جَرَى-ِ
تتوبا	تاب,تَوَّب
تبني	تَبّ-ِ,بَنَى-ِ,تِبْن,أَبان,تَبَنَّى,تَبَنِّي,تِبْنِيّ
تباغضوا	باغَض,تَباغَض
بيعتي	بِيعَة,بَيْعَة
بمعروف	مَعْرُوف
بمثلها	مَثَل,مِثْل
بلغوا	بَلَّغ,بَلُغ,بَلَغ
بلغك	بُلْغَة,بَلَّغ,بَلَغ
بعذاب	عَذاب
بعتبة	عَتَبَة,عَتْب
بظلم	ظُلْم
بطحان	طَحّان
بسيفيهما	سَيْف,سِيف
برحمة	رَحِم,رَحْمَة
برا	بَرّ-ِ,بِرّ,بُرّ,بَرّ
بحده	حِدَة,حِدَّة,حَدّ
بالهاجرة	هاجِرَة
بالمؤمنين	مُؤَمَّن,مُؤْمِن,مُؤَمِّن
بالصوم	صَوْم,صائِم
بالذين	الَّذِي
بالتراب	تُراب
بالباب	باب,لَبَب,لُبّ
بافضل	أَفْضَل
باسمه	باسِم,ٱِسْم
اياك	إِيّا
اوسط	وَسَّط,أَوْسَط
اهلا	أَهْل,آهِل,أَهَلّ
انكرت	أَنْكَر
الهذا	NOTFOUND
النميري	نُمَيْرِيّ
النعمة	نِعْمَة,نَعْمَة
الموسم	مَوْسِم
المضمضة	مَضْمَضَة
المصحف	مُصْحَف
المستمر	مُسْتَمِرّ
المسائل	مَسْأَلَة
المدثر	NOTFOUND
المحبق	NOTFOUND
المجمر	NOTFOUND
المجاهد	مُجاهِد
المجئ	NOTFOUND
المتاع	مَتاع
الكير	كِير
الكماة	كَمِيّ
الكعبي	كَعْبِيّ
الكاذبين	كاذِب
القوة	أَلْقَى,أَلَق-ِ,قُوَّة
القدمين	قَدَم
الفواحش	فاحِشَة
الفهري	NOTFOUND
الفردوس	فِرْدَوْس
الغراب	غُراب
الغداء	غَداء
الغاشية	غاشِيَة
العواتق	عاتِق
العنق	عُنْق
العمائم	عِمامَة
العقرب	عَقْرَب
العذرة	عُذْرَة
العجماء	أَعْجَم,عَجْماء
الطين	طِين
الطور	طَوْر
الضبع	ضَبْع
الصليب	صَلِيب
الشعاب	شِعْب,شُعْبَة
السميع	سَمِيع
الزيت	زَيْت
الرقاع	رَقّاع,رُقْعَة
الرباب	رَباب
الخمرة	خَمْرَة
الخبط	خَبْط,لَخْبَط
الحليم	حَلِيم
الحلم	حُلْم,حَلَم,حُلُم,حِلْم
الحقة	أَلْحَق,حُقَّة,لَحِق-َ
الحصن	حِصان,حِصْن
الحصبة	حَصْبَة
الجهل	جَهْل,جاهِل
الجانب	جانِب
الجار	جار
التمار	NOTFOUND
التلبية	تَلْبِيَة
الترمذي	تِرْمِذِيّ
التامة	تامّ
البلد	بَلَد
الباءة	لَبِيب
الامور	أَمْر
الام	أَلَم,أُمّ,أَلام
الاسماء	ٱِسْم
الازد	NOTFOUND
الاحد	أَحَد,أَحَدّ
الاجدع	أَجْدَع
اكتوي	ٱِكْتَوَى
اقسمت	أَقْسَم
افقه	فاق,أُفُق,فَقَّه,فَقِه-َ,أَفاق,أَفْقَه,فَقُه
اغنيائهم	غَنِيّ
اعقل	عَقَل-ِ,أَعْقَل,عَقَّل
اطف	طاف,طاف-ِ,أَطاف,طَفا
اطاعوا	أَطاع
اشراف	إِشْراف,شَرِيف
اشراطها	شَرَط
اشدد	شَدّ-ُِ,شَدَّد
اشتروا	ٱِشْتَرَى
اسير	أَسار,أَسِير,سَيَّر,سار-ِ
اسقنا	أَسْقَى,وَسَق-ِ,ساق,سَقَى-ِ
استسقي	ٱِسْتَسْقَى
استحييت	ٱِسْتَحْيَى
ازارا	إِزار,أَزار
ارني	رَأَى-َ,وَرَى-ِ,رَنَّى,أَرْنَى
اردف	أَرْدَف,رَدِف-َ,رَدَف
اربعمائة	أَرْبَعمائَة
ادعهم	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
اخوه	خَوَى-ِ,آخَى,أَخ,أُخُوَّة,خَوِي-َ
اخراها	آخَر,أُخْرَى,آخِر
اخذتم	أَخَذ,آخَذ,أَخَّذ
اختر	ٱِخْتار,خَتَر-ِ
احتج	ٱِحْتاج,ٱِحْتَجّ
اجورهم	أَجْر,جار
اجعله	جَعَل-َ
اجرهم	آجَر,أَجار,أَجَّر,أُجْرَة,أَجْر,جَرّ,أَجَرّ,جار,أَجَر,أَجْرَى,جَرَى-ِ
اجرنا	آجَر,أَجار,أَجَّر,أُجْرَة,أَجْر,جَرّ,أَجَرّ,جار,أَجَر,أَجْرَى,جَرَى-ِ
اجرك	آجَر,أَجار,أَجَّر,أُجْرَة,أَجْر,جَرّ,أَجَرّ,جار,أَجَر,أَجْرَى,جَرَى-ِ
اثرها	أَثَر,آثَر,ثَرّ,أَثَّر,إِثْرَ,أَثْر,أَثَر-ُِ,أَثِر,ثار,وَثَر-ِ,ثَرِي-َ,أَثار,أَثْرَى
اتصدق	تَصَدَّق
ابينا	أَبْيَن,بَيَّن,أَبَى-َ,أَب,أَبِيّ,آبِي
ابوالها	بَوْل
ابجر	أَبْجَر
يوافقها	وافَق
ينهض	ٱِنْهَضّ,أَنْهَض,نَهَض-َ
ينهانا	نَهَى-ِ
ينكحوا	أَنْكَح,نَكَح-َُِ
ينفعني	نَفَّع,نَفَع-َ
يلونه	وَلِي-ِ,لَوَّن
يلبسه	لَبَّس,لَبِس-َ,أَلْبَس
يكشف	كَشَف-ِ
يكرهون	كَرِه-َ,كَرُه,كَرَّه,أَكْرَه
يقومون	قَوَّم,قام
يقتله	قَتَل,قَتَّل
يقتلن	قَتَّل,قَتَل
يقام	أَقام
يفيضون	فاض-ِ,أَفاض
يغنيه	أَغْنَى,غَنَّى
يغني	أَغْنَى,غَنِي-َ,غَنَّى
يعقد	عَقَّد,عَقَد-ِ
يعده	عَدّ,عَدَّى,أَعْدَى,عاد,أَعاد,عَدا,وَعَد-ِ,أَعَدّ
يظما	NOTFOUND
يصعد	صَعِد-َ,أَصْعَد,صَعَّد
يصبر	صَبَّر,صَبَر-ِ
يشهدوا	أَشْهَد,شَهِد-َ
يسالونه	NOTFOUND
يرقا	أَرَقّ,رَقّ-ِ
يرفعون	رَفَّع,رَفَع-َ
يرضي	أَرْضَى,رَضَّى,رَضِي-َ
يرثني	وَرِث-ِ,رَثا,راث-ِ,رَثَى,راث
يدخلن	أَدْخَل,دَخَل
يخيل	خَيَّل,أَخال
يختم	خَتَم-ِ
يحلوا	أَحَلّ,حَلُو,حَلّ-ِ,حَلَى,حَلَّى,حَلِي-َ,حَلّ
يحسن	حَسَّن,حَسُن,أَحْسَن
يجلد	جَلِد-َ,جَلَّد,أَجْلَد,جَلَد-ِ,جَلُد
يجده	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جاد,أَجاد
يبلغوا	بَلَّغ,أَبْلَغ,بَلُغ,بَلَغ
يبغض	بَغِض-َ,بَغَّض,أَبْغَض,بَغُض
يامرهم	أَمَر
ياتيك	أَتَى-ِ
ياتون	أَتَى-ِ
يؤمهم	NOTFOUND
ويهل	أَهال,هال,هال-ِ,هَلّ-ِ,أَهَلّ
ويرجع	رَجَّع,رَجَع-ِ,أَرْجَع
ويخرج	خَرَج,خَرَّج,أَخْرَج
ونية	نِيّ,نَيّ,نِيَّة
ونورا	نُور,نَوَر,نُورا,نَوَّر
ونهيتكم	نُهْيَة,نَهَى-ِ,هَيَّت
ونم	نَمّ
وميمونة	مَيْمُون
ومنبري	مِنْبَر
ومد	مَدّ,وَمِد
وماؤها	ماء
وكفيه	كَفّ,كَفِيّ
وكتبت	كَتَب,تِبِت
وقولوا	قال
وقسم	قِسْم,قَسَّم,قَسَم-ِ,قَسَم
وعملوا	عَمِل-َ
وعبيدة	عَبْد,عُبَيْدَة,عُبَيْد
وطاتك	NOTFOUND
وضوءك	وُضُوء,ضَوْء,وَضُوء
وسنة	وَسَن,وَهَى-ِ,وَسِن,سِنّ,سَنَة,سَنّ,سُنَّة,وَسِن-َ
وسق	وَسْق,وَسَق-ِ
وسائر	سائِر,وَأَر
ورسله	رِسْل,رَسْل,رَسُول
ورس	وَرْس
ورثتك	وَرِث-ِ,رَثا,رِثَّة,وارِث,راث-ِ,وَرَّث,رَثَى,راث,رَثّ
ود	وَدّ-َ,د,وُدّ
وخلف	خَلْف,خُلْف,خَلْفَ,خِلْف,خَلَف,خَلَّف,خَلْفُ
وخرجنا	خَرَج,خَرْج,خَرَّج
وخالتها	خالّ,خال-َ,خالَة
وحمد	حَمِد-َ,حَمْد,حَمَّد
وحسين	حُسَيْن
وجعلنا	جَعَل-َ,جُعْل,جَعْل
وجدناه	وَجَد-ِ,جاد
وتقوم	قَوَّم,قام
وتصديق	تَصْدِيق
وتركت	تَرَك,تَرَّك
وتب	تَبّ-ِ
وبلغني	بَلَّغ,بَلَغ
وايكم	أَيّ
وانطلقت	ٱِنْطَلَق
وامية	أُمِّيَّة,أُمِّيّ,أَماه
وامسك	مَسَى,مَسَّى,مَسَك,ماس-ِ,أَمْس,أَمَسّ,مَسَّك,أَمْسَك,أَمْسَى,وَمَس-ِ,مَسّ-َ
والملامسة	مُلامَسَة
والمؤمنين	مُؤَمَّن,مُؤْمِن,مُؤَمِّن
والطين	طِين
والحنطة	حِنْطَة
والحزن	حَزْن,حُزْن
والجهاد	جِهاد
والبكر	بَكْر,بِكْر,بَكْرَة
والبانها	أَلْبانِيّ,لَبَن
والاول	أَوَّل
والاخرين	آخَر,آخِر
واقفا	واقِف
وافطروا	أَفْطَر
وافضل	فَضَّل,فَضَل,أَفْضَل
وارزقني	رَزَق
وارجو	رَجا
وادخروا	ٱِدَّخَر
واجابة	جابَه,أَجاب,إِجابَة
واتيت	واتَى,آتَى,أَتَى-ِ
واتاه	واتَى,أَتاه,آتَى,أَتَى-ِ
وابصة	بَصّ-ِ,بَصّ
وابدا	أَبَّد,آبِد,أَبَد-ِ,أَبَد
هرم	هَرِم-َ,هَرِم,هَرَّم,هَرَم
نعوده	عاد,عَوَّد
نصنع	صَنَّع,صَنَع-َ
نصبا	نَصَب,نَصِب-َ,نَصَّب,نُصْب,نَصْب
نشرك	شَرِك-َ,أَشْرَك,وَشَر-ِ,نَشَر,شَرَى-ِ,نَشْر,أَشار,نَشَّر
نسخت	نَسَخ-َ
نزله	زال-َ,نَزِل-َ,نَزَل-ِ,أَزال,نَزْل,أَزَلّ,نَزْلَة,نُزْل,زال,نَزَّل,زَلّ-َِ
نذير	نَذِير
نحوها	نَحا,حَوَى-ِ,نَحْو,نَحَّى,نَحَى,نَحْوَ
نحلف	حَلَف-ِ,حَلَّف
موقوف	مَوْقُوف
موضعه	مَوْضِع
مهلا	مَهَّل,مَهْل,مَهَل-َ
مملوكا	مَمْلُوك
مم	مِمَّ,ملم
ملازم	مُلازِم,مَلْزَمَة,مِلْزَمَة
ملئ	مَلْء,مَلِئ-َ
مكاني	مَكان,مَكانِيّ
مقال	مِقْلَى,مَقال,مُقال
مفاتيح	مِفْتاح
مغيث	مُغِيث
معا	مَعَ
مسير	مُسَيِّر,مُسَيَّر,مَسِير
ليت	لَيْتَ
للبائع	بائِع
لقومه	قَوْم,قَوَّم,قَوْمَة
لعمل	عَمَل,عَمِل-َ
لعبيد	عَبْد,عُبَيْد
لحفصة	NOTFOUND
لبستين	بَسَّة
لاول	أَوَّل,أُول
لابد	أَبَّد,آبِد,بُدّ,أَبَد-ِ,أَبَد,بَدّ
كيل	كَيْل,كَيَّل
كتف	كِتْف,كَتِف,كَتَّف,كِتاف,أَكْتَف,كَتَف-ِ,تُفّ
كاوابد	آبِدَة
كائنة	كائِن
قميصا	قَمِيص
قلتم	قال
قصعة	قَصَع-َ,قَصْعَة
قتالا	قَتّال,قِتال,قاتِل
قبلته	قِبْلَة,قَبِل-َ,قَبَّل,قُبْلَة
قبلتنا	قِبْلَة,قَبِل-َ,قَبَّل,قُبْلَة
فيكتب	أَكْتَب,كَتَب
فيعلو	عَلا
فيرغب	رَغِب-َ
فوضعته	وَضْعَة,وَضَع
فوافق	وافَق
فنهوا	نَها,نَهَى-ِ,نَهْو
فنهانا	نَها,نُهَى,نَهَى-ِ
فمكثت	مَكَث
فمرنا	مار,مار-ِ,مَرَن,مَرِن,مَرَّن,مَرّ,مُرّ
فليعد	عَدّ,عَدَّى,أَعْدَى,عاد,أَعاد,عَدا,وَعَد-ِ,أَعَدّ
فليات	أَتَى-ِ
فلولا	لَوْلا,فَلّ
فقهاء	فَقِيه
فقم	فَقِم-َ,فَقْم,فُقَّم,قَمّ,فَقُم
فقسم	قِسْم,قَسَم-ِ,قَسَّم,قَسَم
ففزع	فَزَع,فَزِع,فَزَّع,فَزِع-َ
ففتحت	فَتَح-َ
فغضبت	غَضِب-َ
فعلنا	عَلَن,فِعْل,فَعَل-َ,عَلَّ,عال-ِ,عال,عَلِن
فعرفتها	عَرَفَة,عَرَف-ِ,عَرَّف
فطفت	طاف,طاف-ِ,طَفا
فشكت	شَكا,شَكّ,شاك
فسوف	سَوَّف,سَوْفَ
فسل	سَلّ,سِلّ,فَسْل
فسجدوا	سَجَد
فرطكم	فَرْط,فَرَط,فَرَّط
فرط	فَرْط,فَرَط,فَرَّط
فردها	رَدّ,فَرْد,فَرَّد
فرجمها	رَجَّم,رَجْم,رَجَم,رُجْمَة
فراشك	راش,فَرّاش,فِراش
