تخطئه	أَخْطَأ,خَطَّأ
الاسكاف	إِسْكاف
الاسقام	سُقْم
الاستماع	ٱِسْتِماع
الازواج	زَوْج
الارز	رُزّ,أَرْز
الارحبي	NOTFOUND
الاديم	أَدِيم
الاداء	أَداء
الاخدعين	NOTFOUND
الاخ	أَخ
الاحمال	حِمْل
الاحتباء	NOTFOUND
الاحبار	حَبْر
الاثرم	NOTFOUND
الاتبية	NOTFOUND
الابقع	أَبْقَع
الابعد	أَبْعَد
اكمل	كَمَّل,كَمَل,أَكْمَل,كَمِل-َ
اكما	أَكَمَة
اكلهما	أَكَّل,آكِل,آكَل,كال-ِ,أُكُل,أَكَلّ,أَكَل,أَكْل,وَكَل-ِ
اكلفوا	NOTFOUND
اكلته	آكِل,أَكَّل,آكَل,كَلَت-ِ,أَكَلّ,أَكَل,آكِلَة,أَكْلَة,إِكْلِيل
اكفيكماها	NOTFOUND
اكسنيها	NOTFOUND
اكحالكم	كُحْل
اكتبها	أَكْتَب,كَتَب
اقيما	أَقام
اقيش	NOTFOUND
اقلع	أَقْلَع,قَلَع-َ,قَلَّع
اقطارها	قُطْر
اقصاهم	أَقْصَى
اقروا	أَقَرّ
اقرصيه	NOTFOUND
اقرارها	إِقْرار
اقرئ	أَقْرَأ
اقدمك	قَدِم-َ,أَقْدَم,قَدَّم
اقحطت	أَقْحَط
اقتسموا	ٱِقْتَسَم
اقتديت	ٱِقْتَدَى
اقتده	ٱِقْتَدَى,ٱِقْتاد,ٱِقْتَدّ
اقتحم	ٱِقْتَحَم
اقتتلا	ٱِقْتَتَل
اقتبس	ٱِقْتَبَس
اقامني	أَقام
اقاتلهم	قاتَل
افهمني	فَهِم-َ,أَفْهَم,فَهَّم
افكان	إِفْك
افقههما	فَقِه-َ,أَفْقَه,فَقَّه
افظع	فَظُع
افضلهم	أَفْضَل,فَضَّل
افضلكم	أَفْضَل,فَضَّل
افرايتم	NOTFOUND
افجر	فَجَر,فَجَّر
افتيناه	أَفْتَى
افتنا	ٱِفْتَنّ,فَتّ,أَفْتَن,فات,آفَة,فَتَن-ِ,أَفْتَى,فَتِي-َ
افتقدت	ٱِفْتَقَد
افتتن	ٱِفْتَتَن,ٱِفْتات
افتتاح	ٱِفْتِتاح
افتاها	آفَة,أَفْتَى
افاقضيه	NOTFOUND
افاصلها	فاصَل
اغنيتك	أَغْنَى,أُغْنِيَة
اغفاءة	إِغْفاء
اغضبك	أَغْضَب
اغصانها	غُصْن
اغروا	أَغْرَى
اغد	غَدِي-َ,غَدا,غَدَّى
اغتصبنيها	NOTFOUND
اغتسلتم	ٱِغْتَسَل
اغتال	ٱِغْتال
اغارت	أَغار
اعيان	عَيْن
اعواد	عُود
اعندك	NOTFOUND
اعمله	عَمِل-َ,أَعْمَل
اعمد	عَمَّد,عَمَد-ِ
اعمالها	عَمَل
اعلاج	NOTFOUND
اعقله	أَعْقَل,عَقَّل
اعفاء	عَفِيف,إِعْفاء
اعظمها	أَعْظَم,عَظَّم
اعطيتكه	NOTFOUND
اعطاء	إِعْطاء
اعرضوا	أَعْرَض
اعذرك	أَعْذَر,عَذَر-ِ
اعدهن	عَدّ,عَدَّى,أَعْدَى,أَعاد,عَدا,وَعَد-ِ,عاد,أَعَدّ
اعدلوا	NOTFOUND
اعدد	عَدّ,عَدَّد,أَعَدّ
اعجلت	أَعْجَل
اعجبتني	أَعْجَب
اعبدوا	NOTFOUND
اعانه	أَعان,إِعانَة,عانَى
اعاذه	أَعاذ
اعاده	عادَى,أَعاد,إِعادَة
اظنها	ظَنّ
اظفارك	ظُفُر
اطمان	أُطُم
اطلقكن	طَلَق,طَلَّق,أَطْلَق
اطلعاني	أَطْلَع,ٱِطَّلَع
اطلاعة	ٱِطِّلاع
اطعمته	أَطْعَم,طَعام
اطرا	أَطَّر,أَطَر-ُِ,إِطار
اطام	أُطُم,أُطام
اطالتها	إِطالَة,أَطال
اطاف	أَطاف
اضمرت	أَضْمَر
اضمدهما	ضَمَد,ضَمَّد
اضطرت	ٱِضْطَرّ
اضطرب	ٱِضْطَرَب
اصليتم	أَصْلَى
اصلحك	صَلَّح,أَصْلَح
اصغرهما	أَصْغَر,صَغَّر
اصطلح	ٱِصْطَلَح
اصطبح	NOTFOUND
اصدقهم	أَصْدَق,صَدَّق
اصدقت	NOTFOUND
اصحابا	صاحِب
اصبب	صَبّ,صَبّ-َ
اصابعي	إِصْبَع
اشقه	شَقّ,شَقا,شَقِي,أَشْقَى,شاق,شَقِيق
اشقاها	أَشْقَى
اشفه	أَشْفَى,شَفَى,شاف
اشعرها	شَعَر,أَشْعَر
اشرفوا	أَشْرَف
اشرع	شَرَّع,شَرَع-َ,أَشْرَع
اشرافنا	إِشْراف,شَرِيف
اشداقنا	شِدْق
اشتهينا	ٱِشْتَهَى
اشتركت	ٱِشْتَرَك
اشترطت	ٱِشْتَرَط
اشتراها	ٱِشْتَرَى
اشبهه	شَبَّه,أَشْبَه
اشبهت	أَشْبَه
اشام	NOTFOUND
اسواط	سَوْط
اسهلن	أَسْهَل
اسلفت	أَسْلَف,سَلْفَت
اسكفة	أُسْكُفَّة
اسكتي	NOTFOUND
اسقيك	سَقَى-ِ,أَسْقَى
اسف	آسَف,سَفَى-ِ,أَسَف,أَسْفَى,آسِف,أَسَفّ,أَسِف-َ
اسعي	سَعَى-َ
اسطر	سَطْر,سَطَّر,سَطَر
اسره	أُسْرَة,سُرّ,أَسَر-ِ,سَرَى-ِ,سَرَّى,سار-ِ,أَسار,أَسَرّ,سَرّ,أُسْر,أَسْرَى,أَسْر
اسرقت	NOTFOUND
اسرفت	أَسْرَف
اسرعا	أَسْرَع
اسدا	أَسَدّ,أَسَد
اسحق	سَحَق-َ,سَحُق,إِسْحاق,سَحَّق,سَحِق-َ
استيقنوا	ٱِسْتَيْقَن
استيقاظا	ٱِسْتِيقاظ
استياس	NOTFOUND
استهما	آسَى,ٱِسْت,أَسا,أَسَّى
استن	ٱِسْتَنّ
استمكنوا	ٱِسْتَمْكَن
استمسك	ٱِسْتَمْسَك
استكرهها	ٱِسْتَكْرَه
استكثرته	NOTFOUND
استقيموا	NOTFOUND
استقرئوا	NOTFOUND
استفتيه	ٱِسْتَفْتَى
استفتته	ٱِسْتَفْتَى
استفاد	ٱِسْتَفاد
استعملناه	ٱِسْتَعْمَل
استطعتن	ٱِسْتَطاع
استضفناكم	ٱِسْتَضاف
استشهدت	ٱِسْتَشْهَد
استزيده	ٱِسْتَزاد
استزاد	ٱِسْتَزاد
استحيي	ٱِسْتَحْيَى
استحلفته	ٱِسْتَحْلَف
استحر	ٱِسْتَحَرّ
استحبوا	ٱِسْتَحَبّ
استحبابا	NOTFOUND
استجمرت	NOTFOUND
استتر	ٱِسْتَتَر
استاههم	سَتْه
استاذنوني	NOTFOUND
اسبه	سَبّ,ساب-ِ,سَبَى-ِ
اسبح	سَبَّح,سَبَح-َ
اسالهم	أَسال
اسالها	أَسال
ازوره	أَزْوَر,زار,ٱِزْوَرّ,زَوَّر
ازوادهم	أَزْواد
ازواد	أَزْواد
ازرع	زَرَع-َ
ازديا	NOTFOUND
اريها	وَرَى-ِ,أَري,آرِيّ
اريناك	NOTFOUND
ارواحنا	رُوح,رِيح
ارواحكم	رُوح,رِيح
ارملوا	أَرْمَل
اركان	رُكْن,إِرْكان
