ناخذ	أَخَذ
الاموال	مال
الاظفار	ظُفُر
افقر	فَقُر,أَفْقَر
افترض	ٱِفْتَرَض
اعطاني	أَعْطَى
اسلموا	أَسْلَم
استقبلت	ٱِسْتَقْبَل
ازاري	إِزار
اراني	رَأَى-َ
اراكم	رَأَى-َ,راكَم
ارادوا	أَراد
ادلك	أَدَلّ,دَلَك,دَلّ,دال,أَدْلَى,دَلَّى,دَلَّك,أَدال
ابصارهم	إِبْصار,أَبْصار
ابالي	بالَى
يفيض	فاض-ِ,أَفاض
يطيل	أَطال
يستسقي	ٱِسْتَسْقَى
يرمون	رَمّ-ِ,وَرِم-ِ,رَمَى-ِ,رَمّ
يحدثه	حَدَث,أَحْدَث
يجدوا	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جَدّ-ِ
ويدعو	دَعا
ونسيت	نَسِي-َ
ومجاهد	مُجاهِد
ولكم	لَكَم,كَم,لِ-,لَكْم,كَمّ
وقتادة	قَتادَة,قَتاد
وضعها	وَضْع,وَضَع
وصالح	صالِح,صالَح
وشرب	شَرِب-َ,شُرْب,شَرَّب
وسوء	سُوء
وساله	لَهِي-َ,وَلِه-َِ,لَها,سال-ِ,أَلْهَى,وَلِي-ِ,لَهَّى
وحول	حَوْلَ,حَوَّل,حَوْل,وَحْل
وجلس	جَلَس-ِ
وبشره	بُشْر,بَشَر-ِ,شَرّ,بِشْر,شِرَّة,بَشَر,بَشَّر,بُشْرَة,بَشِر-َ,بَشَرَة,شَرِه,شَرَه
وامه	أَماه,أُمَّة,أَمَة,ماه-و,أُمّ
والعبد	عَبْد
والدار	دار,دارّ
والجبن	جُبُن,جُبْن
والبراء	بَرِيء
والانثي	أُنْثَى
وال	إِل,آل,والِي,وَلِي-ِ,ال
واقف	قَفّ,قَفا,واقِف,وَقَف-ِ,قَفاً,قَفَّى
نوي	نَواة,نَوَى-ِ,نَوَى
نعوذ	عاذ,عَوَّذ
نعلين	نَعْل
نسمع	سَمَّع,سَمِع-َ,أَسْمَع
نزع	نَزَّع,نَزْع,نَزَع-ِ
نائما	نائِم
منعه	مَنْع,مَنَع,مَنْعَة
مقامك	مَقام,مِقَمَّة,مُقام
معوذ	NOTFOUND
مسرهد	NOTFOUND
مساكين	مِسْكِين
مبشر	مُبَشِّر
لقيني	قَيْن,لَقِي-َ
لقول	قَوْل
لسعد	سَعْد,سَعِد-َ
لحمه	حُمَة,حَم,حُمَّة,حَمَّة,حَمّ,لَحَم,لَحِم-َ,لَحْم,لَحِم,لَحَّم,لُحْمَة
لحاجة	حاجَة,حاجّ
كحرمة	حُرْمَة,حَرَم
كاليوم	يَوْم
فيم	فِيما
فهم	فَهِم-َ,فَهْم,هَمّ,هُم,فَهَّم
فنحن	ناح,حان-ِ,نَحْنُ
فقمنا	فَقِم-َ,قام,فَقْم,قَمّ,قَمِن,فَقُم,فُقَّم
فقسمها	قَسَم,قِسْم,قَسَم-ِ,قَسَّم
فعرضت	عَرَض-ِ,عَرَّض
فزارة	فَزارَة,زار
فرغنا	فَرَّغ,فَرِغ,فَرِغ-َ,راغ,فَرَغ
فرجل	رَجُل,رَجَّل,رِجْل,رَجِل-َ
فخذوا	أَخَذ
فحج	حَجّ
فجعله	جَعَل-َ,جُعْل,جَعْل
فجعلني	جَعَل-َ
فاهوي	هَوَّى,هَوَى-ِ,هَوِي-َ,أَهْوَى
فانهما	إِنَّ,وَنَى-ِ,آن,أَنَّ,أَنّ-ِ
غيرهم	غَيَّر,غَيْر
عقد	عِقْد,عَقْد,عُقْدَة,عَقَّد,عَقَد-ِ
عظيما	عَظِيم
صورته	صَوَّر,صُورَة
صنعته	صَنْعَة,صَنَّع,صَنَع-َ
صفوفكم	صَفّ,صُفُوف
صادقا	صادَق,صادِق
شبه	شَبَّه,شَبّ-ِ,شَبّ,شَبَه,شِبْه
شبرمة	NOTFOUND
سيكون	وَكَى-ِ,كان,كَوَّن
سمعي	سَمْعِيّ,سَمْع
سقاء	سَقّاء,سِقاء
سحيم	سُحَيْم,سَحِيم
سحابة	سَحابَة,سَحاب,سَحّاب
زيدا	زَيَّد
زريق	زُرَيْق
رزقه	رَزَق,رِزْق
رداء	رِداء
رايتنا	رايَة
دعاني	دَعّ-َ,دَعا
دحية	NOTFOUND
خسف	خَسَف-ِ,خَسْف
خاتمه	خاتِمَة,خاتَم
حيضة	حَيْض,حَيْضَة
حيا	حَيّا,حَيّ-َ,حَيّ
حطان	NOTFOUND
حرف	حَرْف,حِرْفَة,حَرَف-ِ,حَرَّف
حدثكم	حَدَث
حججت	حَجّ
جنابة	جَناب,جَنابَة
جدا	جَدا,جَدّ,جِدّ,جَدّ-ِ
جاره	جار
ثبت	ثاب,ثَبُت,ثَبَت,ثَبَّت
تور	أَوْرَى,وَرَّى
تنام	أَنام,نام-َ,تَنامِي
تضارون	NOTFOUND
تسعين	تِسْعُون,سَعَى-َ,وَسِع-َ
تركها	تَرَك,تَرْك,تُرْكِيّ,تَرَّك,رَكّ
تراب	تُراب,رابَى,أَراب
بغلته	بَغْل,غَلَّة
بعبد	عَبْد
بسورة	بُسُور,سُورَة,سُور,سِوار,سَوْرَة
بسرف	سَرَف
برقان	بَرْق
بحقها	حَقّ
بالامس	أَمَسّ,أَمْس
ايسر	يَسَّر,يَسِر-َ,أَيْسَر,يَسُر
انقضت	ٱِنْقَضَى,أَنْقَض,ٱِنْقَضّ,ٱِنْقاض
اليتامي	يَتِيم
اللقطة	لُقْطَة,لَقْطَة
الكبري	كُبْرِي,أَكْبَر
الفرات	فُرات
الفارسي	فارِسِيّ
الغنيمة	غَنِيمَة
العمر	عُمْر,عُمَر
الضرير	NOTFOUND
الشاء	NOTFOUND
الزنا	زِنَى,لَزّ
الزعفراني	NOTFOUND
الرحبي	NOTFOUND
الدنس	دَنَس,دَنِس
الحية	حَيّ,حَيَّة,لَحْي
الحبة	حَبّ
الثوم	ثُوم
الثنية	ثَنِيَّة,ثَنْيَة
البينة	بَيِّنَة
الاقدام	قَدَم,إِقْدام
الاشهل	أَشْهَل
الاشعثي	NOTFOUND
الاسقية	سِقاء
الابواب	باب
اعود	عاد,عَوَّد
اعملوا	أَعْمَل
اعطيتها	عَطاء,أَعْطَى
ارتحل	ٱِرْتَحَل
اذبح	ذَبَّح,ذَبَح-َ
اخواننا	أَخ
اخرجوا	أَخْرَج
اخبرت	أَخْبَر
احملكم	أَحْمَل,حَمَل-ِ,حَمَّل
احلف	حَلَّف,حَلَف-ِ
اجمعون	NOTFOUND
اتاكم	آتَى,أَتَى-ِ
يكذب	كَذَب-ِ,أَكْذَب,كَذَّب
يعذبون	عَذَب-ِ,عَذَّب,عَذُب,أَعْذَب
يطلقها	طَلَق,طَلَّق,أَطْلَق
يتحدث	تَحَدَّث
ياجوج	NOTFOUND
يؤمنون	آمَن,أَمَّن
ووجهه	وَجَّه,وِجْهَة,وَجْه
ولعل	لَعْل,لَعَلَّ
وفينا	فِي,وَفَّى,وَفَى-ِ,وَفِيّ
وغيرهما	غَيَّر,غَيْر
ورائه	وَراءَ,وَراء,راء
وذهب	ذَهَب-َ,ذَهَّب,ذَهَب
وذمة	ذِمَّة,ذَمّ
وخمس	خَمَّس,خُمْس,خَمْس
وثلاثون	ثَلاثُون
وثبت	وَثَب-ِ,ثاب,ثَبُت,ثَبَت,ثَبَّت
وبمحمد	مُحَمَّد
وبعث	بَعَث-َ,عُثّ,بَعْث
واي	أَيّ,آي,إِي,أَي
واموالكم	مال
والوليد	وُلَيْد,وَلِيد
والمنابذة	NOTFOUND
والقول	قَوْل
والقاسم	قاسِم
والغراب	غُراب
والطيبات	طَيِّب
والثلاثة	ثَلاث
واستغفر	ٱِسْتَغْفَر
وارث	إِرْث,رَثا,وَرِث-ِ,وارِث,أَرَّث,راث-ِ,رَثّ-ِ,رَثَى,راث
وادبر	دَبَّر,دَبَر,أَدْبَر
واجب	واجِب,وَجَب-ِ,جَبَى-ِ,جَبَّى,جاب,جَبّ,أَجاب
وابوالها	بَوْل
نيار	NOTFOUND
نواجذه	ناجِذ
نخامة	نُخامَة
ناتي	أَتَى-ِ
منكن	مَنّ,مِن
منازلهم	مَنْزِلَة,مَنْزِل,مُنازِل
مناد	مُنادِي
ملحان	مُلِحّ,مِلْح
مريضا	مَرِيض
مرتفعة	مُرْتَفَع,مُرْتَفِع
للشيطان	شَيْطان
للحسن	لَحَس-َ,حَسَن,لَحِس-َ,حُسْن
لكما	لَكَم,لِ-,لَكْم,كَمّ
لعبدي	عَبْدِيّ,عَبْد
لسفيان	سُفْيان
لاخيه	أَخ,آخِيَة,وَخَى-ِ
كلهن	كُلّ,أَكَل
كفي	كَفِيّ,كَفّ,كَفَى-ِ
كشف	شِفّ,كَشَف-ِ,كَشْف
قدماه	قَدِم-َ,قَدَم,قَدَّم
فوضعها	وَضْع,وَضَع
فنهاهم	نَها,نُهَى,نَهَى-ِ
فلقيه	لَقِي-َ,قِياء,فَلْق,لُقْيا
فقلن	قال
فقدت	قاد,قَدا,فَقَد-ِ
ففعلوا	فَعَل-َ
فضله	فَضْل,ضَلّ,فَضْلَة,فَضَّل
فضربت	ضَرَب,ضَرَّب
فصام	فُصام,صام
فرحا	فَرِح-َ,فَرَح,فَرِح,فَرَّح
فذكرنا	ذِكْر,ذَكَر,ذَكَّر
فذكرته	ذُكْرَة,ذَكَر,ذَكَّر
فدخلنا	دَخْل,دَخَل
فافرغ	فَرَّغ,فَرِغ-َ,فَرَغ,أَفْرَغ
فاستيقظ	ٱِسْتَيْقَظ
فاتانا	فات,أَتان,آتَى,أَتَى-ِ
غيركم	غَيَّر,غَيْر
غرفة	غُرْفَة,غَرَف-ِ
غرة	غِرّ,غِرَّة,غَرّ,غُرَّة,أَغَرّ
غائبا	غائِب
عكاشة	عُكّاشَة,عَكاشَة
عصمة	عَصْم,عُصْمَة,عِصْمَة,أَعْصَم,عَصَم-ِ
عشرون	عِشْرُون
عدوا	عَدّ,عَدَّى,عَدا,عَدُوّ,عَدْو
عبادك	عَبّاد,عابِد,عِباد
طاعة	طاعَة,طاع
طاب	طاب-ِ,طاب
شربت	شَرِب-َ,شَرَّب
سيراء	راءَى
سري	سِرِّيّ,سُرّ,سَرِيّ,سَرِي,سِرّ,سَرَّى,سَرَى-ِ,سُرِّيّ
ستون	سِتُّون,وَنَّى,وَنِي-َ,وَنّ-ِ
زاغت	زاغ,زاغ-ِ
رضا	رِضاً,رَضّ,رِضا
رجلاه	رَجُل,رَجَّل,رِجْل,رَجِل-َ
راهم	NOTFOUND
دينكم	دِين,دَيِّن,دَيْن
دفن	دَفَن-ِ,دَفْن,داف
دارا	دار,دارا,دارّ
خصيفة	NOTFOUND
خراش	NOTFOUND
خالتها	خالّ,خالَة,خال-َ
حسبت	حَسَب,حَسِب-ِ,حَسُب
حرمها	حُرْمَة,حَرَّم,حَرَم,حَرَم-ُِ
حذو	حَذْو,حَذْوَ
حجري	حُجْرَة,حَجَر,حِجْر,حَجَرِيّ,حَجْر
جهاد	جِهاد
جميلة	جَمِيل
جدعان	جَدَع
جثامة	جُثام
تليها	وَلِي-ِ,تَلّ
تلبس	تَلَبَّس,تَلَبُّس,لَبَّس,لَبِس-َ,أَلْبَس
تصدقوا	تَصَدَّق,صَدَق,صَدَّق
تصاوير	تَصْوِيرَة
تركوه	تَرَك,تَرَّك,رَكّ
بعشر	عُشْر,عَشَر,عَشْر
باصحابه	صاحِب
باسمي	ٱِسْمِيّ,باسِم,ٱِسْم,أَسْمَى
بابائكم	إِباء,أَب
اولها	وَلَّى,أَوَّل,أَوْلَى,أَوْلَه
انية	وَنَى-ِ,آنِيّ,إِناء
انصرفوا	ٱِنْصَرَف
انحر	نَحَر
الواصلة	NOTFOUND
النجوم	نَجْم
المقدم	مَقْدَم,مُقَدِّم,مُقَدَّم
المغلس	NOTFOUND
المغضوب	مَغْضُوب
المخرمي	NOTFOUND
القشيري	NOTFOUND
القرن	قِرْن,قَرْن,قُرْنَة
الفقراء	فَقِير
الغنائم	غَنِيمَة
الغلمان	غَلِم,غُلام
العينين	عَيْن
الصفة	صُفَّة,صِفَة
الشمال	شَمال,شِمال
السواك	سِواك
السبابة	سَبّابَة,سَبّاب
الجهد	جَهْد,جُهْد
الجنائز	جِنازَة
البشر	بُشْر,بِشْر,بَشَر
البركة	بِرْكَة,بَرَكَة
الاصبهاني	NOTFOUND
الاشعريين	NOTFOUND
اكثرهم	أَكْثَر,كَثَّر
اغسلنها	NOTFOUND
اعمل	عَمِل-َ,أَعْمَل
اعطه	أَعْطَى
اعطني	أَعْطَى
اعتقها	عَتُق,أَعْتَق,ٱِعْتاق
استحيضت	NOTFOUND
ازال	أَزال,زال-َ,أَزَل
ارضعتني	أَرْضَع
ارايتم	NOTFOUND
ارادت	أَراد
اذنه	أَذِن-َ,أَذَّن,إِذْن,آذِن,أُذُن,آذَن
ادعو	دَعا
اتاك	آتَى,أَتَى-ِ
يقطر	قَطَر,قَطَّر
يقرؤها	NOTFOUND
يستغفر	ٱِسْتَغْفَر
يذكرون	ذَكَر,أَذْكَر,ذَكَّر
يدفع	دَفَع-َ
يدخلون	أَدْخَل,دَخَل
يدخله	أَدْخَل,دَخَل
يحكم	حَكَّم,حَكَم,أَحْكَم,وَحَى-ِ
يبني	بَنَى-ِ,أَبان
ويكبر	كَبَّر,كَبَر,أَكْبَر
ونتف	نُتْفَة,تَفّ-ِ,نَتْف,نَتَف-ِ,نَتَّف
ومثله	مِثْل,مَثَل,مَثَّل
وليقل	قَلا,قَلّ-ِ,قال,أَقال,قَلِي-َ,أَقَلّ,قَلَى-ِ
ولكل	كُلّ
وكانا	آنا,أَنا,وَكَى-ِ,كان
وعقوق	عُقُوق
وعتبة	عَتَبَة,عَتَب,عَتْب,عَتَّب
وعاصم	عاصِم
وصية	وَصِيّ,وَصِيَّة
وسمرة	أَسْمَر,سَمَر,سُمْرَة,سَمَّر
ودخلت	دَخَل
وحفص	حَفْص
وحذيفة	NOTFOUND
وتصلي	وَصَل-ِ,صَلَّى,صَلِي-َ,صَلَى-ِ,أَصْلَى,تَصَلَّى
وبشر	بُشْر,بَشَر-ِ,شَرّ,بِشْر,بَشَر,بَشَّر,بَشِر-َ
وبالاسلام	إِسْلام
واهدي	أَهْدَى,هَدَى-ِ
والهرم	هَرَم,هَرِم
والحداة	أَلْحَد,حادِي
واسم	وَسَم-ِ,سَمّ,أَسام,سَمَّى,ٱِسْم,أَسْمَى,سام,سَما
