فاصبحت	أَصْبَح
صنعه	صَنْعَة,صَنَّع,صَنْع,صُنْع,صَنَع-َ
صلاتين	صَلاة
صغيرا	صَغِير
صدورهم	صَدْر,صُدُور
صدقك	صِدْق,صَدَّق
صدت	صَدّ,صاد-ِ,صَدَّى
صاحبتها	صاحَب,صاحِب
شهدنا	شَهِد-َ
شكرا	شَكَر,شُكْر
شفاعتي	شَفاعَة
شبيل	NOTFOUND
شاهدا	شاهَد,شاهِد
شاكر	شاكِر,شاكَر
سيدنا	سَيِّد,أَدان,وَدَى-ِ
سياه	سِيّ
سوم	سَوَّم
سواهما	سَوَّى,سِوَى
سواكه	سِواك
سمنا	سَمَّن,سَمّ,سِمَن,سُمُّن,سَمْن,سَمِن-َ,سام
سمعتهن	سَمَّع,سَمِع-َ,سُمْعَة
سلمي	سِلْمِيّ,سُلَّم,سَلْمَى,سِلْم
سلت	سَلّ,سَلَّى,سال-ِ,سَلَت-ُِ,سَلا
سكاري	سَكْران
سقيت	سَقَى-ِ
سعيدا	سَعِيد
سرنا	سُرّ,سِرّ,سار-ِ,سَرّ
سرعان	سَرْعان,سَرِيع,سُرْع
سرت	سِرْت,سار-ِ,سَرَى-ِ,سَرَّى,سَرّ
سحقا	سَحَق-َ,سَحْق,سَحُق,سُحْق,سَحَّق,سَحِق-َ
سبعت	سَبَّع
ساقي	ساقَى,ساقِي,ساق,وَقَى-ِ
سائلا	سائِل
زوجك	زَوَّج,زَوْج
زنة	زِنَة,زان-ِ,زَنّ
زناها	زان-ِ,زَنّ,زِنَى
زكاته	زَكاة
رومة	رَوْم,رُوم,رُوما
رماه	رامِي,رَمَى-ِ,رَمّ
ركن	رُكْن,رَكَن,رَكِن-َ
رقيقا	رَقِيق
ردم	رَدْم,رَدَّم,رَدَم
رجليها	رَجُل,رِجْل
ربيبتي	رَبِيبَة
رايتهم	رايَة
راعية	راعِي
رؤيته	رُؤْيَة
رءوسهما	رَأْس
ذهبوا	ذَهَب-َ,ذَهَّب
ذه	NOTFOUND
ذكرا	ذِكْر,ذَكَر,ذَكَّر
ذريتك	ذُرِّيّ,ذَرَى-ِ,ذَرِّيّ,ذُرِّيَّة,ذَرَّى
ذاهب	ذاهِب
ذاكرا	ذاكِر,ذاكَر
دواب	دابَّة
دعهما	وَدَع-َ,دَعّ-َ
دعت	دَعّ-َ,دَعا
خواتيمهم	خاتام
خلفة	خِلْف,خَلْف,خُلْف,خَلْفَ,خَلَف,خِلْفَة,خَلَّف
خلت	خَلّ,خَلا,خال-َ,خَلَّى
خل	خَلّ
خفض	خَفَّض,خَفَض-ِ,خَفُض,خَفْض
خطر	خَطِر,خَطُر,خَطَر,خَطَر-ِ
خص	خَصّ,خُصّ
خدم	خَدَم,خَدَم-ُِ,خَدَّم
خبابا	NOTFOUND
خاله	خالّ,خالَة,خال-َ,خال
حميل	حَمِيل
حملنا	حَمْل,حَمَل,حِمْل,حَمَل-ِ,حَمَّل
حمة	حُمَة,حَم,حُمَّة,حَمَّة,حَمّ
حلل	حُلَّة,حَلَّة,حَلَّل
حقهم	حَقّ
حقتان	حُقَّة
حسناء	أَحْسَن
حسبي	حَسْب,حَسَب
حريرا	حَرِير
حالت	حال
حاج	حاجّ
جيد	جَيِّد
جور	جُورَة,جَوْر
جنينها	جَنِين,جَنَى-ِ
جليسه	جَلِيس
جعلني	جَعَل-َ
جزور	جَزُور
جزافا	جُزاف
جرحه	جُرْح,جَرَّح,جَرَح-َ
جديد	جَدِيد
جبينه	جَبَى-ِ,جَبَّى,جَبِين
ثيابكم	ثَوْب
ثويبة	NOTFOUND
ثكلتك	NOTFOUND
ثبير	NOTFOUND
ثامنوني	NOTFOUND
توفاه	تَوَفَّى
تنهي	نَها,أَنْهَى,نَهَى-ِ
تنقطع	ٱِنْقَطَع
تنقضي	ٱِنْقَضَى,نَقَض,أَنْقَض,ٱِنْقَضّ
تنعم	نَعُم,نَعَّم,نَعِم-َ,نَعَم-َُ,أَنْعَم,تَنَعَّم
تنظرون	نَظَر
تكره	كَرِه-َ,كَرُه,كَرَّه,تَكَرُّه,كَرّ,أَكْرَه,كَرا,كَرِي-َ,كَرَى-ِ,تَكَرَّه,أَكْرَى
تقاضي	تَقاضِي,قاضَى,تَقاضَى
تفعلون	فَعَل-َ
تعملون	عَمِل-َ,أَعْمَل
تعدو	عَدا
تصيب	أَصاب
تصدقنا	تَصَدَّق,صَدَّق
تشبع	شَبِع-َ,أَشْبَع,تَشَبَّع,شَبَّع
تسليمه	تَسْلِيم
تسليما	تَسْلِيم
تسبق	سَبَّق,سَبَق-ُِ
تسالوني	NOTFOUND
تركب	رَكِب-َ,تَرَكَّب,رَكَّب,أَرْكَب
ترجعي	أَرْجَع,رَجَّع,رَجَع-ِ
تراعوا	راعَى,أَراع
تدفن	دَفَن-ِ,داف
تختلفوا	ٱِخْتَلَف
تحبسه	حَبَس-ِ
تجلي	تَجَلِّي,جَلا,أَجْلَى,جَلَى-ِ,جَلّ-ِ,جَلَّى,أَجَلّ,تَجَلَّى
تجعله	جَعَل-َ
تبعها	تَبِع-َ,باع-ِ,تَبَع,أَباع
تاذن	أَذِن-َ
تؤمنوا	آمَن,أَمَّن
بيعا	بَيْع,بيع
بولي	بُول,بَوْلِيّ,بَوْل,وَلِيّ
بوزن	وَزْن,بَوَّز
بناته	بانِي,بِنْت
بملة	مِلَّة,مُلَّة,مَلَّة,مُلْهِي,مَلّ
بلسان	لِسان,بَلَسان
بكت	بَكَى-ِ,بَكَّى,بَكَّت,كَتّ
بقوله	قَوْلَة,بَقْل,قَوْل
بقريش	قُرَيْش
بقارئ	قارِئ
بعيني	عَيْنِيّ,عَيْن
بعمله	عُمْلَة,عَمَل,عامِل
بطست	طَسْت
بطرف	طَرَف
بشيرا	بَشِير
بسيفه	سَيْف,سِيف
بسوء	سُوء
برقية	بَرْقِيّ,بَرْقِيَّة,رُقَيَّة,بَرْق,رُقْيَة,رُقِيّ
بدن	بَدُن,باد-ِ,بَدِين,بَدَن
بدلوا	بَدَل,بَدَّل
بدعاء	دُعاء
بحكم	حُكْم,حَكَم
بحرية	حُرّ,بَحْر,بَحْرِيّ,حَرِيّ,حُرِّيَّة,بَحْرِيَّة
بحراء	حِراء
بجارية	جار,جارِي,جارِيَة
باهلك	أَهْل,باهِل,آهِل
باهلال	NOTFOUND
بالوفاء	وَفاء
بالمعراض	مِعْراض
بالكوكب	كَوْكَب
بالقول	قَوْل
بالصهباء	أَصْهَب
بالسوية	سَوِيَّة,سَوِيّ
بالسوط	سَوْط
بالسكين	سِكِّين
بالحسني	حُسْنِي,أَحْسَن
بالايمان	إِيمان,يَمِين
بالاسواق	سُوق
بالاسنادين	NOTFOUND
باخفافها	خَفِيف,خُفّ
باثنين	ٱِثْنانِ,ٱِثْنَيْنِ
اويت	أَوَى-ِ,أَوَّى,آوَى
اوهم	وَهِم-َ
اوشك	وَشُك,وَشَّى,أَوْشَك,وَشَّك
اها	آه
انكن	إِنَّ,وَنَى-ِ,آن,أَنّ-ِ,أَنَّ
انشد	نَشَد,أَنْشَد
انزلها	نَزَل-ِ,أَنْزَل,نَزَّل,نَزِل-َ
انجلت	ٱِنْجَلَى
امسينا	أَمَسّ,مَسَى,مَسَّى,أَمْسَى
امرتكم	أَمَّر,أَمَرّ,أَمار,آمَر,إِمْرَة,أَمَر,آمِر
امامكم	أَمامَ,إِمام,أَمام
اليقظة	يَقِظ,يَقْظَة
اليزني	NOTFOUND
الوليدة	وُلَيْد,وَلِيدَة
الولادة	وِلادَة,وَلّادَة
الوكيل	وَكِيل
الوداك	NOTFOUND
الوبر	وَبَر,وَبِر
الوانها	لَوْن
النواس	نَوّاس
النفل	نَفْل,نَفَل
النظائر	نَظِير
الموضع	مَوْضِع
المنظر	مُنَظِّر,مَنْظَر
المكتب	مَكْتَب
المغفر	مِغْفَر
المغراء	NOTFOUND
المضاجع	مُضاجِع,مَضْجَع
المصة	مَصّ,لَمَص
المسيبي	NOTFOUND
المستضعفين	مُسْتَضْعَف
المزارعة	مُزارَعَة,مُزارِع
المخارق	NOTFOUND
المؤمل	مُؤَمَّل,مُؤَمِّل
اللذين	الَّذِي
اللحي	لِحْيَة,لَحْي
الكيس	كَيْس,كَيِّس,كِيس,أَكْيَس
الكوكب	كَوْكَب
الكرسي	كُرْسِيّ
القارئ	قارِئ
القاتلة	قاتِل
الفيل	فِيل
الفي	أَلْفِيّ,آلِف,أَلَفّ,أَلْفَى,آلَف,أَلِف,إِلْف,أَلْف
الفتي	أَلْفَت,آلِف,فَتَى,أُلْفَة,فَتِيّ
الغنوي	NOTFOUND
الغلس	غَلَس
الغطفاني	NOTFOUND
الغرقد	NOTFOUND
الغبار	غُبار
الغار	غار
العيال	عِيال
العنسي	NOTFOUND
العميس	NOTFOUND
العقيقة	عَقِيق
العرني	NOTFOUND
العجلان	عَجْلان
الظلة	ظُلَّة
الطهر	طُهْر
الضحايا	ضَحِيَّة
الصورة	صُورَة
الصغري	أَصْغَر
الصحابة	صَحابَة
الشملة	شَمْلَة
الشقاوة	شَقاوَة
الشقاء	شَقاء
الشعرة	شَعْر
الشح	شُحّ
الشباب	شَبّ,شَباب
السلماني	NOTFOUND
السبخي	NOTFOUND
الزاهرية	NOTFOUND
الرقبي	رُقْبَى
الرباط	رِباط
الراسبي	NOTFOUND
الذبح	ذَبْح
الذباب	ذُباب
الدرع	دِرْع
الدالاني	NOTFOUND
الخلوق	خَلُوق
الخصم	خَصْم
الخراج	خَراج,خُراج
الخالة	خالَة
الخادم	خادِم
الحلف	حَلْف,حِلْف
الحكمة	حِكْمَة
الحقي	NOTFOUND
الحداني	أَلْحَد
الجواب	جَواب
الجعيد	NOTFOUND
الثمانية	ثَمانِي
الثابت	ثابِت
التيمن	تَيَمُّن
التصفيح	تَصْفِيح
التثاؤب	NOTFOUND
التبتل	NOTFOUND
البيوع	بَيْع
البيان	بَيان
البهي	بَهِيّ
البهراني	NOTFOUND
البناء	بَنّاء,بِناء
البرية	بَرِيَّة,بَرِّيَّة,بَرِّيّ
البرد	بُرْد,بَرَد,بَرْد
الايم	أَيِّم
الانس	أُنْس,إِنْس
الاعاجم	أَعْجَم
الاصوات	صَوْت
الاسفل	أَسْفَل
الاستغفار	ٱِسْتِغْفار
الاستئذان	ٱِسْتِئْذان
الارت	أَرَتّ
الاربعاء	أَرْبِعاء
الاراك	NOTFOUND
اكملت	أَكْمَل
اكلمه	كَلَّم,كِلِيم
اقراه	أَقَرّ
اقتربت	ٱِقْتَرَب
اقبلوا	أَقْبَل
افواه	فُوه
افتي	آفَة,أَفْتَى,فَتِي-َ
اعني	أَعان,عَنَى-ِ,عَنَّى,عَنا,وَعَى-ِ
اعمال	عَمَل
اضل	ضَلّ,أَضَلّ
اضحك	ضَحِك-َ,أَضْحَى,أَضْحَك,ضَحا,ضَحَّى,ضَحِي-َ
اصليت	أَصْلَى
اشف	أَشْفَى,شَفَى,شاف,شَفّ-ِ
اشعرت	أَشْعَر
اشربوا	أَشْرَب
اشتراه	ٱِشْتَرَى
اسرعوا	أَسْرَع
اسرد	سَرَد,سَرَّد
استلام	ٱِسْتِلام,ٱِسْتَلام
استقر	ٱِسْتَقَرّ,ٱِسْتَقْرَى
استفتت	ٱِسْتَفْتَى
استغفروا	ٱِسْتَغْفَر
استحب	ٱِسْتَحَبّ
استبرق	إِسْتَبْرَق
ارموا	أَرَّم,أَرَم-ِ
ارقيك	آرِق,رَقَّى,أَرِق,أَرَقّ
ارقب	رَقَب
ارضعيه	NOTFOUND
ارضعتكما	أَرْضَع
ارسلتها	أَرْسَل
ارخي	رَخِي-َ,أَرْخَى
اربه	أَرَب,أَرَب-ِ,راب-ِ,آرَب,راب,أَرِب,أُرْب,أَراب,إِرْب,أَرْبَى,رَبا,رَبَّى
اذنبت	أَذْنَب
اذكروا	أَذْكَر
ادوا	أَدَّى,أَدّ,آد
ادعوه	ٱِدَّعَى,دَعا
ادعه	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
ادركني	أَدْرَك,دَرَّك
اخوك	خَوَى-ِ,أَخ,خَوِي-َ,آخَى
اخرهن	خار-ِ,آخِر,خار,آخَر
اخرجه	خَرَّج,أَخْرَج
اخذتها	آخِذ,أَخَذ,آخَذ,أَخَّذ
اخدم	خَدَم-ُِ,خَدَّم
اختصم	ٱِخْتَصَم
احلق	حَلَّق,حَلَق-ِ
احتسب	ٱِحْتَسَب
اجمل	جَمَّل,جَمُل,جَمَل,أَجْمَل
اجلسوا	أَجْلَس
اجتهد	ٱِجْتَهَد
اجتمعا	ٱِجْتَمَع
اجابوك	أَجاب
اجئ	جاء
اتعلم	تَعَلَّم
اترضون	NOTFOUND
اتحلفون	NOTFOUND
ابنتها	ٱِبْن,أَبان,أَبَّن
ابتاعها	ٱِبْتاع
ائذني	NOTFOUND
يوصيني	وَصَّى,أَوْصَى
يوزن	NOTFOUND
يوجب	وَجَّب,أَوْجَب
يهودانه	هَوَّد
ينجسه	أَنْجَس,نَجَّس
ينتظرونك	ٱِنْتَظَر
يمضي	أَمْضَى,مَضَّى,مَضَى-ِ
يلغ	لَغِي-َ,أَلْغَى,وَلَغ-َ,لَغا
يلبسوا	لَبَّس,لَبِس-َ,أَلْبَس
يكري	كَرا,كَرِي-َ,كَرَى-ِ,أَكْرَى
يقرب	قَرَّب,قَرِب-َ,قَرُب
يقرؤه	NOTFOUND
يقاتلون	قاتَل
يفئ	أَفاء,فاء-ِ
يف	وَفَى-ِ
يغلبه	غَلَب-ِ
يغرنك	غار,أَغار
يغرس	أَغْرَس,غَرَس-ِ
يغدر	غَدَر-ِ
يعوذ	عاذ,عَوَّذ
يعطيه	أَعْطَى
يعرفون	عَرَّف,عَرَف-ِ
