فدية	دِيَة,فِدْيَة
المهاجرات	مُهاجَرَة,مُهاجِر
المناسك	مَنْسِك
المكتل	مِكْتَل
المغانم	مَغْنَم
المصاحف	مُصْحَف
المحصب	NOTFOUND
المجوس	مَجُوس
اللون	لَوْن
القيد	قَيْد
القطع	قِطْعَة,قَطْع,قَطْعَة,قُطْعَة
القطر	قَطَر,قُطْر,قَطْر,قِطار
القبة	قَبَّة,لَقَّب,قُبَّة
العيزار	NOTFOUND
العوالي	عالِيَة
العنزة	عَنْزَة,عَنَزَة
العشير	عَشِير
العزي	عُزَّى
العرض	عَرَض,عَرْض,عِرْض
الطفاوي	NOTFOUND
الصعيد	صَعِيد
الصدفي	صَدَفِيّ,صُدْفِيّ
الصحيح	صَحِيح
السور	سُورَة,سُور,سِوار
السليل	سَلِيل
الستم	لَيْسَ,أَلَّس
السابقون	سابِق
الزماني	أَلْزَم,زَمانِيّ
الزحف	زَحْف
الذاهب	ذاهِب
الدهني	دُهْنِيّ
الخياط	خَيّاط,خِياط
الخثعمي	NOTFOUND
الخبال	NOTFOUND
الحنتم	أَلْحَن
الحصير	حَصِير
الجلالة	جَلالَة
الجزور	جَزُور
الجرشي	NOTFOUND
الثناء	ثَناء
الثدي	ثَدْي
البيض	بِيض,بَيْض
البطن	بَطْن
البطحاء	أَبْطَح
البزار	بَزّار
البدري	بَدْرِيّ
الاوسط	أَوْسَط
الامين	أَمِين
الاعز	أَعَزّ
الاشربة	NOTFOUND
الاسنان	سِنّ,آسِن,أَسَنّ
الاذل	NOTFOUND
الاحلام	حِلْم,حُلْم
الاثم	آثِم,أَثَم,إِثْم
اكشف	كَشَف-ِ
اقمنا	قام,قَمّ,أَقام
افيضوا	NOTFOUND
افلس	أَفْلَس,فَلَّس
افاضت	أَفاض
اغض	غاض-ِ,أَغْضَى,غَضّ
اغسله	غَسَل-ِ,غَسَّل
اعف	عَفّ-ِ,عاف,أَعَفّ,عَفَّى,عاف-ِ,عَفا,أَعْفَى
اعط	أَعْطَى
اعدها	عَدّ,عَدَّى,أَعْدَى,أَعاد,عَدا,عاد,وَعَد-ِ,أَعَدّ
اطلقها	طَلَق,طَلَّق,أَطْلَق
اطاع	أَطاع
اصابك	أَصاب
اشك	وَشَى-ِ,شَكّ,شاك,أَشاك,شَكا
اشرك	شَرَى-ِ,أَشَّر,شَرِك-َ,أَشار,أَشْرَك,أَشِر,وَشَر-ِ,أَشَر,أَشَر-ِ
اشتر	ٱِشْتَرَى,شَتَر-ِ
اسنمتهما	سَنام
اسما	ٱِسْم
استجمر	NOTFOUND
ازواجهن	زَوْج
ادركها	أَدْرَك,دَرَّك
ادركتهم	أَدْرَك
اخلق	خَلِق-َ,خَلُق,أَخْلَق,خَلَق,خَلَّق
اختك	أُخْت,آخَى
اخبروني	أَخْبَر
اخبرهما	خَبُر,أَخْبَر,خَبَر,خَبَّر
احمرت	ٱِحْمَرّ
احصن	أَحْصَن,حَصَّن,حَصُن
احسنكم	حَسَّن,أَحْسَن
احج	حَجّ,حَجا
اجعلني	جَعَل-َ
اجاب	أَجاب
اثنتان	ٱِثْنَتانِ
اثقل	أَثْقَل,ثَقُل,ثَقَّل
اتموا	أَتَمّ
اتكلم	تَكَلَّم
اتفقوا	ٱِتَّفَق
اتعلمون	NOTFOUND
اترك	تَرَك,وَتَر-ِ,تَرَّك
اتخلف	تَخَلَّف
اتخذت	ٱِتَّخَذ
ابلي	إِبْل,بَلا,إِبْلِيّ,بَلِي-َ,أَبْلَى
ابشروا	أَبْشَر
ابتلي	ٱِبْتَلَى
ائذنوا	NOTFOUND
يوقظ	أَيْقَظ,وَقَّظ
ينقلب	ٱِنْقَلَب
ينطلق	ٱِنْطَلَق
ينجس	نَجِس-َ,أَنْجَس,نَجُس,نَجَّس
ينتهوا	ٱِنْتَهَى
يمل	مَلَّى,مَلّ-َ,أَمال,أَمْلَى,أَمَلّ,مال-ِ,مَلا
يمرون	أَمَرّ,مَرّ
يمد	أَمْدَى,مَدّ,ماد-ِ,أَمَدّ
يمحو	مَحا
يمت	مَتّ,أَمات,مات
يلج	وَلَج-ِ,لَجّ-َِ
يكاد	كاد-َ
يقوده	قاد
يقض	قَضّ-َ,قَضَّى,قَضَى-ِ,قَضّ,أَقَضّ,قاض-ِ,قاض
يقسطوا	قَسَّط,أَقْسَط,قَسِط-َ
يعنيان	عَنَى-ِ,عَنَّى,عَنا
يعض	عَضّ-َ,عاض,أَعاض
يصنعون	صَنَّع,صَنَع-َ
يشتكي	ٱِشْتَكَى
يشتريه	ٱِشْتَرَى
يسبحون	سَبَّح,سَبَح-َ
يسالها	NOTFOUND
يساري	يَسارِيّ,يَسار
يزرعها	زَرَع-َ
يريه	وَرَى-ِ
يريبك	راب-ِ,أَراب
يرجم	رَجَّم,رَجَم
يدخلوها	أَدْخَل,دَخَل
يخسف	خَسَف-ِ
يختصمان	ٱِخْتَصَم
يختارون	ٱِخْتار
يحسر	حَسَّر,حَسِر-َ,حَسَر
يتيم	يَتِيم,تام,تَيَّم
يتختم	NOTFOUND
يتامي	يَتِيم
يباشرها	باشَر
وينام	أَنام,نام-َ
ويميت	أَمات
ويلكم	لَكَم,وَلِي-ِ,وَيْل
ويغسل	غَسَل-ِ,غَسَّل
ويدع	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
ويحمد	حَمِد-َ,حَمَّد
ويجئ	جاء
ويتبع	تَبِع-َ,أَتْبَع,ٱِتَّبَع
وياخذ	أَخَذ
وولدها	وَلَد-ِ,وَلَد,وَلَّد
وهمام	هُمام,هَمّام
وهشيم	هَشِيم
ومني	مُنَى,مَنَى-ِ,مَنّ,مِنَى,مَنَّى,مِن,مَنَى
ومنه	مَنّ,مُنْهِي,مُنَّة,مِن,مِنَّة
ومالي	مالِيّ,مالِي,مال
ولمن	مَنّ,مَن,لام
ولكنهم	لٰكِنَّ,كَنّ
ولبن	بُنّ,لِبْن,لَبِنَة,لاب,بِن,لَبَن,لَبَّن
وقيذ	وَقِيذ
وقلب	قَلَب-ِ,قَلْب,قَلَّب
وغلبة	غَلَب-ِ,غَلْبَة
وعياش	عَيّاش
وعامر	عامِر
وعافني	عاف,عاف-ِ
وظننت	ظَنّ
وطعامه	طَعام
وطاوس	NOTFOUND
وشهادة	شَهادَة
وشرها	شَرِه-َ,شَرّ,وَشَر-ِ,وَشْر,شَرِه,شَرَه
وسكت	سَكْت,سَكّ-َ,سَكَت,سَكّ,ساك,سَكَّت
وسبح	سُبْحَة,سَبَّح,سَبَح-َ
وسال	سال-ِ,وَلِي-ِ
وركب	رِكاب,رُكْبَة,رَكْب,رَكَّب,رَكِب-َ
ورجليه	رَجُل,رِجْل
ورافع	رافَع,رافِع
وذراعيه	ذِراع
وداعة	وَداعَة,وَداع
وحلوان	حُلْوان,حُلْو
وجلد	جَلَد-ِ,جِلْد,جَلَد,جَلْد,جَلِد-َ,جَلَّد,جَلُد
وجبير	جُبَيْر
وثلث	ثُلْث,ثَلَّث
وتلا	تَلّ,تَلا
وتعلم	أَعْلَم,تَعَلَّم,عَلِم-َ,تَعَلُّم,عَلَّم
وتصدقت	تَصَدَّق
وتسعة	تِسْع,سَعَى-َ,تُسْع
وتستحقون	ٱِسْتَحَقّ
واليه	آلِيّ,إِلَى,والِي,آلِيَّة,وَلِي-ِ,أَلْيَة
والمال	مال
والماثم	NOTFOUND
والكفين	كَفّ
والقراءة	قِراءَة
والفرس	فارِسِيّ,فَرَس
والظفر	ظَفِر,ظُفُر,ظَفَر
والشجر	شَجِر,شَجَرَة
والبئر	بِئْر
والاستنشاق	ٱِسْتِنْشاق
واكلوا	أَكَّل,آكَل,أَكَلّ,أَكَل,واكَل
واقول	قال
واقبلت	أَقْبَل
واغتسل	ٱِغْتَسَل
واعظم	عَظُم,أَعْظَم,عَظَّم
واطول	طال,أَطْوَل,طَوَّل
واشترط	ٱِشْتَرَط
واشتد	ٱِشْتَدّ
واخذوا	أَخَذ,آخَذ,أَخَّذ
واحيانا	حِين,أَحْيَى
واحسب	حَسَب,حَسِب-ِ,حَسُب
واجعلوا	NOTFOUND
واجعله	جَعَل-َ
واتم	تَمّ-ِ,أَتَمّ,تام
وابان	إِبّان,أَبان
هنيئا	هَنِيء,هَنِيئ
هلب	هُلْب,هَلِب,أَهْلَب,هَلِب-َ,هِلْب
هب	هَبّ
هاديا	هادَى,هادِي
نول	وَلَّى,نَوْل,أَوْلَى,نَوَّل
نمشي	أَمْشَى,نَمَش,مَشَّى,أَنْمَش,نَمِش,مَشَى-ِ
نقرا	نَقَّر,نَقَر,نَقْر,نَقِر,نَقِر-َ,نُقْرَة
نعله	نَعَّل,نَعَل-َ,أَعال,نَعْل,عَلا,أَعْلَى,عال,عَلَّى
نعس	نَعَس-َُ,عَسا,عَسّ,نَعَّس,ناعِس,وَعَس-ِ
نطلب	طَلَب
نشرب	أَشْرَب,شَرِب-َ,شَرَّب
نسيه	نَسِي-َ,نَسْي,نَسِيّ
نسكه	نُسُك,نَسْك,سَكّ,ساك
نسخها	نُسْخَة,سَخُو-َ,سَخا,ساخ-ِ,سَخِي-َ,نَسْخ,نَسَخ-َ
نسخ	نُسْخَة,سَخُو-َ,سَخا,ساخ,ساخ-ِ,سَخِي-َ,نَسْخ,نَسَخ-َ
نسب	سَبّ,ساب-ِ,نَسَب,نِسْبَة,سَبَى-ِ
نساله	نُسالَة,نَسّالَة
نزعت	نَزَّع,نَزَع-ِ
نحله	نَحَل-َ,أَحَلّ,ناحِل,حَلَى,حَلَّى,أَحال,حَلِي-َ,نَحِيل,نَحْل,نِحْلَة,حَلُو,حال,حَلّ
نحرنا	نِحْر,أَحار,نَحْر,أَحْرَى,حَرَى,نَحَر,حار
نحرت	نَحَر
نحبه	أَحَبّ,نَحَب-َِ,حَبّ-ِ,نَحْب,حَبا
نجران	نَجْران
ميلا	مِيل,مَيْل,مَيَّل
منبره	مِنْبَر
مقارب	مُقارِب,مَقْرَب
مفرق	مَفْرِق,مِفْرَق,مَفْرَق,مُفَرِّق,مُفَرَّق
معتكفه	مُعْتَكَف
معترضة	مُعْتَرِض
مظلوما	مَظْلُوم
مظلمة	مُظْلِم,مَظْلِمَة
مطير	مُطَيْر,مَطِير
مضرب	مُضْرِب,مَضْرِب,مُضَرَّب,مِضْرَب
مسمار	مِسْمار
مسروقا	مَسْرُوق
مسجي	مُسَجَّى
مسجده	مَسْجِد
مركبا	مَرْكَب,مُرَكَّب
مرط	أَمْرَط,مَرَط,مَرَّط
مرضا	مَرَض,مَرَّض,مَرِض-َ
مدبر	مُدَبِّر
مخرجا	مُخْرِج,مُخْرَج,مَخْرَج
محالة	مَحَلّ,مُحال,مِحال,مَحالَة
مجري	مَجْرَى,مَجَرِيّ,مَجَرّ,مَجَر,مَجَرِّيّ
مجالسنا	مَجْلِس
مثليه	مِثْلِيّ
متاعا	مَتاع
مبلغ	مُبَلِّغ,مَبْلَغ
مائتي	مائِت,مِئَة
مؤمنين	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
مؤذنا	مُؤَذِّن
ليوم	يَوْم
ليكون	كان,كَوَّن,يَكُون
ليصمت	أَصْمَت,صَمَت,صَمَّت
ليسمع	سَمَّع,سَمِع-َ,أَسْمَع
لهلال	هِلال
لموسي	مُوسَى
لمة	لُمَّة,لِمَّة,لَمَّة,لَمّ
للعين	لَعِين,عَيْن
للعباس	عَبّاس
لقريش	قُرَيْش
لقاح	لَقاح,قاح,قاح-ِ
لربي	رُبّ,رَبْوَة,رَبّ,رَبَّى
لتخرجن	خَرَج,خَرَّج,تَخَرَّج,أَخْرَج
لانظرن	NOTFOUND
لانا	آنا,آن,أَنا,أَنّ-ِ,لِأَنَّ
لاقاتلن	NOTFOUND
لاعن	لاعَن,أَعان,عَنّ
لاعطين	أَعْطَى
لاطوفن	NOTFOUND
كهيئته	هَيْئَة
كلوه	كُلْوَة,أَكَل
كسبه	سَبّ,كُسْبَة,سُبَّة,كَسْب,كَسَب-ِ,سَبَّة,كَسَّب,سَبَه
كذبني	كَذَب-ِ,كَذَّب
كذبتم	كَذَب-ِ,كَذَّب
كذبا	كَذَب-ِ,كِذْب,كَذَّب
كدت	كاد-َ,كاد-ِ,كَدَى-ِ,كَدّ,كَدَّى
كاتبا	كاتِب,كاتَب
كائن	كائِن
قيد	قَيْدَ,قَيَّد,قَيْد
قوت	قَوَّى,قَوَّت,قُوت
قسما	قَسَم,قِسْم,قَسَم-ِ,قَسَّم
قدما	قَدِم-َ,قُدُم,قَدُوم,قَدَم,قَدَّم
فيمر	مار,مار-ِ,أَمَرّ,مَرّ,أَمار
فيسلم	سَلَّم,أَسْلَم,سَلِم-َ
فيذكر	ذَكَر,أَذْكَر,ذَكَّر
فيدعني	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
فياكل	أَكَل
فنزعت	نَزَّع,نَزَع-ِ
فناداني	نادَى,ناد
فناد	نادِي,ناد
فمررنا	مَرّ,مَرَّر
فمررت	مَرّ,مَرَّر
فليصمه	أَصْمَى,صَمّ,وَصَم-ِ,صام,أَصَمّ
فليخفف	خَفّ-ِ,خَفَّف
فلورثته	وارِث
فلبستها	لَبَّس,لَبِس-َ,بَسَّة,لِبْسَة,لُبْسَة
فقراه	قَرْيَة,قَرّ-َِ,قِرَى,قَرَى-ِ,قَرا
فقبله	قَبَّل,قِبْلَة,قُبْلَة,قِبَل,قَبْلَ,قَبِل-َ
ففيم	فِيما
ففعلنا	فَعَل-َ,فِعْل
فعلته	فَعَل-َ,فَعْلَة,عَلا,عِلَّة,عال,عَلَّى
فضربوا	ضَرَب,ضَرَّب
فصلاها	صَلَّى,فَصَل-ِ,صَلَى-ِ,فَصْل,فَصَّل
فشكا	شَكّ,فَشَك,شِيك,شَكا
فشددت	شَدّ-ُِ,شَدَّد
فسمي	سُمِّيّ,سَمّ,سَمَّى,سَمِيّ
فزني	فَزّ-ِ,زَنّ,زِنَى,زَنَى-ِ
فرواه	راوِي,رَوَى-ِ,رَوَّى
فرمت	رام-ِ,رَمّ-ِ,رَمَى-ِ,رَمّ,فَرَم,رام,فَرَّم
فرقتين	فِرْقَة
فرع	فَرَّع,فَرْع
فرحلت	رَحَل-َ,رَحَّل
فراينا	رَأْي
فذهبوا	ذَهَب-َ,ذَهَّب
فذلكم	ذٰلِكَ,ذُلّ
فخطبنا	خُطْبَة,خَطَب
فجعلته	جَعَل-َ
فتقتلونه	قَتَل,قَتَّل
فتركه	تَرَك,تَرْك,تُرْكِيّ,تَرِكَة,تَرَّك,رَكّ
فترة	رَها,فَتَر,تَرِه-َ,فِتْر,وَرَى-ِ,فَتَّر,رَأَى-َ,فَتْرَة
فبايعته	بايَع
فاوترت	أَوْتَر
فانفروا	NOTFOUND
فامنوا	أَمَنّ,أَمِن-َ,آمَن,أَمَّن
فامروا	أَمَّر,أَمَرّ,آمَر,أَمَر
فالق	فالِق,لَقِي-َ,أَلَق-ِ,أَلَق,أَلْقَى,لاق-ِ
فالثلث	ثُلْث
فاكملوا	أَكْمَل
فاقم	قام,قَمّ,أَقام
فاعطاهم	أَعْطَى
فاضرب	ضَرَب,أَضْرَب,ضَرَّب
