يؤخرا	ؤَخِّر
ونصلح	صَلُح,صَلَّح,أَصْلَح
ونصطبح	NOTFOUND
ونصروه	نَصَر,نَصَّر
ونصروا	نَصَر,نَصَّر
ونصره	أَصَرّ,صار,نَصَر,نَصْر,صَرّ-ِ,نَصَّر,نُصْرَة
ونصرة	أَصَرّ,صار,نَصْر,نَصَر,صَرّ-ِ,نَصَّر,نُصْرَة
ونصحبه	صَحِب-َ,أَصْحَب
ونصح	صَحّ-ِ,صاح-ِ,نَصْح,صَحَّى,أَصْحَى,صَحِي-َ,نَصَح-َ,ناصِح,صَحا
ونصبني	وَصَب-ِ,صَبّ,نَصَّب,أَصاب,صَبَّن,صَبِي-َ,صَبا,صَبّ-َ,نَصَب,صَبَّى
ونصبت	نَصَّب,نَصَب,نَصِب-َ
ونصاري	نَصْرانِيّ,ناصِر
ونشهد	شَهِد-َ,أَشْهَد
ونشتهيه	ٱِشْتَهَى
ونشتري	ٱِشْتَرَى
ونشترك	ٱِشْتَرَى,شَتَر-ِ,ٱِشْتَرَك
ونسينا	نَسِي-َ,نَسْي,نَسِيّ
ونسيح	سَيَّح,ساح-ِ,أَساح
ونسيته	نَسِي-َ,نَسِيّ
ونسيئة	نَسِيئَة
ونسواتها	NOTFOUND
ونسوا	نَسِي-َ
ونسمع	سَمَّع,سَمِع-َ,أَسْمَع
ونسقيك	سَقَى-ِ,أَسْقَى,نَسَق
ونسفه	نَسْف,سَفَى-ِ,سَفَّه,سَفُه,سَفِه-َ,أَسْفَى,نَسَف-ِ,أَسَفّ
ونسجدها	سَجَد
ونستنجي	ٱِسْتَنْجَى
ونستعين	ٱِسْتَعان
ونستشفع	NOTFOUND
ونستبيح	ٱِسْتَباح
ونسبح	سَبَّح,سَبَح-َ
ونسبا	نَسَب,نِسْبَة
ونسال	أَسال
ونسائهم	نِساء,نَسّاء,نَساء
ونسائه	نِساء,نَسّاء,نَساء
ونزيد	زاد-ِ,زَيَّد,أَزاد
ونزونا	زَوَى-ِ,نَزا,زَوَّى,نَزّ-ِ
ونزلوا	نَزَل-ِ,نَزَّل,نَزِل-َ
ونزلهم	نَزَل-ِ,أَزال,نَزْل,زال-َ,أَزَلّ,نُزْل,زال,نَزَّل,زَلّ-َِ,نَزِل-َ
ونزعنا	نَزَّع,نَزْع,نَزَع-ِ
ونري	وَرَى-ِ,رَأَى-َ
ونرويك	أَرْوَى,رَوَى-ِ,رَوَّى
ونرمي	رَمَى-ِ
ونرثه	وَرِث-ِ,رَثا,راث-ِ,رَثَى,راث
ونذروا	نَذَر,نَذِر-َ
ونذرت	نَذَر,نَذِر-َ
ونذبح	ذَبَّح,ذَبَح-َ
وندما	نَدِم-َ,نَدَم
وندعه	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
وندرت	نَدَر,نَدُر
وندر	دَرَى-ِ,أَدْرَى,أَدار,أَدَرّ,نَدَر,دَرّ-ُِ,نَدُر,نَدْر,دار
وندخره	ٱِدَّخَر
وندال	أَدال
ونخلا	نَخَل,نَخْل
ونخزيهما	أَخْزَى,خَزَى-ِ
ونخبر	أَخْبَر,خَبُر,خَبَر,خَبَّر
ونخالف	خالَف
ونحيا	حَيّ-َ,نَحَّى,نَحَى
ونحملهما	حَمَل-ِ,حَمَّل
ونحلق	حَلَّق,حَلَق-ِ
ونحل	نَحَل-َ,أَحَلّ,أَحال,نَحِيل,حَلُو,نَحُل,نَحَل-َُ,ناحِل,نَحِل-َ,حَلّ-ِ,حَلَى,حَلَّى,حَلِي-َ,نَحْل,نِحْلَة,حال,حَلّ
ونحته	حَتّ,نَحا,نَحَت-ُِ,نَحْت,ناح,نَحَّى,نَحَى
ونحتفر	ٱِحْتَفَر
ونحترث	NOTFOUND
ونحب	أَحَبّ,نَحَب-َِ,حَبّ-ِ,نَحْب,حَبا
ونحاها	نَحا,نَحَّى,نَحَى
ونحا	نَحا
ونجيح	نَجِيح,أَجاح
ونجه	جَهِي-َ
ونجعلها	جَعَل-َ
ونجاهد	جاهَد
ونثرت	نَثَر,نَثَّر
ونثرا	نَثَر,نَثَّر,نَثْر
ونتعجب	تَعَجَّب
ونتركه	تَرَك,تَرَّك
ونتخذ	ٱِتَّخَذ
ونتحرج	تَحَرَّج
ونتحدث	تَحَدَّث
ونتجت	نَتَج-ِ
ونبيكم	نَبِيّ
ونبيع	باع-ِ,أَباع
ونبيح	أَباح,نَبِيح
ونبهته	أَبْهَت,نَبَّه,بَهَت-َ,نَبِه
ونبلغه	بَلَّغ,أَبْلَغ,بَلَغ
ونبقي	بَقِي-َ,أَبْقَى,نَبْق
ونبعث	بَعَث-َ
ونبش	نَبَّش,باش,نَبْش,بَشّ-َ,نَبَش
ونبذهم	نَبَذ-ِ,نُبْذَة,نَبَّذ,بَذّ,نَبْذ
ونبذها	نَبَذ-ِ,نُبْذَة,نَبَّذ,بَذّ,نَبْذ
ونبذ	نَبَذ-ِ,نُبْذَة,نَبَّذ,بَذّ,نَبْذ
وناي	وَنَى,ناي
ونامر	أَمَر
وناما	نام-َ
وناكله	أَكَل
وناقصته	ناقَص,ناقِص
وناقة	ناقَة,ناقِه
ونافعا	نافِع
وناضح	NOTFOUND
وناصيتها	ناصِيَة
وناشئة	ناشِئ
وناسا	ناس
ونارك	نار
وناح	ناح,ناحِي
وناج	ناجِي
ونؤمن	آمَن,أَمَّن
ونؤدي	أَدَّى
ون	وَنّ-ِ,وَنّ,ن
وميم	مِيم
وميكال	NOTFOUND
وميضاة	NOTFOUND
وميرتنا	مِيرَة
وميراثهما	مِيراث
وميثرة	مِيثَرَة
ومولاي	مَوْلَى
ومولاك	مَوَّل,مَوْلَى
وموقيه	NOTFOUND
وموقوف	مَوْقُوف
وموعود	مَوْعُود
وموعظة	مَوْعِظَة
وموعدكم	مَوْعِد
وموعدك	مَوْعِد
وموج	مَوَّج,مَوْج
وموتها	مَوَّت,مَوْت
وموتا	مَوَّت,مَوْت
ومواليهم	مَوّال,مُوالِي,مَوْلَى
ومواقيتهن	مِيقات
ومواسم	مِيسَم,مَوْسِم
ومهدي	مَهْد,مُهْدَى,مُهْدِي,مَهْدِيّ
ومنيحة	NOTFOUND
ومنكوس	مَنْكُوس
ومنكبيه	مُنْكَبّ,مَنْكِب
ومنعوه	مَنَع
ومنعتنا	مَنَع,مَنْعَة
ومنعا	مَنَع,مَنْع
ومنصب	مَنْصِب,مِنْصَب
ومنشطك	مُنْشِط,مُنَشِّط,مَنْشَط
ومنزلة	مُنَزَّل,مُنْزَل,مَنْزِل,مَنْزِلَة
ومنذرين	مُنْذِر
ومنذر	مُنْذِر
ومندل	مَنْدَل
ومناه	مَناة,مَنّ,مَنَّى,مَنَى-ِ,مَنَى
ومناكبنا	مَنْكِب
ومنافقة	مُنافِق,مُنافَقَة
ومنافع	مَنْفَعَة
ومناصحة	NOTFOUND
ومناد	مُنادِي
ومناة	مَناة,مَنّ,مَنَّى,مَنَى-ِ,مَنَى
وممركم	مَمَرّ
وملكه	مَلِك,مَلَك-ِ,مِلْك,مَلَّك,مَلَكَة,مَلِكَة,مُلْك
وملكان	مَلِك
وملكا	مَلِك,مَلَك-ِ,مِلْك,مَلَّك,مُلْك
وملانا	مُلَّى,مَلَى,مَلّ,مَلَّى
وملاطها	مِلاط
ومكيال	مِكْيَل
ومكفرة	NOTFOUND
ومكتوب	مَكْتُوب
ومكانه	مَكانَة,مَكان
ومكارهنا	مَكْرَه
ومقيلهم	مَقِيل
ومقيس	NOTFOUND
ومقسم	مَقْسَم,مُقَسِّم,مُقَسَّم
ومقدم	مُقَدَّم,مَقْدَم,مُقَدِّم
ومقتضيا	مُقْتَضَى
ومقتبسين	مُقْتَبَس
ومقالته	مَقال,مُقال
ومقاثي	NOTFOUND
ومقابر	مَقْبَر
ومفطر	مُفْطِر
ومفتوح	مَفْتُوح
ومفتر	مُفْتَرِي,مُفْتَرّ
ومفتاح	مِفْتاح
ومغفري	مِغْفَر
ومغرب	مَغْرَب,مَغْرِب,مُغَرَّب
ومعيقيب	NOTFOUND
ومعوذ	NOTFOUND
ومعهن	مَعَ
ومعناهم	ماع-ِ,مَعْنَى
ومعلي	مُعَلّ,مُعَلَّى
ومعك	مَعَك-َ,مَعَ
ومعطيكم	مُعْطِي,مَعِط
ومعروف	مَعْرُوف
ومعافر	NOTFOUND
ومعاطن	NOTFOUND
ومعارفها	مَعْرِفَة
ومعادي	مُعاد,مَعاد,مَعادِي,مُعادِي
ومظاهر	مَظْهَر
ومطيع	مُطِيع
ومطهرك	مَطْهَر,مُطَهَّر,مُطَهِّر
ومطلب	مَطْلَب
ومطرنا	مَطَر,مَطْرَن,مَطِر
ومطرف	مُطْرِف,مِطْرَف
ومطردة	مُطَّرِد
ومضيت	مَضَّى,مَضَى-ِ
ومضطجعا	مُضْطَجَع
ومضت	وَمَض-ِ,مَضّ-َ,مَضّ,مَضَّى,مَضَى-ِ
ومصيبون	NOTFOUND
ومصلحته	مُصْلِح,مُصَلِّح,مَصْلَحَة
ومصل	مُصَلِّي,مَصْل,مَصَل
ومصداقه	مِصْداق
ومصحفه	مُصْحَف
ومصائبها	مُصِيبَة
ومشينا	مَشَى-ِ,مَشَّى,مُشَيِّن,مَشْي
ومشركي	مُشْرِك
ومشربهم	مَشْرَب
ومشدد	مُشَدَّد,مُشَدِّد
ومشتريا	مُشْتَرِي
ومشاهدهم	مُشاهَد,مَشْهَد,مُشاهِد
ومشاش	NOTFOUND
ومسيرة	مَسِيرَة,مُسَيِّر,مُسَيَّر,مَسِير
ومسور	مُسَوَّر
ومسلمة	مُسَلَّم,مُسْلِم
ومسكنته	مَسْكَنَة,مُسَكِّن
ومسعود	مَسْعُود
ومسسنا	مَسّ-َ
ومسروقا	مَسْرُوق
ومسحت	مَسَّح,مَسَح-َ
ومسجده	مَسْجِد
ومستنقذ	NOTFOUND
ومسترقو	NOTFOUND
ومسترق	NOTFOUND
ومست	مَسَى,مَسَّى,ماس-ِ,وَمَس-ِ,مَسّ-َ
ومسالته	مَسْأَلَة
ومساكم	مَسَى,مَسَّى,وَمَس-ِ,مَسّ-َ
ومساجدكم	مَسْجِد
ومزدلفة	NOTFOUND
ومزاده	مَزاد,مَزادَة
ومريه	مُرّ,مُرْيَة
ومرفوعا	مَرْفُوع
ومرفقيه	مِرْفَق
ومرعي	مَرْعَى,مَرْعِيّ,مَرْع
ومرضت	مَرِض-َ,مَرَّض
ومررت	مَرّ,مَرَّر
ومرجعه	مَرْجِع
ومرجانة	مَرْجان
ومرتاد	مُرْتاد
ومرافقها	مِرْفَق,مُرافِق
ومذحج	NOTFOUND
ومدوا	مَدّ
ومدائن	مَدِينَة,مَدائِن
ومخول	مُخْل,مُخَوَّل
ومخنف	NOTFOUND
ومخرمة	مُخَرَّم
ومخدوش	NOTFOUND
ومخدوج	NOTFOUND
ومحياها	مَحَّى
ومحلم	NOTFOUND
ومحك	مَحِك,مَحَك-َ,مُحّ,مِحَكّ,مَحّ
ومحقرات	NOTFOUND
ومحصته	مَحَّص,مَحَص-َ
ومحرمات	مُحَرَّم
ومحرما	مَحْرَم,مُحَرَّم
ومحجة	مَحَجَّة,مَحَجّ
ومحتبس	NOTFOUND
ومحاها	مَحا,مَحَّى,مَحّ
ومحارب	مِحْراب,مُحارِب
ومجوس	مَجُوس
ومجني	مِجَنّ,مَجْنَى,مَجْنِيّ,مَجّ
ومجلس	مَجْلِس
ومجراه	مَجْرَى,مَجَرّ
ومجده	مَجْد,مُجِدّ,مَجَّد
ومجانينكم	مَجْنُون
ومثلهم	مَثَل,مِثْل,مَثَّل
ومتهبط	NOTFOUND
ومتلطف	NOTFOUND
ومتفرقين	مُتَفَرِّق
ومتعنا	مُتْعَة,مَتَّع,مَتَع-َ
ومتسريهم	NOTFOUND
ومتسرعهم	مُتَسَرِّع
ومتجركم	مَتْجَر
ومت	مات,مَتّ
ومبيرا	NOTFOUND
ومبتغ	NOTFOUND
ومباطيخ	NOTFOUND
وماواهم	NOTFOUND
ومانعوك	مانِع,مانَع,عَوَى-ِ
ومالوا	مال-ِ
ومالكا	مالِك
ومالا	مال,مال-ِ
وماعز	ماعِز
ومارب	NOTFOUND
ومادة	ماد-ِ,مادّ,مادَّة
وماءها	ماء
وماءه	ماء
ومؤمنة	مُؤَمَّن,مُؤْمِن,مُؤَمِّن
ومؤكله	NOTFOUND
ومؤخرهما	مُؤَخَّر,مُؤْخِر
ومؤخر	مُؤَخَّر,مُؤْخِر
وليوم	يَوْم
ولينها	وَلِي-ِ,لَيِّن,وَلَّى,وَنَى-ِ,يِن,لِين,لَيَّن
ولينفقا	نَفِق-َ,نَفَّق,أَنْفَق,نَفَق
ولينفذن	أَنْفَذ,نَفَّذ,نَفَذ
ولينعلهما	نَعَل-َ,نَعَّل,أَنْعَل
ولينظر	نَظَر
ولينصر	نَصَر,نَصَّر
ولينزعن	نَزَّع,نَزَع-ِ
ولينتفع	ٱِنْتَفَع
ولينبه	أَنْبَه,نَبُه,نَبَّه,ناب,نَبا,أَناب,نَبَه,نَبِه-َ
ولينبذ	نَبَذ-ِ,أَنْبَذ,نَبَّذ
ولينا	لِينا,وَلِي-ِ,لَيِّن,وَلَّى,يِن,لَيّ,لِين,لَيَّن,وَلِيّ
ولين	وَلِي-ِ,لَيِّن,وَلَّى,وَنَى-ِ,يِن,لِين,لَيَّن
وليمسك	مَسَى,مَسَّى,مَسَك,ماس-ِ,مَسَّك,أَمْسَك,أَمْسَى,وَمَس-ِ,مَسّ-َ
وليمتها	مات,أَمات,وَلِيمَة
وليليني	وَلِي-ِ,لَيَّن
وليلقين	لَقِي-َ,أَلْقَى
وليلتنا	لَتّ,لَيْلَة
وليلتكم	لَتّ,لَيْلَة
وليكونن	NOTFOUND
وليكفرها	كَفَر-ِ,كَفَّر,أَكْفَر
وليكسه	وَكَس-ِ,كَسا,أَكْسَى,كَسِي-َ
وليقطع	قَطَع-َ,قَطَّع,أَقْطَع
وليقذفن	قَذَف-ِ,قَذَّف
وليقتلن	قَتَّل,قَتَل
وليفرش	فَرَش,فَرَش-ِ,فَرَّش
وليغمض	غَمَّض,غَمُض,أَغْمَض
وليعلموا	أَعْلَم,عَلَّم,عَلِم-َ
وليعقلن	عَقَل-ِ,عَقْلَن,عَقَّل
وليعفوا	عَفّ-ِ,أَعْفَى,عَفَّى,عَفا
وليعظم	عَظُم,أَعْظَم,عَظَّم
وليعط	أَعْطَى
وليعذر	أَعْذَر,عَذَر-ِ
وليعتمرن	ٱِعْتَمَر
وليضم	ضام-ِ,ضَمّ
وليضعهما	ضاع-ِ,وَضَع,أَضاع
وليضعن	ضاع-ِ,وَضَع,أَضاع,ضاع
وليضع	ضاع-ِ,وَضَع,أَضاع,ضاع
وليصفق	صَفَق-ِ,صَفَّق,صَفَق,أَصْفَق
وليصفحوا	صَفَّح,صَفَح-َ
وليصدن	وَصَد-ِ,صاد-ِ
وليشترطوا	ٱِشْتَرَط
وليسم	وَسَم-ِ,سَمّ,سام,سَما,أَسام,سَمَّى,أَسْمَى
وليسلت	سَلَت-ُِ
وليسعك	سَعَى-َ
وليسري	يُسْرِي,أَيْسَر,أَسْرَى,يُسْر,سَرَّى,سَرَى-ِ
وليسال	أَسال
وليروا	رَأَى-َ,وَرَى-ِ
وليرقد	رَقَّد,رَقَد,أَرْقَد
وليرفعن	رَفَّع,رَفَع-َ
وليردن	أَراد,وَرَد-ِ,راد,رَدَن-ِ
وليردفك	أَرْدَف,رَدِف-َ,رَدَف
وليديه	وُلَيْد,يَد,وَلِيد,وَدَى-ِ
وليدعون	دَعا
وليدعوا	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
وليدتي	وَلِيدَة,وُلَيْد
وليدتهم	وَلِيدَة,وُلَيْد
وليخلقوا	خَلِق-َ,خَلُق,أَخْلَق,خَلَق,خَلَّق
وليخرج	خَرَج,خَرَّج,أَخْرَج
وليجنا	أَجَنّ,جَنّ
وليجلس	جَلَس-ِ,أَجْلَس
وليجتنبن	ٱِجْتَنَب
وليجئ	جاء
وليث	لَيْث
وليتني	لَيْتَ,وَلِي-ِ,وَلَّى
وليتمن	تَمَنَّى,تام
وليتصدقا	تَصَدَّق
وليتخير	تَخَيَّر
وليتجوز	تَجَوَّز
وليبقين	بَقِي-َ,أَبْقَى
وليبعها	باع-ِ,أَباع
وليبعثنه	بَعَث-َ
وليامر	أَمَر
ولياخذوا	أَخَذ
ولياخذ	أَخَذ
وليؤمنوا	آمَن,أَمَّن
ولونها	لَوْن,وَنّ,لَوَّن
ولونه	لَوْن,وَنّ,لَوَّن
ولولده	وَلَد,وَلْدَة
ولوقتها	وُقَّة,وَقْت
ولورثتها	وارِث
ولورثته	وارِث
ولوددنا	NOTFOUND
ولوبيا	لُوبِياء
ولوالده	والِد
ولواء	لِواء
ولهو	هُو,لَهْو
ولهان	وَلْهان
ولننازلن	NOTFOUND
ولنقرئنه	NOTFOUND
ولنصب	أَصاب,صَبِي-َ,صَبّ-َ,نَصَب,صَبَّى,صَبّ,وَصَب-ِ,نُصْب,نَصْب,صَبا
ولنسفعن	NOTFOUND
ولنسالنهم	NOTFOUND
ولنسالك	NOTFOUND
ولنساء	نَسّاء,نِساء,نَساء,أَساء
ولنذيقنهم	NOTFOUND
ولنحل	أَحَلّ,أَحال,نَحِيل,حَلُو,ناحِل,حَلّ-ِ,حَلَى,حَلَّى,حَلِي-َ,نِحْلَة,نَحْل,حال,حَلّ
ولميذكر	NOTFOUND
ولموسي	مُوسَى
ولموالي	مَوّال,مُوالِي,مَوْلَى
ولملاته	NOTFOUND
ولمحمد	مُحَمَّد
