القائلون	قائِل
اسرج	سَرَج-َ,سَرَّج,أَسْرَج
اسراعه	إِسْراع,سُرْع
اسحر	سَحَّر,سَحَر-َ
استي	ٱِسْت,ٱِسْتِيّ
استوهبه	ٱِسْتَوْهَب
استوفي	ٱِسْتَوْفَى
استه	آسَى,ٱِسْت,أَسا,أَسَّى
استنكرت	ٱِسْتَنْكَر
استنكر	ٱِسْتَنْكَر
استنقذ	ٱِسْتَنْقَذ
استنفض	NOTFOUND
استند	ٱِسْتَنَد
استنثروا	NOTFOUND
استنثر	NOTFOUND
استنت	ٱِسْتَنّ
استمشيت	NOTFOUND
استمسكت	ٱِسْتَمْسَك
استمتعتم	ٱِسْتَمْتَع
استلموا	ٱِسْتَلَم
استلحقه	ٱِسْتَلْحَق
استلج	NOTFOUND
استكرهت	ٱِسْتَكْرَه
استكان	ٱِسْتَكان
استقيم	ٱِسْتَقام
استقم	ٱِسْتَقام
استقبلناه	ٱِسْتَقْبَل
استقاموا	ٱِسْتَقام
استفق	ٱِسْتَفاق
استفتيهم	ٱِسْتَفْتَى
استفتحت	NOTFOUND
استغيث	ٱِسْتَغاث
استغنينا	ٱِسْتَغْنَى
استغنوا	ٱِسْتَغْنَى
استغل	ٱِسْتَغَلّ,ٱِسْتَغْلَى
استغسلتم	NOTFOUND
استغرب	ٱِسْتَغْرَب
استعجلنا	ٱِسْتَعْجَل
استظل	ٱِسْتَظَلّ
استطير	ٱِسْتَطار
استصغرت	ٱِسْتَصْغَر
استشارهم	ٱِسْتَشار
استزده	ٱِسْتَزاد
استرعاهم	ٱِسْتَرْعَى
استرعاه	ٱِسْتَرْعَى
استرد	ٱِسْتَرَدّ,ٱِسْتَراد
استرخي	ٱِسْتَرْخَى
استرخت	ٱِسْتَرْخَى
استذكروا	ٱِسْتَذْكَر
استذكرهن	ٱِسْتَذْكَر
استدبرته	ٱِسْتَدْبَر
استدبار	NOTFOUND
استخلفه	ٱِسْتَخْلَف
استخرجه	ٱِسْتَخْرَج
استحييهم	ٱِسْتَحْيَى
استحيا	NOTFOUND
استحوذ	ٱِسْتَحْوَذ
استجد	ٱِسْتَجَدّ,ٱِسْتَجاد,ٱِسْتَجْدَى
استبنت	ٱِسْتَبان
استبطاء	NOTFOUND
استبددت	ٱِسْتَبَدّ
استاك	آسَى,ٱِسْت,أَسا,أَسَّى
استاخري	NOTFOUND
استئذان	ٱِسْتِئْذان
است	آسَى,ٱِسْت,أَسا,أَسَّى
اسبق	سَبَّق,أَسْبَق,سَبَق-ُِ
اسام	سامَى,أَسام,ٱِسْم,سام
اساقط	NOTFOUND
اسافر	سافَر
ازيز	أَزِيز
ازيدكم	أَزْيَد,زاد-ِ,زَيَّد,أَزاد
ازواجنا	زَوْج
ازواجكن	زَوْج
ازمل	NOTFOUND
ازلفها	زَلَف,أَزْلَف,زَلَّف
ازرة	أَزار,وَزَر-ِ,زَرَى-ِ,أَزْر,آزَر,أَزَّر,أَزَر-ِ,زَرّ,زار,إِزار,أَزْرَى
ازر	أَزار,زَرَى-ِ,وَزَر-ِ,أَزْر,آزَر,أَزَّر,أَزَر-ِ,زَرّ,زار,إِزار,أَزْرَى
ازددتم	ٱِزْداد
ازارها	أَزار,إِزار
اريم	رام-ِ,رَيَّم
اريق	أَراق,راق-ِ
ارهنوني	أَرْهَن
ارهما	وَرَى-ِ,رَأَى-َ,آر
ارهقنا	رَهِق-َ,أَرْهَق
ارمينية	NOTFOUND
ارملة	أَرْمَلَة,أَرْمَل,رَمَّل
اركم	رَكَم,وَرَى-ِ,رَأَى-َ,آر
اركد	رَكَد
ارقيهم	آرِق,رَقَّى,أَرِق,أَرَقّ
ارقد	رَقَّد,رَقَد,أَرْقَد
ارقبوا	NOTFOUND
ارفقي	NOTFOUND
ارفضي	NOTFOUND
ارعدت	أَرْعَد
ارعاها	أَرْعَى,رَعَى-َ
ارضخ	رَضَخ-َ,رَضَخ
ارضاهما	أَرَّض,أَرْضَى,رَضِي-َ,أَرْض
ارشد	رَشَّد,رَشَد,أَرْشَد
ارسلتم	أَرْسَل
ارزقكم	رَزَق
ارذلهم	أَرْذَل,رَذَل
ارده	رَدِي-َ,راد,أَرَدّ,رَدَّى,أَراد,أَرْدَى,رَدّ,وَرَد-ِ
اردبها	أَرْدَبّ
ارحموا	NOTFOUND
ارحمهما	رَحَّم,رَحِم-َ
ارحمها	رَحَّم,رَحِم-َ
ارحت	أَراح
ارحامهن	رَحِم
ارجموه	NOTFOUND
ارجحهما	رَجَّح,أَرْجَح
ارتفاعها	ٱِرْتِفاع
ارتداد	ٱِرْتِداد
ارتحلنا	ٱِرْتَحَل
ارتبتم	ٱِرْتاب
ارتاي	أَرَتّ
اربيت	أَرْبَى
ارباعه	رُبْع
ارايتك	NOTFOUND
ارايا	NOTFOUND
اراهن	راهَن,رَأَى-َ
ارامل	أَرْمَلَة,أَرْمَل
ارادهن	أَراد
ارادة	إِرادَة,أَراد
ارادا	أَراد
اراجع	راجَع
ارابها	آراب,رابَى,إِرْب,أَراب
اذيته	أَذِي-َ,أَذِيَّة,آذَى
اذود	ذاد
اذنابها	ذَنَب
اذكيه	أَذْكَى,ذَكَّى
اذكرنيها	NOTFOUND
اذكرا	أَذْكَر
اذره	ذَرَى-ِ,ذَرا,أَذْرَى,ذَرّ,ذَرَّى,وَذِر-َ
اذبحك	ذَبَّح,ذَبَح-َ
اذاننا	أَذان,أُذُن
اذانك	أَذان,أُذُن
اذاخر	NOTFOUND
ادنيه	ٱِدَّنَى,دَنَّى,أَدْنَى
ادنوه	دَنا
ادنو	دَنا
ادما	NOTFOUND
ادلع	دَلَع-َ,أَدْلَع,دَلَّع
ادق	أَدَقّ,دَقّ,دَقّ-ِ
ادفن	دَفَن-ِ
ادفعوه	NOTFOUND
ادفعوا	NOTFOUND
ادعوت	NOTFOUND
ادعها	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
ادعكم	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
ادعك	وَدَع-َ,دَعَك-َ,ٱِدَّعَى,دَعّ-َ,دَعا
ادعت	ٱِدَّعَى
ادركناه	أَدْرَك
ادركتنا	أَدْرَك
ادركتموهم	أَدْرَك
ادرة	دَرَى-ِ,أَدْرَى,أَدار,أَدَرّ,دار
ادرءوا	NOTFOUND
ادخلي	دَخَل
ادخلوه	أَدْخَل,دَخَل
