لثواب	ثَوّاب,ثَواب
كتفيها	كِتْف,كَتِف
كتفيك	كِتْف,كَتِف
كتطويل	تَطْوِيل
كتحريم	تَحْرِيم
كتبي	كُتُبِيّ,كِتاب
كتبك	كِتاب,كَتَب
كتابيه	كِتاب,كِتابِيّ
كتابته	كِتابَة
كتابان	كِتاب
كتائب	تائِب,كَتِيبَة
كبوة	كَبا,كَبّ,كَبْوَة
كبوا	كَبا,كَبّ
كبعض	بَعْض
كبسا	كَبْس,كَبَّس,كَبَس-ِ
كبس	كَبْس,كَبَّس,كَبَس-ِ
كبرياء	كِبْرِياء
كبروا	كَبَّر,كَبَر
كبرها	بِرّ,بُرّ,بَرّ,كِبْر,كِبَر,كُبْر,كَبَّر,كَبَر
كبركة	بِرْكَة,بَرَكَة
كبرد	بُرْد,بَرَد,بَرْد
كبراءهم	كَبِير,بَرِيء
كبرا	كِبْر,كِبَر,كُبْر,كَبَّر,كَبَر
كبده	كَبِد,كَبَّد,كَبَد,بُدّ
كبب	كَبَّب,كُبَّة
كباش	باش,باشّ,كَبْش
كباركم	بارّ,كَبِير
كبائر	كَبِيرَة,بائِر
كاين	NOTFOUND
كاوساط	وَسْط
كاهنة	كاهِن
كاهلالك	NOTFOUND
كانون	كانُون
كانهن	آن,كان
كانفتال	NOTFOUND
كانتن	NOTFOUND
كاناء	نَأْي,إِناء,أَنَى
كامهاتهم	أُمّ
كامس	أَمَسّ,أَمْس
كامثل	أَمْثَل
كاليتامي	يَتِيم
كالوفرة	وَفْرَة
كالوعاء	وِعاء
كالهجرة	هِجْرَة
كاله	آل,كال-ِ,إِلٰه,كالّ,آلَة
كالميتة	مَيِّت,مَيْتَة,مِيتَة
كالملح	مُلِحّ,مِلْح,مُلْحَة
كالمستقذر	NOTFOUND
كالمتقذر	NOTFOUND
كالمتطاول	مُتَطاوِل
كالليل	لَيْل
كالكوز	كُوز
كالكف	كَفّ
كالكبش	كَبْش
كالقمر	قَمَر
كالقلال	قَلِيل
كالقصر	قاصِر,قَصَر,قَصْر,قِصَر
كالقدح	قِدْح,قَدَح,قَدْح
كالقابض	قابِض
كالقائم	قائِم
كالفرخ	فَرْخ
كالفحل	فَحْل
كالغسل	غِسْل,غُسْل
كالطرف	طَرَف
كالطاق	طاق
كالضرمة	ضَرْمَة
كالصرف	صِرْف,صَرْف
كالشررة	شَرَر
كالشر	شَرّ
كالسورة	سُورَة,سَوْرَة
كالسنة	لِسان,سُنَّة,سَنَة,أَلْسَن
كالسلسلة	سِلْسِلَة
كالساعة	ساعَة
كالزلقة	زَلْقَة,زَلِق
كالزعفران	زَعْفَران
كالريحانة	NOTFOUND
كالريح	رَيِّح,رِيح
كالرميم	رَمِيم
كالرابية	رابِيَة
كالدليل	دَلِيل
كالخير	خَيِّر,خَيْر
كالخامة	خامّ
كالحنظلة	حَنْظَل
كالحصير	حَصِير
كالحامل	حامِل
كالحاسد	حاسِد
كالثور	ثَوْر
كالثغب	NOTFOUND
كالتنكيل	تَنْكِيل
كالتدبير	تَدْبِير
كالبيوت	بَيُّوت,بَيْت
كالبرق	بَرْق
كالبردة	بَرَدَة
كالبدوي	بَدَوِيّ
كالباسط	باسِط
كالاكل	آكِل,أُكُل,أَكْل
كالافطار	إِفْطار
كالابل	إِبْل
كاكره	أَكْر,أُكْرَة
كافيناه	كافَى
كافل	كافَل,آفِل,كافِل
كافرة	كافِر
كافتراش	NOTFOUND
كاطيب	أَطْيَب
كاضوا	NOTFOUND
كاشفين	كاشِف
كاشتداده	ٱِشْتِداد
كاسين	أُسّ,آسِي,آس
كاسمه	ٱِسْم
كاسرع	أَسْرَع
كاستنارة	ٱِسْتِنارَة
كاذان	أَذان,أُذُن
كاخي	أَخ
كاخرة	آخِرَة,آخِر,آخَر
كاتمام	إِتْمام
كاتبوني	كاتَب
كاتبها	كاتِب,كاتَب
كاتبني	كاتَب
كابني	ٱِبْن
كابرا	كابَر
كئيبا	كَئِيب
كئيب	كَئِيب
قينته	قَيْنَة
قينتان	قَيْنَة
قين	قَيْن
قيمهن	قِيمَة,قَيَّم,قَيِّم
قيلت	قال,قَيَّل
قيض	قَيْض,قَيَّض
قيسوا	قَيَّس
قيسعن	NOTFOUND
قيده	قَيَّد,قَيْد
قياه	NOTFOUND
قيامهم	قِيام
قيامها	قِيام
قيامكم	قِيام
قويهم	قَوِيّ
قولهل	NOTFOUND
قوتها	قَوَّى,قَوَّت,قُوت,قُوَّة
قوتلوا	NOTFOUND
قوانا	قَوَّى,قُوَّة,قَوَى
قواطن	NOTFOUND
قواريرها	قارُورَة
قوارير	قارُورَة
قوارب	قارِب
قوائمها	قائِمَة
قهطم	NOTFOUND
قنوا	قَنَى-ِ,قُنْو,قَنا
قنعت	قَنَّع,قَنِع-َ
قنعا	قَنِع,قَنَع,قَنَّع,قَنِع-َ,قِناع,قِنْع
قنطوراء	NOTFOUND
قنافة	NOTFOUND
قناديله	قِنْدِيل
قناء	NOTFOUND
قميصين	قَمِيص
قميصي	قَمِيص
قمل	قَمْل,قَمِل,قَمِل-َ,قَمَل
قمراء	قَمْراء
قمرا	قَمَر-ِ,قَمَر,قَمِر-َ,قَمَّر
قلوصه	NOTFOUND
قلوصك	NOTFOUND
قله	قُلَّة,قِلَّة,قِلّ,قَلَّة
قلس	قَلَّس,قَلْس,قَلَس-ِ
قلده	قَلَّد
قلدتها	قَلَّد
قلتهن	قَلا,قال,قُلَّة,قَلَى-ِ,قِلَّة,قَلَّة
قلتموها	قال
قلتما	قال
قلتفخرجت	NOTFOUND
قلبها	قَلَب-ِ,قَلْب,قَلَّب
قلبناه	قَلَب-ِ,قَلَّب
قلبت	قَلَب-ِ,قَلَّب
قلانس	قَلَنْسُوَة
قلاص	NOTFOUND
قلائدهن	قِلادَة
قفيزها	قَفِيز
قفيز	قَفِيز
قفوله	قُفْل
قفوا	قَفّ,قَفا,قَفَّى
قفلت	قَفَل,قَفَل-ِ,قَفَّل
قفلة	قَفَل,قُفْل,قَفَل-ِ,قَفَّل
قفراء	قَفْراء
قفر	قَفْر,قَفَر
قفدني	NOTFOUND
قفدة	NOTFOUND
قعنبا	NOTFOUND
قعره	قَعْرَة,قَعْر,قَعَّر
قعرة	قَعْرَة,قَعْر,قَعَّر
قعرا	قَعْر,قَعَّر,قَعُر
قعدتم	قَعَد,قَعَّد
قطيعتي	قَطِيعَة
قطيعته	قَطِيعَة
قطنا	قُطْن,قِطّ,قَطَّن,قَطّ,قَطَن
قطعوا	قَطَع-َ,قَطَّع
قطعني	قَطَع-َ,قَطَّع
قطعن	قَطَع-َ,قَطَّع
قطعا	قَطَع-َ,قَطَّع,قِطْعَة,قَطْع,قُطْعَة,قَطْعَة
قطريين	قُطْرِيّ,قَطَرِيّ
قطريان	قُطْرِيّ,قَطَرِيّ
قطاف	قِطاف
قطاة	قِطّ,قَطاً,قَطّ
قضيناك	قَضَّى,قَضَى-ِ
قضم	قَضْم,قَضَم-ِ,قَضِم-َ
قضتا	قَضّ-َ,قَضَى-ِ,قَضَّى,قَضّ
قضبه	قَضَّب,قَضْب,قَضَب-ِ
قضاني	قَضَى-ِ,قَضَّى,قَضّ
قضاعة	قُضاع
قضائي	قَضائِيّ,قَضاء
قضائنا	قَضاء
قضاءه	قَضاء
قصيه	قَصِيّ
قصيدته	قَصِيدَة
قصوهما	قَصّ
قصور	قُصُور,قَصْر
قصمه	قَصَم-ِ,قَصِم
قصم	قَصَم-ِ,قَصِم
قصعته	قَصَع-َ,قَصْعَة
قصصتها	قَصّ,قَصَّص
قصرهم	قَصَر-ِ,قاصِر,قَصَّر,قَصَر,قَصْر,قِصَر
قصرنا	قَصُر,قَصَر-ِ,قاصِر,قَصَّر,قَصَر,قَصْر,قِصَر
قصتان	قِصَّة,قَصَّة
قصارته	قِصارَة
قصار	قَصْرِيَّة,قَصِير,قَصار,قَصّار
قصاب	قَصّاب
قشرا	قَشَر,قَشَّر,قِشْر
قشر	قَشَر,قَشَّر,قِشْر
قشاش	قُشّاش,قَشّاش
قسيمة	قُسَيْم,قَسِيم,قَسِيمَة
قسمي	قَسَم,قِسْم
قسمك	قَسَم,قِسْم,قَسَم-ِ,قَسَّم
قسمتي	قَسَمَة,قِسْمَة
قسقاسته	NOTFOUND
قست	قَسَّى,قاس-ِ,قَسا,قَسّ
قس	قَسّ
قزوين	قَزْوِين
قزمان	قَزِم,قَزَم
قريناه	قَرَى-ِ,قَرِين
قريطق	NOTFOUND
قريرة	قَرِير
قريتين	قَرْيَة,قَرِيَّة
قريتك	قَرْيَة,قَرِيَّة,قَرَى-ِ
قريبته	قَرِيب
قرونك	قَرْن,قَرا
قرنيها	قَرْنِيّ,قَرْن
قرقورا	قَرْقُور
قرقور	قَرْقُور
قرفة	قَرَف-ِ,قَرِف-َ,قِرْفَة,قَرَف,قَرَّف,قَرِف
قرعت	قَرِع-َ,قَرَع-َ,قَرَّع
قرطها	قُرْط,قَرَط,قَرَّط,قَرْط
قرضت	قَرَّض,قَرَض-ِ
قرصته	قَرْصَة,قَرَص,قَرَّص,قُرْصَة
قرصة	قَرْصَة,قَرَص,قَرَّص,قُرْص,قُرْصَة,قَرْص
قرره	قَرَّر
قررت	قَرَّر,قَرّ-َِ
قردد	NOTFOUND
قرح	قَرِح,قَرْح,قَرْحَة,قَرِح-َ,قَرَح-َ,قَرَّح
قربني	قَرَّب,قَرِب-َ,قَرُب
قربته	قِرْبَة,قَرَّب,قُرْبَة,قَرِب-َ,قَرُب
قربتموها	قَرَّب,قَرِب-َ,قَرُب
قرامك	قِرام
قراع	قَرّاع,قَرْعَة,قُراع
قرارها	قَرار
قرار	قَرار
قراح	قَراح
قراتهن	NOTFOUND
قراتموه	NOTFOUND
قراتم	NOTFOUND
قراءتك	قِراءَة
قراء	قارِئ
قذي	قِذَى,قَذَى
قذفوها	قَذَّف,قَذَف-ِ
قذفتهم	قَذَّف,قَذْفَة,قَذَف-ِ
قذفته	قَذَّف,قَذْفَة,قَذَف-ِ
قذفت	قَذَّف,قَذَف-ِ
قذرة	قَذَّر,قَذِر,قَذَر
قديمه	قَدِيم
قدورها	قِدْر
قدموهم	قَدِم-َ,قَدَّم
قدمتموها	قَدِم-َ,قَدَّم
قدست	قَدُس,قَدَّس
قدركم	قَدْر,قَدَّر,قِدْرَة,قَدَر,قِدْر
قدحه	قِدْح,قَدَح,قَدَح-َ,قَدْح
قحوط	NOTFOUND
قثاءة	قِثّاء,قِثّاءَة
قتيلي	قَتِيل
قتيلكم	قَتِيل
قتيب	NOTFOUND
قتلوهم	قَتَل,قَتَّل
قتلتني	قَتَّل,قَتَل
قتلتنا	قَتَل,قَتَّل,قاتِل
قتلتموهم	قَتَل,قَتَّل
قتاله	قَتّال,قِتال,قاتِل
قتار	قُتار
قت	قات,قَتّ
قبيلته	قَبِيلَة
قبيحا	قَبِيح
قبيح	قَبِيح
قبورنا	قَبْر
قبلهن	قَبَّل,قِبَل,قَبْلَ,قَبِل-َ
قبلناها	قَبَّل,قَبِل-َ
قبلتهم	قَبَّل,قِبْلَة,قُبْلَة,قَبِل-َ
قبلتموه	قَبَّل,قَبِل-َ
قبلا	قَبَّل,قَبْل,قِبَل,قَبْلَ,قَبِل-َ
قبطية	قِبْطِيّ
قبطي	قِبْطِيّ
قبضهم	قَبْض,قَبَّض,قَبَض-ِ,قُبْضَة
قبضناها	قَبَّض,قَبَض-ِ
قبضتهما	قَبَّض,قَبَض-ِ,قَبْضَة,قُبْضَة
قبضتها	قَبَّض,قَبَض-ِ,قَبْضَة,قُبْضَة
قبرنا	قَبَر,قَبْر,قُبَّر
قبرك	قَبَر,قَبْر,قُبَّر
قبران	قَبْر
قبحك	قُبْح,قَبَّح
قبتك	قَبَّة,قَبَّى,قُبَّة,قاب,قَبّ,قَبا
قباض	قِباض
قباث	NOTFOUND
قانف	NOTFOUND
قامتهم	قام,قامَة
قالهذا	NOTFOUND
قالفاتخذ	NOTFOUND
قالسمعته	NOTFOUND
قالسمعت	NOTFOUND
قالتها	قالَة,قال
قالته	قالَة,قال
قالتفاخرته	NOTFOUND
قالتاه	قال
قالاصاب	NOTFOUND
قالاجل	NOTFOUND
قالابن	NOTFOUND
قافة	قاف
قاعدون	قاعِد
قاضيان	قاضِي
قاصية	قاصِي,قاصّ
قاصفا	NOTFOUND
قارنا	قار,قارّ,قارَن
قارعة	قارَع,قارِع,قارِعَة
قارئهم	قارِئ
قادمون	قادِم
قادمة	قادِم,قادِمَة
قادكم	قاد
قاتلوك	قاتَل,قاتِل
قاتلني	قاتَل
قاتلناهم	قاتَل
قاتلناه	قاتَل
قاتلناك	قاتَل
قاتلكما	قاتَل,قاتِل
قاتلتني	قاتَل
قاتلتنا	قاتَل,قاتِل
قابليها	قابِل
قائمين	قائِم
قائلها	قائِل
قائلة	قائِل
قائظ	قائِظ
قائده	قائِد
قائدا	قائِد
قئت	قاء-ِ
فيوطئون	أَوْطَأ,وَطَّأ
فيوصي	وَصَّى,أَوْصَى
فيوسعون	وَسُع,أَوْسَع,وَسَّع
فيوسع	وَسُع,أَوْسَع,وَسَّع
فيوحي	أَوْحَى,وَحَى-ِ
فيوافقها	وافَق
فيهملائكة	NOTFOUND
فيهلكون	هَلَّك,هَلَك,أَهْلَك
فيهلكه	هَلَّك,هَلَك,أَهْلَك
فيهكلب	NOTFOUND
فيهزم	هَزَم-ِ
فيهذين	هَذَى-ِ
فيهديه	أَهْدَى,هَدَى-ِ
فيهب	هاب-َ,هَبا,أَهَبّ,أَهاب,وَهَب-َ,هَبّ
فيهاب	هاب-َ,أَهاب
فينيمه	أَنام
فينومه	نَوَّم
فينهشنه	نَهَش-ِ
