فينهزم	ٱِنْهَزَم
فنسينا	نَسِي-َ,نَسْي,نَسِيّ
فنسيته	نَسِي-َ,نَسِيّ
فنسوها	نَسِي-َ,سَوَّى,سَوِي-َ
فنسلك	سَلّ,سَلَّى,أَسْلَى,سال-ِ,نَسَل,نَسْل,سَلَّك,سَلا,أَسْلَك,نَسَّل,سَلَك,أَسال
فنسكنا	أَسْكَن,نُسُك,نَسْك,سَكّ,سَكَّن,نَسَك,ساك
فنسقي	نَسْق,سَقَى-ِ,أَسْقَى,نَسَق
فنسخت	نَسَخ-َ
فنسجد	سَجَد
فنستمتع	ٱِسْتَمْتَع
فنستقي	ٱِسْتَقَى
فنستعين	ٱِسْتَعان
فنستحيي	ٱِسْتَحْيَى
فنستحلف	ٱِسْتَحْلَف
فنستبدل	ٱِسْتَبْدَل
فنسبه	سَبّ,ساب-ِ,نَسَب,نِسْبَة,سَبَى-ِ
فنسبني	سَبّ,ساب-ِ,نَسَب,سَبَى-ِ
فنسبت	أَسْبَت,نَسَب,سَبَت
فنسالهم	NOTFOUND
فنساله	نُسالَة,نَسّالَة
فنزله	نَزَل-ِ,أَزال,نَزْل,زال-َ,أَزَلّ,نَزْلَة,نُزْل,نَزَّل,زال,زَلّ-َِ,نَزِل-َ
فنزلا	نَزَل-ِ,نَزْل,نُزْل,نَزَّل,نَزِل-َ
فنزفه	نُزْفَة,زَفّ,زَفّ-ِ,نَزْف,نَزَف-ِ
فنزعهقالت	NOTFOUND
فنزعها	نَزَّع,نَزَع-ِ,نَزْع
فنزعناها	نَزَّع,نَزَع-ِ
فنزعنا	نَزَّع,نَزَع-ِ,نَزْع
فنزعتها	نَزَّع,نَزْعَة,نَزَع-ِ
فنزدحم	ٱِزْدَحَم
فنزحوها	NOTFOUND
فنزحت	نَزَح-َِ
فنز	نَزّ,نَزّ-ِ
فنريد	أَراد
فنريحها	رَيَّح,أَراح
فنروح	راح,رَوَّح,أَرْوَح
فنرسل	أَرْسَل
فنرجع	أَرْجَع,رَجَّع,رَجَع-ِ
فنذهب	أَذْهَب,ذَهَب-َ,ذَهَّب
فنذكي	أَذْكَى,ذَكَّى,ذَكِي-َ
فنذكره	ذَكَر,أَذْكَر,ذَكَّر
فنذروا	نَذَر,نَذِر-َ
فندموا	نَدِم-َ
فندم	دَمّ,أَدام,دام,دَمِي-َ,دَمَّى,نَدِم-َ,نَدَم,أَدْمَى
فندعو	دَعا
فندبنا	نَدَب,نَدِب-َ,نَدْب,دَبّ-ِ
فندب	نَدَب,داب,نَدِب-َ,نَدْب,دَبّ-ِ
فنخير	نَخِير,خار-ِ,خَيَّر
فنخر	نَخْر,نَخَر,خار-ِ,خَرّ-ُِ,خار,نَخِر-َ
فنحوها	نَحْو,نَحا,حَوَى-ِ,نَحَّى,نَحَى,نَحْوَ
فنحت	حَتّ,ناح,نَحا,نَحَّى,نَحَت-ُِ,نَحْت,نَحَى
فنحب	أَحَبّ,نَحَب-َِ,حَبّ-ِ,نَحْب,حَبا
فنحاهما	نَحا,نَحَّى,نَحَى
فنحاه	نَحا,نَحَّى,نَحَى,ناحِي
فنحاني	نَحا,نَحَّى,نَحَى
فنجيناك	نَجَّى
فنجي	نَجَّى,نَجِيّ
فنجعله	جَعَل-َ
فنجعل	جَعَل-َ
فنجدهم	وَجَد-ِ,أَجْدَى,جَدا,نَجَد,نَجِد-َ,نَجْد,أَجَدّ,جاد,نَجَّد,أَجاد
فنجده	وَجَد-ِ,أَجْدَى,جَدا,نَجَد,نَجِد-َ,نَجْد,أَجَدّ,جاد,نَجَّد,أَجاد,نَجْدَة
فنجد	وَجَد-ِ,أَجْدَى,جَدا,نَجَد,نَجِد-َ,نَجْد,أَجَدّ,جاد,نَجَّد,أَجاد,جَدّ-ِ
فنجتمع	ٱِجْتَمَع
فنجاهد	جاهَد
فنجاها	نَجَّى,نَجا,نَجاً
فنجا	نَجا,نَجاً
فنثرها	نَثْر,نَثَر,ثار,وَثَر-ِ,ثَرِي-َ,أَثار,ثَرّ,نَثَّر,أَثْرَى
فنثا	NOTFOUND
فنتعلم	تَعَلَّم
فنتخذه	ٱِتَّخَذ
فنتحدث	تَحَدَّث
فنتثبت	تَثَبَّت
فنبيع	باع-ِ,أَباع
فنبي	نَبِيّ
فنبذهما	نَبَذ-ِ,نَبَّذ,بَذّ,نُبْذَة,نَبْذ
فنبذها	نَبَذ-ِ,نَبَّذ,نُبْذَة,بَذّ,نَبْذ
فنبذتها	نَبَذ-ِ,نَبَّذ,نُبْذَة
فنبذته	نَبَذ-ِ,نَبَّذ,نُبْذَة
فنبادر	بادَر
فنبئ	أَباء
فناوله	ناوَل
فناولني	ناوَل
فناولناها	ناوَل
فناولتها	ناوَل
فناول	ناوَل
فنالته	نال,نال-َ
فناقصني	ناقَص
فنافر	نافَر,نافِر
فنازل	نازِل,نازَل
فناديناه	نادَى
فنادينا	نادِي,نادَى
فناديتهم	نادِيَة,نادَى
فناديا	نادِي,نادَى
فنادوه	نادَى,ناد
فناده	ناد
فنادتهما	نادَى,ناد
فنادتهم	نادَى,ناد
فنادانا	نادَى,ناد
فناء	ناء-ِ,ناء,فَناء,فِناء,نائِي
فنؤدي	أَدَّى
فميلوا	مَيَّل
فميتة	فَمِيّ,مَيِّت,مَيْتَة,مِيتَة
فموتوا	مَوَّت
فمواليك	مُوالِي,مَوّال,مَوْلَى
فمهما	مَهْما,فَم,مُهِمّ
فمهله	مَهَّل,مُهْلَة,مَهْل
فمنك	مَنّ,مِن
فمنعوهم	مَنَع
فمنعها	مَنَع,مَنْع
فمنعني	مَنَع
فمنعناها	مَنَع
فمنعته	مَنَع,مَنْعَة
فمنع	مَنْع,مَنَع
فمنزل	مُنَزَّل,مُنْزَل,مَنْزِل
فمنحوهم	مَنَح-َ
فمما	مِمّا
فمم	مِمَّ
فملانا	مَلَّى,مُلَّى,مَلَى,مَلّ
فمكن	فَم,مَكَّن
فمكسورة	مَكْسُور
فمقتهم	مَقْت,مَقَت,مَقَّت
فمغتسلاتهم	مُغْتَسِل
فمعني	مَعْنِيّ,مَعْنَى
فمضمضوا	مَضْمَض
فمضغته	مَضَغ-َُ,مُضْغَة
فمضغت	مَضَغ-َُ
فمشيئتك	مَشِيئ
فمشتد	NOTFOUND
فمسها	مَسّ,مَسّ-َ
فمسه	مَسّ,مَسَّة,مَسّ-َ
فمسني	مِسَنّ,مُسِنّ,مَسّ-َ
فمسلم	مُسْلِم,مُسَلَّم
فمسست	مَسّ-َ
فمسخوا	مَسَخ-َ
فمسخهم	مَسْخ,مَسَخ-َ
فمسحته	مَسَّح,مَسْحَة,مَسَح-َ
فمسئول	مَسْؤُول
فمري	مِرِيّ,مَرّ,مُرّ
فمره	مَرّ,مُرّ,مَرَّة
فمرضته	مَرَّض
فمرضت	مَرِض-َ,مَرَّض
فمرحبا	مَرْحَب,مُرَحِّب
فمرتين	مُرّ,مَرَّة
فمخدوش	NOTFOUND
فمحيت	مَحَّى
فمحوا	مَحْو,مَحا,مَحَّى
فمحلوفة	NOTFOUND
فمحذرهم	مُحَذِّر
فمجه	مَجّ
فمجد	مُجْدِي,مَجْد,مَجَد,مَجَّد,مُجِدّ
فمثلي	مِثْل,مِثْلِيّ,مَثَل,أَمْثَل
فمثلوا	مَثُل,مَثَل,مَثَّل
فمتعها	مُتْعَة,مَتَّع,مَتَع-َ
فمت	مَتّ,مات
فمباح	مُباح
فمانوس	أَوْسَى
فمازلنا	زال-َ
فليوقف	وَقَّف,أَوْقَف
فليواقعها	NOTFOUND
فليوافنا	وافَى
فليهده	أَهْدَى,هَدَى-ِ,هَدّ
فليهبها	هاب-َ,هَبا,أَهاب,أَهَبّ,وَهَب-َ,هَبّ
فلينهه	نَها,نَهَى-ِ,أَنْهَى
فلينم	أَنْمَى,نَمّ,نَمَى-ِ,نَمَّى,أَنام,نَما,نام-َ
فلينكره	نَكَّر,أَنْكَر
فلينقلبن	ٱِنْقَلَب
فلينقلب	ٱِنْقَلَب
فلينقعه	نَقَع-َ,أَنْقَع
فلينفعه	نَفَّع,نَفَع-َ
فلينفس	نَفِس-َ,نَفَّس,نَفُس
فلينفروا	نَفَّر,نَفَر
فلينصره	نَصَر,نَصَّر
فلينشر	نَشَّر,نَشَر,أَنْشَر
فلينزلن	نَزَل-ِ,أَنْزَل,نَزَّل,نَزِل-َ
فلينزع	نَزَّع,نَزَع-ِ
فلينح	أَنْحَى,ناح,نَحا,نَحَّى,نَحَى
فلينته	نات,لَيَّن,فِلِّينَة,ٱِنْتَهَى,لَيِّن
فلينتظر	ٱِنْتَظَر
فلينتر	نَتَر
فلينا	فَلّ,فَلَى-ِ,يِن,لَيّ,لِين,لَيَّن,فِلِّين,لِينا,لَيِّن,فَلَّى
فليمقله	مَقَل
فليمطه	مَطّ,ماط-ِ,مَطا,أَماط,أَمْطَى
فليمصه	مَصّ-َ,مَصَص
فليمش	مَشّ,أَمْشَى,مَشَّى,مَشَى-ِ
فليمسه	مَسَى,مَسَّى,أَمْسَى,وَمَس-ِ,مَسّ-َ,ماس-ِ
فليمسحه	مَسَّح,مَسَح-َ
فليمسح	مَسَّح,مَسَح-َ
فليمس	مَسَى,مَسَّى,أَمْسَى,وَمَس-ِ,مَسّ-َ,ماس-ِ
فليمدده	مَدَّد,مَدّ,أَمَدّ
فليمحه	ٱِمَّحَى,ماح-ِ,مَحا,مَحَّى
فليمتها	أَمات,مات
فليمت	مَتّ,أَمات,مات
فليلقه	لَقِي-َ,أَلْقَى
فليلصق	لَصِق-َ,لَصَّق,أَلْصَق
فليلزمه	لَزِم-َ,أَلْزَم
فليلزم	لَزِم-َ,أَلْزَم
فليلتمسها	ٱِلْتَمَس
فليلبسها	لَبَّس,لَبِس-َ,أَلْبَس
فليكفيك	كَفَى-ِ
فليكفن	وَكَف-ِ,كَفَن-ِ,كَفَّن
فليكفرها	كَفَر-ِ,كَفَّر,أَكْفَر
فليكسرن	كَسَر-ِ,كَسَّر
فليكره	كَرِه-َ,كَرُه,كَرَّه,أَكْرَه,كَرا,كَرّ,كَرِي-َ,كَرَى-ِ,أَكْرَى
فليكرمه	أَكْرَم,كَرَّم
فليكتب	أَكْتَب,كَتَب
فليقطعن	قَطَع-َ,قَطَّع,أَقْطَع
فليقرب	قَرَّب,قَرِب-َ,قَرُب
فليقراه	أَقَرّ,قَرّ-َِ,وَقَر-ِ
فليقرءوا	NOTFOUND
فليقالن	NOTFOUND
فليفعله	فَعَل-َ
فليفطره	أَفْطَر,فَطَر
فليفرغ	فَرَّغ,فَرِغ-َ,فَرَغ,أَفْرَغ
فليفرحوا	فَرِح-َ,أَفْرَح,فَرَّح
فليفتتح	ٱِفْتَتَح
فليفارقها	فارَق
فليغتمس	ٱِغْتَمَس
فليعلمه	أَعْلَم,عَلِم-َ,عَلَّم
فليعلم	أَعْلَم,عَلِم-َ,عَلَّم
فليعقله	عَقَّل
فليعقب	أَعْقَب,عَقَب,عَقَّب
فليعط	أَعْطَى
فليعرف	عَرَّف,عَرَف-ِ
فليعرضها	أَعْرَض,عَرَض-ِ,عَرَّض
فليعتقوها	عَتُق,أَعْتَق
فليعتزل	ٱِعْتَزَل
فليطوقه	طَوَّق
فليطلع	أَطْلَع,ٱِطَّلَع,طَلَع
فليطلبه	طَلَب
فليطفئها	أَطْفَأ
فليطعمها	أَطْعَم,طَعَّم,طَعِم-َ
فليطعمان	NOTFOUND
فليطرح	طَرَّح,طَرَح-َ,ٱِطَّرَح
فليضم	ضام-ِ,ضَمّ
فليضرب	ضَرَب,أَضْرَب,ضَرَّب
فليصنعوه	صَنَّع,صَنَع-َ
فليصنع	صَنَّع,صَنَع-َ
فليصمت	أَصْمَت,صَمَت,صَمَّت
فليصلهما	صال,صَلَّى,صَلِي-َ,وَصَل-ِ,أَصْلَى,صَلَى-ِ
فليصله	صال,صَلِي-َ,وَصَل-ِ,صَلَّى,صَلَى-ِ,أَصْلَى
فليصدق	صَدَق,صَدَّق
فليشهدن	شَهِد-َ,أَشْهَد
فليشقص	NOTFOUND
فليشربه	أَشْرَب,شَرِب-َ,شَرَّب
فليشر	شَرَى-ِ,شَرّ-َ,أَشار,وَشَر-ِ
فليشد	شَدّ-ُِ,شَدا,أَشاد,شاد-ِ
فليسوره	سَوَّر
فليسلمها	سَلَّم,أَسْلَم
فليسلبه	سَلَب
فليستهما	NOTFOUND
فليستنقع	ٱِسْتَنْقَع
فليستنشق	ٱِسْتَنْشَق
فليستقئ	NOTFOUND
فليستغث	ٱِسْتَغاث
فليستعن	ٱِسْتَعان
فليستطب	ٱِسْتَطَبّ,ٱِسْتَطاب
فليستدبره	ٱِسْتَدْبَر
فليستخدموها	ٱِسْتَخْدَم
فليساله	NOTFOUND
فليسالني	NOTFOUND
فليزر	أَزار,وَزَر-ِ,زَرَى-ِ,لَيْزِر,زَرّ,زار,أَزْرَى
فليرونكم	NOTFOUND
فليرني	وَرَى-ِ,رَنَّى,رَأَى-َ,أَرْنَى
فليركعهما	رَكَّع,رَكَع-َ,أَرْكَع
فليرفعوا	رَفَع-َ,رَفَّع
فليرفعه	رَفَع-َ,رَفَّع
فليرفع	رَفَع-َ,رَفَّع
فليرض	رَضّ,راض,أَرْضَى,رَضَّى,رَضِي-َ
فليردوا	رَدِي-َ,رَدَّى,رَدّ,أَرْدَى,وَرَد-ِ
فليرح	راح,أَراح
فليرجعها	أَرْجَع,رَجَّع,رَجَع-ِ
فليرتد	ٱِرْتاد,ٱِرْتَدّ,ٱِرْتَدَى
فليرتحل	ٱِرْتَحَل
فليذهبن	أَذْهَب,ذَهَب-َ,ذَهَّب
فليذكر	ذَكَر,أَذْكَر,ذَكَّر
فليذادن	NOTFOUND
فليدفنه	دَفَن-ِ,داف
فليدفعه	دَفَع-َ
فليخلوا	أَخْلَى,خَلّ,خَلا,أَخَلّ,خَلَّى
فليخطط	خَطّ,خَطَّط
فليخط	خاط-ِ,خَطَّى,خَطا,وَخَط-ِ,خَطّ
فليختر	ٱِخْتار,خَتَر-ِ
فليخبره	أَخْبَر,خَبُر,خَبَر,خَبَّر
فليخبر	خَبُر,أَخْبَر,خَبَر,خَبَّر
فليحملها	حَمَل-ِ,حَمَّل
فليحلقه	حَلَّق,حَلَق-ِ
فليحلق	حَلَّق,حَلَق-ِ
فليحلبها	حَلَب-ُِ
فليحلب	حَلَب-ُِ
فليحفر	حَفَر-ِ
فليحرم	حَرِم-َ,حَرُم,حَرَّم,حَرَم-ُِ
فليحرج	حَرَّج,أَحْرَج,حَرِج-َ
فليحرثها	حَرَث-ُِ
فليحدها	حَدِي,حاد-ِ,حاد,أَحَدّ,حَدّ,حَدا
فليحدث	حَدَث,أَحْدَث
فليحتسب	ٱِحْتَسَب
فليجوز	جاز,جَوَّز
فليجهز	جَهَّز,أَجْهَز,جَهَز-َ
فليجلسه	أَجْلَس
فليجتهد	ٱِجْتَهَد
فليجاهن	NOTFOUND
فليتوار	تَوارَى
فليتنخع	تَنَخَّع
فليتقين	ٱِتَّقَى,تَقَى-ِ
فليتقدم	تَقَدَّم
فليتفل	تَفَل,تَفَلَّى
فليتعز	تَعَزَّى
فليتطوع	تَطَوَّع
فليتزر	تَزَرَّى
فليتربه	تَرَّب,أَتْرَب,تَرَبَّى
فليتخلف	تَخَلَّف
فليتحري	تَحَرَّى
فليتجر	تَجَر,تَجَّر,ٱِتَّجَر
فليتاخر	NOTFOUND
فليبشر	بَشَر-ِ,أَبْشَر,بَشَر,بَشَّر,بَشِر-َ
فليبزقن	بَزَق
فليبدل	بَدَل,أَبْدَل,بَدَّل
فليبت	بَتّ,بات-ِ,أَبات
فلياكلوه	أَكَل
فلياكله	أَكَل
فلياتهم	أَتَى-ِ
فلياته	أَتَى-ِ
فليؤثر	آثَر,أَثَّر
فلول	فَلّ
فلهزني	NOTFOUND
فلنقضه	قَضَّى,قَضَى-ِ,قَضّ,نَقْض,قاض-ِ,قاض
فلنصل	صال,صَلِي-َ,وَصَل-ِ,صَلَّى,صَلَى-ِ,أَصْلَى,نَصْل
فلنساله	نُسالَة,نَسّالَة
فلنسالن	NOTFOUND
فلنذكره	ذَكَر,أَذْكَر,ذَكَّر
فلنحن	حان-ِ
فلنؤد	أَدّ,أَدَّى,آد
فلمن	مَن,مَنّ,لام
فلمسته	لَمَس,مَسَّة,لَمْسَة
فلمح	لَمَّح,لَمْح,مُحّ,مَحّ,لَمَح-َ
فللورثة	وارِث
فللمحرم	مَحْرَم,مُحَرَّم
فللزوج	زَوْج
فللامام	أَمامَ,إِمام,أَمام
فلكة	فَلْكَة,فُلْكَة,لُكّ,لَكّ,فَلَك
فلقيها	لَقِي-َ,قِياء,فَلْق
فلقيتها	لَقِي-َ,لُقْيا
فلقيتنا	لَقِي-َ,لُقْيا
فلقم	لَقِم-َ,لَقَم,قَمّ,لُقْمَة,لَقَّم
فلقتي	فَلَقَة,فِلْقَة,قَتّ
فلقاه	فَلَق-ِ,فَلَّق,فَلْق,لَقَى,قاهِي
فلقا	فَلَق-ِ,فَلَّق,فَلْق
فلففتهن	لَفَّف,لَفّ
فلغا	لَغا
فلعنهما	لَعَن-َ,فَلَع-َ,فَلَّع,لَعْن
فلعنهم	لَعَن-َ,فَلَع-َ,فَلَّع,لَعْن
فلعنها	لَعَن-َ,فَلَع-َ,لَعْن,فَلَّع
فلعنه	لَعَن-َ,عُنَّة,لَعْنَة,فَلَع-َ,لُعْنَة,لَعْن,فَلَّع
فلعنتهم	لَعَن-َ,عُنَّة,عَنَت,لَعْنَة,لُعْنَة
فلعنتها	لَعَن-َ,عُنَّة,عَنَت,لَعْنَة,لُعْنَة
فلعنت	لَعَن-َ,عَنَت
فلعن	لَعَن-َ,فَلَع-َ,لَعْن,فَلَّع,لاع
فلعبت	لَعِب-َ
فلطخه	لُطَخَة,لَطْخَة,لَطَّخ,لَطَخ-َ,لَطْخ
فلطخت	لَطَّخ,لَطَخ-َ
فلس	فِلْس,فَلَّس
فلزمته	لَزْمَة,لَزِم-َ
فلدوا	لَدّ
فلدغت	لَدَغ
فلخم	خُمّ
فلحقوا	لَحِق-َ
فلحقتها	حُقَّة,لَحِق-َ
فلحسها	لَحَس-َ,لَحْس,لَحِس-َ,حِسّ,حَسّ
فلحدوا	لَحَد-َ
فلجئوا	NOTFOUND
فلج	لُجّ,لَجّ-َِ,فَلْج,فَلَج-ِ,فَلَج,فَلَّج
فلتلبسها	تَلَبُّس,لَبَّس,لَبِس-َ,أَلْبَس
فلتكن	فَلّ,فَلَى-ِ,فَلَت-ِ,كَنَى-ِ,كَنا,كَنَّى,كَنّ-ِ,كان,فِلَّة,فُلْط,لَتّ,فَلَت,فَلَّى,أَكَنّ
فلتقتلنهم	قَتَل,قَتَّل
فلتفرحوا	فَرِح-َ,أَفْرَح,فَرَّح
فلتغب	غَبّ-َ,غاب-ِ,غَبّ,غَبِي-َ
فلتعرها	عار-َ,عَرّ,عَرَّى,أَعار,عَرا,عار-ِ,عَرِي-َ
فلتعتد	عَتُد,ٱِعْتَدَى,أَعْتَد,ٱِعْتاد,عَتَّد,ٱِعْتَدّ
فلتطيب	طَيَّب,طاب-ِ,أَطاب
فلتصلي	وَصَل-ِ,صَلَّى,صَلِي-َ,أَصْلَى,صَلَى-ِ
فلترسل	أَرْسَل,تَرَسُّل
فلترجع	أَرْجَع,رَجَّع,رَجَع-ِ
فلتخدمهم	خَدَم-ُِ,خَدَّم
فلتحملن	حَمَل-ِ,حَمَّل
فلتحرم	حَرِم-َ,حَرُم,حَرَّم,حَرَم-ُِ
فلتحتسب	ٱِحْتَسَب
فلتجلس	جَلَس-ِ,أَجْلَس
فلة	فَلّ,فُلّ,فِلَّة,لِ-
فلبسوها	لَبَّس,لَبِس-َ
فلبسني	لَبَّس,لَبِس-َ
فلبسته	لَبَّس,لَبِس-َ,بَسَّة,لِبْسَة,لُبْسَة
فلبت	لاب,بَتّ,لَبّ-َُ,لَبّ,لَبَّى
فلبئس	بِئْس
فلاوثرنه	NOTFOUND
فلانفسهم	نَفْس,فَسا,نَفِس-َ,نَفَّس
فلانظرن	NOTFOUND
فلامهما	لام,أُمّ
فلاكوه	لاك
فلاك	فَلّ,فَلَى-ِ,لاك,فَلَّى,فَلاً
فلاقل	قَلّ-ِ,أَقَلّ
فلاغيظنك	NOTFOUND
فلاعنا	لاعَن
فلاعملن	NOTFOUND
فلاعلمن	عَلْمَن
فلاصلين	أَصْل
فلاصل	أَصَلَة,أَصْل,وَصَل-ِ
فلاستمتعن	NOTFOUND
فلاستظل	ٱِسْتَظَلّ
فلاسالنه	NOTFOUND
فلاسابق	سابَق
فلادعي	ٱِدَّعَى,دَعا,أَدْعَى
فلاخبرنه	NOTFOUND
فلاحه	فَلاح,لاحّ,فِلاحَة,لاح,أَحّ,فَلّاح
فلاحدثنك	NOTFOUND
فلاحدثكم	حَدَث,أَحْدَث
فلاحدثك	حَدَث,أَحْدَث
فلاجعلنك	NOTFOUND
فلاجدنه	NOTFOUND
فلابايعك	بايَع
فكوي	كَوَى-ِ,كُوَّة
فكونوا	كان,كَوَّن
فكنوني	كَنَّى,كَنّ-ِ,نُون,نُونِيّ
فكنس	كَنَس,كَنَّس,كَنْس
فكنتم	كان
فكمنت	كَمَن,كَمِن-َ
