واستقوا	ٱِسْتَقَى
نفتح	فَتَح-َ
نفتتن	ٱِفْتَتَن
نفتتحه	ٱِفْتَتَح
نفاقان	NOTFOUND
نفاقا	نَفاق,نِفاق
نفاضل	فاضَل
نفارقه	فارَق
نفاثة	نَفّاث,نَفّاثَة,نُفاثَة
نغفر	غَفَر,غَفَّر
نغضت	NOTFOUND
نغشكم	غَشّ,غَشِي-َ,أَغْشَى,غَشا,غَشَّى
نغسله	غَسَل-ِ,غَسَّل
نغزوا	نَغَز-َ
نغزل	غَزِل-َ,غَزَل-ِ
نغزك	غَزا,نَغَز-َ,نَغْز
نغره	غَرا,غَرّ,غَرَّى,غار,أَغار,أَغْرَى
نغرن	NOTFOUND
نغرف	غَرَف-ِ
نغرسه	أَغْرَس,غَرَس-ِ
نغدو	غَدا
نغتبق	NOTFOUND
نعيمة	نَعِيم,نُعَيْمَة
نعيت	نَعَى-َ,نَعَى-ِ
نعمهم	نَعَّم,نِعْم,عَمِي-َ,نَعَم-َُ,عام,عَمَّى,نِعْمَة,أَعْمَى
نعملها	عَمِل-َ,أَعْمَل
نعمك	نَعَّم,نِعْم,عَمِي-َ,نَعَم-َُ,عَمَّى,عام,أَعْمَى,نِعْمَة
نعمد	عَمَّد,عَمَد-ِ
نعمته	نَعَّم,نَعْمَة,نَعَم-َُ,نِعْمَة
نعمت	نَعَّم,نَعُم,نَعِم-َ,نَعَم-َُ,نِعْمَت
نعماؤه	نَعْماء
نعليها	نَعْل,أَعْلَى,عَلَّى
نعلو	عَلا
نعقل	عَقَل-ِ,عَقَّل
نعق	عاق,نَعَق-َِ,أَعاق,عَقّ
نعفي	عَفَّى,عَفا,أَعْفَى
نعفو	عَفا
نعظم	عَظُم,أَعْظَم,عَظَّم
نعطيها	أَعْطَى
نعطيكاهن	NOTFOUND
نعصيه	عَصَى-ِ
نعشه	أَعْشَى,عَشِي-َ,أَعاش,عاش,نَعْش,نَعَش-َ,عَشَّى,عَشا,نَعْشَة,نَعَّش
نعشكم	أَعْشَى,أَعاش,عَشِي-َ,عاش,نَعْش,نَعَش-َ,عَشَّى,عَشا,نَعَّش
نعش	أَعْشَى,عَشِي-َ,أَعاش,عاش,نَعْش,نَعَش-َ,عَشَّى,عَشا,نَعَّش
نعسوا	نَعَس-َُ,نَعَّس
نعست	نَعَس-َُ,نَعَّس
نعرفها	عَرَّف,عَرَف-ِ
نعرضه	أَعْرَض,عَرَض-ِ,عَرَّض
نعده	عَدّ,عَدَّى,أَعْدَى,أَعاد,عَدا,وَعَد-ِ,عاد,أَعَدّ
نعجم	عَجَم,أَعْجَم
نعتقه	عَتُق,أَعْتَق,ٱِعْتاق
نعتق	عَتُق,أَعْتَق,عَتَق-ِ,ٱِعْتاق
نعتصرها	ٱِعْتَصَر
نعايا	NOTFOUND
نعالكم	نَعْل
نعاسا	نُعاس
نظيف	نَظِيف
نظيره	نَظِير,نَظِيرَة
نظنه	ظَنّ
نظفوا	نَظَّف,نَظُف
نظرا	نَظَر
نظام	نِظام
نطيقها	أَطاق
نطيق	أَطاق
نطيب	طاب-ِ,طَيَّب,أَطاب
نطلبهم	طَلَب
نطل	طال,أَطَلّ,نَطَل,نَطْل,طَلّ,طَلَى-ِ,أَطال
نطقه	نَطَق,طَقّ,أَطاق,نَطَّق,نُطْق
نطفئ	أَطْفَأ
نطعم	أَطْعَم,طَعَّم,طَعِم-َ
نطرق	أَطْرَق,طَرَق,طَرَّق
نطحنه	طَحَن-َ,نَطَح-َ
نطبخ	طَبَخ-َُ
نضيجة	نَضِيج
نضو	ضَوَى-ِ,نِضْو,أَضْوَى,نَضْو
نضل	ضَلّ,أَضَلّ,نَضَل
نضعها	ضاع-ِ,وَضَع,أَضاع
نضعه	ضاع-ِ,وَضَع,أَضاع
نضربهن	ضَرَب,أَضْرَب,ضَرَّب
نضربه	ضَرَب,أَضْرَب,ضَرَّب
نضدت	نَضَّد,نَضَد-ِ
نضحنا	أَضْحَى,نَضْح,نَضَح-َ,ضَحا,ضَحَّى,نَضَح-ِ,ضَحِي-َ
نضجت	نَضِج-َ
نضجا	نَضْج,نَضِج-َ
نضب	ناضِب,نَضَب,ضَبّ-ِ
نضارب	ضارَب
نضار	نُضار
نصيري	نَصِير,نُصَيْرِيّ
نصيران	نَصِير
نصيبين	نَصِيبِين,نَصِيب
نصه	نُصَّة,نَصّ
نصنعهما	صَنَّع,صَنَع-َ
نصليهما	صَلَّى,صَلَى-ِ,أَصْلَى
نصلك	صال,صَلِي-َ,صَلَّى,وَصَل-ِ,نَصَل-َُ,أَصْلَى,صَلَى-ِ,نَصْل
نصفيه	صَفَّى,نِصْفِيّ,أَصْفَى,نِصْف
نصفان	نِصْف
نصعد	صَعِد-َ,أَصْعَد,صَعَّد
نصرة	أَصَرّ,صار,نَصَر,نَصْر,صَرّ-ِ,نَصَّر,نُصْرَة
نصرانيين	نَصْرانِيّ
نصرانية	نَصْرانِيّ,نَصْرانِيَّة
نصدقه	صَدَّق
نصحته	نَصَح-َ
نصحاؤه	NOTFOUND
نصبها	وَصَب-ِ,صَبّ,نَصَّب,أَصاب,نَصْب,نُصْب,صَبِي-َ,صَبا,صَبّ-َ,نُصْبَ,نَصَب,صَبَّى
نصبغ	صَبَغ
نصادفه	صادَف
نصاح	ناصِح
نصاب	نِصاب,أَصاب,نَصّاب
نشوص	NOTFOUND
نشوزهن	نُشُوز
نشهدك	شَهِد-َ,أَشْهَد
نشعر	شَعَر,أَشْعَر
نشدتموني	نَشَد
نشدتكما	نَشَد
نشتهيه	ٱِشْتَهَى
نشتهي	ٱِشْتَهَى
نشتريه	ٱِشْتَرَى
نشبه	شَبَّه,شَبّ-ِ,شَبّ,نَشَّب,أَشاب,أَشْبَه,نَشَب,نَشِب-َ,شاب
نشبنا	شَبّ-ِ,شَبّ,نَشَّب,أَشاب,نَشَب,نَشِب-َ,شاب
نشبة	شَبَّه,شَبّ-ِ,شَبّ,نَشَّب,أَشاب,أَشْبَه,نَشِب-َ,نَشَب,شاب
نشات	NOTFOUND
نشابة	نَشّاب,نُشّاب,شابَه
نش	وَشَى-ِ,نَشّ-ِ
نسيكتي	NOTFOUND
نسيكته	NOTFOUND
نسيح	سَيَّح,ساح-ِ,أَساح
نسيتم	نَسِي-َ
نسيبا	نَسِيب
نسود	ساد,سَوَّد,ٱِسْوَدّ
نسوءك	سَوَّأ,ساء
نسلمك	سَلَّم,أَسْلَم
نسلكه	سَلَّك,أَسْلَك,سَلَك
نسكين	NOTFOUND
نسكها	نُسُك,نَسْك,سَكّ,ساك
نسكن	أَسْكَن,سَكَّن,نَسَك,سَكَن
نسر	نَسْر,سَرَى-ِ,سار-ِ,سَرَّى,أَسار,أَسَرّ,سَرّ,أَسْرَى
نسد	سَدَّى,ساد,أَسَدّ,سَدّ-ِ,سَدّ,أَسْدَى
نسخه	نُسْخَة,سَخُو-َ,سَخا,ساخ-ِ,سَخِي-َ,نَسْخ,نَسَخ-َ
نسخم	سَخَّم
نسخط	سَخِط-َ,أَسْخَط
نسختين	نُسْخَة
نسختهما	نُسْخَة,نَسَخ-َ
نسجدها	سَجَد
نسجتها	نَسَج
نستوثق	ٱِسْتَوْثَق
نستهزئ	ٱِسْتَهْزَأ
نستنظر	ٱِسْتَنْظَر
نستمع	ٱِسْتَمَع
نستلم	ٱِسْتَلَم,ٱِسْتَلام
نستفئ	NOTFOUND
نستغفرك	ٱِسْتَغْفَر
نستعمله	ٱِسْتَعْمَل
نستشفي	ٱِسْتَشْفَى
نستشفع	NOTFOUND
نستزيد	ٱِسْتَزاد
نسترقي	NOTFOUND
نستذكره	ٱِسْتَذْكَر
نستخير	ٱِسْتَخار
نستخبره	ٱِسْتَخْبَر
نستحلفهم	ٱِسْتَحْلَف
نستحب	ٱِسْتَحَبّ
نسبي	نَسَب,نِسْبِيّ,نِسْبَة,سَبَى-ِ
نسبك	سَبّ,ساب-ِ,نَسَب,سَبَّك,نِسْبَة,سَبَى-ِ,سَبَك-ُِ
نسالها	NOTFOUND
نساؤها	نِساء,نَساء
نساؤكن	نِساء,نَساء
نزيدهم	زاد-ِ,زَيَّد,أَزاد
نزوت	نَزا
نزوة	نَزا,زَوَى-ِ,زَوَّى,نَزّ-ِ,نَزْوَة
نزلهم	نَزَل-ِ,أَزال,نَزْل,زال-َ,أَزَلّ,نُزْل,زال,نَزَّل,نَزِل-َ,زَلّ-َِ
نزلته	نَزَل-ِ,نَزْلَة,نَزَّل,نَزِل-َ
نزلتا	نَزَل-ِ,نَزْلَة,نَزَّل,نَزِل-َ
نزكوه	نَزَك,زَكا
نزغة	زاغ,أَزاغ,زاغ-ِ,نَزْغ
نزعناه	نَزَّع,نَزَع-ِ
نزعنا	نَزَّع,نَزَع-ِ,نَزْع
نزعتها	نَزَّع,نَزْعَة,نَزَع-ِ
نزعتم	نَزَّع,نَزَع-ِ
نزحوه	NOTFOUND
نريدهم	أَراد
نريده	أَراد
نرهن	وَرَى-ِ,رَهَن-َ,رَأَى-َ,أَرْهَن
نرقد	رَقَّد,رَقَد,أَرْقَد
نرفعه	رَفَع-َ,رَفَّع
نرعي	أَرْعَى,رَعَى-َ
نرزا	NOTFOUND
نرجوها	رَجا
نرجمها	رَجَّم,رَجَم
نرجمه	رَجَّم,رَجَم
نربطهما	رَبَط
نراهنك	راهَن
نذيرا	نَذِير
نذوق	ذاق
نذران	NOTFOUND
ندن	ٱِدَّنَى,دَنِي-َ,أَدان,أَدْنَى,دَنَّى,دَنا,دان-ِ,ناد
ندمني	أَدام,دَمّ,دام,دَمَن,دَمِي-َ,دَمَّى,نَدِم-َ,أَدْمَن,أَدْمَى
ندمت	نَدِم-َ
ندما	نَدِم-َ,نَدَم
ندلي	نَدْل,نادِل,أَدْلَى,دَلَّى
ندفع	دَفَع-َ
ندغفقه	NOTFOUND
ندعوك	دَعا
ندعكم	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
ندرك	دَرَى-ِ,أَدْرَى,أَدار,أَدَرّ,نَدْر,أَدْرَك,دار,دَرَّك
ندخلهن	أَدْخَل,دَخَل
ندخلها	أَدْخَل,دَخَل
ندبنه	نَدَب,نَدِب-َ
ندانم	NOTFOUND
ندامته	نَدَم
نداءه	نِداء
نخيضها	NOTFOUND
نخمش	خَمَش-ُِ,خَمَّش
نخلهم	نَخَل,أَخْلَى,خَلّ,خَلا,خال-َ,نَخْل,أَخَلّ,خَلَّى
نخلنا	نَخَل,أَخْلَى,خَلّ,خَلا,خال-َ,نَخْل,أَخَلّ,خَلَّى
نخلق	خَلِق-َ,خَلُق,أَخْلَق,خَلَق,خَلَّق
نخلع	خَلَّع,خَلَع-َ,خَلُع
نخلطه	خَلَّط,خَلَط-ِ
نخلات	NOTFOUND
نخفي	خَفِي-َ,أَخْفَى,خَفَى-ِ
نخطب	خَطَب
نخص	خَصّ,خَصَى-ِ
نخسة	نَخَس-َُ,خَسّ,نَخْس,خاس-ِ
نخرجهم	خَرَّج,أَخْرَج
نختضب	NOTFOUND
نختصي	NOTFOUND
نخالفهم	خالَف
نخالف	خالَف
نحيه	حَيّا,حَيّ-َ,وَحَى-ِ,أَحْيَى
نحوهن	نَحْو,نَحا,حَوَى-ِ,نَحَّى,نَحَى,نَحْوَ
نحورهم	حَوَّر,نَحْر,حار
نحور	حَوَّر,حَوِر-َ,نَحْر,حار
نحممهما	أَحَمّ,حَمّ,حَمَّم
نحلني	نَحَل-َ,أَحَلّ,حَلَى,أَحال,حَلَّى,حَلِي-َ,حَلُو,حال,حَلّ
نحضر	حَضَّر,أَحْضَر,حَضَر
نحصيهما	أَحْصَى
نحصيها	أَحْصَى
نحسدك	حَسَد
نحرهم	نِحْر,نَحْر,أَحار,أَحْرَى,حَرَى,حار,نَحَر
نحرم	حَرِم-َ,حَرُم,حَرَّم,حَرَم-ُِ
نحرتها	نِحْر,نَحَر
نحثي	حَثا
نحتلبه	ٱِحْتَلَب
نحتلب	ٱِحْتَلَب
نحتفي	ٱِحْتَفَى
نحتطب	ٱِحْتَطَب
نحاسا	نَحّاس,نُحاس
نحاس	نَحّاس,نُحاس
نجيز	أَجاز
نجيبة	نَجِيب,أَجاب
نجواه	نَجْوَى,نَجا
نجهل	جَهَّل,جَهِل-َ
نجهز	جَهَّز,أَجْهَز,جَهَز-َ
نجمت	نَجَّم,نَجَم
نجلا	نَجَل,نَجْل
نجل	نَجَل,جَلا,أَجْلَى,جَلَى-ِ,جال,جَلّ-ِ,نَجْل,جَلَّى,أَجال,أَجَلّ
نجعلك	جَعَل-َ
نجعت	نَجَع-َ,نَجَّع
نجش	جاش-ِ,جَشّ
نجس	جَسّ,نَجِس,نَجِس-َ,نَجُس,جَسا,وَجَس-ِ,نَجَّس,نَجَس,جاس
نجره	جار,نَجَر,أَجار,نَجْر,أَجْرَى,جَرَى-ِ,أَجَرّ,جَرّ
نجرد	جَرَّد,جَرَد
نجر	جار,نَجَر,أَجار,نَجْر,أَجْرَى,جَرَى-ِ,أَجَرّ,جَرّ
نجدها	وَجَد-ِ,أَجْدَى,جَدا,نَجَد,نَجِد-َ,نَجْد,أَجَدّ,جاد,نَجَّد,أَجاد
نجدك	وَجَد-ِ,أَجْدَى,جَدا,نَجَد,نَجِد-َ,نَجْد,أَجَدّ,جاد,نَجَّد,أَجاد
نجتمع	ٱِجْتَمَع
نجبة	جَبَى-ِ,جَبَّى,جاب,نَجْب,جَبَه-َ,جَبّ,أَجاب
نجباء	NOTFOUND
نجاوز	جاوَز
نجاور	جاوَر
نجامعهن	جامَع
نجامعها	جامَع
نجالسه	جالَس
نجاكم	نَجَّى,نَجا,نَجاً
نجاسة	نَجَس
نجاب	أَجاب,نَجّاب
نثل	ثَلّ
نثريه	نَثْرِيّ,أَثْرَى
نثرا	نَثْر,نَثَر,نَثَّر
نثر	نَثْر,نَثَر,ثار,وَثَر-ِ,ثَرِي-َ,أَثار,ثَرّ,نَثَّر,أَثْرَى
نتونته	نُتُونَة
نتهم	نات,ٱِتَّهَم
نتنها	نات,نَتِن-َ,نَتَن-ِ,نَتِن,نَتَّن,نَتْن,نَتُن
نتنه	نات,نَتِن-َ,نَتِن,نَتَن-ِ,نَتَّن,نَتْن,نَتُن
نتنازع	تَنازَع
نتمسح	تَمَسَّح
نتقوي	تَقَوَّى
نتقدم	تَقَدَّم
نتقبل	تَقَبَّل
نتفرغ	تَفَرَّغ
نتعوذ	تَعَوَّذ
نتعبد	تَعَبَّد
نتطير	تَطَيَّر
نتصيد	تَصَيَّد
نتزودها	NOTFOUND
نتزر	تَزَرَّى
نترها	وَتَر-ِ,نَتْر,نَتَر
نتركهم	تَرَك,تَرَّك
نتركه	تَرَك,تَرَّك
نتراءي	تَراءَى
نتداول	تَداوَل
نتحامل	تَحامَل
نتحاب	تَحابّ
نتج	نَتَج-ِ
نتتبع	تَتَبَّع
نتبين	تَبَيَّن
نتبادر	تَبادَر
نبيي	نَبِيّ
نبيد	أَباد,باد-ِ
نبيالله	NOTFOUND
نبلهم	بَلّ-ِ,بَلّ,بَلا,أَبال,نابِل,بال,بَلِي-َ,نُبْل,أَبَلّ,نَبَل,أَبْلَى,نَبْل,وَبَل-ِ
نبعثك	بَعَث-َ
نبط	نَبَطِيّ,نَبَّط,نَبْط,بَطّ,نَبَط
نبشه	نَبَّش,نَبْش,نَبَش
نبشر	بَشَر-ِ,بَشَر,أَبْشَر,بَشَّر,بَشِر-َ
نبشتم	نَبَّش,نَبَش
نبردها	بَرَد,بَرَّد,أَبْرَد
نبرح	أَبْرَح,بَرَّح,بَرِح
نبذوا	نَبَذ-ِ,نَبَّذ
نبذه	نَبَذ-ِ,نَبَّذ,بَذّ,نُبْذَة,نَبْذ
نبذا	نَبَذ-ِ,نَبَّذ,نُبْذَة,نَبْذ
نبتدر	ٱِبْتَدَر
نبتت	بَتّ,بَتَّت,نَبَّت,نَبَت
نباهم	NOTFOUND
نبانا	NOTFOUND
نبال	نَبّال,بالَى,نَبِيل,نَبْل
نباك	NOTFOUND
نباشا	نَبّاش
نباس	NOTFOUND
نبادر	بادَر
ناولنيها	NOTFOUND
ناولنيه	NOTFOUND
ناولناه	ناوَل
ناولنا	ناوَل
ناولتك	ناوَل
ناولت	ناوَل
ناهز	ناهَز
نامنه	أَمِن-َ,أَمُن
ناله	نال,أَلا,نال-َ
ناكلها	أَكَل
ناكحهم	ناكِح
ناقتان	ناقَة
نافقة	نافِق,نافَق
نافعه	نافِع,نافِعَة
نافععن	NOTFOUND
نافحت	نافَح
نافح	نافَح
ناغض	NOTFOUND
ناعوس	NOTFOUND
ناعم	ناعِم
ناعته	NOTFOUND
ناضحه	NOTFOUND
ناضحكم	NOTFOUND
ناصيتي	ناصِيَة
ناصيتها	ناصِيَة
ناصري	ناصِرِيّ,ناصِر
ناصره	ناصِرَة,ناصَر,ناصِر
ناصركم	ناصَر,ناصِر
ناشرة	أَشَر,ناشِر,أَشَر-ِ
ناشب	أَشِب-َ
ناشئا	ناشِئ
نازعه	نازَع,نازِعَة
نازعته	نازَع,نازِعَة
ناديكم	نادِي
ناديت	نادَى
نادته	نادَى,ناد
نادت	نادَى,ناد
ناداهم	نادَى,ناد
ناخذكم	أَخَذ
ناخذك	أَخَذ
ناحيته	ناحِيَة
ناحلا	ناحِل
ناحت	ناح
ناجيتم	ناجَى
ناجد	ناجَد
ناتيه	أَتَى-ِ
ناتئا	ناتِئ
