فطرحت	طَرَّح,طَرَح-َ
يفقه	أَفاق,فَقِه-َ,أَفْقَه,فاق,فَقَّه,فَقُه
يفشو	فَشا
يفسق	فَسَق
يفسر	فَسَّر
يفري	فَرَّى,أَفْرَى,فَرَى-ِ
يفدي	فَدَى-ِ
يفتي	أَفْتَى,فَتِي-َ
يغير	غَيَّر,أَغار
يغار	أَغار
يعملوا	عَمِل-َ,أَعْمَل
يعلمكم	أَعْلَم,عَلِم-َ,عَلَّم
يعصي	عَصَى-ِ
يعصه	عَصَى-ِ,عَصّ-َ
يعرفن	عَرَّف,عَرَف-ِ
يعتدون	عَتُد,أَعْتَد,ٱِعْتَدَى,عَتَّد,ٱِعْتَدّ
يعبدوه	عَبَد,عَبَّد
يطلبان	طَلَب
يطعن	طَعَن-َ,أَطاع,طاع
يشفيك	أَشْفَى,شَفَى
يشركن	شَرَى-ِ,شَرِك-َ,أَشار,أَشْرَك,وَشَر-ِ
يشربون	أَشْرَب,شَرِب-َ,شَرَّب
يستمعون	ٱِسْتَمَع
يستغفرون	ٱِسْتَغْفَر
يستشهدون	ٱِسْتَشْهَد
يستشهد	ٱِسْتَشْهَد
يستريح	ٱِسْتَراح
يسترقون	ٱِسْتَرَقّ,ٱِسْتَرَق
يسافر	سافَر
يزوجها	زَوَّج
يريحنا	رَيَّح,أَراح
يردها	رَدِي-َ,راد,رَدَّى,أَرْدَى,أَراد,رَدّ,وَرَد-ِ
يرثها	وَرِث-ِ,رَثا,راث-ِ,رَثَى,راث
يربي	أَرْبَى,رَبا,رَبَّى
يذكران	ذَكَر,أَذْكَر,ذَكَّر
يدفن	دَفَن-ِ,داف
يدركني	أَدْرَك,دَرَّك
يخلل	خَلّ,أَخَلّ,خَلَّل
يخطبها	خَطَب
يخطئ	أَخْطَأ,خَطَّأ
يخذف	خَذَف-ِ
يختل	خَتَل-ُِ,ٱِخْتَلّ,ٱِخْتال,ٱِخْتَلَى
يختصم	ٱِخْتَصَم
يخبرهم	خَبُر,أَخْبَر,خَبَر,خَبَّر
يحملك	حَمَل-ِ,حَمَّل
يحلون	أَحَلّ,حَلّ-ِ,حَلَى,حَلَّى,حَلِي-َ,حَلُو,حَلّ
يحضره	حَضَّر,أَحْضَر,حَضَر
يحرج	حَرَّج,أَحْرَج,حَرِج-َ
يحدثهم	حَدَث,أَحْدَث
يحثي	حَثا
يحتسب	ٱِحْتَسَب
يحبهما	أَحَبّ,حَبّ-ِ,حَبا
يحبس	حَبَس-ِ
يجتمعان	ٱِجْتَمَع
يتوكلون	تَوَكَّل
يتقارب	تَقارَب
يتخلفوا	تَخَلَّف
يبيعها	باع-ِ,أَباع
يبغضهم	أَبْغَض,بَغِض-َ,بَغَّض
يبرا	بَرّ-ِ,أَبَرّ
يبايعنك	بايَع
ياكلوا	أَكَل
ياته	أَتَى-ِ
يابي	أَبَى-َ
ويوما	يَوْم
ويقل	قَلّ-ِ,قَلا,قال,أَقال,قَلِي-َ,أَقَلّ,قَلَى-ِ
ويصيب	أَصاب
ويصلح	صَلُح,صَلَّح,أَصْلَح
ويسجدون	سَجَد
ويسبح	سَبَّح,سَبَح-َ
ويري	وَرَى-ِ,رَأَى-َ
ويذوق	ذاق
ويدهن	دَهَن,يَد,دَهَّن,وَدَى-ِ
ويحكم	وَيْحَ,حَكَّم,حَكَم,أَحْكَم,وَحَى-ِ
ويحدث	حَدَث,أَحْدَث
ويحبه	أَحَبّ,حَبّ-ِ,حَبا
ويتصدق	تَصَدَّق
ويؤمن	آمَن,أَمَّن
ويؤتي	آتَى
ووسع	وُسْع,وَسَع,وَسُع,وَسِع-َ,وَسَّع
ونوم	نَوَّم,نائِم,نَوْم
ونق	نَقّ-ِ,وَقَى-ِ,نَقّ
ونستغفره	ٱِسْتَغْفَر
ونسبه	سَبّ,ساب-ِ,نَسَب,نِسْبَة,سَبَى-ِ
وندع	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
وملا	مَلّ-َ,مَلّ,مَلا,مُلّا
ومعهم	مَعَ
ومحمدا	مُحَمَّد
ومجمع	مُجَمَّع,مَجْمَع,مُجْمَع,مُجَمِّع
ومالها	مال
ومال	مال,مال-ِ
وليحد	حَدِي,حاد-ِ,حاد,أَحَدّ,حَدّ-ِ,حَدّ,حَدا
وليتعوذ	تَعَوَّذ
ولوا	وَلَّى
ولعله	لَعْل,لَعَلَّ,عِلَّة
ولخلوف	NOTFOUND
ولتقومن	قَوَّم
وكفنوا	كَفَن-ِ,كَفَّن
وكفروا	كَفَر-ِ,كَفَّر
وكسرت	كَسَر-ِ,سِرْت,كَسَّر
وكس	وَكَس-ِ,وَكَّس,وَكْس
وكرهوا	كَرِه-َ,كَرُه,كَرَّه
وكثيره	كَثِير
وكتبه	كِتاب,كاتِب,كَتَب
وكتاب	كُتّاب,كِتاب,كاتِب
وكبره	بِرّ,بَرّ,بُرّ,كِبْر,كِبَر,كُبْر,كَبَّر,كَبَر,كَبْرَة
وكبرنا	بِرّ,بُرّ,بَرّ,كِبْر,كِبَر,كُبْر,كَبَّر,كَبَر
وكانه	آن,كان,أَنَّة
وقيامها	قِيام
وقولي	قال,قَوْل
وقولك	قَوْل
وقلبه	قَلْبَة,قَلَب-ِ,قَلْب,قَلَّب
وقفه	وَقَّف,وَقْفَة,وَقَف-ِ,قَفَّة,وَقْف,قُفَّة
وقراته	NOTFOUND
وقديد	قَدِيد
وقدماه	قَدِم-َ,قَدَم,قَدَّم
وقبورهم	قَبْر
وقامت	قام
وفرقة	فُرْقَة,فَرَق,فَرْق,فَرَّق,فِرْقَة
وفتاه	فَتّ,وَفَّى,وَفَى-ِ,فَتَى,فَتاة
وعلينا	عَلِيّ,عَلَى,عَلَّى
وعلمه	عَلِم-َ,عُلْمَة,عِلْم,عَلَم,عَلَّم
وعلمني	عَلِم-َ,عَلَّم
وعكا	عَكَّة,وَعِك,عَكّ
وعرفة	عَرَفَة,عَرَّف,عَرَف-ِ,عُرْف
وعدته	عَدّ,عَدَّى,عُدَّة,عِدَة,عَدا,وَعَد-ِ,عاد,عِدَّة
وعامتهم	عامّ,عامَّة
وظل	ظِلّ,ظَلّ-َ
وطهورا	طَهُور
وطفق	طَفَق,طَفِق-َ
وطرح	طَرَّح,طَرْح,طَرَح-َ,طَرْحَة
وضعته	ضاع-ِ,وَضْعَة,وَضَع,ضَعَة
وضحي	وَضَح,ضُحَى,ضَحَّى,ضَحِي-َ
وضح	وَضَح,وَضَّح,وَضَح-ِ
وصيامه	صائِم,صِيام
وصلاتي	وُصْلَة,صَلاة,صِلَة
وشره	شَرِه-َ,شَرّ,وَشَر-ِ,شِرَّة,وَشْر,شَرَه,شَرِه
وشربت	شَرِب-َ,شَرَّب
وشئ	شَيْء
وسيعود	عاد,عَوَّد
وسلكت	سَلَّك,سَلَك
وسلاحه	سِلاح
وسقانا	وَسَق-ِ,سَقَى-ِ
وسطه	وَسَّط,وَسْطَ,وَسْط
وسريج	NOTFOUND
وساقوا	ساقَى,ساق
وريحها	رَيَّح,رَيِّح,رِيح
ورفعت	رِفْعَت,رَفَع-َ,رَفَّع
ورشدين	NOTFOUND
ورشحهم	رَشْح,رَشَح-َ,رَشَّح
ورده	وَرْد,وَرَّد,رَدَّة,رَدّ,وَرَد-ِ,وِرْد
ورجلاه	رَجُل,رَجَّل,رِجْل,رَجِل-َ
ورجب	رَجِب-َ,رَجَب
ورائها	وَراءَ,وَراء,راء
وذهبت	ذَهَب-َ,ذَهَّب
وخواتيم	خاتام
وخفي	خَفِي-َ,خَفِيّ,خُفّ,خَفَى-ِ
وحشية	وَحْشِيّ,حَشِيَّة,وَحْشِيَّة
وحب	حَبّ,حَبّ-ِ,حُبّ
وجوهنا	وَجْه
وجعله	جَعَل-َ,جُعْل,جَعْل
وجعا	وَجِع-َ,وَجَع
وجئنا	جاء
وتطؤه	NOTFOUND
وتشهد	شَهِد-َ,أَشْهَد
وتسع	تِسْع,سَعَى-َ,تُسْع,وَسِع-َ
وتركوك	تَرَك,تَرَّك
وترد	رَدِي-َ,راد,رَدَّى,تَرَدِّي,رَدّ,أَرْدَى,أَراد,وَرَد-ِ
وتحتي	تَحْتِيّ,حَتّ,تَحْتَ
وتحت	تَحْتُ,حَتّ,تَحْتَ
وتبقي	تَبَقَّى,بَقِي-َ,بَقّ,أَبْقَى,وَبَق
وتؤوي	أَوَى-ِ,آوَى,أَوَّى
وبشرته	بَشَر-ِ,شِرَّة,بَشَر,بَشِر-َ,بَشَّر,بَشَرَة,بُشْرَة
وبرد	بُرْد,بَرَد,بَرَّد,رَدّ,بَرُد,بَرْد
وبرا	بَرّ-ِ,وَبَر,بِرّ,بُرّ,بَرّ,وَبِر-َ,وَبِر
وبال	إِل,آل,بالِي,وَبال,بال,ال
وباعد	باعَد
وباء	باء,وَباء
وايديكم	يَد
وامها	أُمّ
وامنوا	أَمَنّ,أَمِن-َ,آمَن,أَمَّن
وامراتي	آمِر
وامته	أُمَّة,أَمَة,أَمات,مات
واليمين	أَلِيم,يَمِين
والوتر	وَتَر,وِتْر
والنوي	نَواة,نَوَى
والنجم	نَجْم
والميسر	مَيْسِر,مُيَسَّر
والمشتري	مُشْتَرَى,مُشْتَرِي
والمرضع	مُرْضِع
واللزام	لِزام
واللبن	لِبْن,لَبِنَة,لَبَن
والكبرياء	كِبْرِياء
والفرج	فَرَج,فَرْج
والفخر	فَخْر
والغد	غَد
والعجوز	عَجُوز
والشغار	NOTFOUND
والسنة	أَلَّس,لِسان,سُنَّة,سَنَة,أَلْسَن,والَس,لَسَّن
والسفر	سَفَر,سِفْر,سُفْرَة
والزبيدي	زُبَيْدِيّ,زَبِيدِيّ
والركوع	رُكُوع
والرغباء	NOTFOUND
والدخان	دُخان
والدجال	دَجّال
والحمير	حِمار
والجلوس	جُلُوس
والتمرتان	تَمْر
والانهار	نَهْر
والاقرع	أَقْرَع
والاعرج	أَعْرَج
والاخ	أَخ
والابل	إِبْل
واقدر	قَدَّر,قَدِر-َ,قَدَر-ِ,أَقْدَر,قَدَر
واقتلوا	NOTFOUND
وافقه	أَفاق,فَقِه-َ,فاق,أَفْقَه,وافَق,أُفُق,فَقَّه,فَقُه
واعلم	أَعْلَم,عَلِم-َ,عَلَّم
واعفوا	أَعْفَى
واطفئوا	NOTFOUND
واضح	أَضْحَى,ضَحا,واضِح,وَضَح-ِ,ضَحَّى,ضَحِي-َ
واصلح	صَلُح,صَلَّح,أَصْلَح
واشياء	شَيْء
واشعث	أَشْعَث,شَعِث-َ,شَعَّث
واسد	سَدَّى,أَسَدّ,ساد,سَدّ-ِ,سَدّ,أَسْدَى,أَسَد
وارخي	رَخِي-َ,أَرْخَى
وارجلكم	رَجَّل,رِجْل,رَجِل-َ
واربعمائة	أَرْبَعمائَة
واراه	وارَى,رَأَى-َ
واخرهم	خار-ِ,آخِر,خار,آخَر
واخركم	خار-ِ,آخِر,خار,آخَر
واختلاف	ٱِخْتِلاف
واخاف	خاف-َ,أَخاف
واحلي	أَحْلَى,حَلَى,حَلَّى,حَلِي-َ,حَلُو
واحسنوا	أَحْسَن
واحرم	حَرِم-َ,حَرُم,حَرَّم,حَرَم-ُِ
واثبت	أَثْبَت,واثَب,أَثاب,ثَبُت,ثَبَت,ثَبَّت
واتبعنا	تَبِع-َ,أَتْبَع,ٱِتَّبَع
واتبعته	أَتْبَع,ٱِتَّبَع
وابتغ	ٱِبْتَغَى
هوذة	NOTFOUND
هنتاه	هَنَة
هموا	هَمْو,هَمّ,هَما
هقل	NOTFOUND
هاهنا	NOTFOUND
نون	نَوَّن,وَنَّى,نُون,وَنِي-َ,وَنّ-ِ
نوائب	نائِبَة
نكن	كَنا,كَنَى-ِ,كَنَّى,كَنّ-ِ,كان,ناك-ِ,أَكَنّ
نقبر	قَبَر,أَقْبَر
نقاتلهم	قاتَل
نفيع	NOTFOUND
نغلب	غَلَب-ِ
نعطي	أَعْطَى
نظن	ظَنّ
نطع	نَطَع-َ,نَطْع,نِطْع,أَطاع,طاع
نضيلة	NOTFOUND
نضع	ضاع-ِ,وَضَع,أَضاع,ضاع
نصير	نَصِير,صار,صَيَّر
نشا	نَشاً,نَشّ-ِ
نسينا	نَسِي-َ,نَسْي,نَسِيّ
نسيكة	NOTFOUND
نسكت	سَكَت,نَسَك,أَسْكَت,سَكَّت
نسطاس	NOTFOUND
نستنجي	ٱِسْتَنْجَى
نستعمل	ٱِسْتَعْمَل
نستشرف	ٱِسْتَشْرَف
نسائنا	نَسّاء,نِساء,نَساء
نرهنك	رَهَن-َ,أَرْهَن
نداء	نِداء
نحلته	نَحَل-َ,نِحْلَة,نَحْل
نحاقل	NOTFOUND
نجعلها	جَعَل-َ
نجا	نَجا,نَجاً
نتخذ	ٱِتَّخَذ
نبيذا	نَبِيذ
نبني	بَنَى-ِ,أَبان
نبت	ناب,نَبا,بَتّ,بات-ِ,نَبَّت,أَبات,نَبَت,نَبْت
ناقتي	ناقَة
ناظرين	ناظِر
ناخذه	أَخَذ
نابه	ناب,نابِه,أَبَه-َِ,أَبَى-َ
نائمكم	نائِم
مودود	NOTFOUND
مودع	مُودَع,مُودِع,مُوَدِّع
موتي	مَيِّت,مَوْت
موافين	NOTFOUND
مواجهة	مُواجَهَة,مُواجِه
مهلهل	مُهَلْهَل
مهاجرات	مُهاجَرَة,مُهاجِر
منعوا	مَنَع
منسوخ	مَنْسُوخ
منزلك	مُنَزَّل,مُنْزَل,مَنْزِل
منبوذ	مَنْبُوذ
ممسكة	مُمْسِك,مُمَسَّك
ممر	مَمَرّ
ملكي	مَلِك,مُلْكِيّ,مِلْك,مَلَكِيّ,مُلْك
ملعون	مَلْعُون
مقتولة	مَقْتُول
مفسوخ	مَفْسُوخ
مفاصله	مَفْصِل
مغشيا	مَغْشِيّ,مَغْشَى
مغالة	NOTFOUND
معسرا	مُعْسِر
معسر	مُعْسِر
معتكفا	مُعْتَكَف
مطبوب	NOTFOUND
مسطور	NOTFOUND
مسخت	مَسَخ-َ
مستجابة	NOTFOUND
مسئولة	مَسْؤُول
مزرد	مَزْرَد
مرني	مَرِن,مَرّ
مرطها	أَمْرَط,مَرَط,مَرَّط
مرضي	مَرَضِيّ,مُرْضِي,مَرِيض,مَرَض
مربع	مَرْبَع,مُرَبَّع
مراوح	مِرْوَحَة
مدويه	مُدَوِّي,مَدَوِيّ
مدنا	مَدِينَة,مَدّ,ماد-ِ,مَدَّن
مدر	مُدِرّ,مَدَر
مخنث	مُخَنَّث
محلوق	NOTFOUND
مجالس	مَجْلِس
متضمخ	NOTFOUND
ماجدة	ماجِد,ماجِدَة
مائدته	مائِدَة
ليوجد	وَجَد-ِ,أَوْجَد
