وابطا	إِبْط
غشيت	غَشِي-َ,غَشَّى
غششته	غَشّ,غاشّ,غَشَّش
غش	غِشّ,غَشّ
غسلته	غَسْلَة,غَسَل-ِ,غَسَّل
غرب	غَرْب,غَرَّب,غَرَب
غدائكم	غَداء
غانم	غانِم
عيالك	عِيال
عيالا	عِيال
عورها	عَوَّر,أَعْوَر
عميا	عَمِي-َ,عَمَّى
عمودا	عَمُود
عمان	عَمّ,عُمان,عَمّان
علباء	NOTFOUND
عقوق	عُقُوق
عقاصها	NOTFOUND
عقارا	عَقار,عَقّار
عق	عَقّ
عظماء	عَظِيم
عظام	عَظْم,عَظِيم
عطب	عَطَب,عَطِب-َ,عَطَّب
عسيلتها	NOTFOUND
عسيتم	NOTFOUND
عسكر	عَسْكَر
عزمت	عَزَم-ِ,عَزَّم
عريب	NOTFOUND
عرفوا	عَرَّف,عَرَف-ِ
عرفه	عَرَفَة,عَرَّف,عَرَف-ِ,عُرْف
عرفتهم	عَرَفَة,عَرَّف,عَرَف-ِ
عرضا	عَرَض,عَرَض-ِ,عَرْض,عِرْض,عَرَّض
عرسي	عُرْسِيّ,عُرْس
عدها	عَدّ
عداوة	عَداوَة
عتقه	عَتُق,عِتْق
عتقاء	NOTFOUND
عباسا	NOTFOUND
عاملي	عامِلِيّ,عامِل
عاملا	عامَل,عامِل
عامدين	NOTFOUND
عاقدت	NOTFOUND
عافيت	عافَى
عار	عار-َ,عارِي,عار,عار-ِ
عادل	عادَل,عادِل
عاتق	عاتِق
عاتبه	عاتَب,عاتِب
ظفر	ظَفِر,ظُفُر,ظَفِر-َ,ظَفَر,ظَفَّر
ظبية	ظَبْي,ظَبْيَة
طعنة	طَعَن-َ,طاع,طَعْن,طَعْنَة
طعمت	طَعَّم,طَعِم-َ
طرقه	طُرْقَة,طَرِيق,طَرَق,طَرْقَة,طَرَّق
طخفة	NOTFOUND
طبيبا	طَبِيب
طبخا	طَبْخ,طَبَخ-َُ
طابة	طابا,طابَة,طاب
ضيقة	ضَيِّق,ضِيق,ضَيَّق
ضمام	ضِمام
ضفر	ضَفْر,ضَفَر
ضروع	ضَرْع
ضرتها	ضَرّ,ضَرَّى,ضار,ضار-ِ,ضَرَّة
ضرائر	ضَرَّة
ضبارة	ضِبارَة
ضبا	ضَبّ-ِ,ضَبّ
صيامهم	صائِم,صِيام
صومي	صائِم,صَوْم
صنيعكم	صَنِيع
صفوفهم	صَفّ,صُفُوف
صفهم	صَفّ
صعدت	صَعِد-َ,صَعَّد
صرعي	صَرْع,صَرْعِيّ,صَرِيع
صديقه	صَدِيق,صِدِّيق
صدقه	صَدَقَة,صِدْق,صَدَّق
صدقكم	صِدْق,صَدَّق
صبيغا	NOTFOUND
صبا	صَبّ,صِباً,صَبا,صَبّ-َ,صَباً
صاعي	صاع
صادقي	صادِق
صاحبيه	صاحِب
صاحبيك	صاحِب
صاحبا	صاحَب,صاحِب
شمر	شَمَر,شَمَّر
شمالك	شَمال,شِمال
شكوي	شَكْوَى,شَكْو
شككت	شَكّ,شَكَّك
شكر	شَكَر,شُكْر
شكت	شَكّ,شاك,شَكا
شفير	شَفِير
شفعوا	شَفَع-َ
شفعت	شَفَع-َ
شغلا	شَغَّل,شَغَل-َ,شَغْل,شُغْل
شعرات	شَعْر
شرقاء	NOTFOUND
شربها	شَرِب-َ,شُرْب,شَرَّب
شدقه	شِدْق
شتم	شَتَم-ُِ,شَتْم
شامنا	NOTFOUND
شاعر	شاعِر
شارف	شارِف,شارَف
سيوفهم	سَيْف,وَفَّى,أَوْفَى
سيماهم	سِيما
سيقول	قال
سيدهم	سَيِّد,دَهَّم,ٱِدْهَمّ,دَهَم-َ,وَدَى-ِ
سيدا	سَيِّد,سِيدا
سيخرج	خَرَج,خَرَّج,أَخْرَج
سيئاته	سَيِّء,سَيِّئَة
سويقا	سُوَيْق,سَوِيق
سوقه	سَوَّق,سُوق,سَوْق,سُوقَة
سندس	دَسّ,داس,دَسَّى,سُنْدُس
سنتهم	سَنَّى,سَنا,سُنَّة,سِنْت,ٱِتَّهَم,سَنَة,سَنّ
سنته	سَنَّى,تاه,أَتاه,سَنا,سُنَّة,سِنْت,سَنَة,سَنّ
سنام	سَنام
سمير	سَمِير
سمية	سُمِّيّ,سُمِّيَّة,سَمِيّ
سمواته	سَماء
سموات	سَماء
سمعن	سَمَّع,سَمِع-َ
سلع	سَلْع,سِلْعَة,سَلِع-َ
سلسلة	سِلْسِلَة,سَلْسَل
سكين	سِكِّين
سكتت	سَكَت,سَكَّت
سقيمنا	سَقِيم
سقيته	سَقَى-ِ
سقته	ساق,سَقَى-ِ
سقاؤها	سَقّاء,سِقاء
سعر	سَعَر-َ,سُعْر,سَعَّر,سِعْر,سَعِير
سريعا	سَرِيع
سرر	سَرَّر,سُرَّة
سرج	سَرَج-َ,سَرَّج,سِراج,سَرْج
سحوره	سِحْر,سَحُور,سَحْر
سحرا	سِحْر,سَحَّر,سَحْر,سَحَر,سَحَر-َ
سحاء	NOTFOUND
سجف	سَجْف,سِجاف
ستلقون	لَقِي-َ,أَلْقَى
سبينا	سَبْي,سَبَى-ِ,سَبِيّ
سبقكم	سَبَّق,سَبَق-ُِ,سَبْق,سَبَق
سبحته	سُبْحَة,سَبَّح,سَبْحَة,سَبَح-َ
سبت	سَبّ,ساب-ِ,سِبِتّ,سَبَى-ِ,سَبْت,سَبَت
سالك	لاك,سال-ِ,وَلِي-ِ,سالِك,لَكّ
سالتم	ٱِلْتام,ٱِلْتَمّ
ساقول	قال
ساقها	ساق,وَقَى-ِ
سافرنا	فَرَّى,سافِر,أَفْرَى,أَفَرّ,فَرَى-ِ,فار,سافَر,أَفار,فَرّ-ِ
ساعتي	ساعَة
ساسان	NOTFOUND
ساجدون	NOTFOUND
سابغ	بَغَى-ِ,سابِغ
زهاء	زَهاء,زُهاء
زنبور	زُنْبُور
زقاق	زَقّ,زُقاق
زغبة	زَغَب,زَغِب
زري	زَرِيّ,زَرَى-ِ,زِرّ
ريحان	رَيْحان,رَيِّح
رمحا	رُمْح,رَمَح-َ
ركوعكم	رُكُوع
ركوة	رَكْوَة,رَكّ
ركضة	رَكْضَة,رَكَض
رقيت	رَقَّى,رَقِي-َ
رقيبا	رَقِيب
رقبي	رُقْبَى
رقابها	رَقَبَة
رغيفا	رَغِيف
رغبتهم	رَغِب-َ,رَغْبَة
رعية	رَعِيَّة,رَعْي
رعاء	راعِي
رضيع	رَضِيع
رصافه	رَصّاف,رَصافَة
رسل	رِسْل,رَسْل,رَسُول
رزقا	رَزَق,رِزْق
رددته	رَدَّد,رَدّ
رحنا	راح
رحما	رَحَّم,رَحِم,رَحِم-َ
رحلك	راحِل,رَحّال,رَحَّل,رَحَل-َ,رَحْل
رحلا	راحِل,رَحّال,رَحَل-َ,رَحَّل,رَحْل
رجمه	رُجْمَة,رَجَّم,رَجْم,رَجَم
رجمته	رُجْمَة,رَجَّم,رَجَم
ربط	رَبْط,رَبَط,رِباط
ربتها	رَبَّة,رِبَّة,رَبَت-ِ,راب-ِ,رَبْت,راب,رَبَّت,رَبّ,رَبا,رَبَّى
رباط	رِباط
رايي	رَأْي
رايتهما	رايَة
رايات	رايَة
راهويه	NOTFOUND
راضية	راضِي
راجعا	راجِع,راجَع
رابع	رابِع
رؤيبة	NOTFOUND
رءوسكن	رَأْس
ذهبك	ذَهَب-َ,ذَهَّب,ذَهَب
ذهاب	ذَهاب
ذمته	ذِمَّة,ذَمّ
ذلف	أَذْلَف
ذرية	ذُرِّيّ,ذَرِّيّ,ذُرِّيَّة,ذَرْي
ذراري	ذُرِّيَّة
ذخرا	ذُخْر,ذَخَر-َ
ديارهم	دار,دَيّار
دوي	دَوايَة,دُوِي,دَوَى,دَوِي-َ,دَوَّى,دَوَى-ِ,دَوِيّ
دومة	دَوْم,دَوَّم
دنياه	دَنِيّ,دَنَّى,دُنْيا
دنوا	دَنِي-َ,دُنُوّ,دَنَّى,دَنا
دميت	دَمِي-َ,دَمَّى
دموعه	دَمْع,دَمُوع
دلالة	دِلالَة,دَلّال,دَلالَة,دَلال,دَلَّة
دفعت	دَفَع-َ
دعهن	وَدَع-َ,دَعّ-َ
دعاة	داعِي,دَعّ-َ,دَعا
دخن	دُخْن,داخ,دَخَّن,دَخَن
دحضت	دَحَض-َ,دَحَّض
دبره	دَبْرَة,دَبَّر,دَبَر,دُبْر
دباغها	دَبّاغ
دارك	دارَك,دار,دارّ
خيرتين	خَيِّر,خَيْرَة
خنبش	NOTFOUND
خمارا	خُمار,خَمّار,خِمار
خلون	خَلا
خلقتني	خَلَق,خَلَّق
خلفوا	خَلَف,خَلَّف
خلفات	NOTFOUND
خلفا	خَلْف,خِلْف,خُلْف,خَلْفَ,خَلَف,خَلَّف
خلص	خَلَص,خَلَّص,خالِص
خفيفتان	خَفِيف
خفيفة	خَفِيف
خطبهم	خُطْبَة,خَطَب
خضرات	NOTFOUND
خصم	خَصْم,خَصَم-ِ
خزايا	خَزْيان
خريت	خِرِّيت
خرفة	خَرَف
خرصها	خِرْص,خَرَص
خرز	خَرَز-ُِ,خَرَز
خربوذ	NOTFOUND
خراجه	خَراج,خُراج
خذام	NOTFOUND
ختن	خَتْن,خَتَن-ِ
خبير	خَبِير
خبنة	خاب-ِ
خبري	خُبَر,خَبَر
خبره	خِبْرَة,خَبُر,خُبَر,خَبَر,خَبَّر
خالق	خالِق
خالفهما	خالَف
خالفت	خالَف
خالط	خالَط
خالصة	خالِص
خائنة	خائِن
حيضتان	NOTFOUND
حيض	حَيْض
حولي	حَوْلِيّ,حَوْلَ,حَوْل
حولك	حَوْلَ,حَوَّل,حَوْل
حوض	حَوْض
حوت	حَوَى-ِ,حُوت
حميدا	حُمَيْد,حَمِيد
حملونا	حَمَل-ِ,حَمَّل
حملني	حَمَل-ِ,حَمَّل
حماها	حُمَة,حَم,حِمَى,حَمّ,حَمَى-ِ,حُمَّى,حَمَّى
حلوه	حَلَى,حُلْوَة,حَلَّى,حُلْو,حَلّ
حلو	حَلُو,حُلْو
حقنا	حاق,حاق-ِ,حَقّ,حُقْنَة,حَقْن,حَقَن-ُِ
حفيد	حَفِيد
حفنات	حَفْنَة
حفظتهما	حَفِظ-َ,حِفْظَة,حافِظ
حفر	حُفْرَة,حَفَر-ِ,حَفْر
حطة	حَطّ,حِطَّة
حضرتم	حَضَّر,حَضَر
حصان	حِصان
حسينا	حِسِّيّ,حُسَيْن
حسبكم	حَسْبَ,حَسْب,حَسَب,حَسِب-ِ
حزنا	حَزَن,حَزْن,حُزْن,حَزَّن,حَزّ,حاز-ِ,حاز,حَزِن-َ
حزرة	حَزَر-ُِ,حَزْر
حريق	حَرِيق
حره	حُرّ,حَرَّة,حَرّ
حرموا	حَرِم-َ,حَرُم,حَرَّم,حَرَم-ُِ
حذاؤها	حِذاء,حَذّاء
حديدة	حَدِيدَة,حَدِيد,حُدَيْدَة
حدثوني	حَدَث
حدثهما	حَدَث
حدثان	حَدَث,حِدْثان
حجيج	حَجِيج,حاجّ
حجها	حَجّ
حجم	حَجَم,حَجْم
حجرها	حُجْرَة,حَجَر,حَجَّر,حَجْر,حِجْر
حجبها	حَجَّب,حَجَب,حِجاب,حَجْب
حجابا	حاجِب,حِجاب
حبيبتان	حُبَيْبَة,حَبِيب
حبسهم	حَبْس,حِبْس,حَبَس-ِ
حبستني	حَبَس-ِ
حالم	حالِم
حافية	حافِي,حافّ
حاسد	حاسِد
جيرانه	جار
جود	NOTFOUND
جواس	NOTFOUND
جهدت	جَهَد-َ
جند	جُنْد,جَنَّد
جنح	جُنْحَة,جَنَّح,جِنْح,جَنَح-َ
جمعهما	جَمَع-َ,جَمَّع,جَمْع
جمعته	جَمَع-َ,جُمْعَة,جَمَّع
جمعتكم	جُمْعَة,جَمَع-َ,جَمَّع
جمعاء	أَجْمَع
جمته	جَمّ,جَمّ-ُِ
جليس	جَلِيس
جعلناكم	جَعَل-َ
جسر	جِسْر,جَسَّر,جَسَر
جسدي	جَسَد,جَسَدِيّ
جرية	جَرْي
جرهد	NOTFOUND
جرف	جُرْف,جَرَف,جَرْف,جَرَّف
جربت	جَرَّب,جَرِب-َ
جذعا	جَذَع,جِذْع
جاهمة	NOTFOUND
جارتك	جار,جارَى
جاءونا	جاء
جاءوك	جاء
ثمرا	ثَمَر
ثمانمائة	ثَمانِمائَة
ثلثا	ثُلْث,ثَلَّث
ثقيلتان	ثَقِيل
ثقيلة	ثَقِيل
ثفال	NOTFOUND
تيمموا	تَيَمَّم,يَمَّم
توقدون	وَقَّد,أَوْقَد
تواصلوا	تَواصَل,واصَل
تهل	أَهال,هال-ِ,هال,هَلّ-ِ,أَهَلّ
تنكرونها	نَكَّر,أَنْكَر
تنقي	نَقّ-ِ,نَقَّى,أَنْقَى,نَقِي-َ
تنقلب	ٱِنْقَلَب
تنقص	أَنْقَص,نَقَص,نَقَّص
تنفقون	نَفِق-َ,نَفَّق,أَنْفَق,نَفَق
تنعل	نَعَّل,نَعَل-َ,أَنْعَل,تَنَعَّل,نَعِل-َ
تنطحه	نَطَح-َ
تنزلهم	نَزَل-ِ,أَنْزَل,نَزَّل,تَنَزَّل,نَزِل-َ
تنزلت	تَنَزَّل
تنخم	نَخِم-َ,تَنَخَّم
تنجلي	نَجَل,ٱِنْجَلَى
تنامان	أَنام,نام-َ
تميما	NOTFOUND
تمني	تَمَنَّى,تَمَنِّي,مَنَى-ِ,مَنّ,أَمَنّ,مَنا,تُمَّن,مَنَّى
تمضي	وَمَض-ِ,أَمْضَى,مَضّ-َ,مَضَّى,مَضّ,أَمَضّ,مَضَى-ِ
تمشوا	مَشّ,أَمْشَى,مَشَّى,مَشَى-ِ,تَمَشَّى
تمسي	مَسَى,مَسَّى,أَمْسَى,وَمَس-ِ,مَسّ-َ
تمرك	مار,مار-ِ,تَمْر,أَمَرّ,مَرّ,أَمار
تليه	وَلِي-ِ,تَلّ
تلقه	لَقِي-َ,أَلْقَى
تلقاني	لَقِي-َ,تَلَقَّى
تلبيته	تَلْبِيَة
تلاها	تَلّ,تَلا
تكملوا	كَمَّل,كَمَل,أَكْمَل,كَمِل-َ
تكري	تَكَرَّى,كَرا,كَرّ,كَرِي-َ,كَرَى-ِ,أَكْرَى
تكذبون	كَذَب-ِ,أَكْذَب,كَذَّب
تكد	كاد-َ,كاد-ِ,كَدَى-ِ,أَكْدَى,كَدّ,كَدَّى
تكبيره	تَكْبِير
تقعقع	قَعْقَع
تقطعت	تَقَطَّع
تقراه	تَقَرَّى,أَقَرّ,قَرّ-َِ,وَقَر-ِ
تقرئنيها	NOTFOUND
تقرئ	أَقْرَأ
تقاطعوا	قاطَع,تَقاطَع
تقاته	NOTFOUND
تفضي	فَضّ,تَفَضَّى,فَضا,فَضَّى,وَفَض-ِ,أَفْضَى
تفصيا	تَفَصَّى,فَصَى-ِ
تفسدوا	فَسَّد,فَسَد,أَفْسَد
تفرغ	فَرَّغ,فَرِغ-َ,تَفَرَّغ,تَفَرُّغ,فَرَغ,أَفْرَغ
تفتن	ٱِفْتَنّ,أَفْتَن,فات,فَتَن-ِ
تفتض	ٱِفْتَضّ
تغيبه	غَيَّب,تَغَيُّب
تغدروا	غَدَر-ِ
تغدر	غَدَر-ِ
تعليمها	تَعْلِيم
تعلمني	أَعْلَم,تَعَلَّم,عَلِم-َ,عَلْمَن,عَلَّم
تعلمت	تَعَلَّم
تعلق	تَعَلُّق,عَلِق,عَلَّق,تَعَلَّق
تعطني	أَعْطَى
تعصوني	عَصَى-ِ,عَصّ-َ
تعجبون	عَجِب-َ,أَعْجَب,عَجَّب
تعتقها	عَتُق,أَعْتَق,ٱِعْتاق
تطاول	تَطاوُل,تَطاوَل,طاوَل
تضرم	أَضْرَم,تَضَرَّم,ضَرِم
تصومه	صام
تصاحبني	صاحَب
تشهدني	شَهِد-َ,أَشْهَد
تشقح	أَشْقَح
تشبهوا	شَبَّه,تَشَبَّه,أَشْبَه
تسير	سَيَّر,سار-ِ,أَسار
تسوية	تَسْوِيَة,سَوَّى,سَوِي-َ
تسورت	تَسَوَّر
تسكت	سَكَت,أَسْكَت,سَكَّت
تسحرنا	سَحَّر,تَسَحَّر,سَحَر-َ
تسجر	سَجَر,سَجَّر
تستعملني	ٱِسْتَعْمَل
تستدبروها	ٱِسْتَدْبَر
تستحيي	ٱِسْتَحْيَى
تستحل	ٱِسْتَحال,ٱِسْتَحَلّ,ٱِسْتَحْلَى
تسبين	سَبّ,سَبَى-ِ
تسبيح	تَسْبِيح
تزن	وَزَن-ِ,زان-ِ,زَنّ,زَنَى-ِ
تزرموه	NOTFOUND
تريني	ران-ِ,وَرَى-ِ,رَأَى-َ
تركع	رَكَّع,رَكَع-َ,أَرْكَع
