يعرج	عَرَج,أَعْرَج,عَرِج-َ,عَرَّج
اثرت	أَثَر-ُِ,آثَر,أَثار,أَثَّر,أَثْرَى
اتياني	إِتْيان,آتَى,أَتَى-ِ
اتوضا	NOTFOUND
اتقاء	ٱِتِّقاء
اتري	NOTFOUND
اتتك	آتَى,أَتَى-ِ
ابنتهم	ٱِبْن,أَبان,أَبَّن
ابنتا	ٱِبْن,أَبَّن
ابتليت	ٱِبْتَلَى
ابايع	بايَع
يوسعها	أَوْسَع,وَسَّع
يهم	وَهَم-ِ,هام-ِ,هَمّ,أَهَمّ,هَما
يهده	أَهْدَى,هَدَى-ِ,هَدّ
ينقضي	ٱِنْقَضَى
يمنعن	مَنَع
يمتخطون	NOTFOUND
يلبسها	لَبَّس,لَبِس-َ,أَلْبَس
يكسي	أَكْسَى,كَسِي-َ,كَسا
يقفون	قَفّ,قَفا,وَقَف-ِ,قَفَّى
يقرئك	أَقْرَأ
يقئ	قاء-ِ
يفعلون	فَعَل-َ
يفرح	فَرِح-َ,أَفْرَح,فَرَّح
يفتن	ٱِفْتَنّ,أَفْتَن,فات,فَتَن-ِ
يفتلها	فَتَّل,فَتَل-ِ
يغوث	غَوَّث
يغل	غَلا,وَغَل-ِ,غَلَّى,أَغْلَى,غَلّ-ِ,غَلَى-ِ,غال,غَلّ,أَغَلّ
يعلمهن	أَعْلَم,عَلِم-َ,عَلَّم
يعفو	عَفا
يعطاها	NOTFOUND
يطيق	أَطاق
يطيع	أَطاع
يطرح	طَرَّح,طَرَح-َ,ٱِطَّرَح
يضلل	ضَلَّل,ضَلّ,أَضَلّ
يضرهم	ضَرّ,ضَرَّى,أَضَرّ,ضار,ضار-ِ
يضركم	ضَرّ,ضَرَّى,أَضَرّ,ضار,ضار-ِ
يضربه	ضَرَب,أَضْرَب,ضَرَّب
يصيبكم	أَصاب
يصمه	أَصْمَى,صَمّ,وَصَم-ِ,صام,أَصَمّ
يصبغ	صَبَغ
يشوص	NOTFOUND
يشتهي	ٱِشْتَهَى
يسميه	سَمَّى,أَسْمَى
يسمه	وَسَم-ِ,سَمّ,أَسام,سَمَّى,أَسْمَى,سام,سَما
يسمعها	سَمَّع,سَمِع-َ,أَسْمَع
يسجدهما	سَجَد
يستنجي	ٱِسْتَنْجَى
يستاك	NOTFOUND
يرملوا	أَرْمَل,رَمَّل
يرفا	رَفّ-ِ,وَرَف-ِ,رَفّ
يرضعني	رَضَّع,أَرْضَع
يرض	رَضّ,راض,أَرْضَى,رَضَّى,رَضِي-َ
يرتد	ٱِرْتاد,ٱِرْتَدّ,ٱِرْتَدَى
يراني	رَأَى-َ
يحمي	حَمِي-َ,أَحْمَى,حَمَى-ِ,حَمَّى
يحكي	حَكَى-ِ
يحثو	حَثا
يحتز	ٱِحْتاز,ٱِحْتَزّ
يجهل	جَهَّل,جَهِل-َ
يجلو	جَلا
يجعله	جَعَل-َ
يجدوه	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ
يجاور	جاوَر
يجامعها	جامَع
يجاء	NOTFOUND
يتيما	يَتِيم,تام,تَيَّم
يتمنين	تَمَنَّى
يتغني	تَغَنَّى
يتطيرون	تَطَيَّر
يتخذها	ٱِتَّخَذ
يتبعون	تَبِع-َ,أَتْبَع,ٱِتَّبَع
يتبسم	تَبَسَّم
يبين	أَبان,بَيَّن,بان-ِ
يبقين	بَقِي-َ,أَبْقَى
يبدل	بَدَل,أَبْدَل,بَدَّل
يبال	بالَى
ياخذوا	أَخَذ
ياخذن	أَخَذ
ياتوا	أَتَى-ِ
ياتم	ٱِئْتَمّ
يؤذ	آذَى
يؤدونها	أَدّ,أَدَّى
يؤد	أَدّ,أَدَّى,آد
يؤخرون	ؤَخِّر
وينبت	نَبَّت,نَبَت,أَنْبَت,ٱِنْبَتّ
ويغفر	غَفَر,غَفَّر
ويعمل	عَمِل-َ,أَعْمَل
ويعجل	عَجَّل,أَعْجَل,عَجِل-َ
ويضر	ضَرّ,ضَرَّى,أَضَرّ,ضار,ضار-ِ
ويصلون	وَصَل-ِ,صَلِي-َ,صَلَّى,صَلَى-ِ,أَصْلَى
ويسمعنا	سَمَّع,سَمِع-َ,أَسْمَع
ويذرون	ذَرَى-ِ,ذَرا,أَذْرَى,ذَرّ,ذَرَّى,وَذِر-َ
ويدعون	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
ويجلس	جَلَس-ِ,أَجْلَس
ويتحري	تَحَرَّى
ووصف	وَصَف-ِ,وَصْف
وواصل	واصِل,واصَل
وواثلة	NOTFOUND
ووائل	وائِل
وهلكت	هَلَّك,هَلَك
ونفس	نَفْس,فَسا,نَفَس,نَفِس-َ,نَفَّس,نَفُس
ونعوذ	عاذ,عَوَّذ
ونصرت	نَصَر,نَصَّر
ومواضع	مَوْضِع
ومنع	مَنْع,مَنَع
ومنابر	مِنْبَر
ومماته	مَمات,مُمات
ومغفرته	مَغْفِرَة
ومعاشي	مُعاش,مَعاش
وليؤمكم	NOTFOUND
ولدي	وَلَد,لِدَة,أَلَدّ,لِدّ,لَدَى
ولحم	حَم,لَحَم,لَحِم-َ,لَحْم,لَحِم,لَحَّم
وكيت	كِيت,وَكَى-ِ,كَيْتَ
وكلاهما	كُلْوَة,كِلا,وَكَّل,وَكَل-ِ
وكذب	كَذَب-ِ,كِذْب,كَذَّب
وكابة	آب,آبِه,أَبَه
وقوموا	قام,قَوَّم
وقومه	قَوْم,قَوْمَة,قَوَّم
وقنا	قَنا,قِنّ,قُنّ
وقاربوا	قارَب
وفتح	فَتَح-َ,فَتْح
وعمارة	عِمارَة,عَمارَة
وعلمك	عَلِم-َ,عِلْم,عَلَم,عَلَّم
وعفاصها	NOTFOUND
وعشية	عُشّ,عَشِيَّة
وضعنا	ضاع-ِ,وَضْع,وَضَع,ضاع
وضعف	ضُعْف,ضَعَّف,ضِعْف,ضَعُف
وصلت	صال,وَصَل-ِ,صَلَّى,وَصَّل,صَلَى-ِ,صَلُت
وصفوان	صَفْوان
وصرفت	صَرَّف,صَرَف-ِ
وصدرا	صَدَّر,صَدْر,صَدَر
وصحبت	صَحِب-َ
وشرط	شَرْط,شَرَط,شَرَّط
وشبك	شُبُق,شَبّ-ِ,شَبَّك,شَبّ,وِشْب,شَبَك-ِ
وسورتين	سُورَة
وسهيل	سُهَيْل
وسماه	وَسَم-ِ,سَمّ,سَمَّى,وَسْم,وَسَّم,سامِي
وسقين	سَقَى-ِ
وسطا	وَسَّط,سَطا,وَسْطَ,وَسْط
وساحدثكم	حَدَث,أَحْدَث
وزينتها	زَيْنَة,وَزِين,زِينَة,زَيَّن
وزير	وَزِير
ورهبة	رَهَب,رَهَّب,رَهْبَة
ورضيت	رَضَّى,رَضِي-َ
ورجال	رَجُل
ورؤيا	رُؤَى
وذي	ذِي,ذُو
ودعي	وَدَع-َ,وَدْع,دَعا,دَعِيّ
وحوله	حَوْلَ,حَوْل,حَوَّل,وَحْل
وحدك	وَحْد,حَدّ,وَحَّد
وحانت	حان-ِ
وجنتاه	وَجْنَة,جُنَّة,جَنَى-ِ,جَنّ,جَنَّة
وجنب	جَنَب,جَنْب,جَنَّب,جَنْبَ
وجمال	جَمال,جَمّال,جَمَل
وجلست	جَلَس-ِ
وجاه	جاه
وتنطحه	نَطَح-َ
وتلك	لاك,ذٰلِكَ,وَلِي-ِ,تَلّ,لَكّ
وتكلم	كَلَّم,تَكَلَّم,تَكَلُّم
وتقرا	أَقَرّ,قَرّ-َِ,وَقَر-ِ
وتعاليت	تَعالَى
وتبارك	بارَك,تَبارَك,تَبار,بارَى
وتاكل	أَكَل
وبكر	بَكَر,بَكْر,كَرّ,بِكْر,بَكَّر,بَكْرَة
وايقظ	أَيْقَظ,يَقَّظ,يَقُظ,يَقِظ-َ
وانصرف	ٱِنْصَرَف
وانزلت	أَنْزَل
والوضوء	وُضُوء,وَضُوء
والنفس	نَفْس,نَفَس
والميثرة	مِيثَرَة
والميثاق	مِيثاق
والمهاجرين	مُهاجِر
والمغنم	مَغْنَم
والمسلمين	مُسْلِم,مُسَلَّم
والمستوشمات	NOTFOUND
والمجاهدون	مُجاهِد
والمبطون	مَبْطُون
والكافر	كافِر
والقمل	قَمِل,قَمْل,قَمَل
والقسي	قَسِيّ
والعظمة	عَظْمَة
والطعام	طَعام
والضعيف	ضَعِيف
والشراب	شَرّاب,شَراب,شُرّاب
والسكينة	سَكِينَة,سِكِّينَة
والزهري	زُهَرِيّ
والرقيق	رَقِيق
والربيع	رَبِيع
والديه	دِيَة,والِد,أَلَدّ,والِدِيّ
والدواب	دابَّة
والخمر	خَمْر,خِمار
والحكمة	حِكْمَة
والحق	أَلْحَق,حَقّ,لَحِق-َ
والحرم	حُرْمَة,حَرَم
والجمال	جَمال,جَمّال,جَمَل
والثياب	ثَوْب
والثالثة	ثالِث
والتارك	NOTFOUND
والبقرة	بَقَر
والبركة	بِرْكَة,بَرَكَة
والارضين	أَرْض
والاذن	آذِن,إِذْن,أُذُن
والاخبار	إِخْبار,أَخْبار,خَبَر
واقم	قام,قَمّ,أَقام
وافاض	أَفاض
واعطاه	أَعْطَى
واضطجع	ٱِضْطَجَع
واشجع	شَجُع,شَجَّع,أَشْجَع
واستخلف	ٱِسْتَخْلَف
وارحمه	رَحَّم,رَحِم-َ
وارثه	إِرْث,وَرِث-ِ,رَثا,وارِث,راث-ِ,أَرَّث,رَثَى,راث
واحتجبي	NOTFOUND
واجود	جاد,أَجْوَد
واجعلها	جَعَل-َ
واتممت	أَتَمّ
واترك	تَرَك,واتَر,وَتَر-ِ,تَرَّك
وابوه	آب,أَب,آبِي,أَبّ,أَبَى-َ,أُبُوَّة
هوامك	NOTFOUND
هنيهة	هُنَيْهَة
هنيدة	NOTFOUND
هلمي	هِلَّم
هزم	هَزْم,هَزَم-ِ
هريم	NOTFOUND
هرمة	هَرَم,هَرِم,هَرَّم
نومة	نَوْمَة,نُوَمَة,نَوَّم,نائِم,نَوْم
ننازع	نازَع
نقيل	قَيَّل,أَقال,نَقِيل
نقيت	أَقات,نَقَّى,نَقِي-َ
نقوم	قام,قَوَّم
نفقته	نَفَقَة,نَفَّق,نَفَق
نعيده	عَيَّد,أَعاد
نعطيه	أَعْطَى
نضلة	ضَلّ,أَضَلّ,نَضَل
نضح	أَضْحَى,نَضْح,نَضَح-َ,ضَحا,وَضَح-ِ,نَضَح-ِ,ضَحَّى,ضَحِي-َ
نصرت	نَصَر,نَصَّر
نص	نَصّ
نسكنا	أَسْكَن,نُسُك,نَسْك,سَكَّن,سَكّ,نَسَك,ساك
نستعين	ٱِسْتَعان
نرمي	رَمَى-ِ
نذكر	ذَكَر,أَذْكَر,ذَكَّر
نجوم	نَجْم
نتكلم	تَكَلَّم
نبيط	NOTFOUND
نبغي	نَبْغ,بَغَى-ِ
نبايع	بايَع
ناوليني	NOTFOUND
ناتيك	أَتَى-ِ
نائمة	نائِم
موعظة	مَوْعِظَة
مواشيهم	ماشِيَة
مهديا	مُهْدِي,مَهْدِيّ,مُهْدَى
مهاجرا	مُهاجِر
منفوسة	NOTFOUND
منظور	مَنْظُور
ملان	مَلّ
مقدار	مِقْدار
مقتل	مَقْتَل
مفسدة	مَفْسَدَة,مُفْسِد
معهن	مَعَ
مطهر	مَطْهَر,مُطَهِّر,مُطَهَّر
مضطجعا	مُضْطَجَع
مضرس	NOTFOUND
مصيبتي	مُصِيبَة
مشهودة	مَشْهُود
مشط	مَشَط-ُِ,مِشْط,مُشِطّ,مَشَّط
مسيئهم	مُسِيء
مسرورا	مَسْرُور
مستقيم	مُسْتَقِيم
مرحب	مَرْحَب,مُرَحِّب
مرجانة	مَرْجان
مرج	مَرَج,مَرْج
مخ	مُخّ
محل	مَحَلّ,مَحَل-َ,مَحْل,مَحُل
محرمين	مَحْرَم,مُحَرَّم
محجلين	مُحَجَّل
مجززا	NOTFOUND
مثلهن	مِثْل,مَثَل,مَثَّل
مثلنا	مَثُل,مِثْل,مَثَل,مَثَّل
لينتهين	ٱِنْتَهَى
ليسلم	سَلَّم,أَسْلَم,سَلِم-َ
ليته	تاه,أَتاه,لَيْتَ,لَيَّة
لياكل	أَكَل
لياخذ	أَخَذ
ليؤمكم	NOTFOUND
لومة	لُوَمَة,لَوْم,لَوَّم,لائِم,لَوْمَة
لوارث	وارِث
لهوا	لَهِي-َ,لَها,لَهْو,لَهَّى
للموت	مَوْت
للمشركين	مُشْرِك
للمسافر	مُسافِر
للضيف	ضَيْف
للذكر	ذِكْر,ذَكَر
لكانت	كان
لغا	لَغا
لعبادي	عَبّاد,عَبّادِيّ,عابِد,عِباد
لظلم	ظَلَم-َِ,ظُلْم
لسمعت	سَمَّع,سَمِع-َ
لسالم	سالَم,سالِم
لرب	رُبّ,رَبّ
لذكري	ذِكْر,ذِكْرَى,ذَكَر,ذَكَرِيّ
لخلوف	NOTFOUND
لحرملة	حَرْمَل,حَرْمَلَة
لحذيفة	NOTFOUND
لجرئ	NOTFOUND
لترجمانه	تُرْجُمان
لبنتين	لِبْنَة,لِبْن,بِنْت
لاولي	وَلَّى,أَوَّل,أَوْلَى,أَوَّلِيّ
لانسان	إِنْسان
لاقي	لاقَى,وَقَى-ِ
لاربه	أَرَب,أَرَب-ِ,آرَب,أَرِب,أُرْب,إِرْب
لاراكم	رَأَى-َ,راكَم
لابائهم	أَب,إِباء
لائم	لائِم
لئلا	لِئَلّا
كيت	كِيت,كَيْتَ
كندة	نَدّ,نَدْه,نِدّ
كنتن	نَتِن,كان,نَتْن
كلف	كَلِف,أَكْلَف,كَلِف-َ,لَفّ,لِفّ,كُلْفَة,كَلَف,كَلَّف
كلامي	كَلامِيّ,لامِيّ,لام,كَلام
كلامه	لامَّة,لام,كَلام
كلامنا	لام,كَلام
كفنه	كَفْن,كَفَن-ِ,كَفَن,فَنّ,كَفَّن
كفتاه	كَفَت-ِ,فَتَى,كَفّ,فَتاة,كَفَّت,كُفَّة,كِفَّة
كفاه	كافِي,كَفّ,كَفَى-ِ
كسجع	سَجْع
كرها	كَرِه-َ,كَرْه,كَرُه,كَرَّه,كَرّ,كَرِه,كُرْه
كراع	راع,كُراع,راعِي
كذابا	كَذّاب
كتم	كَتْم,كَتَّم,كَتَم
كتفه	كِتاف,أَكْتَف,كِتْف,كَتِف,كَتَف-ِ,كَتَّف,تُفّ,تَفَه
كتابكم	كُتّاب,كِتاب,كاتِب
