فصيرك	صَيَّر
دعامة	دِعامَة
دسته	دَسّ,داس,دَسْت,دِسْت,دَسَّى
دريد	NOTFOUND
دركا	دَرِك,دَرَّك,دَرَك
درعك	دِرْع,دَرَّع
دخلتها	دُخْلَة,دَخَل,دُخَّلَة,دِخْلَة
دابره	دابِر
خيوان	NOTFOUND
خيله	أَخْيَل,خَيَّل,خَيْل
خياط	خَيّاط,خِياط
خوفا	خَوَّف,خَوْف,خائِف
خواصر	خاصِرَة
خندف	NOTFOUND
خميس	خَمِيس
خمصا	خَمِص-َ,خَمَص
خمارها	خُمار,خَمّار,خِمار
خمارك	خُمار,خَمّار,خِمار
خلقي	خَلْق,خِلْقَة,خُلْقِيّ,خِلْقِيّ,خَلَق,خُلْق
خلفكم	خَلْف,خِلْف,خُلْف,خَلْفَ,خَلَف,خَلَّف
خلافها	خِلاف
خلافه	خِلافَة,خِلاف
خلاسا	NOTFOUND
خطيئتي	خَطِيئَة
خطبني	خَطَب
خطبت	خَطَب
خطاياكم	خَطِيئَة
خضعانا	خَضَّع,خاضِع,خَضَع-َ
خسوف	خُسُوف
خزانتك	خَزّان,خِزانَة
خررت	خَرّ-ُِ
خراجا	خَراج,خُراج
خذلهم	خَذَل
خدمته	خِدْمَة,خَدَم-ُِ,خَدَّم
خدمة	خِدْمَة,خَدَم,خَدَم-ُِ,خَدَّم
خدرة	خُدْرَة,خَدَّر,خَدَر,خِدْر
ختنة	خَتْن,خَتَن-ِ
خبيرا	خَبِير
خبيثتين	خَبِيث
خباءه	خِباء
خانهم	خان
خالفوا	خالَف
خالطها	خالَط
خاصرته	خاصِرَة,خاصَر
خاسئا	خاسِئ
خاتمة	خاتِمَة,خاتَم
خائنا	خائِن,خاء
حييا	حَيّا,حَيّ-َ,حَيِيّ
حيدة	حَيْدَة,حَيْد,حَيَّد
حياتها	حَياة,حَيَّة
حياءها	حَياء
حولت	حَوَّل
حميت	حَمِي-َ,حَمَى-ِ,حَمَّى
حمما	حُمَم,حَمَّم
حملي	حَمْل,حَمَل,حِمْل
حملتها	حَمْلَة,حَمَل-ِ,حَمَّل
حملتنا	حَمْلَة,حَمَل-ِ,حَمَّل
حملانه	NOTFOUND
حملا	حَمْل,حَمَل,حِمْل,حَمَل-ِ,حَمَّل
حمامة	حَمام,حَمّام
حلبت	حَلَب-ُِ
حلاله	حَلال
حلابها	حَلّاب
حكيت	حَكَى-ِ
حفظها	حَفِظ-َ,حِفْظ
حفشا	NOTFOUND
حفزه	حَفَز-ِ
حضرها	حَضَّر,حَضَر
حشيا	حَشَّى
حشي	حَشَّى,حَشاً
حشوه	حَشا,حَشَّى,حَشْو,حَشْوَة,حَشّ
حسيبه	حَسِيب
حسنتين	حَسَن,حَسَنَة
حسرة	حَسَّر,حَسِر,حَسْرَة,حَسَر
حسدتكم	حَسَد
حسبه	حَسْبَ,حَسْب,حَسَب,حَسِب-ِ
حسابها	حِساب
حس	حِسّ,حَسّ,حَسّ-ِ
حزينا	حَزّ,حَزِين
حزين	حَزّ,حَزِين
حزة	حَزّ
حريم	حَرِيم
حرمناه	حَرَّم,حَرَم-ُِ
حركها	حَرَّك
حرص	حَرِص-َ,حَرَص-ِ,حِرْص
حرسي	حَرَس
حرز	حِرْز,حَرَّز,حَرُز,حَرَز,حَرِز
حذاءه	حِذاء,حَذّاء,حِذاءَ
حديثو	NOTFOUND
حدهم	حَدّ
حدثها	حَدَث
حدثتهم	حَدَث
حداثة	حَداثَة,حَدِيث
حجمه	حَجَم,حَجْم
حجكم	حَجّ
حجزتها	حَجَز
حجزته	حَجَز
حتيه	NOTFOUND
حبيبي	حَبِيبِي,حُبَيْبِيّ,حَبِيب
حبيبا	حَبِيب
حبه	حَبّ,حَبّ-ِ,حُبّ
حبله	حَبَل,حَبَّل,حَبْل
حبطا	حَبَط,حَبَط-ِ
حبسونا	حَبَس-ِ
حبسها	حَبْس,حِبْس,حَبَس-ِ
حبسني	حَبَس-ِ
حالها	حال
حاله	حالَة,حال
حالفت	حالَف
حاضرا	حاضِر,حاضَر
حاصر	حاصَر
حاسبه	حاسَب,حاسِب
حارث	حارِث
حاربت	حارَب
حاذي	حاذَى
حاد	حاد-ِ,حاد,حادّ,حادِي
حاجين	حاجّ,حاجَى
حاجتهم	حاجَة,حاجّ,حاجَى
جيراننا	جار
جيرانك	جار
جولة	جَوْلَة,جَوَّل
جوارك	جِوار
جهدهم	جَهْد,جُهْد,جَهَد-َ
جهدها	جَهْد,جُهْد,جَهَد-َ
جهالا	جاهِل
جناحيه	جَناح,جُناحِيّ
جنائزنا	جِنازَة
جميمة	NOTFOUND
جميلا	جَمِيل
جملوه	جَمَّل,جَمَل
جلدتنا	جِلْد,جَلَد-ِ,جَلِد-َ,جَلْدَة,جَلَّد
جلجل	جَلْجَل,جُلْجُل
جلبة	جَلْب,جَلَّب,جُلْبَة,جَلَب,جَلَب-ُِ
جلبان	جُلُبّان
جفاء	جُفاء,جَفاء
جعلتم	جَعَل-َ
جعفرا	NOTFOUND
جسمه	جَسَّم,جِسْم
جسدها	جَسَد,جَسَّد
جسدك	جَسَد,جَسَّد
جسد	جَسَد,جَسَّد
جرو	NOTFOUND
جرما	جِرْم,جَرْم,جُرْم,جَرَم-ِ,جَرَّم
جربنا	أَجْرَب,جِراب,جَرَّب,جَرِب-َ,جَرَب,جَرِب
جراحهم	جُرْح,جَرّاح
جراح	جُرْح,جَرّاح
جذيمة	NOTFOUND
جبلتها	جِبْلَة,جَبَل,جِبِلَّة,جَبْلَة
جبلت	جَبَل
جبلا	جَبَل
جبرائل	NOTFOUND
جبته	جَبَى-ِ,جَبَّى,جُبَّة,جاب,جَبّ
جاوزته	جاوَز
جاورت	جاوَر
جاور	جاوَر
جاهل	جاهِل
جاهدوا	جاهَد
جانبيه	جانِب,جانِبِيّ
جالسنا	جالَس,جالِس
جالسان	جالِس
جاع	جاع
جارين	جار,جارِي,جارَى
جادت	جاد
جائعا	جائِع
جاءوكم	جاء
جئتكم	جاء
ثقيفا	NOTFOUND
ثقفي	NOTFOUND
ثريد	ثَرِيد
ثديها	ثَدْي
ثانية	ثانِيَة,ثانِي
ثابر	ثابَر
تيممنا	تَيَمَّم,يَمَّم
تيماء	تَيْماء
تيك	ذاكَ,تِيك
توهب	أَوْهَب,وَهَب-َ
توليتم	تَوَلَّى
توكي	وَكَى-ِ
توكلنا	أَوْكَل,تَوَكَّل,وَكَّل,تَوَكُّل
توصل	وَصَل-ِ,تَوَصَّل,تَوَصُّل,وَصَّل,أَوْصَل
توسطت	تَوَسَّط
تورمت	تَوَرَّم
توجد	وَجَد-ِ,أَوْجَد
توجب	تَوَجَّب,وَجَّب,أَوْجَب
تواضعوا	تَواضَع
تواجهه	واجَه,تَواجَه
تواثقنا	واثَق
تو	تَوّ
تهوي	تَهَوَّى,هَوَّى,هَوَى-ِ,هَوِي-َ,أَهْوَى
تهلك	أَهال,هال-ِ,هَلَّك,هال,هَلَك,هَلّ-ِ,أَهْلَك,أَهَلّ
تهجد	تَهَجَّد,هَجَد
تهبن	هاب-َ,أَهاب,وَهَب-َ
تهاونا	تَهاوُن,هاوَى,تَهاوَن
تنكرون	نَكَّر,نَكِر-َ,أَنْكَر
تنكحها	أَنْكَح,نَكَح-َُِ
تنقشوا	نَقَش,نَقَّش
تنفعنا	نَفَّع,نَفَع-َ
تنفس	نَفِس-َ,تَنَفَّس,نَفَّس,تَنَفُّس,نَفُس
تنعت	نَعَت-َ
تنصب	أَنْصَب,نَصَّب,ٱِنْصَبّ,نَصَب,نَصِب-َ
تنشب	أَنْشَب,نَشَّب,نَشِب-َ
تنزجر	ٱِنْزَجَر
تنحر	نَحَر
تنتفعوا	ٱِنْتَفَع
تنتثلونها	NOTFOUND
تنبذ	نَبَذ-ِ,نَبَّذ,أَنْبَذ
تناكر	ناكَر,تَناكَر
تناجي	تَناجَى,ناجَى
تموتوا	مَوَّت,مات
تمنينا	تَمَنَّى,تَمَنِّي,مَنَى-ِ,مَنّ,مَنا,أَمَنّ,مَنَّى
تمنعوني	مَنَع
تمنع	مَنَع,تَمَنُّع
تمسه	مَسَى,مَسَّى,أَمْسَى,وَمَس-ِ,ماس-ِ,مَسّ-َ
تمره	مار,مار-ِ,تَمْر,أَمَرّ,مَرّ,أَمار
تمثال	تِمْثال
تمته	أَمات,مات
تمتعت	تَمَتَّع
تليت	NOTFOUND
تليان	وَلِي-ِ
تلج	وَلَج-ِ,لَجّ-َِ
تلتقط	ٱِلْتَقَط
تلافاه	تَلافَى
تلاعبك	لاعَب,تَلاعُب
تكملة	كَمَّل,أَكْمَل,تَكْمِلَة
تكلمه	كَلَّم,تَكَلَّم,تَكَلُّم
تكلمنا	كَلَّم,تَكَلَّم,تَكَلُّم
تكلماني	كَلَّم,تَكَلَّم
تكفي	وَكَف-ِ,كَفّ,كَفَى-ِ
تكعكعت	NOTFOUND
تكشف	كَشَف-ِ,تَكَشَّف
تكسرت	تَكَسَّر
تكذبوهم	كَذَب-ِ,أَكْذَب,كَذَّب
تكافا	NOTFOUND
تقولان	قال
تقضينه	قَضَّى,قَضَى-ِ,قَضّ,تَقَضَّى
تقضه	قَضَى-ِ,قَضَّى,قَضّ,قاض-ِ,قاض
تقرءونها	NOTFOUND
تقر	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
تقدمهم	تَقَدُّم,قَدِم-َ,تَقَدَّم,أَقْدَم,قَدَّم
تقدمها	تَقَدُّم,قَدِم-َ,أَقْدَم,تَقَدَّم,قَدَّم
تقاتلكم	تَقاتُل,قاتَل,تَقاتَل
تفيضين	فاض-ِ,أَفاض
تفصل	فَصَل-ِ,فَصَّل
تفسيره	تَفْسِير
تفخر	فَخِر-َ,تَفَخَّر,فَخَر-َ
تفتدي	ٱِفْتَدَى
تغزون	غَزا,أَغَزّ
تغرف	غَرَف-ِ
تغذوه	غَذا,غَذّ-ِ,غَذَّى,أَغَذّ
تغبروا	ٱِغْبَرّ,غَبَّر,تَغَبَّر,أَغْبَر,غَبَر
تغالوا	تَغالَى,غالَى
تعين	أَعان,تَعَيَّن,عَيَّن,وَعَى-ِ
تعمدت	تَعَمَّد
تعظيم	تَعْظِيم
تعض	عَضّ-َ,عاض,أَعاض
تعزرني	عَزَر-ِ,عَزَّر
تعرضوا	أَعْرَض,تَعَرَّض,عَرَض-ِ,عَرَّض
تعتدوا	عَتُد,ٱِعْتَدَى,أَعْتَد,عَتَّد,ٱِعْتَدّ
تعارف	تَعارَف,تَعارُف
تعادي	عادَى,تَعادَى,أَعاد
تظن	ظَنّ
تطيبت	تَطَيَّب
تطليقتين	NOTFOUND
تطليقتان	NOTFOUND
تطلقني	طَلَق,طَلَّق,أَطْلَق
تطفئ	أَطْفَأ
تطف	طاف,طاف-ِ,أَطاف,طَفا
تطعموا	تَطَعَّم,أَطْعَم,طَعَّم,طَعِم-َ
تطا	NOTFOUND
تصنعه	تَصَنُّع,صَنَّع,صَنَع-َ,تَصَنَّع
تصم	أَصْمَى,صَمّ,وَصَم-ِ,صام,أَصَمّ
تصليهما	وَصَل-ِ,صَلَّى,صَلِي-َ,أَصْلَى,صَلَى-ِ
تصليها	صَلِي-َ,صَلَّى,وَصَل-ِ,صَلَى-ِ,أَصْلَى
تصدقها	تَصَدَّق,صَدَّق
تصبها	صَبّ,وَصَب-ِ,أَصاب,صَبا,صَبِي-َ,صَبّ-َ,صَبَّى
تشهدت	NOTFOUND
تشكو	شَكا
تشرق	شَرِق-َ,تَشَرَّق,أَشْرَق,شَرَق
تشخب	شَخَب-َُ
تشافهني	شافَه
تسمونه	وَسَم-ِ,سَمّ,سَمَّى,أَسْمَى,سَما
تسمعين	تَسَمُّع,سَمَّع,سَمِع-َ,أَسْمَع
تسمعهم	تَسَمُّع,سَمَّع,سَمِع-َ,أَسْمَع,تَسَمَّع
تسرق	سَرَق-ِ,سَرَّق
تسحرت	تَسَحَّر
تستوحشي	ٱِسْتَوْحَش
تستنصر	ٱِسْتَنْصَر
تستنجوا	ٱِسْتَنْجَى
تستن	ٱِسْتَنّ
تستمتعوا	ٱِسْتَمْتَع
تستطيعونه	NOTFOUND
تستشرفه	ٱِسْتَشْرَف
تسبي	سَبّ,سَبَى-ِ
تزيره	أَزار
تزوجتها	تَزَوَّج
تزعمون	زَعَم
ترين	وَرَى-ِ,ران-ِ,رَأَى-َ
ترونه	وَرَى-ِ,رَأَى-َ
ترم	رام-ِ,رَمّ-ِ,وَرِم-ِ,رَمَى-ِ,رَمّ,رام
تركناها	تَرَك,أَرْكَن,تَرَّك
تركك	تَرَك,تَرْك,تُرْكِيّ,تَرَّك,رَكّ,رَكّ-ِ
تركز	رَكَّز,رَكَز,تَرَكَّز
ترعد	أَرْعَد,رَعَد-َُ
تردني	رَدِي-َ,راد,رَدَّى,رَدَن-ِ,أَراد,رَدّ,أَرْدَى,وَرَد-ِ
ترجم	رَجَّم,تَرْجَم,رَجَم
ترجله	تَرَجَّل,رَجَّل,رَجِل-َ
ترجعان	أَرْجَع,رَجَّع,رَجَع-ِ
ترثوا	وَرِث-ِ,رَثا,رَثّ-ِ,رَثَى
تذكرك	تَذَكُّر,ذَكَر,أَذْكَر,ذَكَّر,تَذَكَّر
تدعوه	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
تدركون	أَدْرَك,دَرَّك
تدردر	دَرْدَر
تدخلوها	أَدْخَل,تَدَخَّل,دَخَل
تدخله	تَدَخَّل,أَدْخَل,دَخَل,تَدَخُّل
تدحض	دَحَض-َ,أَدْحَض,دَحَّض
تداووا	تَداوَى,داوَى
تخوفت	تَخَوَّف
تخمس	خَمَّس
تخلل	خَلّ,تَخَلَّل,خَلَّل,أَخَلّ
تخفض	خَفَّض,خَفَض-ِ,خَفُض,تَخَفَّض
